Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.8605722525385131,0.4600617988018241,0.0,0.014342870875641884,0.007667696646697068,0.0,0.16807154938268132,0.6925007031558318,0.0,0.0,0.0,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12914.178511111111,Off,0.0,0,80.73273715537267,51.666666666666686,46.10666666666668,0.0,51.10354399628259,0.3736332392636618,1007.1902090837381,0.0,126.1449018052698,48.71164411381605,51.10354399628259,47.51569417258278,12.43753247303448,18.65825049717342,-0.28619394727103753,-2.8037526888572764,-0.9863280002326517,-1.8803687490839491,2.8,9.236100170605994,-1507.726079542213,132.05828094875685,3606.2400942405443,-150.90343241346105,-2564.2197060380936,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12407443545292629,0.0,0,1.8097671422713386,263.9984568888889,-27.715240870483427,0.23322527930797615,8.956799798743022,0.003053473387674827,-58.27800646733456,1.2238397118660536,0,0,132.05828094875685,0.7249112727551998,3577.0148106408933,29.22528359965105,0.004483766734054463,27.348954792005646,-178.2523872054667
2025-01-01 00:01:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,80.6777154579782,51.666666666666686,46.10666666666668,0.0,51.073852147957375,0.3739203748284055,1007.1902090837382,0.0,126.05893040309093,48.59863199876902,51.073852147957375,47.36102192417484,12.43753247303448,18.568599441465544,-0.3758450029789131,-2.6846106954961693,-0.7009139687140877,-1.890828995045525,2.8,9.236100170605994,7169.868645369326,5023.326974252683,3335.086902199718,-150.05015024960565,-2544.1002552505797,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12380079922347118,0.0,0,1.8057758457951942,263.9984568888889,-33.51091105698089,0.23519913147933702,8.938668361300856,0.0030531589001160176,-57.54707858126122,1.2277921484978649,0,0,129.80482411876005,0.7249112727551998,3307.3788420074575,27.70806019226048,0.004483766734054463,27.410077496060186,-177.46022774566583
2025-01-01 00:02:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,79.957716323516,51.666666666666686,46.10666666666668,0.0,51.04412887970341,0.3742082566061612,1007.1902090837381,0.0,124.93393175549375,48.48562845648206,51.04412887970341,47.206378244871395,12.43753247303448,18.72677239979844,-0.21767204464601875,-2.4284823559842557,-0.4366207446906335,-1.9009332479732945,2.8,9.236100170605994,7116.877602311739,5018.656125831861,3084.12785024423,-148.52139693149232,-2579.638526235056,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12428348669494244,0.0,0,1.8128163930494765,263.9984568888889,-50.96368313009313,0.23285841773924315,9.011222871763387,0.003052849356570435,-58.495303621889406,1.2271270162389132,0,0,125.13397569793761,0.7249112727551998,3057.696094864094,26.43175538013555,0.004483766734054463,27.46912001414867,-175.990516945641
2025-01-01 00:03:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,79.25140959790464,51.666666666666686,46.10666666666668,0.0,51.01448492227152,0.37449581207452254,1007.1902090837381,0.0,123.830327496726,48.372737095027915,51.01448492227152,47.05186318140612,12.43753247303448,18.879953668998766,-0.06449077544569093,-2.1767370570683955,-0.19184578419427067,-1.910486323154872,2.8,9.236100170605994,7066.162633480813,5014.334905892051,2851.7119764553927,-146.37941857773532,-2614.2362439614726,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12475052628120856,0.0,0,1.8196286980523482,263.9984568888889,-67.08093423460184,0.2306153144636392,9.081543768543336,0.003052534542013849,-59.405814498929175,1.2264835723952219,0,0,120.8127557581279,0.7249112727551998,2826.4526159801385,25.25936047525481,0.004483766734054463,27.52494181693221,-173.90436039466752
2025-01-01 00:04:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,78.55816424562057,51.666666666666686,46.10666666666668,0.0,50.98491801203853,0.374783060714175,1007.190209083738,0.0,122.74713163378215,48.25995578103481,50.98491801203853,46.897474665532954,12.43753247303448,19.02837627889997,0.0,-1.929149672863986,0.03488421347729406,-1.9193285100460362,2.8,9.236100170605994,7020.342224805723,5010.143367305086,2636.44590631594,-143.6661356156778,-2647.928708087359,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12520266331578592,0.0,0,1.8262236323431638,263.9984568888889,-79.2088787838054,0.22846387610452926,9.149126818583875,0.003052214659468931,-60.28036631951923,1.225860772027673,0,0,116.6212171711629,0.7249112727551998,2612.2565506530113,24.189355662929053,0.004483766734054463,27.576609662461745,-171.24274527813955
2025-01-01 00:05:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,77.8771798003641,51.666666666666686,46.10666666666668,0.0,50.955425990505,0.3750700211132937,1007.190209083738,0.0,121.68309343806891,48.14728247945065,50.955425990505,46.74321072392349,12.43753247303448,19.172336499601904,0.0,-1.6855417890084619,0.24493050155534646,-1.927329233192796,2.8,9.236100170605994,6979.724947056151,5006.108736484609,2437.035158298054,-140.96538771288147,-2680.7673198011908,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12564083283134345,0.0,0,1.8326148344397617,263.9984568888889,-86.987544819545,0.22639753034161142,9.215452695303568,0.0030518899028146927,-61.12113011698116,1.2252573113278389,0,0,112.58658635068585,0.7249112727551998,2413.8218975196405,23.21326077841341,0.004483766734054463,27.62336055483254,-168.588748267714
2025-01-01 00:06:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,77.20766482992367,51.666666666666686,46.10666666666668,0.0,50.92600683250027,0.37535671068459014,1007.1902090837381,0.0,120.63697629675573,48.03471527994155,50.92600683250027,46.589069503662195,12.43753247303448,19.312127359487,0.0,-1.4457628831592506,0.4395504718590022,-1.9344063642524891,2.8,9.236100170605994,6941.550870140929,5002.229964325553,2252.284243835575,-138.24602748956178,-2712.8045522497955,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12606595668077522,0.0,0,1.8388157506179332,263.9984568888889,-93.12438928616322,0.22441003130081802,9.278729186814143,0.0030515604544195333,-61.93024171264895,1.2246719069348522,0,0,108.70781419163039,0.7249112727551998,2229.960775033714,22.32346880186111,0.004483766734054463,27.664714590761132,-165.9107420803229
2025-01-01 00:07:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,76.54906802832535,51.666666666666686,46.10666666666668,0.0,50.89665864467419,0.37564314567008067,1007.1902090837381,0.0,119.60791879425835,47.92225239548418,50.89665864467419,46.43504927088918,12.43753247303448,19.447952522817474,0.0,-1.209683224516783,0.6199056316569369,-1.9404956676960563,2.8,9.236100170605994,6904.645203423695,4998.503750803735,2081.0888472097317,-134.95135318903624,-2744.073956729801,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.12647868205175614,0.0,0,1.844835820848004,263.9984568888889,-98.76065152339052,0.2224966280486931,9.340389687169825,0.0030512264852759767,-62.70922321146858,1.2241036557737404,0,0,104.98160066981161,0.7249112727551998,2059.5758855753584,21.51296163437319,0.004483766734054463,27.700296420638423,-162.65164960967468
2025-01-01 00:08:00,1.5031868358718463,0.4600617988018241,0.5508125,0.025053113931197437,0.007667696646697068,0.009180208333333334,0.16807154938268132,0.6925007031558318,0.6426145833333333,0.0,0.5508125,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,On,10829.088680388153,19.444444444444457,0.8,2727.7044140562916,16.14272313888889,0.6426145833333333,1,12914.178511111111,12914.178511111111,Off,0.0,0,75.90094981331225,51.666666666666686,46.10666666666668,0.0,50.86737962551464,0.37592934152237195,1007.1902090837381,0.0,118.5952340833004,47.80989212495251,50.86737962551464,46.28114837467145,12.43753247303448,19.579974103923046,0.0,-0.9771885288447065,0.7870690475878316,-1.9455255610393514,2.8,9.236100170605994,6868.722783017971,4994.924292735227,1922.4289554178908,-131.55470596771153,-2774.6007008911306,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.1268795277354155,0.0,0,1.8506826122902529,263.9984568888889,-104.15632776778529,0.22065333236294987,9.40053968856692,0.003050888158360313,-63.45930889910946,1.2235518331470765,0,0,101.40214260130448,0.7249112727551998,1901.6534830403975,20.775472377493415,0.004483766734054463,27.72968776414769,-159.2843937318592
2025-01-01 00:09:00,0.8605722525385131,0.4600617988018241,0.0,0.014342870875641884,0.007667696646697068,0.0,0.16807154938268132,0.6925007031558318,0.0,0.0,0.0,0.0,0.4600617988018241,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.0201562774122807,0.0,On,0.005019501664744439,0.0,On,0.07144788515282809,0,On,0.07144788515282809,0.0,On,0.07908497142006618,0,On,0.57659774372911,0.43244830779683235,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12914.178511111111,Off,0.0,0,75.26291080446222,51.666666666666686,46.10666666666668,0.0,50.838168046743895,0.37621531308008316,1007.1902090837381,0.0,117.59829813197223,47.69763283571046,50.838168046743895,46.12736523019374,12.43753247303448,19.708339303791334,0.0,-0.7481763015093061,0.9420321780407901,-1.9494599194461282,2.8,9.236100170605994,-1829.5210423979415,97.96236377893825,1775.3620080069006,-128.05501463739293,-2804.407500746811,-0.0,-0.0,1084.2088673663643,0.0,4.0,0.1272689654345535,0.0,0,1.8563630052679754,263.9984568888889,-109.32240901749498,0.21887651773696506,9.458602492944681,0.003050545630194126,-64.18162601976101,1.223015780489002,0,0,97.96236377893825,0.7249112727551998,1755.2569181629094,20.105089843991227,0.004483766734054463,27.75267753182862,-155.80769216922155
