Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Gas Power (therms/hour),Spa Heater Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3054351620059729,0.1591691452555033,0.0030899515334497757,0.005090586033432882,0.0026528190875917215,5.149919222416293e-05,0.01438173168388375,0.24105343032208917,0.0,0.05,0.0,0.0030899515334497757,0.0,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,77.56688989884074,51.666666666666686,46.10666666666668,0.0,48.32770857628007,0.0,0.0,0.0,121.19826546693866,48.394139973661076,48.42735567235158,48.32770857628007,12.43753247303448,19.485048307278287,-0.01495169272176966,-1.9442996763149867,-0.2614144966974419,2.8,9.236100170605994,-2182.0350076593913,6728.227627332838,953.7276210248667,-2338.9397760764696,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10756572760774535,0.0,0.0,1.0067087865164184,65.99961422222222,-110.42235150767272,0.19587791004355015,8.933597056810811,0.0026987355194212715,-62.922719865393674,1.220643147295558,1.0873669091327998,6723.04282959166,5.184797741177876,0.32777013825535833,1307.7031522429772,-353.9755312181106
2025-01-01 00:01:00,0.3054351620059729,0.1591691452555033,0.0030899515334497757,0.005090586033432882,0.0026528190875917215,5.149919222416293e-05,0.01438173168388375,0.24105343032208917,0.0,0.05,0.0,0.0030899515334497757,0.0,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,77.83099701053636,51.666666666666686,46.10666666666668,0.0,48.382054517039414,0.0,0.0,0.0,121.61093282896306,48.382054517039414,48.38205451703942,48.382054517039414,12.43753247303448,19.376815398088386,-0.12318460191167091,-1.5145911449016418,-0.2622782014875224,2.8,9.236100170605994,-2158.5382062729523,6117.913971212431,954.1610600396549,-2317.134765337392,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10725870278460817,0.0,0.0,1.0038353379375367,65.99961422222222,-108.73056086031121,0.1977615083539838,8.90717078015832,0.0026985170796859446,-62.51323473874308,1.2246619143142428,1.0873669091327998,6114.112311278203,3.8016599342276294,0.3277816296521338,1308.1179494848939,-353.95688944523897
2025-01-01 00:02:00,0.3054351620059729,0.1591691452555033,0.0030899515334497757,0.005090586033432882,0.0026528190875917215,5.149919222416293e-05,0.01438173168388375,0.24105343032208917,0.0,0.05,0.0,0.0030899515334497757,0.0,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,78.08119093335905,51.666666666666686,46.10666666666668,0.0,48.36909653041139,0.0,0.0,0.0,122.00186083337351,48.36992791070754,48.37034360085562,48.36909653041139,12.43753247303448,19.271420647379824,-0.22857935262023332,-1.1238284088068664,-0.2629964339465957,2.8,9.236100170605994,-2135.962922156641,5563.043550365191,955.9644914883286,-2295.979041568921,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10695946183012077,0.0,0.0,1.0010347386679759,65.99961422222222,-107.3110005124714,0.1990477599634006,8.857410259473646,0.002698300773653174,-62.113383889717994,1.2251034678455306,1.0873669091327998,5560.371023793989,2.6725265712016935,0.32779118526567513,1308.4629016077488,-352.49841011942016
2025-01-01 00:03:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,78.32396763064527,51.666666666666686,46.10666666666668,0.0,48.35609729422263,0.0,0.0,0.0,122.38119942288323,48.357762322436265,48.35859483654309,48.35609729422263,12.43753247303448,19.168751010766968,-0.33124898923308876,-0.7684578229408977,-0.2633832374526702,2.8,9.236100170605994,12844.26513855941,5058.430189051829,4715.378955628837,-2275.4439681992603,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10666770499791099,0.0,0.0,0.9983041833782572,65.99961422222222,-106.19452942373181,0.2003095228559297,8.809773148120547,0.002698085928632509,-61.72259062053175,1.2255339136697416,1.0873669091327998,5056.783174762979,1.647014288850583,0.3277963313181642,1308.6486822429629,-349.3130659120307
2025-01-01 00:04:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,77.8305254213885,51.666666666666686,46.10666666666668,0.0,48.343058044462275,0.0,0.0,0.0,121.61019597091953,48.34555890788051,48.34680933958963,48.343058044462275,12.43753247303448,19.340409808271826,-0.1595901917282312,-0.44525637121444117,-0.16185727698710445,2.8,9.236100170605994,12797.170543943601,4599.508691032603,4661.547801719704,-2309.8184768609062,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10715536837406184,0.0,0.0,1.0028682300923144,65.99961422222222,-118.91461537789627,0.19816306902663003,8.889473796705088,0.002697872510318729,-62.18098348392837,1.2248148216192245,1.0873669091327998,4598.781498901113,0.7271921314893728,0.32644284132963347,1260.053336119728,-354.5488736979291
2025-01-01 00:05:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,77.3517141044466,51.666666666666686,46.10666666666668,0.0,48.33010135437269,0.0,0.0,0.0,120.8620532881978,48.333432375025474,48.33509788535188,48.33010135437269,12.43753247303448,19.506693194720707,0.0,-0.15129087480126438,-0.06287129725309401,2.8,9.236100170605994,12754.027434714404,4182.114249306886,4611.078796516292,-2343.3101025142655,-0.0,-0.0,267.32711992475095,0.0,1.0,0.1076270943797528,0.0,0.0,1.007283118787059,65.99961422222222,-128.56609895373305,0.19610781124468868,8.96601568260402,0.0026976573807901013,-62.62079403603681,1.2241190581475303,1.0873669091327998,4182.209452941521,-0.09520363463439718,0.325117788063865,1212.9983437491223,-357.96288653073526
2025-01-01 00:06:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,76.8865200081648,51.666666666666686,46.10666666666668,0.0,48.31722478530926,0.0,0.0,0.0,120.13518751275748,48.321380444277196,48.323458273761176,48.31722478530926,12.43753247303448,19.66797664956247,0.0,0.11610552597471012,0.03381255310362501,2.8,9.236100170605994,12712.457276559104,3802.458825229209,4562.7967587924595,-2375.9761982279806,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10808400842378671,0.0,0.0,1.0115593821754225,65.99961422222222,-137.47016139531803,0.1941366035561346,9.040330543317104,0.0026974406064949508,-63.0432934355122,1.2234449763238695,1.0873669091327998,3803.287888633454,-0.829063404244395,0.32381831738537264,1167.348876990325,-360.59545749577006
2025-01-01 00:07:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,76.43418650910574,51.666666666666686,46.10666666666668,0.0,48.304426067469784,0.0,0.0,0.0,119.42841642047773,48.30940099397875,48.31188845723323,48.304426067469784,12.43753247303448,19.824540016568157,0.0,0.3593564177142454,0.12837943082578854,2.8,9.236100170605994,12672.105782093924,3457.099982516157,4516.48953265205,-2407.8568805106715,-0.0,-0.0,267.32711992475095,0.0,1.0,0.1085269582616118,0.0,0.0,1.0157049544096441,65.99961422222222,-145.9409735778084,0.19224377274217677,9.111873897217086,0.0026972222493923306,-63.4494474409037,1.2227913377947492,1.0873669091327998,3458.5823946559944,-1.4824121398372334,0.3225422350645802,1122.9981000482187,-362.55190669407335
2025-01-01 00:08:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,75.99407195619996,51.666666666666686,46.10666666666668,0.0,48.291703057093514,0.0,0.0,0.0,118.74073743156244,48.29749202036033,48.30038650199375,48.291703057093514,12.43753247303448,19.976620410955103,0.0,0.5806642760988261,0.22099094732566776,2.8,9.236100170605994,12632.860140656296,3142.909332098477,4471.964896246766,-2438.9852487486064,-0.0,-0.0,267.32711992475095,0.0,1.0,0.1089566654662296,0.0,0.0,1.0197265886991054,65.99961422222222,-154.0582467775015,0.19042440694830376,9.18150933353278,0.0026970023680584847,-63.840082084693734,1.2221570895590268,1.0873669091327998,3144.9718911136883,-2.0625590152112654,0.3212876261614656,1079.8526994044505,-363.93114245558866
2025-01-01 00:09:00,1.1925393286726398,0.1591691452555033,0.7634649515334498,0.01987565547787733,0.0026528190875917215,0.012724415858890831,0.01438173168388375,0.24105343032208917,0.8871041666666668,0.05,0.0,0.0030899515334497757,0.760375,0.0,0.14458581192216996,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004021034356725146,0.0,On,0.00035092111150695907,0.0,On,0.010009776215651646,0,On,0.0048843996447482585,0,On,0.1531386884142376,0.11485401631067818,On,0.04338794811444759,0,On,0.0030899515334497757,On,On,14958.576516257652,20.000000000000057,0.8,3756.0433392979044,22.28439461111111,0.8871041666666668,1,17827.51568888889,17827.51568888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,9526.862608888889,Off,0.0,0,75.56561082047904,51.666666666666686,46.10666666666668,0.0,48.279053717315584,0.0,0.0,0.0,118.07126690699849,48.28565161962585,48.28895057078099,48.279053717315584,12.43753247303448,20.12442667976446,0.0,0.7820306337333462,0.31178796862500174,2.8,9.236100170605994,12594.707628042483,2857.0438861376606,4429.049944592965,-2469.390051725433,-0.0,-0.0,267.32711992475095,0.0,1.0,0.10937376720099055,0.0,0.0,1.0236302482623663,65.99961422222222,-161.80595641448843,0.1886741414629499,9.24937229198612,0.0026967810181853535,-64.21592951935878,1.2215413024387682,1.0873669091327998,2859.620050129799,-2.5761639921385875,0.32005282379228533,1037.8311481584096,-364.82454286334894
