Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,6.946155155114713,0.12302540233488835,0.0,0.11576925258524522,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,6.590553706324786,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,On,6590.553706324786,21.111111111111143,1.0,0.0,6.484784475555555,0.10576923076923077,1,6484.784475555555,6484.784475555555,Off,0.0,0.0,33.78569313852131,51.666666666666686,46.10666666666668,0.0,50.360602464744986,0.7233530988193588,1912.451578778653,0.0,33.78569313852131,50.410228441936646,50.43504143053248,50.360602464744986,12.43753247303448,21.239272370694135,0.0,2.8,5986.838675936048,-905.9412479232438,-0.0,-0.0,335.49237346205086,0.0,1.0,0.03769976146962844,0.0,0,0.5264582867318063,65.99961422222222,-33.26615592754513,0.18026938599611406,9.811689745437963,0.0027682550040441342,4.470286434976508,1.2133185973773684
2025-01-01 00:01:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,33.38586620952424,51.666666666666686,46.10666666666668,0.0,50.315306960001195,0.7242181085556167,1912.451578778653,0.0,33.38586620952424,50.13709034620616,50.315306960001195,50.04798203930864,12.43753247303448,21.316513110970295,0.0,2.8,-622.6258408092204,-911.4804090143988,-0.0,-0.0,335.49237346205086,0.0,1.0,0.037772043364858676,0.0,0,0.5274676671957992,65.99961422222222,-46.63780525687267,0.17994295136961364,9.870778423866664,0.0027682782993701683,4.372646105272082,1.2165436489151908
2025-01-01 00:02:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,33.19657326854076,51.666666666666686,46.10666666666668,0.0,50.270019971887585,0.7250850263567477,1912.4515787786527,0.0,33.19657326854076,49.86400836283545,50.270019971887585,49.66100255830938,12.43753247303448,21.212855502493515,0.0,2.8,-621.2181570207096,-904.0498926910052,-0.0,-0.0,335.49237346205086,0.0,1.0,0.03767502958875321,0.0,0,0.5261129184025207,65.99961422222222,-52.660637791755136,0.1810922768068803,9.824024975263463,0.002768301025471028,4.4972258334663096,1.216972028684351
2025-01-01 00:03:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,33.0040542522313,51.666666666666686,46.10666666666668,0.0,50.22471021903984,0.72595445946336,1912.4515787786524,0.0,33.0040542522313,49.590952945143115,50.22471021903984,49.27407430819476,12.43753247303448,21.111995800550858,0.0,2.8,-620.9522252733301,-896.8431260683975,-0.0,-0.0,335.49237346205086,0.0,1.0,0.03758055173050372,0.0,0,0.5247935824319686,65.99961422222222,-59.60147266698354,0.18221859562899578,9.778706271554022,0.002768324390826695,4.618415206152058,1.2173891344828311
2025-01-01 00:04:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,32.80848478993903,51.666666666666686,46.10666666666668,0.0,50.179378191977264,0.7268264090613649,1912.4515787786524,0.0,32.80848478993903,49.31792454588183,50.179378191977264,48.88719772283412,12.43753247303448,21.01378350635535,0.0,2.8,-615.4570400965985,-889.847533086284,-0.0,-0.0,335.49237346205086,0.0,1.0,0.037488475404774214,0.0,0,0.5235077826602336,65.99961422222222,-61.10188047236539,0.18332301061897788,9.733996027782535,0.0027683483776010133,4.736392730484312,1.2177955658684072
2025-01-01 00:05:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,32.6098316305995,51.666666666666686,46.10666666666668,0.0,50.13402435510665,0.7277008768100601,1912.4515787786527,0.0,32.6098316305995,49.04492359315611,50.13402435510665,48.50037321218085,12.43753247303448,20.918247628213432,0.0,2.8,-606.2117174254877,-883.0634427726491,-0.0,-0.0,335.49237346205086,0.0,1.0,0.0373988340843417,0.0,0,0.5222559865178813,65.99961422222222,-58.640648114889466,0.1844046423947363,9.691411848455818,0.002768372968908112,4.8511164772577615,1.2181911810132513
2025-01-01 00:06:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,32.408106660114754,51.666666666666686,46.10666666666668,0.0,50.088649177768836,0.728577864246929,1912.4515787786527,0.0,32.408106660114754,48.77195051973701,50.088649177768836,48.1136011907211,12.43753247303448,20.825378384131984,0.0,2.8,-596.2971234036512,-876.48846045634,-0.0,-0.0,335.49237346205086,0.0,1.0,0.03731162472471344,0.0,0,0.5210381514900957,65.99961422222222,-55.30103640936195,0.18546305374267882,9.64945796383103,0.0027683981476802205,4.9625924128537235,1.2185759991274154
2025-01-01 00:07:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,32.203415496803245,51.666666666666686,46.10666666666668,0.0,50.043253127529894,0.7294573729161608,1912.4515787786527,0.0,32.203415496803245,48.499005756727485,50.043253127529894,47.72688207132628,12.43753247303448,20.735085427817058,0.0,2.8,-586.4261917826517,-870.1145646788908,-0.0,-0.0,335.49237346205086,0.0,1.0,0.03722676834265738,0.0,0,0.5198531746156007,65.99961422222222,-51.80400056581169,0.18649874435226177,9.608096672304585,0.002768423896912386,5.070926132823679,1.2189503742426446
2025-01-01 00:08:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,31.995880100940894,51.666666666666686,46.10666666666668,0.0,49.99783665624952,0.730339404639485,1912.4515787786524,0.0,31.995880100940894,48.22608972040784,49.99783665624952,47.34021625248701,12.43753247303448,20.647264352180382,0.0,2.8,-577.0164992186787,-863.932861482991,-0.0,-0.0,335.49237346205086,0.0,1.0,0.037144172304194784,0.0,0,0.5186997623072792,65.99961422222222,-48.576011197738424,0.18751241084661951,9.568755822639528,0.0027684502001710113,5.1762410666036445,1.2193147202032533
2025-01-01 00:09:00,0.3556014487899269,0.12302540233488835,0.0,0.005926690813165448,0.002050423372248139,0.0,0.05585476418306792,0.0,0.29974668460685894,0.0,0.0,0.0,0.12302540233488835,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.005118174342105263,0.0,On,0.05073658984096266,0,On,0.05863196362772206,0,On,0.128969119297322,0.09672683947299146,On,0.04016297516219953,0,On,0.03691787603708616,0,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,6484.784475555555,Off,0.0,0.0,31.785629176535394,51.666666666666686,46.10666666666668,0.0,49.95240019765228,0.7312239615667391,1912.4515787786527,0.0,31.785629176535394,47.953202809942304,49.95240019765228,46.95360411608732,12.43753247303448,20.5618049369782,-0.049306174132944136,2.8,-568.0045129383036,-857.9341714721461,-0.0,-0.0,335.49237346205086,0.0,1.0,0.03706373805943726,0.0,0,0.5175765383652995,65.99961422222222,-45.56271492820835,0.18850485481067125,9.529901608946371,0.0027684770416828088,5.278668321696436,1.2196694765266656
