Time,Ambient Dry Bulb (C),Ambient Relative Humidity (-),Ambient Pressure (kPa),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Wind Speed (m/s),Sky Temperature (C),Mains Temperature (C),Ground Temperature (C),Ambient Humidity Ratio (-),Ambient Wet Bulb (-),apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,dni_extraterrestrial,airmass,Exterior Wall Irradiance (W),"Exterior Wall Irradiance - 315 deg, poa_global (W/m^2)","Exterior Wall Irradiance - 315 deg, poa_direct (W/m^2)","Exterior Wall Irradiance - 315 deg, poa_diffuse (W/m^2)","Exterior Wall Irradiance - 315 deg, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - 315 deg, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - 135 deg, poa_global (W/m^2)","Exterior Wall Irradiance - 135 deg, poa_direct (W/m^2)","Exterior Wall Irradiance - 135 deg, poa_diffuse (W/m^2)","Exterior Wall Irradiance - 135 deg, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - 135 deg, poa_ground_diffuse (W/m^2)",Roof Irradiance (W),"Roof Irradiance - North, poa_global (W/m^2)","Roof Irradiance - North, poa_direct (W/m^2)","Roof Irradiance - North, poa_diffuse (W/m^2)","Roof Irradiance - North, poa_sky_diffuse (W/m^2)","Roof Irradiance - North, poa_ground_diffuse (W/m^2)",Rim Joist Irradiance (W),"Rim Joist Irradiance - 315 deg, poa_global (W/m^2)","Rim Joist Irradiance - 315 deg, poa_direct (W/m^2)","Rim Joist Irradiance - 315 deg, poa_diffuse (W/m^2)","Rim Joist Irradiance - 315 deg, poa_sky_diffuse (W/m^2)","Rim Joist Irradiance - 315 deg, poa_ground_diffuse (W/m^2)","Rim Joist Irradiance - 135 deg, poa_global (W/m^2)","Rim Joist Irradiance - 135 deg, poa_direct (W/m^2)","Rim Joist Irradiance - 135 deg, poa_diffuse (W/m^2)","Rim Joist Irradiance - 135 deg, poa_sky_diffuse (W/m^2)","Rim Joist Irradiance - 135 deg, poa_ground_diffuse (W/m^2)",Window Irradiance (W),"Window Irradiance - 315 deg, poa_global (W/m^2)","Window Irradiance - 315 deg, poa_direct (W/m^2)","Window Irradiance - 315 deg, poa_diffuse (W/m^2)","Window Irradiance - 315 deg, poa_sky_diffuse (W/m^2)","Window Irradiance - 315 deg, poa_ground_diffuse (W/m^2)","Window Irradiance - 135 deg, poa_global (W/m^2)","Window Irradiance - 135 deg, poa_direct (W/m^2)","Window Irradiance - 135 deg, poa_diffuse (W/m^2)","Window Irradiance - 135 deg, poa_sky_diffuse (W/m^2)","Window Irradiance - 135 deg, poa_ground_diffuse (W/m^2)",Door Irradiance (W),"Door Irradiance - 135 deg, poa_global (W/m^2)","Door Irradiance - 135 deg, poa_direct (W/m^2)","Door Irradiance - 135 deg, poa_diffuse (W/m^2)","Door Irradiance - 135 deg, poa_sky_diffuse (W/m^2)","Door Irradiance - 135 deg, poa_ground_diffuse (W/m^2)",Horizontal Irradiance (W/m^2),Occupancy (Persons),MELs (kW),TV (kW),Ceiling Fan (kW),Indoor Lighting (kW),Cooking Range (kW),Cooking Range (therms/hour),Water Heating (L/min),Water Heating Setpoint (C),Refrigerator (kW),Exterior Lighting (kW),HVAC Heating Setpoint (C)
2025-01-01 10:01:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.8696273599684,74.93036342010053,15.130372640031595,15.069636579899463,148.40560491017925,-3.7926736613662797,1413.981805,3.781728252272532,6399.548145897926,50.29069766542274,0.0,50.29069766542274,34.39069766542274,15.899999999999999,561.7773726371707,422.6853388225668,139.09203381460392,123.19203381460393,15.899999999999999,10533.717294110937,181.99677256622164,116.99677256622165,65.0,65.0,0.0,813.1406771780386,50.29069766542274,0.0,50.29069766542274,34.39069766542274,15.899999999999999,561.7773726371707,422.6853388225668,139.09203381460392,123.19203381460393,15.899999999999999,964.0249387673873,42.94825580627102,-0.0,42.94825580627102,34.39069766542274,15.899999999999999,536.7544302477086,417.96983337003684,118.78459687767175,123.19203381460393,15.899999999999999,1043.8165144241195,561.7773726371707,422.6853388225668,139.09203381460392,123.19203381460393,15.899999999999999,181.99677256622164,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:02:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.77860851020348,74.83898159996654,15.221391489796511,15.161018400033457,148.62442376991999,-3.792999518867873,1413.981805,3.7602648849123437,6391.260538022647,50.27665146037314,0.0,50.27665146037314,34.37665146037314,15.899999999999999,560.9895600087007,422.11562820129535,138.8739318074053,122.97393180740532,15.899999999999999,10573.82023423001,182.6896529111468,117.6896529111468,65.0,65.0,0.0,812.0753969150655,50.27665146037314,0.0,50.27665146037314,34.37665146037314,15.899999999999999,560.9895600087007,422.11562820129535,138.8739318074053,122.97393180740532,15.899999999999999,962.5839871295835,42.93626034715866,-0.0,42.93626034715866,34.37665146037314,15.899999999999999,535.8999299334058,417.3015921698817,118.59833776352413,122.97393180740532,15.899999999999999,1042.3527106614142,560.9895600087007,422.11562820129535,138.8739318074053,122.97393180740532,15.899999999999999,182.6896529111468,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:03:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.6881540519789,74.74817031979198,15.311845948021109,15.251829680208024,148.84359186734048,-3.7933253736264305,1413.981805,3.7391801048487174,6382.878955701453,50.26254350119338,0.0,50.26254350119338,34.36254350119338,15.899999999999999,560.1926991484755,421.5395361414949,138.6531630069806,122.7531630069806,15.899999999999999,10613.655627572598,183.37791070465244,118.37791070465242,65.0,65.0,0.0,810.998013913114,50.26254350119338,0.0,50.26254350119338,34.36254350119338,15.899999999999999,560.1926991484755,421.5395361414949,138.6531630069806,122.7531630069806,15.899999999999999,961.1298935803974,42.924212150019144,-0.0,42.924212150019144,34.36254350119338,15.899999999999999,535.0375796556316,416.6277784476702,118.40980120796144,122.7531630069806,15.899999999999999,1040.8720947339757,560.1926991484755,421.5395361414949,138.6531630069806,122.7531630069806,15.899999999999999,183.37791070465244,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:04:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.59826634999594,74.65793181805262,15.401733650004067,15.342068181947381,149.06310855844526,-3.7936512255109847,1413.981805,3.718465833259637,6374.405077975854,50.24837938978268,0.0,50.24837938978268,34.34837938978268,15.899999999999999,559.3869464114435,420.9570735933569,138.42987281808664,122.52987281808663,15.899999999999999,10653.222716228704,184.0615328519146,119.0615328519146,65.0,65.0,0.0,809.9087433340381,50.24837938978268,0.0,50.24837938978268,34.34837938978268,15.899999999999999,559.3869464114435,420.9570735933569,138.42987281808664,122.52987281808663,15.899999999999999,959.6629445082995,42.912115998874405,-0.0,42.912115998874405,34.34837938978268,15.899999999999999,534.1675468459977,415.9484354593517,118.21911138664599,122.52987281808663,15.899999999999999,1039.374957158804,559.3869464114435,420.9570735933569,138.42987281808664,122.52987281808663,15.899999999999999,184.0615328519146,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:05:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.50894776165035,74.56826832961423,15.49105223834965,15.431731670385767,149.2829731673765,-3.793977074637951,1413.981805,3.6981142315446403,6365.840509628618,50.23416458018005,0.0,50.23416458018005,34.33416458018005,15.899999999999999,558.5724511195549,420.36825162953795,138.20419949001692,122.30419949001691,15.899999999999999,10692.520747312743,184.74050634491888,119.74050634491888,65.0,65.0,0.0,808.8077907998246,50.23416458018005,0.0,50.23416458018005,34.33416458018005,15.899999999999999,558.5724511195549,420.36825162953795,138.20419949001692,122.30419949001691,15.899999999999999,958.1834138020488,42.89997655147376,-0.0,42.89997655147376,34.33416458018005,15.899999999999999,533.2899915458646,415.2636051813901,118.02638636447445,122.30419949001691,15.899999999999999,1037.861575385161,558.5724511195549,420.36825162953795,138.20419949001692,122.30419949001691,15.899999999999999,184.74050634491888,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:06:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.42020057696031,74.47918202530295,15.579799423039688,15.520817974697055,149.50318513577582,-3.7943029211455723,1413.981805,3.678117679302862,6357.186779154752,50.219904374059325,0.0,50.219904374059325,34.31990437405933,15.899999999999999,557.7493553701424,419.7730810390883,137.97627433105413,122.07627433105412,15.899999999999999,10731.548999363811,185.4148187185922,120.41481871859219,65.0,65.0,0.0,807.6953521320394,50.219904374059325,0.0,50.219904374059325,34.31990437405933,15.899999999999999,557.7493553701424,419.7730810390883,137.97627433105413,122.07627433105412,15.899999999999999,956.6915623080174,42.88779833544666,-0.0,42.88779833544666,34.31990437405933,15.899999999999999,532.4050660838589,414.5733278051386,117.83173827872022,122.07627433105412,15.899999999999999,1036.332213438531,557.7493553701424,419.7730810390883,137.97627433105413,122.07627433105412,15.899999999999999,185.4148187185922,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:07:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.3320272571803,74.39067525130474,15.667972742819707,15.609324748695265,149.72374342920978,-3.7946287645972916,1413.981805,3.658468819753875,6348.445365783444,50.20560396413142,0.0,50.20560396413142,34.30560396413142,15.899999999999999,556.9177966074317,419.17157393464515,137.7462226727865,121.8462226727865,15.899999999999999,10770.306677408234,186.08445623774122,121.08445623774124,65.0,65.0,0.0,806.5716168257741,50.20560396413142,0.0,50.20560396413142,34.30560396413142,15.899999999999999,556.9177966074317,419.17157393464515,137.7462226727865,121.8462226727865,15.899999999999999,955.1876423017959,42.87558578536823,-0.0,42.87558578536823,34.30560396413142,15.899999999999999,531.5129177277437,413.87764356518403,117.63527416255967,121.8462226727865,15.899999999999999,1034.7871266986417,556.9177966074317,419.17157393464515,137.7462226727865,121.8462226727865,15.899999999999999,186.08445623774122,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:08:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.24443007698939,74.30275016986792,15.755569923010608,15.697249830132082,149.9446474246712,-3.794954605262319,1413.981805,3.6391604712750385,6339.617668042722,50.19126838140547,0.0,50.19126838140547,34.29126838140547,15.899999999999999,556.0779046336886,418.5637413531929,137.51416328049567,121.61416328049566,15.899999999999999,10808.793070296135,186.74940661544213,121.74940661544211,65.0,65.0,0.0,805.4367640088515,50.19126838140547,0.0,50.19126838140547,34.29126838140547,15.899999999999999,556.0779046336886,418.5637413531929,137.51416328049567,121.61416328049566,15.899999999999999,953.671891892743,42.86334319772027,-0.0,42.86334319772027,34.29126838140547,15.899999999999999,530.6136853647137,413.1765899231704,117.43709544154329,121.61416328049566,15.899999999999999,1033.226556345995,556.0779046336886,418.5637413531929,137.51416328049567,121.61416328049566,15.899999999999999,186.74940661544213,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:09:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.15741136300109,74.21540899861293,15.842588636998908,15.784591001387078,150.16589631961477,-3.795280443126103,1413.981805,3.6201856737735185,6330.705030182913,50.176902537983274,0.0,50.176902537983274,34.276902537983275,15.899999999999999,555.2298041233587,417.9495948490332,137.28020927432544,121.38020927432545,15.899999999999999,10847.00744577923,187.40965720024235,122.40965720024235,65.0,65.0,0.0,804.290965838745,50.176902537983274,0.0,50.176902537983274,34.276902537983275,15.899999999999999,555.2298041233587,417.9495948490332,137.28020927432544,121.38020927432545,15.899999999999999,952.144539413381,42.851074767437716,-0.0,42.851074767437716,34.276902537983275,15.899999999999999,529.7075021043486,412.47020338407464,117.23729872027393,121.38020927432545,15.899999999999999,1031.650734033291,555.2298041233587,417.9495948490332,137.28020927432544,121.38020927432545,15.899999999999999,187.40965720024235,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
2025-01-01 10:10:00,0.0,0.89,103.0,159,450,65,3.1,-16.238101540333275,12.43753247303448,9.236100170605994,0.00330182942638777,-0.623816007256184,74.07097343413996,74.1286539505709,15.929026565860045,15.871346049429102,150.38748927893806,-3.795606278174091,1413.981805,3.6015376679750033,6321.7087394959,50.1625112218925,0.0,50.1625112218925,34.2625112218925,15.899999999999999,554.3736143689728,417.3291460977897,137.0444682711831,121.14446827118309,15.899999999999999,10884.949076714087,188.06519542888867,123.06519542888867,65.0,65.0,0.0,803.1343871581485,50.1625112218925,0.0,50.1625112218925,34.2625112218925,15.899999999999999,554.3736143689728,417.3291460977897,137.0444682711831,121.14446827118309,15.899999999999999,950.6058027961925,42.83878458349619,-0.0,42.83878458349619,34.2625112218925,15.899999999999999,528.7944949082718,411.75851900468143,117.03597590359036,121.14446827118309,15.899999999999999,1030.059881413305,554.3736143689728,417.3291460977897,137.0444682711831,121.14446827118309,15.899999999999999,188.06519542888867,0.0,0.09535102594909561,0.003447323629633531,0.024546943133263232,0.005364751399166754,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.001711277412280702,18.33333333333337
