Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.8711391522679175,0.20461125921726606,0.5277423423423424,0.8711391522679175,0.20461125921726603,0.5277423423423424,0.02742884207987788,0.2597834872713728,0.5339268229166668,0.05,0.0,0.5277423423423424,0.0,0.19002792588393272,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.005773848684210526,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,11620.863398315423,18.33333333333337,0.33916666666666667,3219.6716297864305,15.466603465065067,0.5339268229166668,0.36666666666666664,14306.608205185186,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,83.45533108440503,51.66666666666668,46.10666666666668,0.0,49.30935169128134,0.0,0.0,0.0,130.39895481938285,49.228508960460225,49.30935169128134,49.18808759504967,12.43753247303448,17.98653138841853,-0.07100034520526967,8.225436564294721,1.7984305586325393,0.23031293513581652,2.8,9.236100170605994,8365.666530406188,-4017.9518322571835,469.9887974371277,1304.3950773707263,-3280.308389515761,0.0,0.0,338.5521803679429,0.0,1.0,0.16571032816224085,0.0,0.0,0.7955898051695224,65.99961422222222,-313.44065876141724,0.20943324484673276,8.161767332761963,0.0026188091748870924,-83.07858778108331,1.2305111979903012,1.0417766651237808,-7366.399248465977,128.77578642236256,0.3624556363775999,471.4893776912008,-1.5005802540731135,0.5370821583987861,1808.4168116583444,-504.02173428761796
2025-01-01 01:00:00,0.8210686770533979,0.20378728335736326,0.47976576576576585,0.8210686770533979,0.20378728335736326,0.47976576576576585,0.02699580342856209,0.25868485279150244,0.48538802083333343,0.05,0.0,0.47976576576576585,0.0,0.18920395002402993,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042846744714944256,0.03213505853620819,0.0,0.0,0.005340810032894736,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,10564.421271195839,18.33333333333337,0.30833333333333335,2926.9742088967546,14.060548604604605,0.48538802083333343,0.3333333333333333,13006.007459259261,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,81.19093416457036,51.66666666666668,46.10666666666668,0.0,48.48546196482204,0.0,0.0,0.0,126.86083463214119,48.45894750365868,48.48546196482204,48.445690273077005,12.43753247303448,18.062872651218314,-0.05213783810434768,8.553948377981943,2.858553858737415,1.6148354495762327,2.5,9.236100170605994,7431.849864690031,-3324.9390859101027,-170.42893564809825,112.75801838891044,-3146.930888024546,0.0,0.0,337.0205072367566,0.0,1.0,0.1551841595039953,0.0,0.0,0.7450527471305333,65.99961422222222,-322.66102571801855,0.20779124262501886,8.188763197129322,0.0026106280908484414,-63.08830518683597,1.2302544001433227,0.8253975904623536,-6367.568728986414,115.65543417955557,0.3624556363775999,-169.6513971350208,-0.7775385130774685,0.37939876968752695,520.9785528014883,-408.2205344125778
2025-01-01 02:00:00,0.9170476467401942,0.2029633074974605,0.575718918918919,0.9170476467401942,0.2029633074974605,0.575718918918919,0.02699580342856209,0.2575862183116321,0.5824656250000001,0.05,0.0,0.575718918918919,0.0,0.18837997416412716,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.005340810032894736,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,12677.305525435007,18.33333333333337,0.37000000000000005,3512.369050676106,16.872658325525528,0.5824656250000001,0.4,15607.20895111111,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,79.27947446899755,51.66666666666668,46.10666666666668,0.0,47.68330050878645,0.0,0.0,0.0,123.87417885780869,47.708278802511934,47.72076794937468,47.68330050878645,12.43753247303448,18.026068093146808,-0.06588831098751656,9.199745905177027,2.3723649636066564,2.0397265711089387,1.6500000000000001,9.236100170605994,9574.900198574498,-2165.9101156256106,-342.05569408896946,-558.7804098081926,-3130.646063868169,0.0,0.0,335.92187275688644,0.0,1.0,0.14598563433875877,0.0,0.0,0.7008898218305938,65.99961422222222,-307.681135749226,0.20790366400962246,8.165729132166026,0.002605918364657766,-22.51411647182225,1.230413548156879,0.5869748285424579,-5779.378341560025,101.09917525830855,0.3624556363775999,-342.8774316478296,0.8217375588601109,0.2469403857860119,-129.1363833592333,-429.6440264489594
2025-01-01 03:00:00,0.7700439135761133,0.2021393316375577,0.43178918918918924,0.7700439135761133,0.2021393316375577,0.4317891891891893,0.026707110994351566,0.2564875838317617,0.4368492187500001,0.05,0.0,0.43178918918918924,0.0,0.18755599830422437,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04064947575520353,0.030487106816402636,0.0,0.0,0.005052117598684211,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,9507.979144076255,18.33333333333337,0.2775,2634.2767880070796,12.654493744144144,0.4368492187500001,0.3,11705.406713333334,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,77.28244256679254,51.66666666666668,46.10666666666668,0.0,46.94630124352026,0.0,0.0,0.0,120.75381651061335,46.976827006596444,46.992089888134544,46.94630124352026,12.43753247303448,18.042092692165753,-0.05624779976252097,9.070669024317052,2.0003021626321105,1.9856161183850958,1.6500000000000001,9.236100170605994,6281.670860378717,-4004.3357316830998,-167.5264790682719,-555.6420938383629,-3255.064843818858,0.0,0.0,334.5345458428054,0.0,1.0,0.15182173077869474,0.0,0.0,0.7289094322018511,65.99961422222222,-305.7779857214847,0.20747756672074258,8.170295232675555,0.0026032488381011664,-79.38180598268607,1.2303476792520407,0.7093122291069681,-6752.6342812808725,114.02176159069359,0.3624556363775999,-168.8110949775595,1.2846159092875957,0.3101570581679321,-90.11780353787837,-465.52429030048455
2025-01-01 04:00:00,0.914561685346243,0.20131535577765494,0.6248109730799843,0.914561685346243,0.20131535577765494,0.6248109730799843,0.026707110994351566,0.2553889493518913,0.5824656250000001,0.05,0.049092054161065365,0.575718918918919,0.0,0.1867320224443216,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.005052117598684211,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,12677.305525435007,18.33333333333337,0.37000000000000005,3512.369050676106,16.872658325525528,0.5824656250000001,0.4,15607.20895111111,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,1113.6702222222223,0.0,78.90013883348954,51.66666666666668,46.10666666666668,0.0,47.49927897772822,0.0,0.0,1113.6702222222223,123.28146692732737,47.536758294154914,47.55549795236827,47.49927897772822,12.43753247303448,18.04976390930061,-0.06003807838680224,8.77233048652028,1.8423338141032588,2.005539805152737,0.55,9.236100170605994,9115.857237083428,-2834.3638643393065,-615.7198494586211,-1022.9729382889775,-3597.0299233835935,0.0,0.0,333.43591136293503,0.0,1.0,0.15636554624535756,0.0,0.0,0.7507246883898012,65.99961422222222,-297.8542763309196,0.20644878199611635,8.157932468031825,0.002592726254103827,-2.5462423887749,1.2297458438984985,0.6449330505831365,-6468.972416106445,122.23950109103276,0.3624556363775999,-617.3530320626431,1.6331826040220399,0.33280528441542695,-562.3934646973875,-460.57947359159
2025-01-01 05:00:00,0.9843807372418445,0.22402326936019143,0.5839009279457632,0.9843807372418445,0.22402326936019143,0.5839009279457632,0.05851512528329896,0.29339998695854536,0.5824656250000001,0.05,0.008182009026844229,0.575718918918919,0.0,0.20943993602685806,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.005629502467105263,0.0,0.0010617609220233077,0.0,0.051823861894170396,0.0,0.014146738922734482,0.0,0.23970240676047772,0.17977680507035823,0.0,0.0,12677.305525435007,18.33333333333337,0.37000000000000005,3512.369050676106,16.872658325525528,0.5824656250000001,0.4,15607.20895111111,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,185.6117037037037,0.0,86.80496158379631,51.66666666666668,46.10666666666668,0.0,51.831127999978996,0.25078148536063233,686.3257670176712,185.6117037037037,135.63275247468175,50.47445650925913,51.837592765979984,49.78965599789821,12.43753247303448,17.99786238243312,-0.06522665378874208,8.992079833031086,0.3153021269934398,1.3378116954150507,-0.25000000000000006,9.236100170605994,9033.605484789217,-3183.4868614208813,-403.5962187162386,-1121.7384141743687,-3750.71136756924,0.0,0.0,401.13555799083315,0.0,1.0,0.1560899457508851,0.0,0.0,0.7494015062675178,65.99961422222222,-294.1242310673823,0.20767476595913514,8.139177845723468,0.002601045532975002,22.212380002501856,1.229341424641749,0.5748180286286036,-6812.230842526054,116.37493042906695,0.3624556363775999,-406.4154899042627,2.819271188024163,0.28910879163944103,-584.3862250234689,-537.3521891508998
2025-01-01 06:00:00,1.0250662374836956,0.2537591634190114,0.5130515406653872,1.0250662374836956,0.2537591634190114,0.5130515406653872,0.16415156575128265,0.34979605194074626,0.46111861979166674,0.05,0.0572740631879096,0.45577747747747754,0.0,0.23917583008567803,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.006351233552631579,0.0,0.003168086472067054,0.0,0.15463224572658402,0.0,0.03089494515984209,0.0,0.2771529965458302,0.2078647474093726,0.0,0.0,10036.200207636048,18.33333333333337,0.29291666666666666,2780.625498451917,13.357521174374375,0.46111861979166674,0.31666666666666665,12355.707086296296,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,1299.2819259259259,0.0,83.50243530227564,51.66666666666668,46.10666666666668,0.0,51.00673911479505,0.24499081762358985,661.8218770735963,1299.2819259259259,130.47255515980567,49.206760387546,51.00673911479505,48.30677102392148,12.43753247303448,18.036603639274194,-0.059842828695926956,8.521024654349894,0.6448137259233753,1.101181935205431,0.3,9.236100170605994,6657.178739760062,-4332.419208387885,-357.3596441283551,-814.3964196095192,-3632.0752324088385,0.0,0.0,560.546522156043,0.0,1.0,0.15581073618171085,0.0,0.0,0.7480609966613615,65.99961422222222,-307.4927576231891,0.2066489778405432,8.149735129018437,0.0025944220596465306,-75.43490934658111,1.2291829381991808,0.6717648950441902,-7243.442932167581,130.39822532777828,0.3624556363775999,-359.19506514112123,1.8354210127660986,0.29667749303477614,-310.4015068345126,-503.99491277500664
2025-01-01 07:00:00,0.9501451241749987,0.21669885629350857,0.5517306306306308,0.9501451241749987,0.21669885629350855,0.5517306306306308,0.059605447797572236,0.28234345241909314,0.5581962239583335,0.05,0.0,0.5517306306306308,0.0,0.2021155229601752,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.00591819490131579,0.0,0.0010778548894875316,0.0,0.052609398006768913,0.0,0.012856088472192776,0.0,0.22554198475208576,0.16915648856406426,0.0,0.0,12149.084461875214,18.33333333333337,0.35458333333333336,3366.020340231268,16.169630895295295,0.5581962239583335,0.38333333333333336,14956.908578148148,39018.02237777778,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,88.94406385092347,51.66666666666668,46.10666666666668,0.0,51.32424278488307,0.0,0.0,0.0,138.97509976706795,51.3521132161278,51.36604843175017,51.32424278488307,12.43753247303448,18.051488472282585,-0.04832689481185977,8.33786023903321,0.5028618529800454,0.9010000486193648,-0.55,9.236100170605994,8251.122530610011,-4494.556738856462,-501.19106055910765,-1156.814172975652,-3932.1084656231073,0.0,0.0,338.2553905902416,7.045529212025637,0.18325,0.16027402987679734,0.0,0.0,0.7694896607685957,12.09442930622222,-304.1088562323385,0.2059567369288872,8.149522400417899,0.002588201781701637,-25.55300551008867,1.2291245353343674,0.6805556317674246,-7992.960653872243,132.38357478451252,0.3624556363775999,-503.0960087742443,1.9049482151366195,0.32456265422435615,-643.8120792225692,-513.0020937530825
2025-01-01 08:00:00,1.1864408843355072,0.20543523507716882,0.8395900900900901,1.1864408843355072,0.20543523507716882,0.8395900900900902,0.02612972612593051,0.26088212175124315,0.8494290364583336,0.05,0.0,0.8395900900900901,0.0,0.19085190174383548,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.004474732730263157,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,18487.737224592718,19.500000000000057,0.5395833333333333,5122.204865569321,24.605960058058063,0.8494290364583336,0.5833333333333334,22760.513053703704,39018.02237777778,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,84.03941015519668,51.66666666666668,46.10666666666668,0.0,50.51279267595559,0.0,0.0,0.0,131.3115783674948,50.54171580166821,50.55617736452452,50.51279267595559,12.43753247303448,19.077302826918,-0.1345205160679141,8.110712936227431,-0.2575956615114673,0.4217324151555133,-1.4,9.236100170605994,13879.58843024734,-3882.103508685549,-544.9700163510713,-1383.3511379670706,-4635.363256477628,0.0,0.0,272.35208467164364,503.78088085086523,0.0,0.17116204553958683,0.0,0.0,0.8217639779817049,0.0,-245.13762253939257,0.19358584337645662,8.640456815635293,0.002592277316781658,121.4950472628271,1.2253838778311608,0.727017300493209,-9140.752984502664,136.44461024779338,0.3624556363775999,-547.3938045718949,2.4237882208234587,0.35873467083549215,-865.991910255144,-517.3592277119265
2025-01-01 09:00:00,0.9671501976578756,0.20543523507716882,0.6236954954954955,0.9671501976578756,0.20543523507716882,0.6236954954954956,0.025263648823298932,0.26088212175124315,0.6310044270833335,0.05,0.0,0.6236954954954955,0.0,0.19085190174383548,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.003608655427631579,0.0,0.0004347575868417697,0.0,0.021220235808825583,0.0,0.006412919426129103,0.0,0.20942518865042906,0.15706889148782174,0.0,0.0,13733.74765255459,19.500000000000057,0.4008333333333333,3805.0664715657813,18.278713185985985,0.6310044270833335,0.43333333333333335,16907.809697037035,39018.02237777778,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,20675.287675555555,0.0,0.0,81.70327090230417,51.66666666666668,46.10666666666668,0.0,49.735320940047025,0.0,0.0,0.0,127.66136078485026,49.768262681098804,49.78473355162469,49.735320940047025,12.43753247303448,19.178336533929393,-0.06560361917328444,7.872637294359708,-0.3730156774685992,0.45994410250464285,-0.85,9.236100170605994,9578.769352761688,-4307.7270673700605,-359.2682672441458,-996.1885293601619,-4468.6256755651975,0.0,0.0,271.48600736901204,1468.9752204452075,0.0,0.16889773409944417,0.0,0.0,0.8108928203569221,0.0,42.16136840328339,0.19402057976840023,8.717061382689202,0.002613946363973086,283.6668633047979,1.2255575652667943,0.7166694509083118,-8258.985704565208,146.1921656293656,0.3624556363775999,-361.534210612096,2.265943367950191,0.33633409092663147,-609.6950540209498,-386.493475339212
