Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.3360606470706973,1.4978155431031441,0.0,0.03893434411784495,0.024963592385052403,0.0,0.011591796265458561,0.0,0.15788986015540735,2.1165789906498316,0.05,0.0,0.0,0.11605724310910878,1.367174966660702,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4442.512523323933,18.33333333333337,2.2621994179078686,0.0,1.8427623239831648,0.2738166666666667,1,4168.695856657267,4168.695856657267,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,38.09151167329207,51.666666666666686,46.10666666666668,0.0,51.64190117640699,0.0,0.0,0.0,38.09151167329207,50.90377207122293,51.64190117640699,50.53470751863092,12.43753247303448,18.19256130310492,0.0,2.8,3995.06138509841,-753.5228778687663,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03756365980682863,0.0,0,0.4861129129583783,131.99922844444444,11.167486582751621,0.2328090516914369,8.633364806547444,0.0029598632012658426,32.261273579836015,1.2258651358691246
2025-01-01 00:01:00,2.338078764765578,1.4991191183556645,0.0,0.03896797941275963,0.024985318639261074,0.0,0.011591796265458561,0.0,0.15788986015540735,2.118597108344712,0.05,0.0,0.0,0.11605724310910878,1.3684785419132224,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4441.425426975681,18.33333333333337,2.25913537793044,0.0,1.8447804416780456,0.2738166666666667,1,4167.6087603090145,4167.6087603090145,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,38.02429429440446,51.666666666666686,46.10666666666668,0.0,51.63834135782724,0.0,0.0,0.0,38.02429429440446,50.90056457650108,51.63834135782724,50.531676185838,12.43753247303448,18.24711198075295,0.0,2.8,3979.2351392431747,-757.3310908771905,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03762017743523671,0.0,0,0.4868443099819973,131.99922844444444,0.23655008419278545,0.23270261317426738,8.682336550600054,0.002960017403620531,32.13424687536944,1.2292157752480979
2025-01-01 00:02:00,2.3400395161834853,1.5003856386538672,0.0,0.03900065860305809,0.025006427310897788,0.0,0.011591796265458561,0.0,0.15788986015540735,2.1205578597626196,0.05,0.0,0.0,0.11605724310910878,1.3697450622114251,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4440.3700173163015,18.33333333333337,2.2561652743905354,0.0,1.846741193095953,0.2738166666666667,1,4166.553350649635,4166.553350649635,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.95898622263454,51.666666666666686,46.10666666666668,0.0,51.63478767187581,0.0,0.0,0.0,37.95898622263454,50.897362741816806,51.63478767187581,50.52865027678731,12.43753247303448,18.300027348260613,0.0,2.8,3963.613011618871,-761.0323374552336,-0.0,-0.0,294.90425306049144,0.0,2.0,0.037674976895609405,0.0,0,0.48755347212027944,131.99922844444444,-10.628921302688155,0.23194281990214274,8.706891498438392,0.002960170580138144,32.01059034756682,1.2289924865421342
2025-01-01 00:03:00,2.341945137834966,1.501616548640851,0.0,0.0390324189639161,0.025026942477347516,0.0,0.011591796265458561,0.0,0.15788986015540735,2.1224634814141004,0.05,0.0,0.0,0.11605724310910878,1.370975972198409,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4439.34501773955,18.33333333333337,2.2532851152760554,0.0,1.8486468147474338,0.2738166666666667,1,4165.528351072883,4165.528351072883,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.895508092486686,51.666666666666686,46.10666666666668,0.0,51.63123994585215,0.0,0.0,0.0,37.895508092486686,50.89416640639698,51.63123994585215,50.52562963666939,12.43753247303448,18.351375456415706,0.0,2.8,3948.1446037549426,-764.630728680431,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03772813076834973,0.0,0,0.4882413386392953,131.99922844444444,-21.473938364667504,0.23120851214947966,8.731214474988644,0.002960323194936392,31.890111825352005,1.2287758858053175
2025-01-01 00:04:00,2.3437976447236957,1.502813149880411,0.0,0.03906329407872826,0.025046885831340182,0.0,0.011591796265458561,0.0,0.15788986015540735,2.12431598830283,0.05,0.0,0.0,0.11605724310910878,1.3721725734379688,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4438.349277036799,18.33333333333337,2.250491292635526,0.0,1.8504993216361632,0.2738166666666667,1,4164.532610370133,4164.532610370133,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.83378824506404,51.666666666666686,46.10666666666668,0.0,51.627698014233225,0.0,0.0,0.0,37.83378824506404,50.89097541615139,51.627698014233225,50.522614117110486,12.43753247303448,18.40121773933086,0.0,2.8,3937.386097013209,-768.1299661718836,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03777970461353517,0.0,0,0.488908757954785,131.99922844444444,-27.73746691219816,0.23049854905725578,8.754700217370665,0.002960475262137776,31.772686207280525,1.2285657071236007
2025-01-01 00:05:00,2.3456031433467963,1.5039793867800249,0.0,0.039093385722446604,0.025066323113000413,0.0,0.011591796265458561,0.0,0.15788986015540735,2.1261214869259306,0.05,0.0,0.0,0.11605724310910878,1.3733388103375828,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4437.379452641349,18.33333333333337,2.247774092274897,0.0,1.8523048202592638,0.2738166666666667,1,4163.562785974683,4163.562785974683,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.77362790683456,51.666666666666686,46.10666666666668,0.0,51.62416171797672,0.0,0.0,0.0,37.77362790683456,50.88778962302391,51.62416171797672,50.51960357554752,12.43753247303448,18.449724887758304,0.0,2.8,3930.440508397744,-771.5414917626813,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03782987681932889,0.0,0,0.48955803859552527,131.99922844444444,-30.301705541415387,0.22981023691160757,8.777442227609733,0.0029606267953173615,31.657971259394667,1.228361224904032
2025-01-01 00:06:00,2.3473666552759025,1.5051185029545369,0.0,0.03912277758793171,0.025085308382575614,0.0,0.011591796265458561,0.0,0.15788986015540735,2.127884998855037,0.05,0.0,0.0,0.11605724310910878,1.3744779265120948,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,HP On,4436.432795110097,18.33333333333337,2.2451255200126656,0.0,1.8540683321883702,0.2738166666666667,1,4162.61612844343,4162.61612844343,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.71486352009903,51.666666666666686,46.10666666666668,0.0,51.620630916013766,0.0,0.0,0.0,37.71486352009903,50.88460889569611,51.620630916013766,50.51659788553729,12.43753247303448,18.497037342784626,0.0,2.8,3924.7296709177535,-774.8747134318427,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03787879418015056,0.0,0,0.49019108023432045,131.99922844444444,-31.73266382099184,0.22914135695290383,8.799517465945039,0.002960777806522276,31.545685355813486,1.2281618420719305
2025-01-01 00:07:00,0.21948165642086587,0.13064057644244212,0.0,0.0036580276070144312,0.0021773429407073684,0.0,0.011591796265458561,0.0,0.15788986015540735,0.0,0.05,0.0,0.0,0.11605724310910878,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4162.61612844343,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.65741326340876,51.666666666666686,46.10666666666668,0.0,51.6171054820648,0.0,0.0,0.0,37.65741326340876,50.88143311662192,51.6171054820648,50.51359693390048,12.43753247303448,18.543225309232465,0.0,2.8,-516.16144012024,-778.1341579313422,-0.0,-0.0,294.90425306049144,0.0,2.0,0.03792653065333091,0.0,0,0.4908088399561205,131.99922844444444,-32.931535249389135,0.22849072824338473,8.82096468889728,0.002960928306542498,31.435686905024266,1.2279672581404621
2025-01-01 00:08:00,0.21948165642086587,0.13064057644244212,0.0,0.0036580276070144312,0.0021773429407073684,0.0,0.011591796265458561,0.0,0.15788986015540735,0.0,0.05,0.0,0.0,0.11605724310910878,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4162.61612844343,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.73090223492904,51.666666666666686,46.10666666666668,0.0,51.61358529724935,0.0,0.0,0.0,37.73090223492904,50.87826217514505,51.61358529724935,50.51060061409291,12.43753247303448,18.476880102600088,0.0,2.8,-508.3031204786902,-773.4539203347217,-0.0,-0.0,294.90425306049144,0.0,2.0,0.037857955490315356,0.0,0,0.4899214058663244,131.99922844444444,-29.753453204459802,0.22945419843083908,8.790422437417176,0.0029610783055407136,31.549616888980136,1.2282465099471067
2025-01-01 00:09:00,0.21948165642086587,0.13064057644244212,0.0,0.0036580276070144312,0.0021773429407073684,0.0,0.011591796265458561,0.0,0.15788986015540735,0.0,0.05,0.0,0.0,0.11605724310910878,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0035099780701754383,0.0,On,0.008081818195283122,0,On,0.0031468693432622403,0,On,0.09395188292598484,0.07046391219448861,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4162.61612844343,0.0,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5502.7031822222225,Off,0.0,0.0,37.802127219175446,51.666666666666686,46.10666666666668,0.0,51.61005852287952,0.0,0.0,0.0,37.802127219175446,50.87508504553131,51.61005852287952,50.507598306857204,12.43753247303448,18.412474516764018,0.0,2.8,-501.19050165383396,-768.9211302477149,-0.0,-0.0,294.90425306049144,0.0,2.0,0.037791349560758046,0.0,0,0.48905945571013865,131.99922844444444,-27.173624466610384,0.2303942377002547,8.760257076380324,0.0029612288139418733,31.659759127772983,1.228517715690461
