Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,1.2304233304346197,0.2797576342708651,0.5383575,1.2304233304346197,0.2797576342708651,0.5383575,0.21720030232687262,0.38513927810774706,0.62808375,0.0,0.5383575,0.0,0.2797576342708651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.03922759320175439,0.0,0.003030785014354194,0.0,0.11918918554796042,0.0,0.0557527385628036,0.0,0.012129099079926845,0.0,0.31221907114166,0.2341643033562449,0.0,0.0,10187.554701337916,20.5555555555556,0.48000000000000004,3062.6915046620848,15.777703070000001,0.62808375,0.6,12622.162456,21036.937426666667,0.0,0.0,73.3652052265801,51.66666666666668,46.10666666666668,0.0,48.01638673418684,0.0,0.0,0.0,114.6331331665314,47.55494048537464,48.01638673418684,47.32421736096853,12.43753247303448,20.229783779419797,-0.05564129148679052,1.2165679690280982,5.2985404238526135,2.8,9.236100170605994,6533.578878798006,2128.1814908208125,-600.5584828596436,-1946.7861227316055,0.0,0.0,712.4834738991481,0.0,2.0,0.08569433053423013,0.0,0.0,0.33937748280006963,131.99922844444444,-382.16223343987104,0.18120447595216344,9.194289486754089,0.0026062065058848056,40.71790148013517,1.2211114094286029,0.0,0.0,109.19312779885847,0.21747338182655998,-708.1253473462908,107.56686448664722
2025-01-01 01:00:00,1.3829824207473345,0.27861780099799965,0.6729468749999999,1.3829824207473342,0.2786178009979996,0.672946875,0.21425823283674103,0.38361950041059306,0.7851046875000002,0.0,0.6729468749999999,0.0,0.27861780099799965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927133018900624,0.044453497641754665,0.0,0.0,0.03628552371162281,0.0,0.003030785014354194,0.0,0.11918918554796042,0.0,0.0557527385628036,0.0,0.012129099079926845,0.0,0.31221907114166,0.2341643033562449,0.0,0.0,12734.443376672396,20.5555555555556,0.6,3828.364380827606,19.7221288375,0.7851046875000002,0.75,15777.70307,21036.937426666667,0.0,0.0,71.49167558785877,51.66666666666668,46.10666666666668,0.0,47.281028512777944,0.0,0.0,0.0,111.70574310602932,46.87858209046749,47.281028512777944,46.677358879312266,12.43753247303448,20.2496102815191,-0.040474366123527145,2.633804300997533,6.033828092354395,2.5,9.236100170605994,8661.30206563754,-2569.169599390379,-910.3674684655141,-1863.1337056367615,0.0,0.0,708.0216267118624,0.0,2.0,0.08051292678080137,0.0,0.0,0.31885743494804647,131.99922844444444,-371.1405567754789,0.18124459060060522,9.208025456925174,0.0026099149392000056,47.66016562912387,1.2210852621205133,0.0,0.0,99.22900760847185,0.21747338182655998,-1002.7137088737511,92.34624040823704
2025-01-01 02:00:00,1.6431642055501803,0.27747796772513406,0.9437197851180926,1.6431642055501803,0.27747796772513406,0.9437197851180925,0.21425823283674103,0.382099722713439,1.0468062500000002,0.04645728511809253,0.8972625000000001,0.0,0.27747796772513406,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.03628552371162281,0.0,0.003030785014354194,0.0,0.11918918554796042,0.0,0.0557527385628036,0.0,0.012129099079926845,0.0,0.31221907114166,0.2341643033562449,0.0,0.0,16979.257835563196,22.222222222222285,0.8,5104.485841103475,26.29617178333334,1.0468062500000002,1.0,21036.937426666667,21036.937426666667,1055.056,0.0,76.64910044041774,51.66666666666668,46.10666666666668,0.0,49.766584214017016,0.0,0.0,1055.056,119.76421943815271,49.62202940200822,49.77622021021583,49.54011599980501,12.43753247303448,21.113005722409294,-0.5867248751704806,1.8334695259533833,6.050850867553476,1.6500000000000001,9.236100170605994,11882.001184766641,-3469.9209917365993,-1165.4338360301917,-1997.6924931808296,0.0,0.0,706.5018490147083,0.0,2.0,0.07835121074050795,0.0,0.0,0.31029633477129365,131.99922844444444,-410.21443951779463,0.17219486835101475,9.606934686274169,0.002614799594311437,64.9492652811153,1.2174997946357708,0.0,0.0,111.99730707467552,0.21747338182655998,-1252.6024836976865,87.16864766749481
2025-01-01 03:00:00,1.604789506526272,0.27633813445226857,0.86735375,1.6047895065262718,0.27633813445226857,0.86735375,0.2122968531766533,0.38057994501628506,1.0119127083333335,0.0,0.86735375,0.0,0.27633813445226857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623177479469822,0.042173831096023656,0.0,0.0,0.034324144051535097,0.0,0.003030785014354194,0.0,0.11918918554796042,0.0,0.0557527385628036,0.0,0.012129099079926845,0.0,0.31221907114166,0.2341643033562449,0.0,0.0,16413.282574377758,22.222222222222285,0.7733333333333334,4934.336313066693,25.41963272388889,1.0119127083333335,0.9666666666666667,20335.706179111112,21036.937426666667,0.0,0.0,79.64246823527007,51.66666666666668,46.10666666666668,0.0,51.72773631795888,0.0,0.0,0.0,124.44135661760947,51.76653383217073,51.785932589276655,51.72773631795888,12.43753247303448,22.084884681766987,-0.0006573341332644016,1.7575241143025087,5.90003378048531,1.6500000000000001,9.236100170605994,11187.70190603746,-1710.5561661528845,-1121.4805468911031,-2227.5407539931184,0.0,0.0,703.0206916574666,0.0,2.0,0.08333035448337896,0.0,0.0,0.3300153670505679,131.99922844444444,-418.4040911290932,0.16255955485474552,10.050484291249267,0.0026202702676156675,30.386684435231192,1.2134865493215201,0.0,0.0,108.51433329516074,0.21747338182655998,-1209.8791280160337,88.39858112493066
2025-01-01 04:00:00,1.463695562162451,0.2751983011794031,0.7477187500000001,1.463695562162451,0.275198301179403,0.74771875,0.2122968531766533,0.37906016731913106,0.8723385416666668,0.0,0.7477187500000001,0.0,0.2751983011794031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.034324144051535097,0.0,0.003030785014354194,0.0,0.11918918554796042,0.0,0.0557527385628036,0.0,0.012129099079926845,0.0,0.31221907114166,0.2341643033562449,0.0,0.0,14149.381529635995,22.222222222222285,0.6666666666666666,4253.738200919563,21.91347648611111,0.8723385416666668,0.8333333333333334,17530.78118888889,21036.937426666667,0.0,0.0,78.02257936042469,51.66666666666668,46.10666666666668,0.0,50.99594769554963,0.0,0.0,0.0,121.91028025066358,51.02952796710934,51.0463181028892,50.99594769554963,12.43753247303448,21.951740844439367,-0.035755885162776835,0.7393055131196312,5.911201275333751,0.55,9.236100170605994,9271.088024619645,-5842.3011337480475,-1444.5171914020195,-2393.5014187954052,0.0,0.0,701.5009139603125,0.0,2.0,0.08505910147565744,0.0,0.0,0.33686176866173756,131.99922844444444,-356.4166942540604,0.16391754993530092,9.988734175040074,0.0026218836667218355,69.83610290908112,1.2134639618477379,0.0,0.0,130.6345178498057,0.21747338182655998,-1533.1074143202634,88.5902229182439
2025-01-01 05:00:00,1.4152780089826265,0.2751983011794031,0.7028556250000001,1.4152780089826265,0.275198301179403,0.702855625,0.21621961249682872,0.37906016731913106,0.8199982291666668,0.0,0.7028556250000001,0.0,0.2751983011794031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.038246903371710536,0.0,0.003030785014354194,0.0,0.11918918554796042,0.0,0.0557527385628036,0.0,0.012129099079926845,0.0,0.31221907114166,0.2341643033562449,0.0,0.0,13300.418637857836,22.222222222222285,0.6266666666666667,3998.5139088643887,20.598667896944445,0.8199982291666668,0.7833333333333333,16478.934317555555,21036.937426666667,0.0,0.0,76.19307734365232,51.66666666666668,46.10666666666668,0.0,50.28248915551943,0.0,0.0,0.0,119.05168334945675,50.309843264877166,50.32352031955604,50.28248915551943,12.43753247303448,21.914069180691776,-0.05486083371867239,-0.2349771681654368,5.306887756896967,-0.25000000000000006,9.236100170605994,8521.010292408286,-2143.618644332458,-1494.0442049785313,-2478.8498550176737,0.0,0.0,698.8237118582659,0.0,1.9,0.08495575397531188,0.0,0.0,0.33645247887205953,125.39926702222222,-339.2984747185754,0.1648438502202379,9.978752140001781,0.0026318775589357847,76.74755907418822,1.2130023675998252,0.0,0.0,136.2821170382523,0.21747338182655998,-1591.197988364724,97.15378338619267
2025-01-01 06:00:00,1.504996196291853,0.2823737516476178,0.7028556250000001,1.5049961962918532,0.2823737516476178,0.702855625,0.29305219408757505,0.39194577303761124,0.8199982291666668,0.0,0.7028556250000001,0.0,0.2823737516476178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.04315035252192983,0.0,0.0042557016758350726,0.0,0.16736047402753673,0.0,0.07828566586227341,0.0,0.015447437507454002,0.0,0.318746783038305,0.23906008727872866,0.0,0.0,13300.418637857836,22.222222222222285,0.6266666666666667,3998.5139088643887,20.598667896944445,0.8199982291666668,0.7833333333333333,16478.934317555555,21036.937426666667,0.0,0.0,74.25529129621872,51.66666666666668,46.10666666666668,0.0,49.572084458904435,0.0,0.0,0.0,116.02389265034175,49.607459503523046,49.62514702583236,49.572084458904435,12.43753247303448,21.933564235065074,-0.05148476651546137,0.43883661052515277,5.403814561465537,0.3,9.236100170605994,8613.037412509722,-3701.485300524247,-1360.278044228766,-2410.456950337598,0.0,0.0,728.6853065347271,0.0,1.0,0.08479158302140796,0.0,0.0,0.3358023083795958,65.99961422222222,-345.52585397367596,0.16467570932887227,9.987883977030286,0.002632308884014954,-24.51224543097491,1.212921994033498,0.0,0.0,128.87717201410797,0.21747338182655998,-1458.4551473030308,98.17710307426498
2025-01-01 07:00:00,2.228839921088022,0.32934046718793475,0.68790125,2.228839921088022,0.32934046718793475,0.68790125,0.9409018109570922,0.4853866517975963,0.8025514583333334,0.0,0.68790125,0.0,0.32934046718793475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.040208283031798256,0.0,0.015338354180149522,0.0,0.6031988193552967,0.0,0.2821563543898478,0.0,0.046266028880349884,0.0,0.3783295150310862,0.28374713627331455,0.0,0.0,13017.431007265117,22.222222222222285,0.6133333333333334,3913.439144845997,20.160398367222225,0.8025514583333334,0.7666666666666667,16128.31869377778,21036.937426666667,0.0,0.0,72.23599135030128,51.66666666666668,46.10666666666668,0.0,48.874334026104194,0.024525215967817423,61.80316061125472,0.0,112.86873648484575,48.87886463553996,48.916735322988,48.83872864337404,12.43753247303448,21.955566387123532,-0.04640644742694745,-0.40585980180484665,5.225066058606257,-0.55,9.236100170605994,8958.132998025254,-4596.0007303554885,-1555.1190133453633,-2576.5958357581626,0.0,0.0,1465.8050109247347,4.59065176175508,1.0,0.08683599817981781,0.0,0.0,0.34389885882737936,65.99961422222222,-345.0209829534128,0.16441974335562617,9.99715939816365,0.0026317707136048938,25.311169326414362,1.2128318876515787,0.0,0.0,142.22220872738907,0.21747338182655998,-1655.0918829115312,99.97286956616763
2025-01-01 08:00:00,2.2996808451530204,0.33423026261419203,0.7493129101180926,2.2996808451530204,0.334230262614192,0.7493129101180925,0.9789273344803416,0.5007552815060118,0.8199982291666668,0.04645728511809253,0.7028556250000001,0.0,0.33423026261419203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.030401384731359653,0.0,0.016152916075488126,0.0,0.6352324239903976,0.0,0.2971406096830963,0.0,0.055114931353755635,0.0,0.3833294645689419,0.28749709842670634,0.0,0.0,13300.418637857836,22.222222222222285,0.6266666666666667,3998.5139088643887,20.598667896944445,0.8199982291666668,0.7833333333333333,16478.934317555555,21036.937426666667,1055.056,0.0,75.49016950352153,51.66666666666668,46.10666666666668,0.0,50.49925146887838,0.12787135724260876,327.7561401077521,1055.056,117.95338984925239,50.070687304871726,50.49925146887838,49.8564052228684,12.43753247303448,21.987431191030552,-0.036291213072924815,-1.2615889726130078,4.8591446518057735,-1.4,9.236100170605994,9095.978394556092,-4614.822017004335,-1695.2129471174153,-2767.80609210334,0.0,0.0,1518.8491676887497,259.56052909791345,1.0,0.08951771615622893,0.0,0.0,0.354519336176818,65.99961422222222,-295.39959131558834,0.16452475876619682,10.021498777033917,0.0026373864323272905,107.30842055633924,1.213266404381575,0.0,0.0,153.30965207440815,0.21747338182655998,-1799.2776154421665,104.06466832475131
2025-01-01 09:00:00,2.2699695545905882,0.33423026261419203,0.6579925000000001,2.2699695545905882,0.334230262614192,0.6579925,0.9928981630495339,0.5094134748743873,0.7676579166666667,0.0,0.6579925000000001,0.0,0.33423026261419203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.024517245751096494,0.0,0.01649103610751547,0.0,0.6485293919521378,0.0,0.3033604892387843,0.0,0.06377312472213109,0.0,0.3833294645689419,0.28749709842670634,0.0,0.0,12451.455746079677,22.222222222222285,0.5866666666666667,3743.2896168092147,19.28385930777778,0.7676579166666667,0.7333333333333333,15427.087446222224,21036.937426666667,0.0,0.0,79.08406579680442,51.66666666666668,46.10666666666668,0.0,51.75293896190576,0.0,0.0,0.0,123.5688528075069,51.490557766828964,51.75293896190576,51.35936716929057,12.43753247303448,22.027332336536528,-0.03400629147916992,-0.8388600005114962,4.703911991073928,-0.85,9.236100170605994,8646.723106574527,-2483.148767251767,-1494.086387767336,-2668.0395145374864,0.0,0.0,1541.4781896263173,770.6679259562201,1.0,0.08833111180085011,0.0,0.0,0.3498199961306617,65.99961422222222,-187.88016537804467,0.16503939271069884,10.058247947845349,0.002650780200567468,195.08981580432155,1.2137015110588423,0.0,0.0,141.37024420682317,0.21747338182655998,-1593.9565703152994,99.87018254796354
