occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.654,0.0689,0.14,0.0987,0.0987,0.0,0.0,0,0,0,0
0.711,0.614,0.0459,0.262,0.0773,0.0773,0.0,0.0,0,0,0,0
0.667,0.568,0.0194,0.402,0.0526,0.0526,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.956,0.602,0.018,0.299,0.0493,0.0493,0.0,0.186,0,0,0,0
1.0,0.568,0.0162,0.402,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.602,0.0195,0.299,0.0509,0.0509,0.0,0.0855,0,0,0,0
1.0,0.608,0.02,0.281,0.0512,0.0512,0.0,0.0,0,0,0,0
1.0,0.608,0.0252,0.281,0.0788,0.0788,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.281,0.0831,0.0831,0.0,0.171,0,0,0,0
1.0,0.648,0.0349,0.159,0.112,0.112,0.0,0.214,0,0,0,0
1.0,0.654,0.0362,0.14,0.117,0.117,0.0,0.0855,0,0,0,0
1.0,0.728,0.0696,0.0187,0.322,0.322,0.867,0.256,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,0.353,0.133,0.0213,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,0.353,0.0,0.0,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,0.353,0.867,0.264,0,0,0,0
1.0,0.79,0.0993,0.0,0.435,0.435,0.133,0.342,0,0,0,0
1.0,0.798,0.103,0.0,0.447,0.447,0.0,0.579,0,0,0,0
1.0,0.798,0.103,0.0,0.447,0.447,0.0,0.443,0,0,0,0
0.711,0.73,0.0779,0.122,0.332,0.332,0.0,0.0,0,0,0,0
0.378,0.657,0.0555,0.262,0.208,0.208,0.0,0.0855,0,0,0,0
0.333,0.647,0.0527,0.281,0.191,0.191,0.0,0.0,0,0,0,0
0.0444,0.573,0.0208,0.402,0.0683,0.0683,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.289,0.636,0.0649,0.299,0.167,0.167,0.0,0.0,0,0,0,0
0.333,0.647,0.0724,0.281,0.185,0.185,0.0,0.0,0,0,0,0
0.333,0.647,0.0724,0.281,0.185,0.185,0.0,0.0,0,0,0,0
0.0444,0.573,0.0234,0.402,0.0675,0.0675,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.289,0.636,0.0753,0.299,0.162,0.162,0.0,0.0,0,0,0,0
0.333,0.647,0.0845,0.281,0.179,0.179,0.0,0.0,0,0,0,0
0.333,0.647,0.0845,0.281,0.179,0.179,0.0,0.0,0,0,0,0
0.333,0.647,0.0882,0.281,0.182,0.182,0.0,0.427,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.182,0.0,0.342,0,0,0,0
0.622,0.721,0.152,0.159,0.297,0.297,0.0,0.0,0,0,0,0
0.667,0.732,0.162,0.14,0.315,0.315,0.0,0.427,0,0,0,0
0.667,0.755,0.178,0.14,0.343,0.343,0.0,0.0,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.347,0.0,0.0,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.347,0.0,0.0855,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.347,0.0,0.0,0,0,0,0
0.667,0.792,0.218,0.14,0.417,0.417,0.0,0.0,0,0,0,0
