Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Gas Power (therms/hour),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.595992000875576,51.666666666666686,46.10666666666668,0.0,50.338843236814625,0.0,0.0,0.0,34.595992000875576,48.55777687862113,50.338843236814625,47.66724369952438,12.43753247303448,18.875274500169084,-0.06916994427537304,2.8,1485.7248307718655,-1855.5577541798384,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08857240286539847,0.0,0,1.6481934421087074,197.99884266666666,-11.944335789110589,0.2300603618200778,9.056358422818061,0.003053194729702706,-39.90578093472616,1.2229303981745725
2025-01-01 00:01:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.57037739943965,51.666666666666686,46.10666666666668,0.0,50.333303209553186,0.0,0.0,0.0,34.57037739943965,48.5529216209856,50.333303209553186,47.662730826701804,12.43753247303448,18.892414657482043,-0.05202978696241445,2.8,1480.2202289933948,-1858.269177415161,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08860735177141082,0.0,0,1.648843786412745,197.99884266666666,-14.737514332258264,0.23046477547420965,9.08764763747934,0.0030529197967723016,-39.90585163324878,1.2264309553454908
2025-01-01 00:02:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.545619902439576,51.666666666666686,46.10666666666668,0.0,50.32776714243876,0.0,0.0,0.0,34.545619902439576,48.54806995814478,50.32776714243876,47.6582213659978,12.43753247303448,18.908821742780088,-0.035622701664369316,2.8,1474.8901985423556,-1860.866046195836,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08864080348699989,0.0,0,1.6494662703521834,197.99884266666666,-17.470676002622625,0.23020809518378166,9.094689261039527,0.0030526456480872476,-39.9027641441233,1.2263622604750206
2025-01-01 00:03:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.52167403757289,51.666666666666686,46.10666666666668,0.0,50.322234907996915,0.0,0.0,0.0,34.52167403757289,48.543221769811254,50.322234907996915,47.65371520071843,12.43753247303448,18.924534718844445,-0.01990972560001225,2.8,1469.69212669078,-1863.3543469679948,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08867283776053687,0.0,0,1.6500623779190813,197.99884266666666,-20.18044708203935,0.22996169915574516,9.102004258123582,0.0030523715052576017,-39.89647987920032,1.2262964875800673
2025-01-01 00:04:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.498498660972004,51.666666666666686,46.10666666666668,0.0,50.31670638551346,0.0,0.0,0.0,34.498498660972004,48.53837694207925,50.31670638551346,47.649212220362145,12.43753247303448,18.939588834566447,-0.00485560987801037,2.8,1465.49656872071,-1865.7394979219237,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08870352673547698,0.0,0,1.6506334515899421,197.99884266666666,-21.99085409818082,0.22972504728755494,9.108314137339896,0.00305209739090112,-39.88716868372948,1.226233487723583
2025-01-01 00:05:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.47601858412074,51.666666666666686,46.10666666666668,0.0,50.311181460391005,0.0,0.0,0.0,34.47601858412074,48.53353536681719,50.311181460391005,47.64471232003028,12.43753247303448,18.954048605785665,0.0,2.8,1462.5932809800993,-1868.0315754061878,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08873300218238003,0.0,0,1.6511819434081292,197.99884266666666,-22.60206435452703,0.22949718370809646,9.114952341157345,0.003051823326438702,-39.87513181265869,1.226172989214758
2025-01-01 00:06:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.45415014811863,51.666666666666686,46.10666666666668,0.0,50.30566002920897,0.0,0.0,0.0,34.45415014811863,48.52869694644557,50.30566002920897,47.64021540506388,12.43753247303448,18.96798583926267,0.0,2.8,1459.8537174671264,-1870.2418372869906,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08876141068974287,0.0,0,1.6517105811555626,197.99884266666666,-23.131365986697226,0.22927705331263132,9.120658052481613,0.003051549331163476,-39.86070225638557,1.2261146899020825
2025-01-01 00:07:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.43286052951775,51.666666666666686,46.10666666666668,0.0,50.30014200098247,0.0,0.0,0.0,34.43286052951775,48.523861595125744,50.30014200098247,47.63572139219738,12.43753247303448,18.98142866056574,0.0,2.8,1457.3271182831181,-1872.3746347521314,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08878880977462755,0.0,0,1.6522204351345198,197.99884266666666,-23.525167705564634,0.22906423087876968,9.126747003501087,0.0030512754220153085,-39.84401482269218,1.2260584711040559
2025-01-01 00:08:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.41211644966027,51.666666666666686,46.10666666666668,0.0,50.29462728960633,0.0,0.0,0.0,34.41211644966027,48.519029231625524,50.29462728960633,47.631230202635116,12.43753247303448,18.994405591248903,0.0,2.8,1454.9446517320434,-1874.4343935386023,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08881525774126528,0.0,0,1.6527125902952604,197.99884266666666,-23.847875470168358,0.2288582879327227,9.132584586892413,0.003051001614983119,-39.82520559527695,1.2260042125435422
2025-01-01 00:09:00,0.3986312401599733,0.14637425046201516,0.12301560310763478,0.006643854002666222,0.002439570841033586,0.002050260051793913,0.016672407222900656,0.0,0.25022806370630346,0.08173076923076923,0.05,0.0037776121205266807,0.11923799098710809,0.0,0.0,0.13179091712868182,0,0.01458333333333334,1,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.003103307748538012,0.0,On,0.013569099474362644,0,On,0.021463019012728953,0,On,0.13607882868958676,0.10205912151719004,On,0.05304382185533203,0,On,0.0037776121205266807,On,0,0,Off,On,2950.8969470085467,19.444444444444457,0.82104704372774,0.0,3.494521050524842,0.08173076923076923,1,2869.1661777777776,2869.1661777777776,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2827.55008,Off,0.0,0.0,34.39188915844473,51.666666666666686,46.10666666666668,0.0,50.28911581392276,0.0,0.0,0.0,34.39188915844473,48.51419977938311,50.28911581392276,47.62674176211329,12.43753247303448,19.006941265077568,0.0,2.8,1452.649923219732,-1876.424933004075,-0.0,-0.0,402.3299737322677,0.0,3.0,0.08884080495202333,0.0,0,1.6531879838024182,197.99884266666666,-24.152064517007204,0.22865885377595413,9.138184123356428,0.003050727925095451,-39.804392634744865,1.2259518103201965
