Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.7636549762160588,0.10792217143198152,0.0,0.7636549762160588,0.10792217143198152,0.0,0.010881208680695042,0.0,0.14828304520203048,0.6044907223333333,0.0,0.0,0.10792217143198152,0.0,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.003103307748538012,0.0,0.00777790093215703,0.0,0.004386816626055083,0.0,0.10425383442731968,0.07819037582048974,0.0,0.0,330.3260795061388,17.77777777777783,0.13333333333333333,274.1646428271945,0.5827425973333333,0.021748125,0.13333333333333333,582.7425973333334,4370.56948,0.0,0.0,39.644170121952094,51.66666666666668,46.10666666666668,0.0,51.25820218674063,0.0,0.0,0.0,39.644170121952094,51.29516146855672,51.31364110946478,51.25820218674063,12.43753247303448,17.220076500783662,-0.0993170966665763,5.43782476697402,2.8,9.236100170605994,73.24857723654641,-623.5556211285959,-549.9609100814816,0.0,0.0,283.8657139172576,0.0,2.0,0.02926313319468472,0.0,0.0,0.5445409932067558,131.99922844444444,9.017693894631712,0.26825907834998747,8.477679354453889,0.003199556399167631,26.12787983290086,1.2333258565109635,0.2622008391461917,-901.4898301223118,3.7695661665215043
2025-01-01 01:00:00,0.6868698279895356,0.10717887654169421,0.0,0.6868698279895354,0.1071788765416942,0.0,0.01064846059955469,0.0,0.1472919853483141,0.5289293820416667,0.0,0.0,0.10717887654169421,0.0,1.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.0028705596673976605,0.0,0.00777790093215703,0.0,0.004386816626055083,0.0,0.10425383442731968,0.07819037582048974,0.0,0.0,289.03531956787145,17.77777777777783,0.11666666666666667,239.8940624737952,0.5098997726666668,0.019029609375,0.11666666666666667,509.8997726666667,4370.56948,0.0,0.0,38.99128937504544,51.66666666666668,46.10666666666668,0.0,50.90863650246711,0.0,0.0,0.0,38.99128937504544,50.964506681705835,50.99244177132519,50.90863650246711,12.43753247303448,17.4500113704752,-0.04541232517534303,6.209745453393235,2.5,9.236100170605994,16.64545269740624,-744.7732750573298,-558.5611402874534,0.0,0.0,282.64190598240083,0.0,2.0,0.028642503522200803,0.0,0.0,0.532992048805636,131.99922844444444,3.5293674345874226,0.2653130877514262,8.598045231792486,0.0032102467062617786,28.146506243626174,1.2324026111410469,0.20492550796175632,-985.9818815231857,1.3145439920607458
2025-01-01 02:00:00,1.3659308307608191,0.10643558165140692,0.0,1.365930830760819,0.10643558165140692,0.0,0.01064846059955469,0.0,0.1463009254945977,1.2089814446666667,0.0,0.0,0.10643558165140692,0.0,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0028705596673976605,0.0,0.00777790093215703,0.0,0.004386816626055083,0.0,0.10425383442731968,0.07819037582048974,0.0,0.0,660.6521590122776,17.77777777777783,0.26666666666666666,548.329285654389,1.1654851946666667,0.04349625,0.26666666666666666,1165.4851946666668,4370.56948,0.0,0.0,38.61117979130732,51.66666666666668,46.10666666666668,0.0,50.62362950335386,0.0,0.0,0.0,38.61117979130732,50.63700706980087,50.64369585302438,50.62362950335386,12.43753247303448,17.450469323840636,-0.052842206560741546,6.819891519858952,1.6500000000000001,9.236100170605994,359.1479042138562,-405.01187960712184,-586.0070561630686,0.0,0.0,281.65084612868435,0.0,2.0,0.028320066134158682,0.0,0.0,0.5269919949370592,131.99922844444444,2.851955235962612,0.2663618348964017,8.612992360358875,0.0032230710107002563,33.70889090065057,1.2323913014117907,0.14117859935157148,-951.6344390983714,-1.7067261631394424
2025-01-01 03:00:00,1.4403459458113423,0.10569228676111962,0.0,1.4403459458113423,0.10569228676111962,0.0,0.01049329521212779,0.0,0.14530986564088127,1.2845427849583333,0.0,0.0,0.10569228676111962,0.0,1.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.0027153942799707604,0.0,0.00777790093215703,0.0,0.004386816626055083,0.0,0.10425383442731968,0.07819037582048974,0.0,0.0,701.9429189505449,17.77777777777783,0.2833333333333333,582.5998660077883,1.2383280193333335,0.046214765625,0.2833333333333333,1238.3280193333335,4370.56948,0.0,0.0,38.2225228456388,51.66666666666668,46.10666666666668,0.0,50.28649071235049,0.0,0.0,0.0,38.2225228456388,50.313187009009724,50.326535157339336,50.28649071235049,12.43753247303448,17.46030486530119,-0.0555457288857608,6.814093521426013,1.6500000000000001,9.236100170605994,388.13447491711065,-564.8340340991233,-597.3846841431096,0.0,0.0,280.50462088754114,0.0,2.0,0.02886703462686326,0.0,0.0,0.5371702203611314,131.99922844444444,3.071619222134157,0.26727087678345046,8.632687114987059,0.003236150466804278,20.9758760440583,1.2323399425405008,0.1745782801543343,-1149.8994825646778,2.465582457766154
2025-01-01 04:00:00,4.688492518499293,0.10494899187083233,0.0,4.688492518499293,0.10494899187083233,0.0,0.01049329521212779,0.0,0.14431880578716488,4.5336804175,0.0,0.0,0.10494899187083233,0.0,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.0027153942799707604,0.0,0.00777790093215703,0.0,0.004386816626055083,0.0,0.10425383442731968,0.07819037582048974,0.0,0.0,2477.445596296041,19.444444444444457,1.0,2056.2348212039587,4.37056948,0.1631109375,1.0,4370.56948,4370.56948,0.0,0.0,36.5151692000702,51.66666666666668,46.10666666666668,0.0,49.952033440716626,0.0,0.0,0.0,36.5151692000702,49.9969318161866,50.0193810039216,49.952033440716626,12.43753247303448,18.610975176207983,-0.4189995241930353,8.047231601246592,0.55,9.236100170605994,2003.5324841057884,588.9829381478899,-745.3429768925058,0.0,0.0,279.5135610338248,0.0,2.0,0.03119414102844562,0.0,0.0,0.5804740191302129,131.99922844444444,-8.083696331571648,0.24914590017889676,9.16809043752956,0.003242391587478816,29.56903832169694,1.2269048477611675,0.16411427122570066,-1452.829686010918,-14.422197045150783
2025-01-01 05:00:00,2.6494582768829216,0.10515768504473043,0.0,2.649458276882921,0.10515768504473043,0.0,0.011205931207610405,0.0,0.14472811605031052,2.493524229625,0.0,0.0,0.10515768504473043,0.0,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.003025725054824562,0.0,0.008180206152785842,0.0,0.0045178693240032685,0.0,0.10453209199251716,0.07839906899438784,0.0,0.0,1362.5950779628224,19.444444444444457,0.55,1130.9291516621774,2.4038132140000004,0.089711015625,0.55,2403.8132140000002,4370.56948,0.0,0.0,35.275122466485854,51.66666666666668,46.10666666666668,0.0,49.613292066008846,0.05352178892475791,138.04595129237984,0.0,35.275122466485854,49.560118413454774,49.68233504383113,49.464488609355456,12.43753247303448,19.233429286218815,-0.03984086614010008,8.377612740517652,-0.25000000000000006,9.236100170605994,817.2962578990847,-480.6305550045893,-830.433047943481,0.0,0.0,280.61602926288924,0.0,2.0,0.03235385173857938,0.0,0.0,0.602054415792709,131.99922844444444,4.518198616853902,0.24063627823533917,9.469178685786543,0.0032597203867681637,29.47633499737089,1.2236600765049923,0.14549115563401757,-1606.329954891662,-5.229751775104593
2025-01-01 06:00:00,0.8126054697439277,0.10984423682507595,0.0,0.8126054697439277,0.10984423682507594,0.0,0.01782957559592424,0.6416401216296297,0.15313577251837385,0.0,0.0,0.0,0.10984423682507595,0.0,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.003413638523391813,0.0,0.01441593707253243,0.0,0.006676790084939183,0.0,0.10879870799221172,0.08159903099415877,0.0,0.0,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,4370.56948,641.6401216296297,0.18333333333333332,35.00565644022284,51.66666666666668,46.10666666666668,0.0,49.6945795062351,0.13746350708614535,365.8887835225213,641.6401216296297,35.00565644022284,48.45235619913602,49.69457950623511,47.83124454558648,12.43753247303448,18.42049925356604,0.0,6.347617587739874,0.3,9.236100170605994,-424.27295817123394,-1299.2446474602616,-740.7776892674557,0.0,0.0,295.34866699928773,0.0,2.0,0.031110391407749096,0.0,0.0,0.5789155700970433,131.99922844444444,21.156064096934042,0.2536441269537509,9.103133424272889,0.0032651435628413008,11.375403814116702,1.2270688891106825,0.16513192406717703,-1315.1201366374776,15.875489177215803
2025-01-01 07:00:00,1.4566774036831867,0.14079134632093293,0.0,1.4566774036831864,0.14079134632093293,0.0,0.07378151249377826,1.1666184029629632,0.21627748822644527,0.0,0.0,0.0,0.14079134632093293,0.0,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.0031808904422514625,0.0,0.0706006220515268,0.0,0.02855569313186799,0.0,0.14807940094592156,0.11105955070944115,0.0,0.0,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0.0,0.0,4370.56948,1166.618402962963,0.3333333333333333,38.09156292836048,51.66666666666668,46.10666666666668,0.0,51.36439201045442,0.40556862870126115,1092.472874244671,1166.618402962963,38.09156292836048,50.232857171295294,51.364449675987395,49.667032086182765,12.43753247303448,17.531452455791737,-0.0007454973396435231,5.256141033296511,-0.55,9.236100170605994,-308.99234484358436,-1248.7396501895544,-740.5017833404623,0.0,0.0,411.6926710984535,0.17030120055397538,2.0,0.03106565214822985,0.0,0.0,0.5780830426758725,131.99922844444444,19.81676739842458,0.26877348724153033,8.700522892856243,0.00327278767703807,29.41627514102897,1.2308140112506851,0.1641785632962622,-1261.003929657517,12.26427946796253
2025-01-01 08:00:00,2.855254303305133,0.14428243466754526,0.0,2.855254303305133,0.14428243466754526,0.0,0.07738371295760435,1.3416111634074075,0.2272779822734546,1.2089814446666667,0.0,0.0,0.14428243466754526,0.0,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0024050635051169594,0.0,0.07497864945248739,0.0,0.03490140271672755,0.0,0.15174312555435496,0.11380734416576618,0.0,0.0,660.6521590122776,17.77777777777783,0.26666666666666666,548.329285654389,1.1654851946666667,0.04349625,0.26666666666666666,1165.4851946666668,4370.56948,1341.6111634074075,0.38333333333333336,37.71585213957895,51.66666666666668,46.10666666666668,0.0,51.26347583000342,0.48576225472800255,1313.4469152090505,1341.6111634074075,37.71585213957895,49.698103290598645,51.263777486361946,48.91511536453773,12.43753247303448,17.32923371316088,-0.10928950675176144,4.879764020096661,-1.4,9.236100170605994,308.69052491603327,-912.442916923128,-789.7632165221515,0.0,0.0,426.03890488669856,6.91291786231371,2.0,0.03188234164668255,0.0,0.0,0.5932803528090792,131.99922844444444,11.762677539208564,0.27380800634174757,8.629302420924553,0.003289863059731332,55.82415419018865,1.2322374730223205,0.17642852369191875,-1466.9566849305577,6.184482353040623
2025-01-01 09:00:00,1.7490886040570013,0.12139574993005316,0.0,1.7490886040570013,0.12139574993005316,0.0,0.0345420668890888,0.17499276044444445,0.1794496514734679,1.3601041252500001,0.0,0.0,0.12139574993005316,0.0,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0019395673428362575,0.0,0.03260249954625254,0.0,0.017588651566730285,0.0,0.12122754590436549,0.0909206594282741,0.0,0.0,743.2336788888123,17.77777777777783,0.3,616.8704463611876,1.311170844,0.048933281249999995,0.3,1311.170844,4370.56948,174.99276044444443,0.05,40.09516407933551,51.66666666666668,46.10666666666668,0.0,51.88309068587804,0.0,0.0,174.99276044444443,40.09516407933551,51.8916473011516,51.89636272867399,51.88265356599244,12.43753247303448,17.441690865773378,-0.05430110956569176,5.079084819685613,-0.85,9.236100170605994,249.56501200497004,-752.5014262090612,-759.1174152192674,0.0,0.0,252.8275135465844,22.504914470459727,0.7170000000000001,0.031412702917473494,0.0,0.0,0.584541112948793,47.32172339733333,12.621234788840702,0.2736500978223418,8.708956746666413,0.003309895129420788,20.820576324017015,1.2323640074959945,0.17517456596513642,-1373.1179994534386,3.7461268831897336
