Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.032323941681277,0.2893254581338151,0.0,1.032323941681277,0.2893254581338151,0.0,0.05264815350436642,0.867896444797872,0.0,0.11177934337903861,0.0,0.0,0.0,0.25672314964826215,0.0,0.03260230848555294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.4959026828525837,0.0,0.017112774122807015,0.0,0.0355353793815594,0.0,0.0296962290809386,0.0,0.30067301900826116,0.22550476425619578,0.0,0.0,0.0,21.16666666666671,0.0,0.0,0.0,0.0,0.0,0.0,452.7948666666667,336.20561929777193,22.16666666666671,0.975105473418255,0.0,0.0965595933790386,0.01521975,0.0,0.15,0.15,351.42536929777197,2342.83579531848,0.0,0.0,69.11273720377538,51.66666666666668,46.10666666666668,0.0,50.85760084245355,0.09621131012420678,261.08316116151445,0.0,107.98865188089901,48.36955714524219,50.85760084245355,47.125535296636514,12.43753247303448,22.66987944010427,0.055330133604243,2.8,-185.8441553028552,-909.0126303068828,0.0,-8.365724517263157,1055.4155127929366,0.0,4.4662500000000005,0.03510330809308252,0.0,0.00032276782164912293,0.9036549420232841,294.77077702,12.324306026126017,0.24010915746254743,11.800990981964194,0.004019879166639084,87.34326893666363,1.2100066836284362
2025-01-01 01:00:00,0.7360641048472574,0.28066003721634775,0.030971523412061684,0.7360641048472575,0.28066003721634775,0.030971523412061684,0.04585421285415907,0.612752406046859,0.0,0.07745748594623938,0.030971523412061684,0.0,0.0,0.2580682704820279,0.0,0.02259176673431983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04058390100968627,0.030437925757264693,0.24795134142629185,0.0,0.01582931606359649,0.0,0.030024896790562586,0.0,0.02071003731119645,0.0,0.30350712629968435,0.2276303447247632,0.0,0.0,0.0,21.16666666666671,0.0,0.0,0.0,0.0,0.0,0.0,452.7948666666667,149.42471968789866,22.16666666666671,0.43338021040811336,0.0,0.07069315261290604,0.006764333333333333,0.0,0.06666666666666667,0.06666666666666667,156.189053021232,2342.83579531848,703.3706666666666,0.0,77.02407696406067,51.66666666666668,46.10666666666668,0.0,51.73846162779714,0.0,0.0,703.3706666666666,120.35012025634478,50.89941317246973,51.756367332202416,50.46198324040075,12.43753247303448,22.263609017487628,0.0,2.5,-71.74973695429702,-827.153115155715,0.0,-4.327114253219741,897.9328155717895,0.0,5.0,0.03212587354485621,0.0,0.00016808987252979034,0.8237604331306888,329.99807111111113,11.222396570746831,0.2501582943733238,11.698994283135642,0.0040863219743447875,106.1067925883721,1.2116809815409213
2025-01-01 02:00:00,0.4402491201367597,0.2643349952465479,0.0,0.44024912013675965,0.2643349952465479,0.0,0.04251372937417532,0.34773539076258436,0.0,0.05,0.0,0.0,0.0,0.24975166191321457,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.01582931606359649,0.0,0.026684413310578838,0.0,0.014733174878298179,0.0,0.2934589277210021,0.22009419579075154,0.0,0.0,0.0,21.16666666666671,0.0,0.0,0.0,0.0,0.0,0.0,452.7948666666667,0.0,22.16666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,0.0,0.0,79.51953469663651,51.66666666666668,46.10666666666668,0.0,51.78809779535484,0.0,0.0,0.0,124.24927296349455,51.821571969475016,51.83830905653511,51.78809779535484,12.43753247303448,22.183988246875185,0.0,1.6500000000000001,-90.03571298410574,-795.1010528544227,0.0,-3.1384340072439576,699.7050663074007,0.0,5.0,0.029586213714497035,0.0,0.00011724463426456316,0.7576813473964048,329.99807111111113,8.498707570160299,0.25483971737218164,11.724309000746302,0.004142958003816481,100.63173256380232,1.2119663056478462
2025-01-01 03:00:00,0.43229657045941605,0.26065601679097256,0.0,0.43229657045941605,0.26065601679097256,0.0,0.04090845461150319,0.34138811584791284,0.0,0.05,0.0,0.0,0.0,0.2460726834576392,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850267531688185,0.028877006487661377,0.0,0.0,0.01497367735745614,0.0,0.02593477725404705,0.0,0.013291204571060486,0.0,0.2895942359599705,0.21719567696997782,0.0,0.0,0.0,21.16666666666671,0.0,0.0,0.0,0.0,0.0,0.0,452.7948666666667,0.0,22.16666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,0.0,0.0,77.53425680328338,51.66666666666668,46.10666666666668,0.0,50.807520052391915,0.0,0.0,0.0,121.1472762551303,50.84265903257041,50.86022852265967,50.807520052391915,12.43753247303448,21.94492907091034,0.0,1.6500000000000001,-118.2602824745056,-815.9986256619321,0.0,-1.8117639740619864,692.0230450533293,0.0,5.0,0.030755717802613845,0.0,6.804375205050549e-05,0.7862582502127161,329.99807111111113,7.527062108159222,0.26196997799571686,11.680069344434651,0.004197630280736946,77.74274132230858,1.212908260604918
2025-01-01 04:00:00,0.43125595761301383,0.2598755571561709,0.0,0.43125595761301383,0.2598755571561709,0.0,0.04090845461150319,0.3403475030015107,0.0,0.05,0.0,0.0,0.0,0.24529222382283755,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.01497367735745614,0.0,0.02593477725404705,0.0,0.013291204571060486,0.0,0.2895942359599705,0.21719567696997782,0.0,0.0,0.0,21.16666666666671,0.0,0.0,0.0,0.0,0.0,0.0,452.7948666666667,0.0,22.16666666666671,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,0.0,0.0,75.73503546218829,51.66666666666668,46.10666666666668,0.0,49.85015756808481,0.0,0.0,0.0,118.33599290966922,49.887869287987634,49.90672514793905,49.85015756808481,12.43753247303448,21.660623194417678,0.0,0.55,-210.89154341839887,-861.5657970040063,0.0,-0.3831142964061998,643.7102085202605,0.0,4.2837499999999995,0.031120447689851487,0.0,1.495165089857215e-05,0.7942075648981859,282.72584742444445,7.347159361753186,0.26842700734526026,11.58832934471792,0.004229143626370914,50.003962305281156,1.2134851848497263
2025-01-01 05:00:00,0.4554984850252945,0.2598755571561709,0.019312500000000003,0.45549848502529455,0.2598755571561709,0.019312500000000003,0.04261973202378389,0.3403475030015107,0.02253125,0.05,0.0,0.019312500000000003,0.0,0.24529222382283755,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.016684954769736842,0.0,0.02593477725404705,0.0,0.013291204571060486,0.0,0.2895942359599705,0.21719567696997782,0.0,0.0,475.3261166666667,22.5555555555556,0.8,0.0,0.5659935833333333,0.02253125,1.0,452.7948666666667,452.7948666666667,0.0,23.5555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,0.0,0.0,73.11759730185511,51.66666666666668,46.10666666666668,0.0,48.92311014284612,0.0,0.0,0.0,114.24624578414863,48.95751461626813,48.974716852979135,48.92311014284612,12.43753247303448,21.705875916003063,-0.3391353238612326,-0.25000000000000006,215.19872041681654,-890.3662722864938,0.0,0.0,626.6940953969855,0.0,4.0,0.030820156184645082,0.0,0.0,0.786166283762817,263.9984568888889,3.544780639658209,0.26951015483900076,11.63557419727495,0.004260401564826071,39.72879088539823,1.2126675142197194
2025-01-01 06:00:00,0.4857413764449903,0.2673301313613475,0.05802690426507711,0.4857413764449903,0.2673301313613475,0.05802690426507711,0.058659974609382104,0.3545501518356082,0.02253125,0.05,0.03871440426507711,0.019312500000000003,0.0,0.2527467980280141,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.01882405153508772,0.0,0.03983592307429438,0.0,0.017554421131589323,0.0,0.29745244254073483,0.22308933190555105,0.0,0.0,475.3261166666667,22.5555555555556,0.8,0.0,0.5659935833333333,0.02253125,1.0,452.7948666666667,452.7948666666667,0.0,23.5555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,879.2133333333333,0.0,70.92038246760113,51.66666666666668,46.10666666666668,0.0,48.515843008869616,0.24167125786959956,624.8144027796927,879.2133333333333,110.81309760562677,48.41966099710113,48.54402720216283,48.34338579792369,12.43753247303448,22.00707674518409,-0.05563275059847956,0.3,243.9872313079748,-890.0150361870852,0.0,0.0,656.3869123560278,0.0,4.0,0.03120566802054812,0.0,0.0,0.7959999914689924,263.9984568888889,2.289238472365564,0.26532291498993077,11.775199245154568,0.004272233948258544,16.799910533654923,1.2114211905732089
2025-01-01 07:00:00,0.6682385925597987,0.3100500178859376,0.05802690426507711,0.6682385925597986,0.3100500178859376,0.05802690426507712,0.15155447796813856,0.44415286459166003,0.02253125,0.05,0.03871440426507711,0.019312500000000003,0.0,0.2954666845526043,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.01754059347587719,0.0,0.1340138844922614,0.0,0.05019728518818756,0.0,0.35233106554738397,0.26424829916053794,0.0,0.0,475.3261166666667,22.5555555555556,0.8,0.0,0.5659935833333333,0.02253125,1.0,452.7948666666667,452.7948666666667,0.0,23.5555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,879.2133333333333,0.0,71.84988079665939,51.66666666666668,46.10666666666668,0.0,51.16133936849729,0.36212662142384244,978.9502803551826,879.2133333333333,112.26543874478031,49.01554812828966,51.16133936849729,47.942652508185844,12.43753247303448,22.295585568480714,0.0,-0.55,345.3316019374826,-968.5366292328418,0.0,0.0,835.0426248603707,2.0942019633127877,4.0,0.0321480038758918,0.0,0.0,0.8200372699634175,263.9984568888889,3.499489643287269,0.2614597328405405,11.909368097523235,0.004284739942375949,29.049868002886548,1.210229189941564
2025-01-01 08:00:00,0.7632060790267502,0.3316031957362843,0.0889984276771388,0.7632060790267502,0.3316031957362843,0.08899842767713881,0.19343808370807838,0.4972367453186718,0.02253125,0.05,0.0696859276771388,0.019312500000000003,0.0,0.31701986240295094,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.013262399945175439,0.0,0.18017568376290294,0.0,0.07454359544807038,0.0,0.3800280231681107,0.285021017376083,0.0,0.0,475.3261166666667,22.5555555555556,0.8,0.0,0.5659935833333333,0.02253125,1.0,452.7948666666667,452.7948666666667,0.0,23.5555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,1582.5839999999998,0.0,75.39236912037622,51.66666666666668,46.10666666666668,0.0,51.90812867928695,0.4712306215581855,1299.6139577817605,1582.5839999999998,117.80057675058782,50.61784254544899,51.90812867928695,49.97269947853001,12.43753247303448,22.576317544620895,0.0,-1.4,359.1831498309059,-1059.0727317216374,0.0,0.0,913.7989077183157,141.38781039955754,3.78375,0.03341201148915147,0.0,0.0,0.8522798115654403,249.72604031333333,29.130857167560993,0.25841907928034147,12.052830813001881,0.004305942115456361,40.027530906723015,1.209632667650155
2025-01-01 09:00:00,0.6668089207938114,0.3088015143461977,0.0889984276771388,0.6668089207938114,0.3088015143461977,0.08899842767713881,0.14102694558517545,0.45325072520863596,0.02253125,0.05,0.0696859276771388,0.019312500000000003,0.0,0.29421818101286434,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.010695483826754386,0.0,0.13033146175842103,0.0,0.06095981719148339,0.0,0.3496257813146619,0.26221933598599634,0.0,0.0,475.3261166666667,23.388888888888914,0.8,0.0,0.5659935833333333,0.02253125,1.0,452.7948666666667,452.7948666666667,0.0,24.388888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2342.83579531848,1582.5839999999998,0.0,72.56266990144819,51.66666666666668,46.10666666666668,0.0,51.56740826998364,0.44424625538387824,1208.346425375727,1582.5839999999998,113.37917172101281,49.7985758356029,51.56740826998364,48.91415961841253,12.43753247303448,22.83205011272355,-0.07268684120474317,-0.85,237.5744290169873,-1037.03982024749,0.0,0.0,720.5304850817851,401.2419777085323,2.28375,0.03317075883386849,0.0,0.0,0.8461258939046914,150.72661897999998,78.7576475160256,0.2551906058516261,12.17471601427224,0.004316512661867851,-2.4649798065688553,1.2091865348401132
