Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,1.1800844588890829,0.22719778257777726,0.7153599999999999,1.1800844588890829,0.22719778257777726,0.7153599999999998,0.11321052886864003,0.29313080502044275,0.723743125,0.05,0.0,0.7153599999999999,0.0,0.21261444924444392,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.03051984649122807,0.0,0.002864302076849951,0.0,0.07982638030056201,0.0,0.00964487269451746,0.0,0.23954055313111067,0.17965541484833294,0.0,0.0,14053.294019205789,18.944444444444457,0.5704166666666668,6063.198984905324,20.96513500444444,0.723743125,0.6166666666666667,19392.749879111114,31447.70250666667,0.0,19.944444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,80.34355043503001,51.66666666666668,46.10666666666668,0.0,48.709074580922724,0.0,0.0,0.0,125.53679755473439,48.740630965332066,48.75640915753673,48.709074580922724,12.43753247303448,18.65981654401559,-0.05278494747242686,1.5966321018827376,2.023143210862739,2.8,9.236100170605994,8857.125336620034,122.86934561292307,740.1779662558554,-5713.070027640006,0.0,0.0,587.5723378365717,0.0,3.0,0.2763683952991173,0.0,0.0,1.6400059736943333,197.99884266666666,-70.67099278231863,0.20718047464461567,8.577126259076612,0.0027028521904671468,-146.45143597680172,1.2276095940116922,0.0,0.0,188.08729886602796,0.7249112727551998,733.9111245301955,6.266841725659917
2025-01-01 01:00:00,1.0397724609223704,0.22637380671787447,0.5800216216216215,1.0397724609223702,0.22637380671787447,0.5800216216216215,0.11092154038179793,0.2920321705405724,0.5868187500000001,0.05,0.0,0.5800216216216215,0.0,0.21179047338454113,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042846744714944256,0.03213505853620819,0.0,0.0,0.02823085800438596,0.0,0.002864302076849951,0.0,0.07982638030056201,0.0,0.00964487269451746,0.0,0.23954055313111067,0.17965541484833294,0.0,0.0,11394.562718274963,18.944444444444457,0.46250000000000013,4916.107285058371,16.99875811171171,0.5868187500000001,0.5,15723.851253333334,31447.70250666667,0.0,19.944444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,78.46604848678986,51.66666666666668,46.10666666666668,0.0,47.960539549257675,0.0,0.0,0.0,122.60320076060916,47.99839732404361,48.01732621143658,47.960539549257675,12.43753247303448,18.6202827670115,-0.06587595047930214,2.563232945601966,2.603803734177894,2.5,9.236100170605994,6635.046028117796,-7821.3014497312915,-92.07436838971756,-5259.866328328001,0.0,0.0,584.1847148698592,0.0,3.0,0.25056689193424836,0.0,0.0,1.4868964996429253,197.99884266666666,-83.83507669902647,0.2064052297739653,8.539276866193863,0.002685860738352689,-93.50592640767289,1.2278482563776565,0.0,0.0,197.62135976162173,0.7249112727551998,-98.31807606796559,6.243707678248028
2025-01-01 02:00:00,1.0777950764425,0.2255498308579717,0.6186897297297296,1.0777950764425,0.2255498308579717,0.6186897297297296,0.11092154038179793,0.29093353606070205,0.62594,0.05,0.0,0.6186897297297296,0.0,0.21096649752463836,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.02823085800438596,0.0,0.002864302076849951,0.0,0.07982638030056201,0.0,0.00964487269451746,0.0,0.23954055313111067,0.17965541484833294,0.0,0.0,12154.200232826628,18.944444444444457,0.49333333333333346,5243.847770728929,18.13200865249249,0.62594,0.5333333333333333,16772.108003555557,31447.70250666667,0.0,19.944444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,76.35437163485973,51.66666666666668,46.10666666666668,0.0,47.23814677434913,0.0,0.0,0.0,119.30370567946832,47.274321101069184,47.29240826442922,47.23814677434913,12.43753247303448,18.68685260466517,-0.04568576185427388,1.7286042285858982,2.0314336306516254,1.6500000000000001,9.236100170605994,7576.2872060458485,-10417.966277182739,-357.7710251982722,-5070.84357045653,0.0,0.0,583.0860803899889,0.0,3.0,0.22733963429345674,0.0,0.0,1.3490629342592741,197.99884266666666,-90.15553671423653,0.20500604073077688,8.56234981028004,0.0026787959344550367,-16.022049586529892,1.227573330977705,0.0,0.0,237.9530207221123,0.7249112727551998,-362.2253965913327,4.454371393060604
2025-01-01 03:00:00,1.0751704496380683,0.2247258549980689,0.6186897297297296,1.0751704496380683,0.22472585499806888,0.6186897297297296,0.10939554805723652,0.28983490158083164,0.62594,0.05,0.0,0.6186897297297296,0.0,0.21014252166473557,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04064947575520353,0.030487106816402636,0.0,0.0,0.026704865679824562,0.0,0.002864302076849951,0.0,0.07982638030056201,0.0,0.00964487269451746,0.0,0.23954055313111067,0.17965541484833294,0.0,0.0,12154.200232826628,18.944444444444457,0.49333333333333346,5243.847770728929,18.13200865249249,0.62594,0.5333333333333333,16772.108003555557,31447.70250666667,0.0,19.944444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,74.61003136649077,51.66666666666668,46.10666666666668,0.0,46.542455763404256,0.0,0.0,0.0,116.57817401014181,46.5687449908795,46.58188960461713,46.542455763404256,12.43753247303448,18.634676965377786,-0.05784009525817405,1.618689346928501,1.793708968944729,1.6500000000000001,9.236100170605994,7326.344343538105,-6949.8350492223435,-134.900769654379,-5327.013982779293,0.0,0.0,580.461453585557,0.0,3.0,0.23997204990790028,0.0,0.0,1.4240253301853874,197.99884266666666,-81.3033600947855,0.20545407324652085,8.534487416312938,0.0026758658303938166,-112.684079593154,1.2277950900670824,0.0,0.0,239.3110987342431,0.7249112727551998,-138.2236820715814,3.3229124172023954
2025-01-01 04:00:00,1.210996190158198,0.22390187913816614,0.8031201622691734,1.210996190158198,0.22390187913816614,0.8031201622691733,0.10939554805723652,0.2887362671009613,0.762864375,0.05,0.049092054161065365,0.7540281081081079,0.0,0.2093185458048328,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.026704865679824562,0.0,0.002864302076849951,0.0,0.07982638030056201,0.0,0.00964487269451746,0.0,0.23954055313111067,0.17965541484833294,0.0,0.0,14812.931533757452,19.777777777777796,0.6012500000000002,6390.939470575883,22.09838554522522,0.762864375,0.65,20441.006629333333,31447.70250666667,0.0,20.777777777777796,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,1113.6702222222223,0.0,83.96333046293657,51.66666666666668,46.10666666666668,0.0,50.762221555070674,0.0,0.0,1113.6702222222223,131.19270384833837,50.78532805702344,50.796881307999826,50.762221555070674,12.43753247303448,19.40322366526737,-0.0862501327966014,0.6763054271389788,1.3824588206444008,0.55,9.236100170605994,9066.571803036722,-15033.449371415836,-791.926187176565,-6206.422842805522,0.0,0.0,579.3628191056868,0.0,3.0,0.2510666242808164,0.0,0.0,1.4898619763311438,197.99884266666666,-119.29970702089535,0.19433521388198524,8.866678260497189,0.002656458449212707,7.581742967806654,1.2240095134952946,0.0,0.0,274.2115144100174,0.7249112727551998,-795.616935416332,3.6907482397670077
2025-01-01 05:00:00,1.4867853970758047,0.232692846946581,0.9280345945945944,1.4867853970758047,0.232692846946581,0.9280345945945944,0.1918674882960238,0.30600790877978074,0.9389100000000001,0.05,0.0,0.9280345945945944,0.0,0.21810951361324765,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.02975685032894737,0.0,0.00561531025816527,0.0,0.15649532770891114,0.0,0.015195223962117126,0.0,0.2512618435423305,0.18844638265674782,0.0,0.0,18231.300349239944,21.111111111111143,0.7400000000000002,7865.771656093394,27.198012978738735,0.9389100000000001,0.8,25158.162005333335,31447.70250666667,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,83.13661915539612,51.66666666666668,46.10666666666668,0.0,51.674186868375514,0.0,0.0,0.0,129.90096743030642,51.70791345686468,51.72477675110926,51.674186868375514,12.43753247303448,20.58133074379614,-0.20205009718647665,-0.329629817200033,0.13682442401605696,-0.25000000000000006,9.236100170605994,11724.490139314126,-8847.036421945659,-369.3584822365857,-7035.045534239491,0.0,0.0,678.2859106945081,0.0,3.0,0.25659906520362424,0.0,0.0,1.5226921997461464,197.99884266666666,-150.05058638083062,0.18182959923270647,9.424062378293554,0.0026744156487450385,39.118975539051796,1.2184772742786845,0.0,0.0,288.24447445174496,0.7249112727551998,-372.34939491501774,2.9909126784320352
2025-01-01 06:00:00,1.3712279557962992,0.2590354264191156,0.5904455676745788,1.3712279557962992,0.2590354264191156,0.5904455676745788,0.4151566230442297,0.3583738327520696,0.5476975000000001,0.05,0.049092054161065365,0.5413535135135135,0.0,0.24445209308578225,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.03357183114035087,0.0,0.01321762114570718,0.0,0.36836717075817155,0.0,0.03243770863769315,0.0,0.28418801387930254,0.21314101040947683,0.0,0.0,10634.9252037233,19.444444444444457,0.43166666666666675,4588.366799387813,15.865507570930928,0.5476975000000001,0.4666666666666667,14675.594503111113,31447.70250666667,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,1113.6702222222223,0.0,82.35278757923192,51.66666666666668,46.10666666666668,0.0,51.120647688968724,0.4320169179654239,1161.6885640212101,1113.6702222222223,128.67623059254987,50.03225601477925,51.12125849818767,49.48744936846557,12.43753247303448,19.234986414662878,-0.05858803814664378,0.36256701945074815,0.7928268548453355,0.3,9.236100170605994,5391.169343382437,-11218.813298002551,-465.3512552535671,-6166.30301275303,0.0,0.0,951.6361374914146,0.0,3.0,0.24779668749913897,0.0,0.0,1.4704577465177104,197.99884266666666,-29.088985079246793,0.19672051339766258,8.79083597191248,0.00266209918453265,-105.09851364780431,1.2240959653828427,0.0,0.0,269.85935815389877,0.7249112727551998,-469.5266034439252,4.1753481903580685
2025-01-01 07:00:00,1.5528060751319503,0.26667721982647674,0.6573578378378377,1.5528060751319503,0.26667721982647674,0.6573578378378376,0.46276718426789476,0.3749776408640556,0.6650612500000002,0.05,0.0,0.6573578378378377,0.0,0.2520938864931434,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.03128284265350877,0.0,0.014946079295530426,0.0,0.41653826231885555,0.0,0.03885245887319769,0.0,0.2921798027960433,0.21913485209703243,0.0,0.0,12913.837747378293,19.444444444444457,0.5241666666666668,5571.588256399487,19.26525919327327,0.6650612500000002,0.5666666666666667,17820.36475377778,31447.70250666667,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,82.1637705822055,51.66666666666668,46.10666666666668,0.0,51.32866849287966,0.034965810685907775,93.94431548230676,0.0,128.3808915346961,49.81391051495822,51.32866849287966,49.05653152599751,12.43753247303448,19.100084612724615,-0.0724486835155894,-0.47175286813203515,0.1417724516783413,-0.55,9.236100170605994,7288.198946395506,-12722.148647121901,-656.7158885630839,-6559.58152385091,0.0,0.0,984.5022615682273,4.000377883807811,2.5334999999999996,0.25306863606701835,0.0,0.0,1.5017421744457802,167.210022632,-50.55953870010258,0.19782793041420402,8.720199064803047,0.002655033887492064,19.295575949539618,1.2246651262994406,0.0,0.0,291.005281158192,0.7249112727551998,-661.1242898623105,4.4084012992264965
2025-01-01 08:00:00,1.3909928570378594,0.24248689637698082,0.8551822524306043,1.3909928570378596,0.24248689637698082,0.8551822524306043,0.23314712502540266,0.32542073201245664,0.782425,0.05,0.08182009026844228,0.773362162162162,0.0,0.2279035630436475,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.023652881030701754,0.0,0.00725661925757726,0.0,0.20223762473712364,0.0,0.021549314620926584,0.0,0.2588274037168451,0.19412055278763374,0.0,0.0,15192.750291033282,19.444444444444457,0.6166666666666669,6554.809713411162,22.665010815615613,0.782425,0.6666666666666666,20965.135004444444,31447.70250666667,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,1856.117037037037,0.0,82.5897937588848,51.66666666666668,46.10666666666668,0.0,51.410302876845364,0.46899128101031273,1266.4204604110082,1856.117037037037,129.0465527482575,49.98413571560692,51.410302876845364,49.27105213498769,12.43753247303448,19.140392911419255,-0.05798772717968141,-1.317271289206795,-0.645078455501577,-1.4,9.236100170605994,8705.67906458967,-13103.848405859608,-717.9737455883896,-7136.279383782324,0.0,0.0,641.6768470910135,295.3537729832079,1.5337500000000002,0.26278780241250727,0.0,0.0,1.559416970612973,101.22690831333334,7.53131024769573,0.19840719308727467,8.75807874482023,0.002668363919546654,198.68422096038654,1.2250615054422451,0.0,0.0,304.927416867759,0.7249112727551998,-723.4857576757212,5.512012087331628
2025-01-01 09:00:00,1.1770347796289897,0.23393568223606823,0.6573578378378377,1.1770347796289895,0.2339356822360682,0.6573578378378376,0.15321663474938108,0.30875689487960845,0.6650612500000002,0.05,0.0,0.6573578378378377,0.0,0.21935234890273486,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.019074904057017544,0.0,0.004646502202760139,0.0,0.1294952284896034,0.0,0.01628709634262854,0.0,0.2474257848622949,0.18556933864672112,0.0,0.0,12913.837747378293,19.444444444444457,0.5241666666666668,5571.588256399487,19.26525919327327,0.6650612500000002,0.5666666666666667,17820.36475377778,31447.70250666667,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10953.82584888889,0.0,0.0,85.7970625037196,51.66666666666668,46.10666666666668,0.0,51.31488299595324,0.0,0.0,0.0,134.05791016206186,51.2893100298656,51.31493960891267,51.27646693386235,12.43753247303448,19.168719626062956,-0.04851664653796176,-0.9007016394979341,-0.4196272436356786,-0.85,9.236100170605994,6737.778472501242,-8801.476168249439,-409.14448085266133,-6846.590139941438,0.0,0.0,524.8927556792955,850.0001081215466,1.21575,0.2589508170832462,0.0,0.0,1.5366478010262876,80.23903099066666,145.63810938509178,0.201068489805381,8.820565791474015,0.002707739232655644,417.9655408964127,1.2255283624423183,0.0,0.0,281.7728855663155,0.7249112727551998,-419.1552062315504,10.010725378889013
