Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Gas Grill Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.20104581742722505,0.06316642583907225,0.041006568623819434,0.20104581742722502,0.06316642583907225,0.04100656862381943,0.012217850976666911,0.08704912029671198,0.10177884615384616,0.0,0.0,0.00022166471101893782,0.0407849039128005,0.0,0.06316642583907225,0.0,0.0,1.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0037872532894736837,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,0.00022166471101893782,0.0,0.0,1058.6316013390312,19.500000000000057,0.3869184193566976,0.0,1.1952877106284343,0.10177884615384616,0.48333333333333334,956.8527551851852,1979.6953555555556,0.0,0.0,48.79749426188612,51.66666666666668,46.10666666666668,0.0,51.43017302088213,0.0,0.0,0.0,76.24608478419708,51.45555412283098,51.468244673805415,51.43017302088213,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2885.3298032887824,19.20693228784837,-0.054994430319493644,2.8,500.1998756626313,-721.6931393189518,0.0,0.0,161.7028583243759,0.0,1.0,0.03374711829722442,0.0,0.0,1.6655146147972313,65.99961422222222,1.5585553181759078,0.22847647648795957,9.269224167846309,0.0030862503346632928,-26.10007983425424,1.225028899212283
2025-01-01 01:00:00,0.19290975483732364,0.06254183497110219,0.03802756809656898,0.19290975483732364,0.06254183497110219,0.03802756809656899,0.011933806979956385,0.0862163324727519,0.09475961538461539,0.0,0.0,5.5416177754734454e-05,0.03797215191881425,0.0,0.06254183497110219,0.0,0.0,1.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0035032092927631572,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,5.5416177754734454e-05,0.0,0.0,985.6225253846153,19.500000000000057,0.360234390435546,0.0,1.1128540754126803,0.09475961538461539,0.45,890.86291,1979.6953555555556,0.0,0.0,47.877339366504,51.66666666666668,46.10666666666668,0.0,50.81411806992078,0.0,0.0,0.0,74.8083427601625,50.85273624467723,50.872045332055464,50.81411806992078,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2882.6502375370173,19.211798998754173,-0.047496214300298746,2.5,479.2891513367224,-687.5447026145473,0.0,0.0,179.2969171357053,0.0,1.2835,0.03156683603575504,0.0,0.0,1.557911591070045,84.71050485422221,1.914411430949032,0.2267225303744755,9.245777423363513,0.003063233007345377,-2.7975077402040385,1.2250848940466927
2025-01-01 02:00:00,0.19207696701336363,0.06191724410313215,0.03802756809656898,0.1920769670133636,0.06191724410313215,0.03802756809656899,0.011933806979956385,0.08538354464879185,0.09475961538461539,0.0,0.0,5.5416177754734454e-05,0.03797215191881425,0.0,0.06191724410313215,0.0,0.0,1.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0035032092927631572,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,5.5416177754734454e-05,0.0,0.0,985.6225253846153,19.500000000000057,0.360234390435546,0.0,1.1128540754126803,0.09475961538461539,0.45,890.86291,1979.6953555555556,0.0,0.0,47.00530677628259,51.66666666666668,46.10666666666668,0.0,50.23175535154103,0.0,0.0,0.0,73.44579183794153,50.260908646967486,50.27548529468073,50.23175535154103,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876.0943682292377,19.19654093220239,-0.05355208369116386,1.6500000000000001,532.8635768135177,-682.9303869496101,0.0,0.0,225.75285290196746,0.0,2.0,0.02972273667959215,0.0,0.0,1.4669001333871508,131.99922844444444,4.418585476545066,0.22896561415383626,9.269893902697982,0.003090742494928364,41.60600133609338,1.2251285390640658
2025-01-01 03:00:00,0.19105481652492984,0.061292653235162094,0.038082984274323724,0.19105481652492984,0.06129265323516209,0.038082984274323724,0.0117444443154827,0.08455075682483176,0.09475961538461539,0.0,0.0,0.00011083235550946891,0.03797215191881425,0.0,0.061292653235162094,0.0,0.0,1.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.0033138466282894735,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,0.00011083235550946891,0.0,0.0,985.6225253846153,19.500000000000057,0.360234390435546,0.0,1.1128540754126803,0.09475961538461539,0.45,890.86291,1979.6953555555556,0.0,0.0,46.13550192947331,51.66666666666668,46.10666666666668,0.0,49.64369193116478,0.0,0.0,0.0,72.08672176480204,49.6802878336703,49.698585784923075,49.64369193116478,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876.887195233478,19.190506094933806,-0.052931060343935715,1.6500000000000001,507.38650237389425,-707.9966750869245,0.0,0.0,224.7307024135337,0.0,2.0,0.030860492441095812,0.0,0.0,1.5230515603672126,131.99922844444444,5.029949662669758,0.23212770348508582,9.314331397493914,0.0031324812940285904,23.90985711768925,1.2251229446441552
2025-01-01 04:00:00,0.20825087485481591,0.06285556236719204,0.04257919315407675,0.20825087485481591,0.06285556236719204,0.04257919315407675,0.0117444443154827,0.08371796900087171,0.10528846153846154,0.007499999999999999,0.0,0.0003879132442831412,0.042191279909793614,0.0,0.06066806236719204,0.0,0.002187500000000001,1.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0033138466282894735,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,0.0003879132442831412,0.0,0.0,1095.1361393162392,19.500000000000057,0.40026043381727333,0.0,1.2365045282363114,0.10528846153846154,0.5,989.8476777777778,1979.6953555555556,0.0,0.0,45.24043198595207,51.66666666666668,46.10666666666668,0.0,49.0802567152094,0.0,0.0,0.0,70.6881749780501,49.1106090305975,49.12578518829155,49.0802567152094,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,2865.8132499779804,19.2125236475006,-0.05581627967115128,0.55,547.6738434157317,-778.392507303225,0.0,0.0,223.89791458957365,0.0,2.0,0.03173062337490116,0.0,0.0,1.5659949540601537,131.99922844444444,7.0322968131439145,0.2331095417485458,9.341998990606918,0.0031515623091024634,34.919763813227135,1.2244420775030134
2025-01-01 05:00:00,0.2171242097295617,0.06418041010179217,0.051872951261443735,0.21712420972956167,0.06418041010179217,0.051872951261443735,0.014577106293744934,0.08624902651273982,0.10879807692307693,0.007499999999999999,0.007610301221600186,0.0006649941330568135,0.043597655906786735,0.0,0.06199291010179217,0.0,0.002187500000000001,1.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0036925719572368423,0.0,0.010884534336508093,0.0,0.0035918130436835742,0.0,0.052676851806493806,0.03950763885487034,0.0006649941330568135,0.0,0.0,1131.6406772934472,19.500000000000057,0.41360244827784914,0.0,1.2777213458441885,0.10879807692307693,0.5166666666666667,1022.8426003703704,1979.6953555555556,175.84266666666664,0.0,43.799875974994265,51.66666666666668,46.10666666666668,0.0,48.4283173547367,0.08389103321678414,209.28176155317772,175.84266666666664,68.43730621092854,48.149662317794466,48.47162628994679,47.96702586411327,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,2859.7249970280604,19.210695921049265,-0.05401902222523288,-0.25000000000000006,557.796879294725,-811.8870902354897,0.0,0.0,229.13798162447463,0.0,2.0,0.03168899995497967,0.0,0.0,1.563940721945088,131.99922844444444,8.90531061229297,0.23695251445809853,9.397290165869915,0.0032050318499263516,35.11380385661873,1.2237956349021102
2025-01-01 06:00:00,0.2453063031985275,0.06986273618043269,0.09707045761588222,0.2453063031985275,0.06986273618043269,0.09707045761588222,0.03477605947050195,0.09774178218956402,0.10528846153846154,0.007499999999999999,0.053272108551201305,0.0016070691548872994,0.042191279909793614,0.0,0.06767523618043268,0.0,0.002187500000000001,1.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.004165978618421052,0.0,0.03061008085208089,0.0,0.007508133948987075,0.0,0.05858771093009436,0.04394078319757075,0.0016070691548872994,0.0,0.0,1095.1361393162392,19.500000000000057,0.40026043381727333,0.0,1.2365045282363114,0.10528846153846154,0.5,989.8476777777778,1979.6953555555556,1230.8986666666667,0.0,47.69191180798648,51.66666666666668,46.10666666666668,0.0,51.4581034985305,0.3480936291774916,942.1598404004482,1230.8986666666667,74.51861219997888,50.6813489584454,51.4581034985305,50.29297168840286,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,2866.16355906445,19.205942650802736,-0.05198202717020948,0.3,577.5983727725613,-785.537149797169,0.0,0.0,260.4159303394038,0.0,2.0,0.03161540761077369,0.0,0.0,1.5603087340599973,131.99922844444444,7.58345291408728,0.23837900525953276,9.415930737102055,0.003223452937647538,13.065315639970455,1.2238019005278469
2025-01-01 07:00:00,0.26399684589967026,0.0748450736067396,0.043334048089518275,0.26399684589967026,0.0748450736067396,0.04333404808951828,0.04348265793635093,0.10373534180947318,0.10177884615384616,0.014999999999999998,0.0,0.002549144176717785,0.0407849039128005,0.0,0.0704700736067396,0.0,0.004375000000000002,1.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0038819346217105265,0.0,0.0396007233146404,0.0,0.009775243667153686,0.0,0.06064858518391677,0.04548643888793756,0.002549144176717785,0.0,0.0,1058.6316013390312,19.500000000000057,0.3869184193566976,0.0,1.1952877106284343,0.10177884615384616,0.48333333333333334,956.8527551851852,1979.6953555555556,0.0,0.0,44.82284468310389,51.66666666666668,46.10666666666668,0.0,50.94780849544391,0.038682482659546304,104.64088077658886,0.0,70.03569481734982,48.721892915549255,50.94780849544391,47.608935125601924,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,2856.97630492437,19.161231066280777,-0.06717431013047588,-0.55,447.4138062391218,-842.3903740386437,0.0,0.0,221.05014240783882,2.6629831044027292,1.183,0.032408165042386125,0.0,0.0,1.5994335291524489,78.07754362488889,10.122436530895467,0.23978045455439725,9.406739657455253,0.0032334246343693977,-13.384674667107067,1.2239817661376797
2025-01-01 08:00:00,0.23357455018413048,0.0681660167070423,0.05025509571897442,0.23357455018413045,0.0681660167070423,0.050255095718974414,0.011365718986535333,0.08788190812067204,0.11932692307692308,0.014999999999999998,0.0,0.002438311821208316,0.0478167838977661,0.0,0.06379101670704229,0.0,0.004375000000000002,1.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.002935121299342105,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,0.002438311821208316,0.0,0.0,1241.1542912250711,19.500000000000057,0.4536284916595764,0.0,1.4013717986678196,0.11932692307692308,0.5666666666666667,1121.827368148148,1979.6953555555556,0.0,0.0,43.74692386951217,51.66666666666668,46.10666666666668,0.0,50.29500787127911,0.0,0.0,0.0,68.35456854611276,48.05944208356597,50.29500787127911,46.941659189709405,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,2846.842570358225,19.21687282144107,-0.05365649726716448,-1.4,459.10530282250716,-915.0228079104826,0.0,0.0,95.68389993598217,149.50103932916528,0.0,0.03357094668771448,0.0,0.0,1.6568200534492992,0.0,37.28991957193662,0.23586522107745939,9.387059936241693,0.0031900124098952565,-40.74608277912959,1.2243558475388376
2025-01-01 09:00:00,0.21896800065224786,0.0681660167070423,0.044463343197737724,0.21896800065224786,0.0681660167070423,0.04446334319773773,0.01079763099311428,0.08788190812067204,0.10528846153846154,0.014999999999999998,0.0,0.002272063287944113,0.042191279909793614,0.0,0.06379101670704229,0.0,0.004375000000000002,1.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0023670333059210525,0.0,0.008430597687193227,0.0,0.0028272191779489518,0.0,0.05091038816036031,0.03818279112027022,0.002272063287944113,0.0,0.0,1095.1361393162392,19.500000000000057,0.40026043381727333,0.0,1.2365045282363114,0.10528846153846154,0.5,989.8476777777778,1979.6953555555556,0.0,0.0,42.89479126542281,51.66666666666668,46.10666666666668,0.0,49.67203107483507,0.0,0.0,0.0,67.02311135222314,47.51904860808187,49.67203107483507,46.442557374705274,12.43753247303448,0.0,20.500000000000057,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,2852.6524301774434,19.237114055942794,-0.045034189627394854,-0.85,390.2583151182946,-876.9850444048494,0.0,0.0,95.11581194256112,349.7355647695634,0.0,0.03305189805585312,0.0,0.0,1.6312035526701283,0.0,76.99140826434365,0.23391110131157256,9.373212789979378,0.0031658375860409292,-2.9961205326240505,1.2249030945987234
