Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.22694093272931734,0.10608805594821974,0.1300209703559116,0.22694093272931734,0.10608805594821974,0.1300209703559116,0.012909382412254432,0.1452815503170629,0.06875,0.0,0.1300209703559116,0.0,0.10608805594821974,0.0,1.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.004278193530701754,0.0,0.00863118888155268,0.0,0.0038308090527698724,0.0,0.0975053620694784,0.07312902155210878,3119.1660064444445,25.5555555555556,0.5203385639624554,0.0,3.810539024995185,0.06875,0.65,3050.4160064444445,4692.947702222223,0.0,0.0,38.8699029221264,51.66666666666668,46.10666666666668,0.0,50.91635721711771,0.0,0.0,0.0,60.7342233158225,50.966742303575835,50.99193484680491,50.91635721711771,12.43753247303448,25.278019114825863,-0.049708881766091825,2.8,9.236100170605994,2527.691969230375,-664.2391187209503,0.0,-80.77420169870379,217.36517160667606,0.0,1.0,0.022672902478785752,0.0,0.002752967472625852,0.6485678259183074,65.99961422222222,-63.825888401091426,0.14426116492321248,11.651678872902274,0.0028190647100197904,15.807785522236722,1.2003008871918759
2025-01-01 01:00:00,0.2219957927090033,0.10526408008831697,0.12335322828637765,0.2219957927090033,0.10526408008831697,0.12335322828637765,0.0125885178974518,0.14418291583719253,0.06522435897435898,0.0,0.12335322828637765,0.0,0.10526408008831697,0.0,1.0,0.0,0.0,0.0,0.0,0.042846744714944256,0.03213505853620819,0.0,0.0,0.003957329015899122,0.0,0.00863118888155268,0.0,0.0038308090527698724,0.0,0.0975053620694784,0.07312902155210878,2959.2087753447295,25.5555555555556,0.4936545350413038,0.0,3.6151267673031238,0.06522435897435898,0.6166666666666667,2893.9844163703706,4692.947702222223,0.0,0.0,38.12625843013886,51.66666666666668,46.10666666666668,0.0,50.46921866505697,0.0,0.0,0.0,59.57227879709197,50.48651997321379,50.49517062729219,50.46921866505697,12.43753247303448,25.29023529091982,-0.04779841347201348,2.5,9.236100170605994,2399.0573032932134,-642.4092940534771,0.0,-70.76284449765124,215.94567261200305,0.0,1.0,0.021620721134986032,0.0,0.00238155437663769,0.6122545138244824,65.99961422222222,-62.92500611239084,0.14464131182128812,11.667052845382251,0.002828450183536808,18.313103927407692,1.2003031954756516
2025-01-01 02:00:00,0.22089715822913294,0.1044401042284142,0.12335322828637765,0.22089715822913294,0.1044401042284142,0.12335322828637765,0.0125885178974518,0.14308428135732218,0.06522435897435898,0.0,0.12335322828637765,0.0,0.1044401042284142,0.0,1.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.003957329015899122,0.0,0.00863118888155268,0.0,0.0038308090527698724,0.0,0.0975053620694784,0.07312902155210878,2959.2087753447295,25.5555555555556,0.4936545350413038,0.0,3.6151267673031238,0.06522435897435898,0.6166666666666667,2893.9844163703706,4692.947702222223,0.0,0.0,37.474574815146134,51.66666666666668,46.10666666666668,0.0,49.97539841524122,0.0,0.0,0.0,58.554023148665834,50.01505763160912,50.03488723979307,49.97539841524122,12.43753247303448,25.2487622767042,-0.0627763274080842,1.6500000000000001,9.236100170605994,2416.9477626923785,-640.5172278592757,0.0,-58.867957607702195,214.8470381321327,0.0,1.0,0.020732297960170485,0.0,0.0019035593912013744,0.5773996649173108,65.99961422222222,-57.72286531750544,0.1456246304678744,11.662328596634422,0.0028406886185456423,24.184385797211565,1.2004612496622225
2025-01-01 03:00:00,0.1666999986881121,0.1036161283685114,0.023337097243368746,0.16669999868811208,0.10361612836851142,0.023337097243368746,0.012374608220916714,0.1419856468774518,0.012339743589743591,0.0,0.023337097243368746,0.0,0.1036161283685114,0.0,1.0,0.0,0.0,0.0,0.0,0.04064947575520353,0.030487106816402636,0.0,0.0,0.003743419339364035,0.0,0.00863118888155268,0.0,0.0038308090527698724,0.0,0.0975053620694784,0.07312902155210878,559.8503088490029,22.222222222222285,0.09339410122403044,0.0,0.6839429019222126,0.012339743589743591,0.11666666666666667,547.5105652592594,4692.947702222223,0.0,0.0,40.33411473952946,51.66666666666668,46.10666666666668,0.0,49.50319175364151,0.0,0.0,0.0,63.02205428051478,49.53617090345635,49.552660478363784,49.50319175364151,12.43753247303448,22.88034885582895,-0.02000916179701046,1.6500000000000001,9.236100170605994,177.7853664637127,-556.6469438767672,0.0,-11.953796838985165,213.53449397572726,0.0,1.0,0.02001305666759086,0.0,0.00038933128555687435,0.520427911556287,65.99961422222222,-26.998695645265048,0.1691264836837996,10.654736096122162,0.0028549924026985136,19.261550842862032,1.2100710289230823
2025-01-01 04:00:00,0.19869955067467954,0.10458134120316645,0.07667903379964017,0.19869955067467954,0.10458134120316645,0.07667903379964017,0.01414724082590091,0.1440074380539068,0.04054487179487179,0.0,0.07667903379964017,0.0,0.10458134120316645,0.0,1.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.003743419339364035,0.0,0.010403821486536876,0.0,0.004565649783018181,0.0,0.0998909469955555,0.07491821024666659,1839.5081576467237,22.222222222222285,0.3068663325932429,0.0,2.2472409634586987,0.04054487179487179,0.38333333333333336,1798.963285851852,4692.947702222223,0.0,0.0,40.728917190724104,51.66666666666668,46.10666666666668,0.0,48.967199079386646,0.07136027678517314,180.349690023132,0.0,63.63893311050641,48.85582979984641,48.99887454654163,48.76846969292131,12.43753247303448,21.931786379323324,-0.05675550614203247,0.55,9.236100170605994,1450.2923877159787,-560.8360448461674,0.0,0.0,217.16192681234108,0.0,1.0,0.019952989297787046,0.0,0.0,0.5089645669613969,65.99961422222222,-45.541651896918864,0.17925420932870242,10.246924780576608,0.0028645822711377447,28.574711861277592,1.2133686843018507
2025-01-01 05:00:00,0.25014325464088605,0.12136718422847254,0.1485056158288088,0.25014325464088605,0.12136718422847254,0.1485056158288088,0.03415280250512987,0.1736827598280639,0.0423076923076923,0.06849271099440167,0.08001290483440714,0.0,0.12136718422847254,0.0,1.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.0041712386924342105,0.0,0.029981563812695664,0.0,0.01185984752343377,0.0,0.12227207102929695,0.09170405327197267,1919.4867731965812,22.222222222222285,0.3202083470538187,0.0,2.344947092304729,0.0423076923076923,0.4,1877.1790808888888,4692.947702222223,1582.5839999999998,0.0,40.99088035197424,51.66666666666668,46.10666666666668,0.0,50.426426390059625,0.5140594761836806,1383.1329610796588,1582.5839999999998,64.04825054995975,48.97354254086494,50.426426390059625,48.247100616267595,12.43753247303448,21.941076425612877,-0.051902743420242814,-0.25000000000000006,9.236100170605994,1545.6342303243869,-582.9600535079024,0.0,0.0,265.27613158336516,0.0,1.0,0.019955002773954587,0.0,0.0,0.5090159270864592,65.99961422222222,-56.16862094765702,0.18043083172756236,10.270983782767916,0.0028866156678817607,31.095944315488087,1.212705093661103
2025-01-01 06:00:00,0.30029612015101137,0.12835017132841414,0.14089531460720864,0.30029612015101137,0.12835017132841414,0.1408953146072086,0.06817063701283574,0.18981779083048328,0.0423076923076923,0.06088240977280149,0.08001290483440714,0.0,0.12835017132841414,0.0,1.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.00470601288377193,0.0,0.06346462412906381,0.0,0.018684229059264378,0.0,0.129385451536145,0.09703908865210872,1919.4867731965812,22.222222222222285,0.3202083470538187,0.0,2.344947092304729,0.0423076923076923,0.4,1877.1790808888888,4692.947702222223,1406.7413333333332,0.0,43.2031663314442,51.66666666666668,46.10666666666668,0.0,51.97803746913147,0.3187186722958784,876.9334175786425,1406.7413333333332,67.50494739288156,50.390946322986984,51.97803746913147,49.59740074991475,12.43753247303448,21.92199950611953,-0.053211133389511465,0.3,9.236100170605994,1605.8953219936152,-565.3431721229755,0.0,0.0,314.93106045801113,0.0,1.0,0.019895808082725435,0.0,0.0,0.5075059778784374,65.99961422222222,-63.179339538001926,0.18134637696171066,10.27498345865578,0.0028979594635360297,17.674719683442675,1.2127751284403703
2025-01-01 07:00:00,0.22741377654039832,0.11070741585053265,0.09334838897347499,0.22741377654039832,0.11070741585053265,0.09334838897347499,0.023463927443354758,0.1545908747380692,0.049358974358974364,0.0,0.09334838897347499,0.0,0.11070741585053265,0.0,1.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.004385148368969297,0.0,0.019078779074385464,0.0,0.006980986937358934,0.0,0.10366450860589561,0.0777483814544217,2239.4012353960115,22.222222222222285,0.37357640489612176,0.0,2.7357716076888505,0.049358974358974364,0.4666666666666667,2190.0422610370374,4692.947702222223,0.0,0.0,43.46907687303462,51.66666666666668,46.10666666666668,0.0,52.21664773856477,0.0650033941715761,181.70570273007286,0.0,67.92043261411659,50.572756406372164,52.21664773856477,49.750810740275874,12.43753247303448,21.884138488173278,-0.0706135946370597,-0.55,9.236100170605994,1754.342461346859,-601.7752728359428,0.0,0.0,180.6982287123446,1.8077563902462397,0.15,0.020341539175947464,0.0,0.0,0.5188757696152646,9.899942133333333,-63.98172992555424,0.181869124477799,10.259893259673197,0.002899558753597108,-15.550957665254947,1.21292967801985
2025-01-01 08:00:00,0.21297440956221572,0.10691203180812252,0.10335000207777587,0.21297440956221572,0.10691203180812252,0.10335000207777587,0.01194678886784654,0.1463801847969333,0.0546474358974359,0.0,0.10335000207777587,0.0,0.10691203180812252,0.0,1.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.0033155999862938598,0.0,0.00863118888155268,0.0,0.0038308090527698724,0.0,0.0975053620694784,0.07312902155210878,2479.337082045584,22.222222222222285,0.41360244827784914,0.0,3.0288899942269416,0.0546474358974359,0.5166666666666667,2424.6896461481488,4692.947702222223,0.0,0.0,42.32675761201556,51.66666666666668,46.10666666666668,0.0,51.58242379089564,0.0,0.0,0.0,66.13555876877432,49.84647135156662,51.58242379089564,48.978495131902115,12.43753247303448,21.92730954614765,-0.05279111958421533,-1.4,9.236100170605994,1945.375897993388,-646.9757571698043,0.0,0.0,151.50159831991633,116.00174958434933,0.0,0.02097893867882238,0.0,0.0,0.5351346748409652,0.0,-38.487025202308274,0.18099686674662008,10.274624246509777,0.002891909765145883,-3.920732535000122,1.213327508020437
2025-01-01 09:00:00,0.20704421899414888,0.10691203180812252,0.09334838897347499,0.20704421899414888,0.10691203180812252,0.09334838897347499,0.011305059838241276,0.1463801847969333,0.049358974358974364,0.0,0.09334838897347499,0.0,0.10691203180812252,0.0,1.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.0026738709566885965,0.0,0.00863118888155268,0.0,0.0038308090527698724,0.0,0.0975053620694784,0.07312902155210878,2239.4012353960115,22.222222222222285,0.37357640489612176,0.0,2.7357716076888505,0.049358974358974364,0.4666666666666667,2190.0422610370374,4692.947702222223,0.0,0.0,41.48111353767489,51.66666666666668,46.10666666666668,0.0,50.989513577419714,0.0,0.0,0.0,64.814239902617,49.32384920569656,50.989513577419714,48.49101701983499,12.43753247303448,21.961406018651996,-0.04991791148951238,-0.85,9.236100170605994,1773.2809260971728,-623.5145814931179,0.0,0.0,150.85986929031105,298.2247754702288,0.0,0.020696227823631837,0.0,0.0,0.5279232336959887,0.0,6.534402903968084,0.18095015952377735,10.298160321334256,0.002895714951018132,17.51520223798541,1.213793359704478
