Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Gas Power (therms/hour),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.28820729694288755,0.09599998125633855,0.07660166350470836,0.004803454949048126,0.0015999996876056423,0.0012766943917451392,0.013144648088776398,0.1692934180848804,0.10576923076923075,0.0,0.00269977987884927,0.07390188362585909,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,On,1839.577924102564,15.5555555555556,0.8005208676345466,0.0,2.165850714743455,0.10576923076923075,1,1733.8086933333334,1733.8086933333334,Off,0.0,0,96.48006172784862,51.666666666666686,46.10666666666668,0.0,51.5808479507645,0.0,0.0,0.0,150.75009644976348,51.631390567970634,51.65666187657371,51.5808479507645,12.43753247303448,15.672178864614335,0.0,2.8,1769.9456633511222,-275.12298487896516,-0.0,-0.0,204.3433466168955,0.0,1.0,0.01640050257967259,0.0,0,0.3051876196718071,65.99961422222222,1.147377510627713,0.2647297808751608,7.324496152522392,0.0028679530348657816,26.366768060271024,1.2366311094535674
2025-01-01 00:01:00,0.28820729694288755,0.09599998125633855,0.07660166350470836,0.004803454949048126,0.0015999996876056423,0.0012766943917451392,0.013144648088776398,0.1692934180848804,0.10576923076923075,0.0,0.00269977987884927,0.07390188362585909,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,On,1839.577924102564,15.5555555555556,0.8005208676345466,0.0,2.165850714743455,0.10576923076923075,1,1733.8086933333334,1733.8086933333334,Off,0.0,0,96.32279967544652,51.666666666666686,46.10666666666668,0.0,51.55962451281676,0.0,0.0,0.0,150.50437449288518,51.61134755559104,51.63720907697819,51.55962451281676,12.43753247303448,15.71071101264327,0.0,2.8,1764.761793801986,-276.21370316209465,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016416380449966364,0.0,0,0.30548308192467855,65.99961422222222,-2.945773755379019,0.26486510657728307,7.365631206607771,0.0028681326775015113,26.331526682516472,1.2400778942199486
2025-01-01 00:02:00,0.28820729694288755,0.09599998125633855,0.07660166350470836,0.004803454949048126,0.0015999996876056423,0.0012766943917451392,0.013144648088776398,0.1692934180848804,0.10576923076923075,0.0,0.00269977987884927,0.07390188362585909,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,On,1839.577924102564,15.5555555555556,0.8005208676345466,0.0,2.165850714743455,0.10576923076923075,1,1733.8086933333334,1733.8086933333334,Off,0.0,0,96.16831872983897,51.666666666666686,46.10666666666668,0.0,51.538436463083954,0.0,0.0,0.0,150.2629980153734,51.59133721322851,51.6177875883008,51.538436463083954,12.43753247303448,15.748239406951791,0.0,2.8,1759.6186651903672,-277.2775228640464,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016431843609604584,0.0,0,0.3057708270629551,65.99961422222222,-7.025082665045918,0.26424576476820216,7.383948325140913,0.002868311581382293,26.296981826437857,1.2399166720636208
2025-01-01 00:03:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.01651208019268,51.666666666666686,46.10666666666668,0.0,51.517283187159805,0.0,0.0,0.0,150.02580012530106,51.57135896312889,51.59839685111343,51.517283187159805,12.43753247303448,15.78480327659537,0.0,2.8,-85.05465521901573,-278.3154378578816,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016446908284228585,0.0,0,0.3060511570203631,65.99961422222222,-11.08256397802964,0.2636443129563113,7.401717902489313,0.0028684902737872446,26.263080279298457,1.2397596305087295
2025-01-01 00:04:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.04540870581657,51.666666666666686,46.10666666666668,0.0,51.49616409419224,0.0,0.0,0.0,150.0709511028384,51.551412249727136,51.579036327494585,51.49616409419224,12.43753247303448,15.754051468343013,0.0,2.8,-84.86067480037485,-277.44241132987435,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016434238306915046,0.0,0,0.3058153886224844,65.99961422222222,-11.761610087396,0.2641801949572837,7.387257267265255,0.002868668758431453,26.274417291425383,1.2398914606992855
2025-01-01 00:05:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.07150507592247,51.666666666666686,46.10666666666668,0.0,51.475039372342465,0.0,0.0,0.0,150.11172668112886,51.53145953326719,51.559669613729554,51.475039372342465,12.43753247303448,15.724337310937354,0.0,2.8,-83.63641791684495,-276.5997959139191,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016421995141739802,0.0,0,0.3055875625288065,65.99961422222222,-11.379968619821383,0.2646997061483938,7.372792011608626,0.002868847301136931,26.285069130213895,1.2400188646894303
2025-01-01 00:06:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.09483489343926,51.666666666666686,46.10666666666668,0.0,51.453909638290746,0.0,0.0,0.0,150.14817952099884,51.51150139548122,51.540297274076465,51.453909638290746,12.43753247303448,15.695648826235365,0.0,2.8,-81.7518826699409,-275.78715465850996,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016410173937207496,0.0,0,0.305367588460613,65.99961422222222,-10.308074628326434,0.2652029365834863,7.358891456195817,0.002869025897873357,26.29504320590701,1.2401418911705768
2025-01-01 00:07:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.115463560519,51.666666666666686,46.10666666666668,0.0,51.43277550127037,0.0,0.0,0.0,150.18041181331094,51.491538411099874,51.52091986601464,51.43277550127037,12.43753247303448,15.667962214914914,0.0,2.8,-79.82434355145321,-275.0037210638978,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016398764964624158,0.0,0,0.3051552853821741,65.99961422222222,-9.163969104450931,0.26569018260641725,7.346114689179011,0.0028692045446555626,26.30435490106223,1.2402606397311091
2025-01-01 00:08:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.13351132201652,51.666666666666686,46.10666666666668,0.0,51.411637556084386,0.0,0.0,0.0,150.2086114406508,51.47157114126699,51.501537933858295,51.411637556084386,12.43753247303448,15.641233224431383,0.0,2.8,-78.04596910161052,-274.2481567490604,-0.0,-0.0,204.3433466168955,0.0,1.0,0.01638775005993119,0.0,0,0.30495031528885974,65.99961422222222,-8.141158969445623,0.26616209597955853,7.333292438120384,0.002869383237590243,26.313033394720804,1.2403752979749214
2025-01-01 00:09:00,0.1824380661736568,0.09599998125633855,0.00269977987884927,0.003040634436227613,0.0015999996876056423,4.49963313141545e-05,0.013144648088776398,0.1692934180848804,0.0,0.0,0.00269977987884927,0.0,0.0,0.09599998125633855,0,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.004654961622807018,0.0,On,0.008489686465969381,0,On,0.0033841399576311527,0,On,0.08835758085979571,0.06626818564484677,On,0.03790930311879783,0,On,0.00269977987884927,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,1733.8086933333334,Off,0.0,0,96.14911022309964,51.666666666666686,46.10666666666668,0.0,51.39049637102392,0.0,0.0,0.0,150.23298472359318,51.45160012214642,51.48215199770767,51.39049637102392,12.43753247303448,15.615413179283705,0.0,2.8,-76.39707737362897,-273.5190064794333,-0.0,-0.0,204.3433466168955,0.0,1.0,0.016377109228674774,0.0,0,0.3047523061152567,65.99961422222222,-7.221417511091193,0.26661941307619547,7.320970798431763,0.00286956197295686,26.321110888499955,1.2404860727297184
