Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,8.037059254338207,5.183110828022901,0.0,0.13395098757230345,0.08638518046704835,0.0,0.03647896680633968,0.0,0.4038999066532331,7.546680380878634,0.05,0.0,0.0,0.2938535308518175,4.8746739638377505,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11382.118819033476,20.000000000000057,2.1919457758296716,4021.638623895112,6.591807464211967,0.9548729166666667,1,14448.884526261922,14448.884526261922,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.75583431625257,51.666666666666686,46.10666666666668,0.0,50.897855703435425,0.0,0.0,0.0,34.75583431625257,49.265065648930644,50.897855703435425,48.44867062167826,12.43753247303448,19.453741659653595,-0.046258340346462035,4.225382650157958,2.8,9.236100170605994,9643.060737737114,3149.665555599845,-2220.523215366998,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10231182763880058,0.0,0,0.4912080491325628,461.9972995555555,-396.2596769887275,0.21728354355992424,9.249453673962144,0.0029892204307646725,159.88159043350757,1.220559800028037,0.5436834545663999,-1009.9392175213624,137.9661492260953
2025-01-01 00:01:00,8.040430274696655,5.185288292065837,0.0,0.13400717124494427,0.08642147153443062,0.0,0.03647896680633968,0.0,0.4038999066532331,7.5500514012370825,0.05,0.0,0.0,0.2938535308518175,4.876851427880687,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11380.798502299185,20.000000000000057,2.1905544689114604,4021.1721170119185,6.595178484570415,0.9548729166666667,1,14447.097702644436,14447.097702644436,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.7230753887395,51.666666666666686,46.10666666666668,0.0,50.89445706037671,0.0,0.0,0.0,34.7230753887395,49.262139034831435,50.89445706037671,48.445980022058805,12.43753247303448,19.47895288220354,-0.0210471177965168,4.397255495204435,2.8,9.236100170605994,9623.31443292967,3023.1024669036256,-2225.5818626829546,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10238990490890426,0.0,0,0.4915829049475192,461.9972995555555,-409.6270177459231,0.2175974239177074,9.28497949744881,0.0029895051796035845,159.63161149480976,1.224019539483708,0.5436834545663999,-1131.7178336846594,133.64818357636645
2025-01-01 00:02:00,8.043695964116509,5.1873977190437275,0.0,0.13406159940194182,0.08645662865072878,0.0,0.03647896680633968,0.0,0.4038999066532331,7.553317090656936,0.05,0.0,0.0,0.2938535308518175,4.878960854858577,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11379.519820585465,20.000000000000057,2.1892080684519897,4020.7203210107236,6.59844417399027,0.9548729166666667,1,14445.367224929521,14445.367224929521,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.69125568777713,51.666666666666686,46.10666666666668,0.0,50.891061453237675,0.0,0.0,0.0,34.69125568777713,49.25921517919684,50.891061453237675,48.44329204217643,12.43753247303448,19.503359638763822,0.0,4.56134270389726,2.8,9.236100170605994,9604.039175243266,2902.590292141158,-2230.4834808510827,-0.0,-0.0,877.7248110593646,0.0,7.0,0.1024654678307404,0.0,0,0.491945689156134,461.9972995555555,-422.7219755504789,0.21728790666735967,9.296609403240275,0.002989788679635031,159.38696790281486,1.2239172492057702,0.5436834545663999,-1247.9800227425462,129.84999387298026
2025-01-01 00:03:00,8.046861175008901,5.189442243304526,0.0,0.13411435291681503,0.08649070405507545,0.0,0.03647896680633968,0.0,0.4038999066532331,7.5564823015493285,0.05,0.0,0.0,0.2938535308518175,4.881005379119376,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11378.280837129027,20.000000000000057,2.187904438137998,4020.282551575876,6.601609384882662,0.9548729166666667,1,14443.690472038235,14443.690472038235,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.66033106350578,51.666666666666686,46.10666666666668,0.0,50.8876687970564,0.0,0.0,0.0,34.66033106350578,49.25629400293931,50.8876687970564,48.44060660588078,12.43753247303448,19.526999795177314,0.0,4.7180199832156,2.8,9.236100170605994,9585.007781424742,2787.4786397606586,-2235.235255781798,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10253863583541625,0.0,0,0.492296975157618,461.9972995555555,-435.7626109818511,0.21698920176421763,9.307821879964585,0.002990071768845736,159.14715326779924,1.2238181817935976,0.5436834545663999,-1358.9919877475954,126.18807593237776
2025-01-01 00:04:00,8.049929998747608,5.1914245076146175,0.0,0.1341654999791268,0.08652374179357696,0.0,0.03647896680633968,0.0,0.4038999066532331,7.559551125288035,0.05,0.0,0.0,0.2938535308518175,4.882987643429467,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11377.07991645107,20.000000000000057,2.186641767312295,4019.8582308444293,6.604678208621368,0.9548729166666667,1,14442.065230628832,14442.065230628832,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.63026415387961,51.666666666666686,46.10666666666668,0.0,50.88427901086357,0.0,0.0,0.0,34.63026415387961,49.253375430688955,50.88427901086357,48.437923640601646,12.43753247303448,19.549905387569012,0.0,4.867632673667865,2.8,9.236100170605994,9570.197789228701,2677.5393457993328,-2239.8432395879167,-0.0,-0.0,877.7248110593646,0.0,7.0,0.1026095101104977,0.0,0,0.49263724876234094,461.9972995555555,-444.76369869381557,0.2167008291612862,9.318634382009776,0.0029903544550000704,158.91196759411704,1.2237222017452614,0.5436834545663999,-1464.9984159231328,122.6795308780363
2025-01-01 00:05:00,8.052911115123765,5.193350118565208,0.0,0.13421518525206275,0.08655583530942013,0.0,0.03647896680633968,0.0,0.4038999066532331,7.562532241664192,0.05,0.0,0.0,0.2938535308518175,4.8849132543800575,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11375.913631196425,20.000000000000057,2.1854163709273524,4019.446147830613,6.607659324997525,0.9548729166666667,1,14440.48686236037,14440.48686236037,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.6009779388431,51.666666666666686,46.10666666666668,0.0,50.8808920170688,0.0,0.0,0.0,34.6009779388431,49.250459390221906,50.8808920170688,48.435243076798464,12.43753247303448,19.57214253950795,0.0,5.010511212742449,2.8,9.236100170605994,9560.105440579184,2572.52835270046,-2244.3203837748056,-0.0,-0.0,877.7248110593646,0.0,7.0,0.1026782970961259,0.0,0,0.4929675011075089,461.9972995555555,-449.21261790179915,0.2164218546179669,9.329082681465039,0.0029906367455434617,158.68099808757674,1.2236290311999578,0.5436834545663999,-1566.2334351213738,119.3156399912207
2025-01-01 00:06:00,8.055813383850719,5.1952247989657705,0.0,0.13426355639751197,0.08658707998276284,0.0,0.03647896680633968,0.0,0.4038999066532331,7.565434510391146,0.05,0.0,0.0,0.2938535308518175,4.88678793478062,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11374.778488300602,20.000000000000057,2.1842245072903785,4019.0450683316144,6.610561593724478,0.9548729166666667,1,14438.95063996555,14438.95063996555,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.5723940820579,51.666666666666686,46.10666666666668,0.0,50.87750774504616,0.0,0.0,0.0,34.5723940820579,49.24754581579981,50.87750774504616,48.43256485117665,12.43753247303448,19.593778512818044,0.0,5.146970720625895,2.8,9.236100170605994,9552.434180078886,2472.214548793287,-2248.67992248322,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10274520647277555,0.0,0,0.4932887388874534,461.9972995555555,-451.38919679785977,0.21615133523314714,9.339203136967345,0.0029909186472567564,158.45382486170988,1.2235383877497354,0.5436834545663999,-1662.9203202885847,116.08980075025734
2025-01-01 00:07:00,8.058642448715476,5.197052194342574,0.0,0.13431070747859128,0.08661753657237624,0.0,0.03647896680633968,0.0,0.4038999066532331,7.568263575255902,0.05,0.0,0.0,0.2938535308518175,4.888615330157424,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11373.672256472968,20.000000000000057,2.183063770022723,4018.6542039665756,6.6133906585892355,0.9548729166666667,1,14437.453543772875,14437.453543772875,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.54446234926313,51.666666666666686,46.10666666666668,0.0,50.874126131253114,0.0,0.0,0.0,34.54446234926313,49.24463464828062,50.874126131253114,48.42988890679438,12.43753247303448,19.614856422820523,0.0,5.277311660968978,2.8,9.236100170605994,9544.549759802583,2376.377980207817,-2252.9302696755303,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10281037301037427,0.0,0,0.4936016091444055,461.9972995555555,-453.91703805421747,0.21588865826778195,9.349019101288695,0.0029912001662440106,158.23017886425052,1.2234500900945628,0.5436834545663999,-1755.2719616436307,112.99573788487247
2025-01-01 00:08:00,8.061400449548453,5.198833686889525,0.0,0.13435667415914088,0.08664722811482542,0.0,0.03647896680633968,0.0,0.4038999066532331,7.571021576088879,0.05,0.0,0.0,0.2938535308518175,4.890396822704375,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11372.594076988471,20.000000000000057,2.1819331993221995,4018.2732513225837,6.616148659422213,0.9548729166666667,1,14435.994411644388,14435.994411644388,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.51716300907047,51.666666666666686,46.10666666666668,0.0,50.87074711668965,0.0,0.0,0.0,34.51716300907047,49.24172583275224,50.87074711668965,48.42721519078354,12.43753247303448,19.635393172995503,0.0,5.4018204547963675,2.8,9.236100170605994,9536.469245355484,2284.8095201450033,-2257.0745814191127,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10287385029414658,0.0,0,0.49390636914572333,461.9972995555555,-456.7750612732382,0.21563356626681834,9.358539822798747,0.0029914813081766203,158.00995482059233,1.2233640665898242,0.5436834545663999,-1843.4912996569192,110.02756847933878
2025-01-01 00:09:00,8.064089445507573,5.200570606691244,0.0,0.13440149075845956,0.0866761767781874,0.0,0.03647896680633968,0.0,0.4038999066532331,7.573710572048,0.05,0.0,0.0,0.2938535308518175,4.892133742506093,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00866077302631579,0.0,On,0.0006379829283274061,0.0,On,0.027180210851696484,0,On,0.012095198850809686,0,On,0.3521623136537677,0.26412173524032573,On,0,0,Off,HP On,11371.54312412956,20.000000000000057,2.180831873762058,4017.901918649248,6.618837655381333,0.9548729166666667,1,14434.57212611214,14434.57212611214,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,19189.41714222222,Off,0.0,0.0,34.49047710438554,51.666666666666686,46.10666666666668,0.0,50.867370644140394,0.0,0.0,0.0,34.49047710438554,49.238819315964065,50.867370644140394,48.424543651875915,12.43753247303448,19.655405002828697,0.0,5.520770093522315,2.8,9.236100170605994,9529.857774781045,2197.3099083390252,-2261.1158963406356,-0.0,-0.0,877.7248110593646,0.0,7.0,0.10293568976978056,0.0,0,0.4942032658866631,461.9972995555555,-458.2942640672415,0.21538581278562996,9.368452812562973,0.0029917620785587583,157.7930516299238,1.2232802484307745,0.5436834545663999,-1927.7717593959367,107.1797490857146
