Metric,Value
Total Electric Energy (kWh),705.1317329686204
Total Gas Energy (therms),140.47739614896534
Average Electric Power (kW),0.9793496291230839
Peak Electric Power (kW),5.1391284379331585
Other Electric Energy (kWh),510.1354506320868
HVAC Heating Electric Energy (kWh),110.9181609375
Lighting Electric Energy (kWh),49.328121399033556
HVAC Cooling Electric Energy (kWh),34.75
Other Gas Energy (therms),18.006305100071206
HVAC Heating Gas Energy (therms),109.63339459459459
Water Heating Gas Energy (therms),12.837696454299568
Average Temperature - Indoor (C),19.69063032409572
Unmet Heating Load (C-hours),40.3790127461693
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
