Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5773066519260208,0.3806083005935807,0.0,0.009621777532100346,0.006343471676559678,0.0,0.024463581322441873,0.0,0.552843070603579,0.0,0.0,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,27133.69575111111,Off,0.0,0.0,34.08486191827607,51.666666666666686,46.10666666666668,0.0,50.59304121260153,0.0,0.0,0.0,34.08486191827607,48.21445070629096,50.59304121260153,47.02515545313568,12.43753247303448,19.007298401249045,0.0,12.694085190334315,-1.4195716119761277,-2.79999999999997,2.8,9.236100170605994,-3315.2987688411913,-2357.6690726468605,8020.526191958076,1127.9009015644722,-3966.149050638651,-0.0,-0.0,744.1631694722057,0.0,3.0,0.18777628866351637,0.0,0,1.757400278891374,197.99884266666666,-93.31288767474622,0.20495321399408986,8.761210815850124,0.002741141621168234,-67.17202859010729,1.2226079095912241,0.18328751088707532,-2363.339810435711,5.670737788850537,1.4498225455103997,7972.616291917159,47.909900040916476,0.17465114588881164,1274.6094039002228,-146.70850233575064
2025-01-01 00:01:00,0.5773066519260208,0.3806083005935807,0.0,0.009621777532100346,0.006343471676559678,0.0,0.024463581322441873,0.0,0.552843070603579,0.0,0.0,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,27133.69575111111,Off,0.0,0.0,34.248017288398955,51.666666666666686,46.10666666666668,0.0,50.589586183850926,0.0,0.0,0.0,34.248017288398955,48.211580591404584,50.589586183850926,47.02257779518141,12.43753247303448,18.864179968011882,-0.08026447643257484,12.413832894073106,-0.8503015728307026,-2.712031089712955,2.8,9.236100170605994,-3265.006770147875,-2283.3392377920095,6943.043559366041,1101.7319775307935,-3910.98686422291,-0.0,-0.0,744.1631694722057,0.0,3.0,0.1868143118380892,0.0,0,1.7483971275705905,197.99884266666666,-98.18307539717087,0.20737996761021782,8.717162931006841,0.0027409088044650504,-65.85444211654075,1.226780438072847,0.18287330683816885,-2291.2081165970353,7.8688788050258225,1.4498225455103997,6897.01620594881,46.02735341723229,0.17429158418972365,1252.0040327375696,-150.27205520677595
2025-01-01 00:02:00,0.5773066519260208,0.3806083005935807,0.0,0.009621777532100346,0.006343471676559678,0.0,0.024463581322441873,0.0,0.552843070603579,0.0,0.0,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,27133.69575111111,Off,0.0,0.0,34.40630870064853,51.666666666666686,46.10666666666668,0.0,50.586116495515206,0.0,0.0,0.0,34.40630870064853,48.20869673802463,50.586116495515206,47.019986859279335,12.43753247303448,18.725228176646716,-0.21921626779774073,12.153626106497015,-0.3520618132411031,-2.6276923305484448,2.8,9.236100170605994,-3216.9631700241252,-2214.603388934649,6000.170285311386,1077.6955963349699,-3857.7264706617384,-0.0,-0.0,744.1631694722057,0.0,3.0,0.185878053321055,0.0,0,1.7396346741710629,197.99884266666666,-103.39986883459267,0.20917223410935937,8.652080198771532,0.002740681330810581,-64.57292775063362,1.2273646346917062,0.1824878877390042,-2224.4963735353563,9.89298460070719,1.4498225455103997,5955.623384622896,44.54690068848894,0.17394616240028452,1230.4039745502898,-152.70837821531993
2025-01-01 00:03:00,1.589944151926021,0.3806083005935807,1.000908108108108,0.026499069198767013,0.006343471676559678,0.016681801801801798,0.024463581322441873,0.0,0.552843070603579,1.0126375,1.000908108108108,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,On,22645.160842825662,19.444444444444457,0.9250000000000003,5501.172408285448,29.33372513633633,1.0126375,1,27133.69575111111,27133.69575111111,Off,0.0,0.0,34.559954965691155,51.666666666666686,46.10666666666668,0.0,50.582632587504506,0.0,0.0,0.0,34.559954965691155,48.20579955572053,50.582632587504506,47.017383039828545,12.43753247303448,18.590255377047388,-0.3541890673970691,11.911831368186775,0.0840833990643404,-2.5465236830604825,2.8,9.236100170605994,19473.980947656943,3350.2110190161025,5174.802825265969,1055.2511512658639,-3806.271094763281,-0.0,-0.0,744.1631694722057,0.0,3.0,0.18496642855828305,0.0,0,1.7311027683391687,197.99884266666666,-109.07196987764328,0.21092974551152602,8.589050158993984,0.002740458389913396,-63.32557828883464,1.2279326366721555,0.18212900953375052,-2162.7307313930864,11.769342123741096,1.4498225455103997,5131.554321450965,43.24850381500316,0.17361307528003278,1209.6829983248954,-154.43184705903138
2025-01-01 00:04:00,1.589944151926021,0.3806083005935807,1.000908108108108,0.026499069198767013,0.006343471676559678,0.016681801801801798,0.024463581322441873,0.0,0.552843070603579,1.0126375,1.000908108108108,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,On,22645.160842825662,19.444444444444457,0.9250000000000003,5501.172408285448,29.33372513633633,1.0126375,1,27133.69575111111,27133.69575111111,Off,0.0,0.0,34.230462927588064,51.666666666666686,46.10666666666668,0.0,50.579134879940845,0.0,0.0,0.0,34.230462927588064,48.2028894356368,50.579134879940845,47.014766713484775,12.43753247303448,18.87051133208194,-0.07393311236251776,12.28564760724963,0.4659340274944134,-2.4681525364913424,2.8,9.236100170605994,19345.058829477544,3251.54530193143,4452.19319799849,1034.1856907829638,-3913.420633417666,-0.0,-0.0,744.1631694722057,0.0,3.0,0.18685691878517297,0.0,0,1.7487958864406303,197.99884266666666,-130.84454940265735,0.2072475638510587,8.719339804929112,0.0027402398566787516,-65.50927334975998,1.2267543352465913,0.18268354001539774,-2258.312597575171,8.685491221152704,1.4498225455103997,4410.071474078537,42.121723919953624,0.17329086058753335,1189.738872688612,-155.55318190564827
2025-01-01 00:05:00,1.589944151926021,0.3806083005935807,1.000908108108108,0.026499069198767013,0.006343471676559678,0.016681801801801798,0.024463581322441873,0.0,0.552843070603579,1.0126375,1.000908108108108,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,On,22645.160842825662,19.444444444444457,0.9250000000000003,5501.172408285448,29.33372513633633,1.0126375,1,27133.69575111111,27133.69575111111,Off,0.0,0.0,33.91199141000065,51.666666666666686,46.10666666666668,0.0,50.57566705499775,0.0,0.0,0.0,33.91199141000065,48.20000706042132,50.57566705499775,47.01217706313311,12.43753247303448,19.141323330350403,0.0,12.631455740434262,0.8003085390338154,-2.3922604345394,2.8,9.236100170605994,19225.400473359805,3160.1371144984573,3819.4351661778337,1014.3196611573321,-4018.0859067701517,-0.0,-0.0,744.1631694722057,0.0,3.0,0.18867499309234528,0.0,0,1.765811263180743,197.99884266666666,-145.83763216790874,0.20375678622491528,8.845248633152401,0.00274001357048745,-67.59717224459217,1.2256178975863266,0.1831950277954454,-2347.1949515742244,6.159657787233637,1.4498225455103997,3778.29177617399,41.14339000384356,0.17297826620007956,1170.4844797387784,-156.16481858144627
2025-01-01 00:06:00,1.589944151926021,0.3806083005935807,1.000908108108108,0.026499069198767013,0.006343471676559678,0.016681801801801798,0.024463581322441873,0.0,0.552843070603579,1.0126375,1.000908108108108,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,On,22645.160842825662,19.444444444444457,0.9250000000000003,5501.172408285448,29.33372513633633,1.0126375,1,27133.69575111111,27133.69575111111,Off,0.0,0.0,33.60384167651576,51.666666666666686,46.10666666666668,0.0,50.57222811594014,0.0,0.0,0.0,33.60384167651576,48.19715150209147,50.57222811594014,47.009613195167134,12.43753247303448,19.40329098252926,0.0,12.951903902481254,1.0931668495012956,-2.318575141488092,2.8,9.236100170605994,19109.883539377774,3074.9490684954235,3265.2486589081573,995.4967977274239,-4120.380679908392,-0.0,-0.0,744.1631694722057,0.0,3.0,0.19042567818737133,0.0,0,1.7821959435690264,197.99884266666666,-159.05979301169998,0.20044164620008265,8.966479786648359,0.002739779855638223,-69.59563378783471,1.22452058738167,0.18366773387020152,-2429.9538059460733,3.730466156048733,1.4498225455103997,3224.9543400632892,40.294318844867846,0.172674220058556,1151.8455217201847,-156.3487239927608
2025-01-01 00:07:00,0.5773066519260208,0.3806083005935807,0.0,0.009621777532100346,0.006343471676559678,0.0,0.024463581322441873,0.0,0.552843070603579,0.0,0.0,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,27133.69575111111,Off,0.0,0.0,33.30549331746899,51.666666666666686,46.10666666666668,0.0,50.56881712921865,0.0,0.0,0.0,33.30549331746899,48.19432189150169,50.56881712921865,47.0070742726432,12.43753247303448,19.656860692573105,0.0,13.249205123888093,1.3497186775543186,-2.2468644805017775,2.8,9.236100170605994,-3647.6671227754355,-2505.619198676087,2779.7734252267014,977.5830733626033,-4220.372384788076,-0.0,-0.0,744.1631694722057,0.0,3.0,0.19211285360357383,0.0,0,1.7979862361990298,197.99884266666666,-171.45790745956597,0.19728932215002287,9.08332658404808,0.0027395390155514105,-71.50960574406588,1.223460334703624,0.18410520958283638,-2507.073027001646,1.4538283255593214,1.4498225455103997,2740.215728624306,39.5576966023954,0.1723778068796145,1133.7587348565376,-156.17566149393423
2025-01-01 00:08:00,0.5773066519260208,0.3806083005935807,0.0,0.009621777532100346,0.006343471676559678,0.0,0.024463581322441873,0.0,0.552843070603579,0.0,0.0,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,27133.69575111111,Off,0.0,0.0,33.49519691542605,51.666666666666686,46.10666666666668,0.0,50.565433208345894,0.0,0.0,0.0,33.49519691542605,48.191517403327495,50.565433208345894,47.004559500818296,12.43753247303448,19.490990746093303,0.0,12.926633359102857,1.57451813899504,-2.176930834546818,2.8,9.236100170605994,-3572.11277779912,-2419.2483595889653,2354.3900810538044,960.4634960217979,-4154.855486371267,-0.0,-0.0,744.1631694722057,0.0,3.0,0.19101002196895625,0.0,0,1.7876648232238266,197.99884266666666,-161.4204609000584,0.1993156718254299,9.006420654416967,0.0027392913375914748,-70.01282977101243,1.2241539793303224,0.18363050046392007,-2423.4136856269474,4.1653260379823145,1.4498225455103997,2315.471225270054,38.91885578375011,0.17208824718707078,1116.1703155416508,-155.70681951985287
2025-01-01 00:09:00,0.5773066519260208,0.3806083005935807,0.0,0.009621777532100346,0.006343471676559678,0.0,0.024463581322441873,0.0,0.552843070603579,0.0,0.0,0.0,0.0,0.3806083005935807,0,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0006923975362582957,0.0,On,0.019750149429458432,0,On,0.04536533647880456,0,On,0.4448903588640261,0.3336677691480195,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,27133.69575111111,Off,0.0,0.0,33.678316536710746,51.666666666666686,46.10666666666668,0.0,50.56203222671983,0.0,0.0,0.0,33.678316536710746,48.18869694116691,50.56203222671983,47.002029298390454,12.43753247303448,19.3307635003092,0.0,12.62850055062569,1.7715463781391234,-2.1086063635018837,2.8,9.236100170605994,-3501.3250628107025,-2340.105613110982,1981.5636797386715,944.039581683385,-4091.9568695060366,-0.0,-0.0,744.1631694722057,0.0,3.0,0.1899417709564887,0.0,0,1.7776670506584067,197.99884266666666,-153.53136277687173,0.20129514932429368,8.931709957937878,0.0027390489812127647,-68.56316671625177,1.2248247763365292,0.18319066279888171,-2346.433509663442,6.327896552459606,1.4498225455103997,1943.1987071524604,38.36497258621131,0.17180487896227659,1099.0345638006625,-154.99498211727752
