Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.68765844872441,51.666666666666686,46.10666666666668,0.0,51.21117060703174,0.0,0.0,0.0,38.68765844872441,51.25380660572482,51.275124605071355,51.21117060703174,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1823.775152751562,18.000671637724363,0.0,2.8,-91.28175440509247,-375.5182619645377,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956171653611503,0.0,0.0,0.48353755685100935,65.99961422222222,2.455388265047703,0.24295716997879074,8.650179319581262,0.0030522972115755516,12.84680090840869,1.2266046872097804
2025-01-01 00:01:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.6804406051299,51.666666666666686,46.10666666666668,0.0,51.205429926016166,0.0,0.0,0.0,38.6804406051299,51.2483771169829,51.26985071246628,51.205429926016166,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1823.9984812918228,18.001436663404885,0.0,2.8,-92.37259066968895,-375.54514149710326,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956574478806144,0.0,0.0,0.4835478321910946,65.99961422222222,1.3914315330167533,0.2436647611977651,8.673608681482513,0.0030524181746691094,12.838618953114961,1.2301844361876453
2025-01-01 00:02:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.67353179084135,51.666666666666686,46.10666666666668,0.0,51.199690387334435,0.0,0.0,0.0,38.67353179084135,51.242948641204876,51.2645777681401,51.199690387334435,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.0054434700244,18.00193709654007,0.0,2.8,-93.44946218795533,-375.5627248557111,-0.0,-0.0,281.78111929439757,0.0,1.0,0.01895683798113621,0.0,0.0,0.48355455365760336,65.99961422222222,0.3321433733582424,0.24366666467010548,8.674094682260849,0.003052538708953099,12.8307712519051,1.2301822323221223
2025-01-01 00:03:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.66691720005217,51.666666666666686,46.10666666666668,0.0,51.193951945026136,0.0,0.0,0.0,38.66691720005217,51.23752113502105,51.25930573001851,51.193951945026136,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.010814356992,18.002185619152183,0.0,2.8,-94.51689440300268,-375.57145713563995,-0.0,-0.0,281.78111929439757,0.0,1.0,0.01895696883995741,0.0,0.0,0.48355789162878504,65.99961422222222,-0.7265565617602823,0.24367242362034996,8.674444129850897,0.0030526591697754165,12.823221747918824,1.2301810928943504
2025-01-01 00:04:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.66058308906161,51.666666666666686,46.10666666666668,0.0,51.188214555332024,0.0,0.0,0.0,38.66058308906161,51.232094557139625,51.25403455804343,51.188214555332024,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.0146768237196,18.002194002561584,0.0,2.8,-95.13700517265934,-375.5717517028902,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956973254211425,0.0,0.0,0.48355800422839856,65.99961422222222,-1.3463727641666923,0.2436818580578458,8.674663403470284,0.0030527795598312385,12.815956690395845,1.2301809681602698
2025-01-01 00:05:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.65449142739619,51.666666666666686,46.10666666666668,0.0,51.18247817653617,0.0,0.0,0.0,38.65449142739619,51.226668868197606,51.248764214028334,51.18247817653617,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.0171013375366,18.001994894373116,0.0,2.8,-95.33242030140016,-375.56475567732593,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956868414431744,0.0,0.0,0.4835553299557736,65.99961422222222,-1.5487839184718335,0.24369446809302378,8.674770187022558,0.0030528998816916992,12.808937957792006,1.2301817201741947
2025-01-01 00:06:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.64860718697977,51.666666666666686,46.10666666666668,0.0,51.17674277257569,0.0,0.0,0.0,38.64860718697977,51.221244034169274,51.24349466496607,51.17674277257569,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.0182832416538,18.001618366945067,0.0,2.8,-95.48804376767734,-375.551525846201,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956670154660148,0.0,0.0,0.48355027270859674,65.99961422222222,-1.71763721587392,0.243709793341308,8.67478076925168,0.0030530201375836862,12.802130430748237,1.2301832218751667
2025-01-01 00:07:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.64291885052736,51.666666666666686,46.10666666666668,0.0,51.17100831259445,0.0,0.0,0.0,38.64291885052736,51.21582002594478,51.23822588261996,51.17100831259445,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.018402467807,18.001074290219478,0.0,2.8,-95.59860709781552,-375.5324092529408,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956383671077284,0.0,0.0,0.4835429650320117,65.99961422222222,-1.8473171392722847,0.24372768315336105,8.674700498339519,0.0030531403294169228,12.795522577181716,1.2301854315644702
2025-01-01 00:08:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.6374151352361,51.666666666666686,46.10666666666668,0.0,51.16527476744853,0.0,0.0,0.0,38.6374151352361,51.210396816030666,51.23295784032173,51.16527476744853,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.0175180940967,18.000372334181137,0.0,2.8,-95.68621700905365,-375.5077460007868,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018956014054295454,0.0,0.0,0.483533536778305,65.99961422222222,-1.9595903026644161,0.2437479899855485,8.674534614001164,0.0030532604589970456,12.789103097404608,1.2301883083902736
2025-01-01 00:09:00,0.22780780226077166,0.16007156955559848,0.0,0.003796796704346194,0.002667859492593308,0.0,0.008209979705854112,0.0,0.21959782255491755,0.0,0.0,0.0,0.0,0.16007156955559848,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.0028521290204678363,0.0,On,0.005357850685386276,0,On,0.006169063147452836,0,On,0.17180424555137622,0.12885318416353211,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,951.0157555555555,Off,0.0,0.0,38.63208658234932,51.666666666666686,46.10666666666668,0.0,51.15954210967135,0.0,0.0,0.0,38.63208658234932,51.204974378516866,51.22769051293963,51.15954210967135,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1824.0088046912767,17.999520602565987,0.0,2.8,-95.76652497434358,-375.4778212306234,-0.0,-0.0,281.78111929439757,0.0,1.0,0.018955565569991617,0.0,0.0,0.483522096757159,65.99961422222222,-2.069823038117757,0.24377059033783746,8.674287507615634,0.0030533805280276915,12.782862520165716,1.230191818120163
