Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.17970401069358743,0.11268140716380662,0.0,0.002995066844893124,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,0.0,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11964.628111111111,Off,0.0,0.0,34.59026234269971,51.666666666666686,46.10666666666668,0.0,50.827806551703524,0.0,0.0,0.0,34.59026234269971,50.03427135854851,50.827806551703524,49.63750376197101,12.43753247303448,20.334313444625,-0.2767976664861429,-2.8040573269848696,-2.264223786684825,2.8,9.236100170605994,-1272.1122857307391,80.55270119667665,475.04036917799453,-1686.093645255131,-0.0,-0.0,435.8217554580733,0.0,4.0,0.0737862219500804,0.0,0,1.9097412484726288,263.9984568888889,-21.840395933681705,0.2215569463064652,9.906379590567811,0.0032202205728592173,4.4457607663869005,1.216728142123902,0,0,80.55270119667665,0.08427118638836407,556.1726760102721,-81.13230683227752
2025-01-01 00:01:00,12.144332121804698,0.11268140716380662,0.0,0.20240553536341163,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,11.96462811111111,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,On,11964.628111111111,21.111111111111143,1.0,0.0,11.96462811111111,0.0,1,11964.628111111111,11964.628111111111,Off,0.0,0.0,34.78143906797637,51.666666666666686,46.10666666666668,0.0,50.82455459621345,0.0,0.0,0.0,34.78143906797637,50.03135868643291,50.82455459621345,49.63476073154264,12.43753247303448,20.16707806165465,-0.44403304945649325,-2.6744991617013474,-2.1695466623408746,2.8,9.236100170605994,8310.541194448186,2471.98904503062,462.4022303525245,-1662.5469406788802,-0.0,-0.0,435.8217554580733,0.0,4.0,0.073456377586317,0.0,0,1.9012041887017501,263.9984568888889,-34.43610921989766,0.22451645058591635,9.855428406812305,0.003220263391681952,5.342483537387313,1.2209780777803565,0,0,79.06342280839772,0.08407242070644938,544.4875791008508,-82.08534874832628
2025-01-01 00:02:00,12.144332121804698,0.11268140716380662,0.0,0.20240553536341163,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,11.96462811111111,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,On,11964.628111111111,21.111111111111143,1.0,0.0,11.96462811111111,0.0,1,11964.628111111111,11964.628111111111,Off,0.0,0.0,34.40754326194881,51.666666666666686,46.10666666666668,0.0,50.821285409089576,0.0,0.0,0.0,34.40754326194881,50.02842991628627,50.821285409089576,49.632002169884615,12.43753247303448,20.48548807858568,-0.12562303252546414,-2.4267645388094135,-2.0794952347572115,2.8,9.236100170605994,8240.970718461558,2469.2311447848065,450.9927763370389,-1707.4922320772873,-0.0,-0.0,435.8217554580733,0.0,4.0,0.07408393377683511,0.0,0,1.9174466511980357,263.9984568888889,-59.06129380811741,0.22014596044576434,9.99808790752591,0.003220314668080325,3.605208494192244,1.219654045993861,0,0,76.30552256258385,0.08388292920670397,533.4161221689576,-82.42334583191868
2025-01-01 00:03:00,12.144332121804698,0.11268140716380662,0.0,0.20240553536341163,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,11.96462811111111,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,On,11964.628111111111,21.111111111111143,1.0,0.0,11.96462811111111,0.0,1,11964.628111111111,11964.628111111111,Off,0.0,0.0,34.046002471189404,51.666666666666686,46.10666666666668,0.0,50.81805008047675,0.0,0.0,0.0,34.046002471189404,50.025532630025964,50.81805008047675,49.629273904800584,12.43753247303448,20.793310931432806,0.0,-2.183530864472017,-1.9934381977256106,2.8,9.236100170605994,8173.760873725155,2466.6485871537243,440.2217045648898,-1751.3955215092892,-0.0,-0.0,435.8217554580733,0.0,4.0,0.07468880280127972,0.0,0,1.9331019225397066,263.9984568888889,-82.36784911251989,0.21601060290885607,10.135781807476956,0.0032203493079230572,1.9340551073565178,1.2183767763573794,0,0,73.72296493150169,0.08370144207046658,522.874815888586,-82.6531113236962
2025-01-01 00:04:00,12.144332121804698,0.11268140716380662,0.0,0.20240553536341163,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,11.96462811111111,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,On,11964.628111111111,21.111111111111143,1.0,0.0,11.96462811111111,0.0,1,11964.628111111111,11964.628111111111,Off,0.0,0.0,33.6962574371399,51.666666666666686,46.10666666666668,0.0,50.8148474929469,0.0,0.0,0.0,33.6962574371399,50.022665787298294,50.8148474929469,49.62657493447399,12.43753247303448,21.09102624164931,0.0,-1.9445444070747082,-1.910908836538254,2.8,9.236100170605994,8116.861434167862,2464.139400943439,430.142100428668,-1794.278418119695,-0.0,-0.0,435.8217554580733,0.0,4.0,0.0752721132021198,0.0,0,1.948199211758567,263.9984568888889,-96.38439205940624,0.21209303930102139,10.268158416589062,0.0032203679103419165,0.32588065534013255,1.2171439998121878,0,0,71.21377872121626,0.08352702409139001,512.8015870093291,-82.65948658066107
2025-01-01 00:05:00,0.17970401069358743,0.11268140716380662,0.0,0.002995066844893124,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,0.0,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11964.628111111111,Off,0.0,0.0,33.35731147092318,51.666666666666686,46.10666666666668,0.0,50.81167657964834,0.0,0.0,0.0,33.35731147092318,50.01982839484186,50.81167657964834,49.62390430243862,12.43753247303448,21.379489635075114,0.0,-1.7096166036345997,-1.8314818853645818,2.8,9.236100170605994,-1504.7776496419638,68.79792761420819,420.6458213765493,-1836.2220107056798,-0.0,-0.0,435.8217554580733,0.0,4.0,0.07583570996963947,0.0,0,1.9627862710494783,263.9984568888889,-104.3773943943574,0.20837237750626766,10.395726725055749,0.0032203710479507953,-1.224432511280138,1.2159519216734285,0,0,68.79792761420819,0.08335881813503947,503.14037631722823,-82.49455494067902
2025-01-01 00:06:00,0.17970401069358743,0.11268140716380662,0.0,0.002995066844893124,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,0.0,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11964.628111111111,Off,0.0,0.0,33.58870408539652,51.666666666666686,46.10666666666668,0.0,50.808536363854685,0.0,0.0,0.0,33.58870408539652,50.01701954332144,50.808536363854685,49.62126113305482,12.43753247303448,21.177794110378503,0.0,-1.5991715294246949,-1.754795432011126,2.8,9.236100170605994,-1469.3795081203125,67.8689391835892,411.65591827710904,-1806.854137217228,-0.0,-0.0,435.8217554580733,0.0,4.0,0.0754418032889011,0.0,0,1.952591144962606,263.9984568888889,-98.34712636115768,0.21096545826466245,10.306734666086246,0.0032203592474446363,-0.13858877361543476,1.2167851919700952,0,0,67.8689391835892,0.08319609317175936,493.843635353356,-82.18771707624694
2025-01-01 00:07:00,0.17970401069358743,0.11268140716380662,0.0,0.002995066844893124,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,0.0,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11964.628111111111,Off,0.0,0.0,33.8125498938731,51.666666666666686,46.10666666666668,0.0,50.8053752791406,0.0,0.0,0.0,33.8125498938731,50.01419120739211,50.8053752791406,49.61859917151787,12.43753247303448,20.982565285490576,0.0,-1.490209671260312,-1.680539587812859,2.8,9.236100170605994,-1436.1157018717008,66.88190551118493,403.1057220605435,-1778.6078664853353,-0.0,-0.0,435.8217554580733,0.0,4.0,0.07505979972133432,0.0,0,1.9427040962594007,263.9984568888889,-93.32959084443871,0.21351070474144027,10.220172621060675,0.0032203579127057214,0.912002373497661,1.2175928272316965,0,0,66.88190551118493,0.08303822196293364,484.87077929846015,-81.76505723791665
2025-01-01 00:08:00,0.17970401069358743,0.11268140716380662,0.0,0.002995066844893124,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,0.0,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11964.628111111111,Off,0.0,0.0,34.02923354099305,51.666666666666686,46.10666666666668,0.0,50.80219400805358,0.0,0.0,0.0,34.02923354099305,50.01134402253246,50.80219400805358,49.61591902977191,12.43753247303448,20.793473208195138,0.0,-1.3827478879475115,-1.608449611858988,2.8,9.236100170605994,-1404.1681431472061,65.95830975194991,394.9381553170008,-1751.418783201112,-0.0,-0.0,435.8217554580733,0.0,4.0,0.07468912120250279,0.0,0,1.9331101634271404,263.9984568888889,-88.57111540416761,0.21600960474647363,10.135897717602237,0.003220366690311551,1.9290524592999714,1.2183760909646786,0,0,65.95830975194991,0.08288466781560583,476.1872187235949,-81.24906340659413
2025-01-01 00:09:00,0.17970401069358743,0.11268140716380662,0.0,0.002995066844893124,0.0018780234527301103,0.0,0.019766092219272276,0.0,0.15993791847431515,0.0,0.0,0.0,0.11268140716380662,0.0,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.00284234283625731,0.0,On,0.008461874691507483,0,On,0.008461874691507483,0.0,On,0.00969604225590628,0,On,0.11258160177718596,0.08443620133288944,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,11964.628111111111,Off,0.0,0.0,34.23907406722632,51.666666666666686,46.10666666666668,0.0,50.798993198356875,0.0,0.0,0.0,34.23907406722632,50.0084785918321,50.798993198356875,49.613221288569726,12.43753247303448,20.610244278066318,-0.0008668330448244888,-1.2767862832432688,-1.5382997603374715,2.8,9.236100170605994,-1373.5440748634428,65.07872292610429,387.1044784397868,-1725.2321215993047,-0.0,-0.0,435.8217554580733,0.0,4.0,0.07432929395661907,0.0,0,1.9237970841607517,263.9984568888889,-84.13370872221103,0.21846313271483364,10.053794790156058,0.0032203852446236283,2.913978223404474,1.2191360227339547,0,0,65.07872292610429,0.08273497260977208,467.7635062602105,-80.65902782042369
