Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.432732372835034,51.666666666666686,46.10666666666668,0.0,49.969742499269074,0.0,0.0,0.0,35.432732372835034,48.26192320751658,49.969742499269074,47.40801356164034,12.43753247303448,17.85808273865723,0.0,4.093346632584301,2.8,9.236100170605994,-109.16723140813752,-424.4683430846245,-440.67865373465844,-0.0,-0.0,307.29971718345826,0.0,2.0,0.022456118065260256,0.0,0,0.4178731222481024,131.99922844444444,24.21170514306266,0.24290789351860742,8.551351612227712,0.0030242749625947005,56.8895175341012,1.2272264413831704,0.25896607849969067,-436.49117640930234,12.022833324677833
2025-01-01 00:01:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.44112559171055,51.666666666666686,46.10666666666668,0.0,49.964094472651496,0.0,0.0,0.0,35.44112559171055,48.256950520379974,49.964094472651496,47.40337854424422,12.43753247303448,17.845876169983633,0.0,4.14593419897602,2.8,9.236100170605994,-110.35292643793105,-443.5950061148885,-440.1315409863135,-0.0,-0.0,307.29971718345826,0.0,2.0,0.02244643408004932,0.0,0,0.417692918478059,131.99922844444444,22.478897364924144,0.2438361627917802,8.569390073141498,0.003024665533810866,56.882235587608484,1.2308626683573558,0.25909337911860897,-454.4622301953871,10.86722408049861
2025-01-01 00:02:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.44937798504679,51.666666666666686,46.10666666666668,0.0,49.958445349437724,0.0,0.0,0.0,35.44937798504679,48.25197665532542,49.958445349437724,47.39874230826927,12.43753247303448,17.833789464721747,0.0,4.195575461832448,2.8,9.236100170605994,-111.55215269941846,-461.5336443889672,-439.5900690720773,-0.0,-0.0,307.29971718345826,0.0,2.0,0.022436843392743096,0.0,0,0.4175144508356326,131.99922844444444,20.738199189200603,0.24405313734463688,8.564144331528317,0.0030250549013515547,56.87486495898079,1.2309135061236012,0.25921349015239004,-471.4423319055698,9.908687516602605
2025-01-01 00:03:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.45748566788968,51.666666666666686,46.10666666666668,0.0,49.95279515054072,0.0,0.0,0.0,35.45748566788968,48.24700163211659,49.95279515054072,47.394104872904535,12.43753247303448,17.821825981755605,-0.011507351577765945,4.242501092113576,2.8,9.236100170605994,-112.775938196673,-478.38728995021205,-439.0543804737311,-0.0,-0.0,307.29971718345826,0.0,2.0,0.02242734872148277,0.0,0,0.41733776990116556,131.99922844444444,18.97872509359984,0.244268416825756,8.558964472644584,0.003025444202360047,56.86731832767055,1.2309638268677847,0.25932697934499727,-487.5077273138198,9.120437363607778
2025-01-01 00:04:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.465447749699905,51.666666666666686,46.10666666666668,0.0,49.94714389745061,0.0,0.0,0.0,35.465447749699905,48.24202547106241,49.94714389745061,47.389466257868314,12.43753247303448,17.809986506958303,-0.02334682637506802,4.286908675172845,2.8,9.236100170605994,-113.0160834863679,-494.35720775995156,-438.52450232926117,-0.0,-0.0,307.29971718345826,0.0,2.0,0.022417950743288267,0.0,0,0.4171628882729365,131.99922844444444,18.208701659435015,0.24448198369752436,8.55385093280696,0.0030258334358006563,56.85959396226236,1.2310136271380387,0.25943433294308277,-502.7237423242046,8.366534564252994
2025-01-01 00:05:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.473223373780435,51.666666666666686,46.10666666666668,0.0,49.941491611789615,0.0,0.0,0.0,35.473223373780435,48.237048192596745,49.941491611789615,47.38482648300032,12.43753247303448,17.79830617676822,-0.03502715656514965,4.328962984308698,2.8,9.236100170605994,-112.6775574841048,-509.41936598015127,-438.0019980481673,-0.0,-0.0,307.29971718345826,0.0,2.0,0.022408677409450167,0.0,0,0.41699032608060593,131.99922844444444,18.024723380604303,0.24469329078820182,8.548822804410953,0.0030262226006269786,56.85163197418465,1.2310627581383329,0.2595359566553465,-517.1447948025237,7.7254288223724785
2025-01-01 00:06:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.48079178753449,51.666666666666686,46.10666666666668,0.0,49.93583832125228,0.0,0.0,0.0,35.48079178753449,48.23206982288739,49.93583832125228,47.38018557370495,12.43753247303448,17.786802854312754,-0.04653047902061758,4.3688173183962435,2.8,9.236100170605994,-112.21269198763974,-523.6745115216039,-437.4876560014798,-0.0,-0.0,307.29971718345826,0.0,2.0,0.02239954297320255,0.0,0,0.4168203485544959,131.99922844444444,17.975246830381828,0.24490205546251576,8.543889801725253,0.0030266116954297995,56.84340158653149,1.231111144119911,0.25963222744529313,-530.8216481723023,7.147136650698325
2025-01-01 00:07:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.48815239189686,51.666666666666686,46.10666666666668,0.0,49.93018405661729,0.0,0.0,0.0,35.48815239189686,48.22709039101457,49.93018405661729,47.37554355821321,12.43753247303448,17.775477083616103,-0.05785624971726833,4.406607352665566,2.8,9.236100170605994,-111.70046861090435,-537.1697900801062,-436.98148937298646,-0.0,-0.0,307.29971718345826,0.0,2.0,0.022390547940657455,0.0,0,0.41665296511255734,131.99922844444444,17.981303578623816,0.24510826164279761,8.539052233699334,0.0030270007186132646,56.83490131097987,1.2311587826050243,0.2597234788222239,-543.7992614616138,6.629471381507696
2025-01-01 00:08:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.49530797176053,51.666666666666686,46.10666666666668,0.0,49.92452884875203,0.0,0.0,0.0,35.49530797176053,48.22210992614259,49.92452884875203,47.370900464837874,12.43753247303448,17.764326500198386,-0.0690068331349849,4.4424574171085665,2.8,9.236100170605994,-111.19934103322277,-549.9537013640587,-436.4833815729132,-0.0,-0.0,307.29971718345826,0.0,2.0,0.022381690506588933,0.0,0,0.41648814216236785,131.99922844444444,17.98432335623214,0.2453119382766763,8.53430882944185,0.0030273896685721756,56.82613459421567,1.231205683427272,0.2598100161413182,-556.1189070014503,6.165205637391607
2025-01-01 00:09:00,0.182547343622802,0.12603422942076362,0.0,0.0030424557270467,0.00210057049034606,0.0,0.010225965345696655,0.0,0.17232137827710534,0.0,0.0,0.0,0.12603422942076362,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06451914088785368,0.04838935566589025,On,0,0,Off,0.003103307748538012,0.0,On,0.007122657597158643,0,On,0.004275739049420452,0,On,0.1035264983398312,0.07764487375487338,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,1402.3452666666667,Off,0.0,0.0,35.50226385527373,51.666666666666686,46.10666666666668,0.0,49.91887272810955,0.0,0.0,0.0,35.50226385527373,48.21712845704493,49.91887272810955,47.36625632151262,12.43753247303448,17.753346553436888,-0.07998677989648328,4.476481903422965,2.8,9.236100170605994,-110.72248399901463,-562.0694975744368,-435.99311877887556,-0.0,-0.0,307.29971718345826,0.0,2.0,0.02237296712641206,0.0,0,0.4163258137447636,131.99922844444444,17.970917596402668,0.24551314836582522,8.529657130237371,0.003027778543721868,56.817108607691885,1.2312518656788363,0.25989212010494456,-567.8186250255394,5.749127451102606
