Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,3.285925534350553,0.11303617618663292,0.0,0.05476542557250921,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,3.0737298133333333,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,On,3073.7298133333334,19.500000000000057,1.0,0.0,3.0737298133333333,0.0,1,3073.7298133333334,3073.7298133333334,Off,0.0,0.0,21.939873457829655,51.666666666666686,46.10666666666668,0.0,51.45672346628469,0.0,0.0,0.0,21.939873457829655,50.76272932347925,51.45672346628469,50.41573225207654,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3108.955702928357,19.628814900221755,0.0,2.8,2533.438296087519,-793.5264717862129,-0.0,-0.0,270.09982466246646,0.0,1.0,0.03618180541526302,0.0,0,0.5052607907115942,65.99961422222222,-16.864870122067686,0.20109041027247718,9.11056097034933,0.0027958548846856814,3.0077206374053174,1.219972250962756
2025-01-01 00:01:00,3.285925534350553,0.11303617618663292,0.0,0.05476542557250921,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,3.0737298133333333,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,On,3073.7298133333334,19.500000000000057,1.0,0.0,3.0737298133333333,0.0,1,3073.7298133333334,3073.7298133333334,Off,0.0,0.0,21.91209542870159,51.666666666666686,46.10666666666668,0.0,51.453353401682136,0.0,0.0,0.0,21.91209542870159,50.75965024604953,51.453353401682136,50.412798668233236,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3109.6401163497703,19.665171766023697,0.0,2.8,2527.7506178696194,-795.9990236165183,-0.0,-0.0,270.09982466246646,0.0,1.0,0.0362163029527437,0.0,0,0.5057425315441769,65.99961422222222,-20.079996509661974,0.20122401299165737,9.151040977405309,0.002795870472881011,2.957633918363993,1.2233840182640199
2025-01-01 00:02:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,21.884986370966097,51.666666666666686,46.10666666666668,0.0,51.449987511524704,0.0,0.0,0.0,21.884986370966097,50.75657506703348,51.449987511524704,50.40986884478787,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3109.9590485522695,19.70058260539669,0.0,2.8,-551.5621221352676,-798.4101575674409,-0.0,-0.0,270.09982466246646,0.0,1.0,0.036249892709140676,0.0,0,0.5062115956685941,65.99961422222222,-23.25178923029317,0.20078312449510846,9.167509335852795,0.0027958857587421925,2.9088494849956885,1.2232360781133083
2025-01-01 00:03:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,21.917163136368835,51.666666666666686,46.10666666666668,0.0,51.446625696338536,0.0,0.0,0.0,21.917163136368835,50.75350369254656,51.446625696338536,50.40694269065058,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3110.2681440047695,19.65181195085135,0.0,2.8,-548.5842183992352,-795.090098460203,-0.0,-0.0,270.09982466246646,0.0,1.0,0.03620362759769461,0.0,0,0.5055655265594574,65.99961422222222,-23.593944601498663,0.20139322237038615,9.145240019589812,0.0027959007942902807,2.971888613202044,1.2234398158345396
2025-01-01 00:04:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,21.94829131430665,51.666666666666686,46.10666666666668,0.0,51.443259144319256,0.0,0.0,0.0,21.94829131430665,50.750427802320196,51.443259144319256,50.40401213132067,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3109.836951460809,19.60452575833775,0.0,2.8,-544.9987980118811,-791.8763126659502,-0.0,-0.0,270.09982466246646,0.0,1.0,0.036158752572598776,0.0,0,0.504938869309967,65.99961422222222,-23.22231000839748,0.2019867968283584,9.123059565603384,0.002795916153123121,3.032948795583604,1.2236374165048347
2025-01-01 00:05:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,21.978405642765477,51.666666666666686,46.10666666666668,0.0,51.43988801135513,0.0,0.0,0.0,21.978405642765477,50.74734754351484,51.43988801135513,50.401077309594704,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3109.433875625427,19.558674847538008,0.0,2.8,-540.9514771019785,-788.7649849391521,-0.0,-0.0,270.09982466246646,0.0,1.0,0.03611522262124458,0.0,0,0.5043309953415889,65.99961422222222,-22.28631682529295,0.2025642890933204,9.10234640500945,0.002795931824986095,3.092094166962394,1.2238290797763733
2025-01-01 00:06:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,22.007541466171475,51.666666666666686,46.10666666666668,0.0,51.43651244816986,0.0,0.0,0.0,22.007541466171475,50.74426305841578,51.43651244816986,50.398138363538756,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3109.031960955601,19.514209172380458,0.0,2.8,-535.9666619857084,-785.7522760929652,-0.0,-0.0,270.09982466246646,0.0,1.0,0.036072991785204865,0.0,0,0.5037412628679065,65.99961422222222,-20.314210555209606,0.20312616355552998,9.081672376727667,0.002795947799963001,3.149390142735403,1.2240150093546183
2025-01-01 00:07:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,22.035723155966807,51.666666666666686,46.10666666666668,0.0,51.43313260023253,0.0,0.0,0.0,22.035723155966807,50.74117448434801,51.43313260023253,50.395195426405756,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3108.657122143738,19.4710942631127,0.0,2.8,-531.6780597999835,-782.8354334457825,-0.0,-0.0,270.09982466246646,0.0,1.0,0.03603202878862508,0.0,0,0.5031692351372757,65.99961422222222,-18.942451016667547,0.20367269919564931,9.061720827033657,0.0027959640684819087,3.2048815364265164,1.2241953441982751
2025-01-01 00:08:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,22.06300457474231,51.666666666666686,46.10666666666668,0.0,51.429748609388575,0.0,0.0,0.0,22.06300457474231,50.738081955216174,51.429748609388575,50.392248628129984,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3108.282658220996,19.429253769549213,0.0,2.8,-527.4564649007451,-780.0089031028939,-0.0,-0.0,270.09982466246646,0.0,1.0,0.035992262451658076,0.0,0,0.502613918158782,65.99961422222222,-17.547386460317714,0.20420471622838732,9.042450770682244,0.0027959806212089515,3.2586690048533566,1.2243703988494035
2025-01-01 00:09:00,0.21219572101721962,0.11303617618663292,0.0,0.0035365953502869934,0.0018839362697772152,0.0,0.027966552729563998,0.0,0.1842291682876556,0.0,0.0,0.0,0.0,0.11303617618663292,0.0,0.0,1,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.024554436501493825,0,On,0.03351426670547832,0,On,0.11565015109964809,0.08673761332473603,On,Off,0.0,19.500000000000057,0.0,0.0,0.0,0.0,0,0.0,3073.7298133333334,Off,0.0,0.0,22.089425024497828,51.666666666666686,46.10666666666668,0.0,51.42636060947646,0.0,0.0,0.0,22.089425024497828,50.73498559736578,51.42636060947646,50.389298091310444,12.43753247303448,Off,0.0,20.500000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,3107.9209926720555,19.388632009805832,0.0,2.8,-523.4164238311305,-777.268565154242,-0.0,-0.0,270.09982466246646,0.0,1.0,0.03595364110521828,0.0,0,0.5020745903995242,65.99961422222222,-16.247683339355035,0.20472278645319889,9.02383243725875,0.0027959974493337613,3.3108258272309894,1.2245404018403963
