Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,80.07469999722439,51.666666666666686,46.10666666666668,0.0,50.03739213911512,0.07423195096349165,194.58695096162603,0.0,125.11671874566309,48.801450830475304,50.03739213911512,48.18348017615539,12.43753247303448,18.99299937908223,0.0,-2.803678963499515,1.7353813412634065,2.8,9.236100170605994,-4534.582502660414,259.2675480765895,449.08153108120655,-4782.091450534528,-0.0,-0.0,624.3154450000955,0.0,5.136,0.22660679371923967,0.0,0,1.6526592605135517,338.97401864533333,-376.806497125982,0.21394337098064278,8.889936602054018,0.002859368318996313,-96.430570642792,1.2225805246260826,0,0,259.2675480765895,0.2894293858371424,401.5636086942429,47.517922386963676
2025-01-01 00:01:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,80.52336048279011,51.666666666666686,46.10666666666668,0.0,50.020544102821276,0.07426522830210186,194.58695096162606,0.0,125.81775075435954,48.76957112644532,50.020544102821276,48.144084638257354,12.43753247303448,18.79443286731745,0.0,-2.6305328994379193,1.776069610455753,2.8,9.236100170605994,-4448.952678082148,254.2477187213421,432.94248469717905,-4701.9187397308715,-0.0,-0.0,624.3154450000955,0.0,5.136,0.22557378243069764,0.0,0,1.6451254366409136,338.97401864533333,-371.34938335137156,0.21722710067805837,8.820663339934917,0.0028591078652604727,-94.58914188910096,1.2269860027802018,0,0,254.2477187213421,0.2888391507694591,385.42878334323717,47.51370135394188
2025-01-01 00:02:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,80.95652742288804,51.666666666666686,46.10666666666668,0.0,50.00361404855175,0.07429869770569046,194.58695096162606,0.0,126.49457409826258,48.73762151801615,50.00361404855175,48.104625252748356,12.43753247303448,18.601570007833477,0.0,-2.461147991850831,1.815587690577122,2.8,9.236100170605994,-4366.886187796902,249.65970771588636,417.2901133146804,-4624.543279368292,-0.0,-0.0,624.3154450000955,0.0,5.136,0.2245695954706001,0.0,0,1.6378018306198674,338.97401864533333,-366.65835342870514,0.21984493835481186,8.73101322002815,0.0028588533024220095,-92.79975184594353,1.2277972924918599,0,0,249.65970771588636,0.28826473388720736,369.8164300406849,47.473683273995505
2025-01-01 00:03:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,81.37498019239604,51.666666666666686,46.10666666666668,0.0,49.98660456170763,0.07433235453529669,194.58695096162603,0.0,127.1484065506188,48.70560441918906,49.98660456170763,48.06510434792978,12.43753247303448,18.414122771263855,0.0,-2.295337305434054,1.8540697061274207,2.8,9.236100170605994,-4288.291418339128,245.10208838329686,402.09340584719587,-4549.8083570888875,-0.0,-0.0,624.3154450000955,0.0,5.136,0.22359282460046778,0.0,0,1.6306781720682881,338.97401864533333,-362.79850625033544,0.22242317667107406,8.642735661257086,0.0028586037203009464,-91.05937488566205,1.228586831166902,0,0,245.10208838329686,0.28770427462501563,354.66889402089936,47.424511826296495
2025-01-01 00:04:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,81.77942131818043,51.666666666666686,46.10666666666668,0.0,49.969518097849345,0.0743661943939699,194.58695096162603,0.0,127.78034580965692,48.673522122533356,49.969518097849345,48.02552413487536,12.43753247303448,18.231831645383657,0.0,-2.132953808189963,1.8916279287369762,2.8,9.236100170605994,-4208.948995969531,240.6342741271176,387.2955848840197,-4477.572388089106,-0.0,-0.0,624.3154450000955,0.0,5.136,0.2226422012133674,0.0,0,1.6237452089467201,338.97401864533333,-355.6920528805203,0.22496302240139684,8.557688447211671,0.002858358976254372,-89.36577043325705,1.2293556278055486,0,0,240.6342741271176,0.2871562148512775,339.93794520284,47.35763968117972
2025-01-01 00:05:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,82.17034033575774,51.666666666666686,46.10666666666668,0.0,49.952356995495116,0.07440021310230546,194.58695096162606,0.0,128.39115677462146,48.641376811159795,49.952356995495116,47.985886718992134,12.43753247303448,18.054516383721065,0.0,-1.973873152381618,1.9283559418046516,2.8,9.236100170605994,-4128.779698777731,236.26628587655918,372.8594954537864,-4407.728337929383,-0.0,-0.0,624.3154450000955,0.0,5.136,0.22171686241662913,0.0,0,1.6169966481183247,338.97401864533333,-345.3668058484435,0.22746474144184653,8.47382800475405,0.0028581189343863497,-87.71735907182504,1.230104364114082,0,0,236.26628587655918,0.286619256239787,325.58335241946656,47.27614303431986
2025-01-01 00:06:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,82.54818743335397,51.666666666666686,46.10666666666668,0.0,49.93512351158532,0.0744344066288727,194.58695096162606,0.0,128.9815428646156,48.609170591906135,49.93512351158532,47.946194132066545,12.43753247303448,17.882011326817096,0.0,-1.817987406142713,1.9643317923336716,2.8,9.236100170605994,-4050.3032903200847,232.00527473192182,358.7881034624868,-4340.177415284233,-0.0,-0.0,624.3154450000955,0.0,5.136,0.22081601507515042,0.0,0,1.6104267051930992,338.97401864533333,-334.44132003594694,0.22992852315285492,8.39238717499953,0.002857883463663929,-86.11268275422854,1.2308336657268215,0,0,232.00527473192182,0.28609231708986643,311.57150144930114,47.216602013185664
2025-01-01 00:07:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,82.91347682001553,51.666666666666686,46.10666666666668,0.0,49.91781982803592,0.07446877107771734,194.58695096162603,0.0,129.55230753127427,48.5769055014677,49.91781982803592,47.906448338183594,12.43753247303448,17.714126886317317,0.0,-1.6652004185463392,1.9996204840030556,2.8,9.236100170605994,-3974.466250085846,227.85417158166672,344.97999552739043,-4274.813858058404,-0.0,-0.0,624.3154450000955,0.0,5.136,0.2199387350998293,0.0,0,1.6040286407243265,338.97401864533333,-323.9678370275376,0.23235503091002552,8.313270875797308,0.0028576524375459266,-84.55008358429556,1.2315442647094252,0,0,227.85417158166672,0.285574498151073,297.87430321426507,47.105692313125374
2025-01-01 00:08:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,83.266727756989,51.666666666666686,46.10666666666668,0.0,49.90044804108214,0.07450330271003308,194.58695096162606,0.0,130.10426212029532,48.5445834964225,49.90044804108214,47.86665122409268,12.43753247303448,17.550671510742358,0.0,-1.515424740718865,2.034274105408214,2.8,9.236100170605994,-3901.3524401579343,223.81338672518007,331.4552024095293,-4211.533584706818,-0.0,-0.0,624.3154450000955,0.0,5.136,0.21908408230579957,0.0,0,1.5977955978777514,338.97401864533333,-314.1343004512113,0.23474509588015222,8.235751485519732,0.00285742573450644,-83.02788764658634,1.2322369068223487,0,0,223.81338672518007,0.2850650827273982,284.4690419916232,46.98616041790612
2025-01-01 00:09:00,0.3321141108146712,0.14756272722030284,0.0,0.005535235180244519,0.0024593787870050474,0.0,0.06173478660396982,0.2703793242107014,0.0,0.0,0.0,0.0,0.14756272722030284,0,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.006816077302631578,0.0,On,0.05491870930133824,0,On,0.03829705209052854,0,On,0.16343879000200112,0.1225790925015008,On,0.035331969159768994,0,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,38446.826782222226,Off,0.0,0,83.60843366741545,51.666666666666686,46.10666666666668,0.0,49.88301016044003,0.07453799794642307,194.58695096162603,0.0,130.63817760533664,48.51220645244405,49.88301016044003,47.82680459844606,12.43753247303448,17.391463196630795,0.0,-1.3685795321707062,2.068336746825992,2.8,9.236100170605994,-3830.816008909197,219.88173037437224,318.1915881532054,-4150.238536146203,-0.0,-0.0,624.3154450000955,0.0,5.136,0.21825116099572808,0.0,0,1.591721044269821,338.97401864533333,-304.89291776308943,0.2370995443673376,8.159751631949355,0.0028572032380470382,-81.54450140780004,1.232912302499965,0,0,219.88173037437224,0.2845634660916497,271.33638693288157,46.85520122032379
