Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Gas Power (therms/hour),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,32.662016770050045,51.666666666666686,46.10666666666668,0.0,51.03649129759182,0.0,0.0,0.0,32.662016770050045,49.338361149083234,51.03649129759182,48.48929607482894,12.43753247303448,21.329014177574077,-0.39320804464820824,-2.804075960115134,2.8,9.236100170605994,5458.711590768355,3525.645191379365,-2194.6257963727207,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09088464479461844,0.0,0,2.352284077296858,263.9984568888889,-77.39784524848277,0.20821829510579767,10.345284091452491,0.003217403896779758,-35.16694552379465,1.2126202973315074,0,0,80.91427541659712
2025-01-01 00:01:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,32.43498123491557,51.666666666666686,46.10666666666668,0.0,51.03327170823053,0.0,0.0,0.0,32.43498123491557,49.335610844834505,51.03327170823053,48.48678041313651,12.43753247303448,21.521376263390042,-0.2008459588322431,-2.499916187995983,2.8,9.236100170605994,5410.869461452121,3522.1542946647187,-2228.3932400044673,-0.0,-0.0,760.7391489078793,0.0,4.0,0.0913348265927304,0.0,0,2.3639357207398253,263.9984568888889,-91.4725309329693,0.2063581552227514,10.454345609279255,0.0032170640430800273,-36.30175794303983,1.2153688538243772,0,0,77.42337870195102
2025-01-01 00:02:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,32.21582924190798,51.666666666666686,46.10666666666668,0.0,51.030072719511274,0.0,0.0,0.0,32.21582924190798,49.33287965810696,51.030072719511274,48.4842831274048,12.43753247303448,21.70698187232058,-0.015240349901706196,-2.201600329565553,2.8,9.236100170605994,5365.467820088639,3519.0259539681047,-2261.1692544709035,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09176841102097917,0.0,0,2.3751577896496863,263.9984568888889,-104.09815783001572,0.2040061142846546,10.535932196215034,0.0032167140159227617,-37.38718899477942,1.214604063685066,0,0,74.29503800533692
2025-01-01 00:03:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,32.004154423402724,51.666666666666686,46.10666666666668,0.0,51.02689361842572,0.0,0.0,0.0,32.004154423402724,49.33016692506711,51.02689361842572,48.48180357838781,12.43753247303448,21.88617959845921,0.0,-1.9087931655880068,2.8,9.236100170605994,5321.234855533274,3515.9699325404226,-2292.994568476967,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09218629649323304,0.0,0,2.385973536850303,263.9984568888889,-116.50580837931699,0.20176238981995043,10.613912063021944,0.003216353295882829,-38.42555843279905,1.2138666069628075,0,0,71.23901657765518
2025-01-01 00:04:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,31.79964249768172,51.666666666666686,46.10666666666668,0.0,51.02373372871416,0.0,0.0,0.0,31.79964249768172,49.3274720160997,51.02373372871416,48.47934115979247,12.43753247303448,22.059238925333467,0.0,-1.6212337434286261,2.8,9.236100170605994,5280.734140679411,3513.0234634911867,-2323.8979411795303,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09258918862597872,0.0,0,2.396401225167372,263.9984568888889,-126.10315053061568,0.19962040601142977,10.68916463523642,0.0032159823321865157,-39.41894006434964,1.2131552780939532,0,0,68.29254752841912
2025-01-01 00:05:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,31.60184377015902,51.666666666666686,46.10666666666668,0.0,51.020592402539435,0.0,0.0,0.0,31.60184377015902,49.324794328053514,51.020592402539435,48.47689529081057,12.43753247303448,22.2265457463524,0.0,-1.3387015328931477,2.8,9.236100170605994,5244.326132092483,3510.1888198158504,-2353.930847141172,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09297805631490329,0.0,0,2.406465931641162,263.9984568888889,-132.47825315590353,0.1975725204595179,10.761918983723646,0.0032156015551609027,-40.37012397604684,1.2124684024656132,0,0,65.4579038530826
2025-01-01 00:06:00,0.9725876189446897,0.3675809413677973,0.37543803048335594,0.016209793649078163,0.006126349022796621,0.006257300508055932,0.020608383421804346,0.0,0.5772823605228854,0.37469687500000004,0.0050812737265991705,0.3703567567567568,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,On,8712.495104352098,22.222222222222285,0.9250000000000002,1702.231895092348,10.85408662102102,0.37469687500000004,1,10040.030124444445,10040.030124444445,Off,0.0,0.0,31.410305151483854,51.666666666666686,46.10666666666668,0.0,51.01746903272968,0.0,0.0,0.0,31.410305151483854,49.32213329564391,51.01746903272968,48.47446542710102,12.43753247303448,22.388488910061206,0.0,-1.0610065984379167,2.8,9.236100170605994,5209.997598206623,3507.46610093794,-2383.1473700929387,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09335386696452741,0.0,0,2.4161926947174455,263.9984568888889,-137.59026408999605,0.19561142520871405,10.832403710616951,0.0032152113690191975,-41.28188859230414,1.2118043037357344,0,0,62.735184975172814
2025-01-01 00:07:00,0.5978907439446897,0.3675809413677973,0.0050812737265991705,0.009964845732411494,0.006126349022796621,8.46878954433195e-05,0.020608383421804346,0.0,0.5772823605228854,0.0,0.0050812737265991705,0.0,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,10040.030124444445,Off,0.0,0.0,31.22470802858371,51.666666666666686,46.10666666666668,0.0,51.014363053084814,0.0,0.0,0.0,31.22470802858371,49.31948839173855,51.014363053084814,48.47205106106543,12.43753247303448,22.54534172568254,0.0,-0.7879818069647182,2.8,9.236100170605994,-1793.1293793086927,60.12164652518713,-2411.582550027917,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09371731260060936,0.0,0,2.4255994254655335,263.9984568888889,-142.285978188655,0.19373151230792995,10.900044687737697,0.0032148121518105434,-42.156251846978876,1.2111617885973816,0,0,60.12164652518713
2025-01-01 00:08:00,0.5978907439446897,0.3675809413677973,0.0050812737265991705,0.009964845732411494,0.006126349022796621,8.46878954433195e-05,0.020608383421804346,0.0,0.5772823605228854,0.0,0.0050812737265991705,0.0,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,10040.030124444445,Off,0.0,0.0,31.452933585902247,51.666666666666686,46.10666666666668,0.0,51.0112739262177,0.0,0.0,0.0,31.452933585902247,49.316859116033974,51.0112739262177,48.46965171094212,12.43753247303448,22.346543023311934,0.0,-0.6930526938233684,2.8,9.236100170605994,-1749.49469548417,59.62231503056581,-2375.566015267904,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09325658160092659,0.0,0,2.413674746693669,263.9984568888889,-134.66782912414521,0.19606216566510087,10.81279810676357,0.0032144042627887904,-40.77672742800971,1.2119769096315958,0,0,59.62231503056581
2025-01-01 00:09:00,0.5978907439446897,0.3675809413677973,0.0050812737265991705,0.009964845732411494,0.006126349022796621,8.46878954433195e-05,0.020608383421804346,0.0,0.5772823605228854,0.0,0.0050812737265991705,0.0,0.0,0.0,0.3675809413677973,0,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004263514254385964,0.0,On,0.008172434583709191,0,On,0.008172434583709191,0.0,On,0.01582508631664381,0,On,0.42572427918839345,0.319293209391295,On,0.07134935238251174,0,On,0.0050812737265991705,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,10040.030124444445,Off,0.0,0.0,31.67350318188811,51.666666666666686,46.10666666666668,0.0,51.00816423693914,0.0,0.0,0.0,31.67350318188811,49.31421062260244,51.00816423693914,48.4672338154341,12.43753247303448,22.154305104530305,0.0,-0.5992036242522206,2.8,9.236100170605994,-1708.686678765968,59.001769031533726,-2340.9441951137333,-0.0,-0.0,760.7391489078793,0.0,4.0,0.09281022506897443,0.0,0,2.4021221091135674,263.9984568888889,-128.48163256011395,0.198346049821371,10.72872090526559,0.0032140099869093176,-39.441644465209606,1.2127661735596573,0,0,59.001769031533726
