Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,8.866377741397887,0.07575370221557408,0.0,0.14777296235663145,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,8.738208248888888,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,On,8738.208248888888,16.666666666666686,1.0,0.0,8.738208248888888,0.0,1,8738.208248888888,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.83752558331841,51.666666666666686,46.10666666666668,0.0,50.648620027160966,0.0,0.0,0.0,36.83752558331841,48.23927558966072,50.648620027160966,47.0346033709106,12.43753247303448,16.667431705182906,0.0,6.445461476800703,2.8,9.236100170605994,7531.205453631867,-1614.9901855825499,-1380.8983300596406,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07640961593748125,0.0,0,1.0670220162716102,65.99961422222222,3.3299614506187964,0.23584449894950607,7.631330027951231,0.002721928610576889,-36.69620851237722,1.2324930347569043,0.35259349869364337,-1675.1143745247878,60.12418894223783
2025-01-01 00:01:00,8.866377741397887,0.07575370221557408,0.0,0.14777296235663145,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,8.738208248888888,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,On,8738.208248888888,16.666666666666686,1.0,0.0,8.738208248888888,0.0,1,8738.208248888888,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.65715966609814,51.666666666666686,46.10666666666668,0.0,50.64491129481138,0.0,0.0,0.0,36.65715966609814,48.23617368680404,50.64491129481138,47.031804882800365,12.43753247303448,16.819326096894464,0.0,6.474266230836854,2.8,9.236100170605994,7494.250279710872,-1629.090006036977,-1403.9842738201964,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07684532532809599,0.0,0,1.0731064796834222,65.99961422222222,-10.5392687098213,0.2342457534618509,7.726461901393289,0.0027217403562282442,-37.157757345790294,1.235445945167762,0.3526844480642677,-1688.7858549789173,59.69584894194031
2025-01-01 00:02:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.4825747255399,51.666666666666686,46.10666666666668,0.0,50.64121896514541,0.0,0.0,0.0,36.4825747255399,48.233086971654586,50.64121896514541,47.02902097490917,12.43753247303448,16.966267158974684,0.0,6.501083419068468,2.8,9.236100170605994,-1279.9308751847236,-1642.3441428167669,-1426.463081744097,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07726582683733411,0.0,0,1.0789785726487844,65.99961422222222,-24.03336679262786,0.2320555738200517,7.797198715113389,0.002721550189715795,-37.600618210868525,1.2348203455666427,0.3527691007319897,-1701.5200214884342,59.175878671667235
2025-01-01 00:03:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.58879052107692,51.666666666666686,46.10666666666668,0.0,50.637542515296275,0.0,0.0,0.0,36.58879052107692,48.23001495742538,50.637542515296275,47.02625117848994,12.43753247303448,16.871883827019275,0.0,6.526070457402603,2.8,9.236100170605994,-1269.3786186692628,-1654.842454863256,-1412.0080348012073,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07699584242169778,0.0,0,1.0752083755080228,65.99961422222222,-27.93615722005663,0.23343284640709208,7.751228175377404,0.002721357659230824,-37.23932434797944,1.2352223431211906,0.35284795796652146,-1713.390375947932,58.54792108467581
2025-01-01 00:04:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.6916152268934,51.666666666666686,46.10666666666668,0.0,50.633856557010105,0.0,0.0,0.0,36.6916152268934,48.22693399929796,50.633856557010105,47.023472720441895,12.43753247303448,16.780406062144873,0.0,6.549362752151021,2.8,9.236100170605994,-1256.3174285302152,-1666.295722360713,-1398.0543328774281,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07673378345822415,0.0,0,1.0715488533371946,65.99961422222222,-28.828669004788324,0.23477616206322802,7.707441894032587,0.00272116704077375,-36.88804015990629,1.235612218045628,0.35292145084846266,-1724.4601722355994,58.16444987488639
2025-01-01 00:05:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.79125526022706,51.666666666666686,46.10666666666668,0.0,50.630161396974486,0.0,0.0,0.0,36.79125526022706,48.22384438281894,50.630161396974486,47.020685875741165,12.43753247303448,16.691656741712663,0.0,6.571099168762352,2.8,9.236100170605994,-1240.8966300391178,-1677.0361090872764,-1384.5699336240684,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07647917617404955,0.0,0,1.067993390135551,65.99961422222222,-26.89226976705062,0.23608740271154943,7.664491179907467,0.0027209782800282716,-36.5461828087548,1.2359907024923824,0.3529900207523801,-1734.7944853582655,57.75837627098909
2025-01-01 00:06:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.88786423213196,51.666666666666686,46.10666666666668,0.0,50.62645732321084,0.0,0.0,0.0,36.88786423213196,48.22074637615357,50.62645732321084,47.017890902624934,12.43753247303448,16.605504111038652,0.0,6.591390847309417,2.8,9.236100170605994,-1224.9093155861997,-1687.0685049119995,-1371.530202808559,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07623167356066542,0.0,0,1.064537140103072,65.99961422222222,-23.944686129642093,0.23736784589869936,7.622313251484515,0.002720791325876439,-36.21331902089785,1.2363583375254465,0.35305402105277683,-1744.445362144025,57.37685723202557
2025-01-01 00:07:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,36.98161332058279,51.666666666666686,46.10666666666668,0.0,50.622744609849065,0.0,0.0,0.0,36.98161332058279,48.217640234532304,50.622744609849065,47.01508804687393,12.43753247303448,16.52180130395299,0.0,6.610340594484904,2.8,9.236100170605994,-1209.4351364617212,-1696.4405058195832,-1358.90865679338,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07599088231481033,0.0,0,1.0611746109567004,65.99961422222222,-21.09205302034229,0.23861905967578326,7.5820707289117415,0.0027206061295940043,-35.88896360601034,1.2367157306396757,0.3531137784042695,-1753.4610106796047,57.02050486002154
2025-01-01 00:08:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,37.072679203831484,51.666666666666686,46.10666666666668,0.0,50.61902351553931,0.0,0.0,0.0,37.072679203831484,48.21452619877155,50.61902351553931,47.01227754038768,12.43753247303448,16.440396712662977,0.0,6.628042005701217,2.8,9.236100170605994,-1194.6095064618953,-1705.1998973304703,-1346.6785389773781,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07575639256130275,0.0,0,1.0579000789948145,65.99961422222222,-18.496540836518477,0.2398427486860206,7.542444191131738,0.002720422645117134,-35.572614096976515,1.2370635115515665,0.3531695900389224,-1761.885363888273,56.685466557802805
2025-01-01 00:09:00,0.12816949250899973,0.07575370221557408,0.0,0.0021361582084833287,0.0012625617035929013,0.0,0.012757146669279348,0.0,0.09541234583972037,0.0,0.020000000000000004,0.0,0.0,0.06992036888224074,0.0,0.005833333333333337,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.003412116228070175,0.0,On,0.009345030441209172,0,On,0.002185187330066034,0,On,0.051479048274580434,0.03860928620593532,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,8738.208248888888,Off,0.0,24.444444444444457,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,2623.865657777778,Off,0.0,0.0,37.16122128458226,51.666666666666686,46.10666666666668,0.0,50.61529428295492,0.0,0.0,0.0,37.16122128458226,48.21140449481054,50.61529428295492,47.00945960073835,12.43753247303448,16.361153562417837,0.0,6.644580489569552,2.8,9.236100170605994,-1180.3945855580105,-1713.3880865442827,-1334.8157366020857,-0.0,-0.0,170.5655733520013,0.0,1.0,0.07552783438592665,0.0,0,1.0547083785506626,65.99961422222222,-16.144422307925907,0.24104045316435624,7.50336663416168,0.002720240829125159,-35.263816325490545,1.2374022484928144,0.3532217270551103,-1769.7585503355476,56.370463791265124
