Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,14.17927061173857,0.15818950966210787,0.0,0.2363211768623095,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,13.894105553611112,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,On,13894.10555361111,13.333333333333371,1.0,0.0,13.394228991111111,0.4998765625,1,13394.228991111111,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,43.360817320160095,51.666666666666686,46.10666666666668,0.0,50.2277800417281,0.0,0.0,0.0,43.360817320160095,50.260703677151156,50.277165494862686,50.2277800417281,12.43753247303448,12.991295651476747,0.0,2.8,9.236100170605994,12723.34350637718,-1395.5371007882588,-0.0,-0.0,401.4481347862504,0.0,3.0,0.1050737746794705,0.0,0.0,1.3834220383499831,197.99884266666666,-176.67308123192268,0.32376964714263734,6.095555200261028,0.002949047162779397,-41.289524179836484,1.2481561523901183
2025-01-01 00:01:00,14.17927061173857,0.15818950966210787,0.0,0.2363211768623095,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,13.894105553611112,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,On,13894.10555361111,13.333333333333371,1.0,0.0,13.394228991111111,0.4998765625,1,13394.228991111111,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,43.039466129382575,51.666666666666686,46.10666666666668,0.0,50.22134261154573,0.0,0.0,0.0,43.039466129382575,50.2546183497129,50.271256218796495,50.22134261154573,12.43753247303448,13.261399888326576,0.0,2.8,9.236100170605994,12659.29831369893,-1445.4566229758839,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10602239440022479,0.0,0.0,1.3959117526645988,197.99884266666666,-190.79875172254697,0.31901205125217724,6.252657568751995,0.0029488499594494256,-43.01297994688951,1.250621797540721
2025-01-01 00:02:00,14.17927061173857,0.15818950966210787,0.0,0.2363211768623095,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,13.894105553611112,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,On,13894.10555361111,13.333333333333371,1.0,0.0,13.394228991111111,0.4998765625,1,13394.228991111111,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.7283250942833,51.666666666666686,46.10666666666668,0.0,50.214953022974264,0.0,0.0,0.0,42.7283250942833,50.24857812122203,50.265390670345916,50.214953022974264,12.43753247303448,13.52277372035702,0.0,2.8,9.236100170605994,12596.641601272571,-1494.383370710258,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10693927437875198,0.0,0.0,1.407983575273863,197.99884266666666,-204.52871641453135,0.3135981274082212,6.383385004270297,0.0029486449297261427,-44.67273662982367,1.2494816979507137
2025-01-01 00:03:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.426896031940295,51.666666666666686,46.10666666666668,0.0,50.2086097578493,0.0,0.0,0.0,42.426896031940295,50.24258155876872,50.259567459228435,50.2086097578493,12.43753247303448,13.775843898194998,0.0,2.8,9.236100170605994,-1358.7556519944555,-1542.335265514273,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10782593063564026,0.0,0.0,1.4196574664038046,197.99884266666666,-217.8685212664329,0.30845254747791884,6.509689388169862,0.002948431794150284,-46.27154963222835,1.2483798086962472
2025-01-01 00:04:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.54739993398615,51.666666666666686,46.10666666666668,0.0,50.2023113720712,0.0,0.0,0.0,42.54739993398615,50.23662729935897,50.25378526300286,50.2023113720712,12.43753247303448,13.666306890503337,0.0,2.8,9.236100170605994,-1335.7797658928157,-1521.5102815740174,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10744229418634658,0.0,0.0,1.414606433257939,197.99884266666666,-215.7176191050487,0.3106351794722455,6.454425394444819,0.002948210835709641,-45.47295675084924,1.2488567394947836
2025-01-01 00:05:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.663322698025056,51.666666666666686,46.10666666666668,0.0,50.19599515250099,0.0,0.0,0.0,42.663322698025056,50.230656128236134,50.24798661610372,50.19599515250099,12.43753247303448,13.56069041227252,0.0,2.8,9.236100170605994,-1312.8235054194595,-1501.5315897676085,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10707218978683296,0.0,0.0,1.4097335657480459,197.99884266666666,-212.74005043810143,0.312755711112288,6.401531344563304,0.002947993773679847,-44.70171685380753,1.249316948181713
2025-01-01 00:06:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.77499005114369,51.666666666666686,46.10666666666668,0.0,50.18966178024651,0.0,0.0,0.0,42.77499005114369,50.224668688324556,50.24217214236359,50.18966178024651,12.43753247303448,13.458715146477774,0.0,2.8,9.236100170605994,-1290.170861274177,-1482.3358508744604,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10671466479164994,0.0,0.0,1.4050263211562724,197.99884266666666,-209.2831451859671,0.3148181829128336,6.349860399112959,0.002947780471713253,-43.95594823583479,1.2497616154526308
2025-01-01 00:07:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.88267250594558,51.666666666666686,46.10666666666668,0.0,50.1833118879937,0.0,0.0,0.0,42.88267250594558,50.21866557683551,50.236342421256424,50.1833118879937,12.43753247303448,13.360149187045959,0.0,2.8,9.236100170605994,-1268.1042795843382,-1463.869941958138,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10636892932396194,0.0,0.0,1.400474299808435,197.99884266666666,-205.68247241245052,0.3168258591638726,6.300037726716553,0.002947570802937545,-43.23408289564335,1.2501917197801453
2025-01-01 00:08:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,42.98660349183888,51.666666666666686,46.10666666666668,0.0,50.17694606821388,0.0,0.0,0.0,42.98660349183888,50.21264735301608,50.230497995417196,50.17694606821388,12.43753247303448,13.264792462466596,0.0,2.8,9.236100170605994,-1246.884104215528,-1446.0877755744407,-0.0,-0.0,401.4481347862504,0.0,3.0,0.10603430229807222,0.0,0.0,1.3960685343959376,197.99884266666666,-202.24446342733765,0.3187815087731828,6.25195433935214,0.0029473646483893887,-42.534763700002564,1.2506081044561834
2025-01-01 00:09:00,0.2851650581274561,0.15818950966210787,0.0,0.004752750968790935,0.002636491827701798,0.0,0.01388510487699834,0.0,0.2212799532504577,0.0,0.05,0.0,0.0,0.14360617632877454,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.0034871436403508763,0.0,On,0.010397961236647464,0,On,0.009037996061127826,0,On,0.15641015128917027,0.11730761346687767,On,0.02076705541763043,0,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,13394.228991111111,Off,0.0,18.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,7809.172826666667,Off,0.0,0.0,43.0869914225291,51.666666666666686,46.10666666666668,0.0,50.17056487867594,0.0,0.0,0.0,43.0869914225291,50.20661454335352,50.224639375692306,50.17056487867594,12.43753247303448,13.172466369608182,0.0,2.8,9.236100170605994,-1226.4696193148993,-1428.948185205274,-0.0,-0.0,401.4481347862504,0.0,3.0,0.1057101755118952,0.0,0.0,1.3918010172101822,197.99884266666666,-198.96956889587577,0.3206875929888741,6.205513049133069,0.002947161895956789,-41.85677596365431,1.2510115222161287
