kva,n_customers,avg_utilization,std_utilization,avg_diversity_factor
25.0,1,0.3116697901717615,0.29677947101405655,1.0
25.0,2,0.5495842504389822,0.423756137536638,1.1286836263290452
25.0,3,0.6430635252156484,0.4153855067140751,1.2846813241072121
25.0,4,0.8663050523227812,0.3954642691438173,1.3059448959699325
25.0,5,0.9516999987204993,0.3356572284814572,1.427470917762853
25.0,6,0.9798881837246808,0.399248036568039,1.5808276535600025
25.0,7,1.0635375908108118,0.36701668873380777,1.616806759280085
25.0,8,1.3767706374687212,0.40189744000492356,1.6476213877032795
25.0,9,1.603261137177612,0.6534795642298113,1.6607135366828936
25.0,10,1.7178797379440094,0.6085276188309996,1.6670081553661
25.0,11,1.7865726555751247,0.6462817715928996,1.7307241489038487
25.0,12,1.9225977317401826,0.5424511710126312,1.7216329709697782
25.0,13,2.1453971026405214,0.6490999017860308,1.7643407258062855
25.0,14,2.1103218257584473,0.6407383554016187,1.7506245448580287
25.0,15,2.258247300043578,0.7059254132461319,1.837727403966866
25.0,16,2.432674493184794,0.6031362520966194,1.856471065127606
25.0,17,2.66696563417932,0.7985854310165206,1.7713033394551931
25.0,18,2.655907611034939,0.5613831520781788,1.9236231514555437
25.0,19,2.888382755935682,0.7787832431069666,1.901230222047756
25.0,20,2.8831044337533256,0.5959653810601785,1.9090124510976796
25.0,21,2.8499877010853227,0.5850431134900075,1.995239240358269
25.0,22,2.9508069078697843,0.5097787348743249,1.9435094046860426
25.0,23,2.96657457540899,0.6636828777167559,2.0248719351701507
25.0,24,3.010409257290658,0.6572838982276235,2.041055295398708
25.0,25,3.341206258105332,0.7213604175180031,1.9963502665703141
25.0,26,3.6706256718530486,0.8179500254778347,1.972511089227197
25.0,27,3.4075914906491174,0.5611476345301051,2.031055556438683
25.0,28,3.984967825696399,1.013348169340046,2.0488608673238256
25.0,29,4.099876905871623,0.7068325095602472,1.9803950908454362
25.0,30,3.6548198894232633,0.6119528424374275,2.0594105810070498
25.0,31,3.9595590819588242,0.813475812222728,2.1073305324072473
25.0,32,4.045465318380171,0.7468668146828567,2.08233499234994
25.0,33,4.266112874208826,0.7887327508976052,2.1356771505463614
25.0,34,4.529922486200179,0.6613195829919315,2.1241798914268317
25.0,35,4.515009063308967,0.8318483129833667,2.0553896836198873
25.0,36,4.7983320165281365,0.9206026869968663,2.055135987563734
25.0,37,4.584838926991854,0.9065872436103959,2.149388953195055
25.0,38,4.967904916642044,0.9207014922552924,2.1353223842530453
25.0,39,5.034120889048869,0.9652359373730799,2.125510536641287
25.0,40,5.003065829453808,0.9232473481340363,2.1567142828151833
25.0,41,5.291403479033091,0.9029228369780004,2.173324512329375
25.0,42,5.4523443319271845,1.1323701865008833,2.17204826655298
25.0,43,5.359884456918295,0.8488812727006013,2.1684410979558826
25.0,44,5.279830453048714,0.8493236790463905,2.232911073526832
25.0,45,5.7281744724892185,1.0009811751712865,2.1693691173891856
25.0,46,5.8656341660920965,0.9250696464166079,2.198028358457106
25.0,47,5.8205547036920855,0.9694157854703122,2.2020065493291057
25.0,48,6.134945084422461,1.245937119727004,2.2081145436806735
25.0,49,6.035337999678167,0.9809803294771774,2.1965959772089194
25.0,50,6.269444111590184,0.9012823152587919,2.1802163055393717
25.0,51,6.05759615703109,0.9216635338201905,2.20512771199668
25.0,52,6.057886913717495,0.9646231824968261,2.240815175460339
25.0,53,6.255514969021444,0.7317496736055601,2.22634546837969
25.0,54,6.3575370867055545,0.8812266282311152,2.2367373512833097
25.0,55,6.794339355666045,1.0223068848373675,2.2276879830245755
25.0,56,6.947050717013286,1.13856264608645,2.2378576346520354
25.0,57,7.00756458072262,0.7227227742036096,2.230950362753598
25.0,58,6.8404530440442795,1.1652267595502577,2.2387885595418626
25.0,59,7.048126794233104,1.1963591815090608,2.266906648237301
25.0,60,7.228624495131851,1.1515251343661634,2.2634227340773703
