occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.75,0.69,0.0742,0.211,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0,0,0,0,0,0
0.75,0.69,0.0827,0.211,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0,0,0,0,0,0
0.75,0.69,0.0827,0.211,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0,0,0,0,0,0
0.75,0.69,0.0827,0.211,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.75,0.707,0.0952,0.182,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0,0,0,0,0,0
0.75,0.737,0.12,0.133,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0,0,0,0,0,0
0.75,0.69,0.0917,0.211,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.75,0.69,0.0917,0.211,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0,0,0,0,0,0
0.683,0.673,0.0828,0.239,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0,0,0,0,0,0
0.5,0.643,0.071,0.288,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0,0,0,0,0,0
0.5,0.69,0.106,0.211,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0,0,0,0,0,0
0.5,0.673,0.0939,0.239,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.567,0.643,0.0729,0.288,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0959,0,0,0,0,0,0
0.683,0.673,0.0956,0.239,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0,0,0,0,0,0
0.5,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0,0,0,0,0,0
0.5,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0682,0.316,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,0,0,0,0,0
0.5,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.609,0.056,0.344,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.533,0,0,0,0
0.5,0.581,0.0323,0.393,0.0791,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,1.0,0,0,0,0
0.5,0.635,0.0776,0.316,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,1.0,0,0,0,0
0.5,0.639,0.0819,0.316,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0,1.0,0,0,0,0
0.5,0.65,0.0937,0.316,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0,1.0,0,0,0,0
0.567,0.673,0.114,0.288,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,0.733,0,0,0,0
0.75,0.738,0.172,0.211,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.308,1.0,0,0,0,0,0
0.75,0.774,0.207,0.182,0.411,0.0,0.0,0.0,0.0,0.0,0.267,0.0,1.0,0,0,0,0,0
0.75,0.843,0.28,0.133,0.574,0.0,0.0,0.0,0.0,0.0,0.733,0.077,1.0,0,0,0,0,0
0.75,0.767,0.209,0.211,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.767,0.209,0.211,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.77,0.228,0.211,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.077,1.0,0,0,0,0,0
0.75,0.777,0.279,0.211,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.777,0.279,0.211,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.777,0.279,0.211,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.775,0.307,0.211,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.308,1.0,0,0,0,0,0
0.75,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.077,1.0,0,0,0,0,0
0.75,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.077,1.0,0,0,0,0,0
0.75,0.762,0.411,0.211,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.748,0.476,0.211,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
