Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,76.74804860938701,51.666666666666686,46.10666666666668,0.0,48.999499106978035,0.0,0.0,0.0,119.91882595216721,47.302263655744994,48.999499106978035,46.453645930128474,12.43753247303448,18.749937267400618,0.0,7.67195731359154,-0.47872192101603017,-2.566988520244542,2.8,9.236100170605994,-137.1314328933064,-1710.582338542902,1172.0116162657057,1067.573340917569,-702.4798478231971,-0.0,-0.0,604.015186668961,0.0,3.0,0.03379537259130781,0.0,0,0.6096056116977919,197.99884266666666,-38.666771739070256,0.2377066288888177,9.08672802774821,0.00313043516029012,78.07263939514618,1.2233985241460468,0.2759477391592248,-1752.0559334147981,41.47359487189598,0.27184172728319994,1161.5511985550384,10.460417710667237,0.17012816322267785,1189.9385418940512,-122.36520097648214
2025-01-01 00:01:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,76.93753660137784,51.666666666666686,46.10666666666668,0.0,48.981523688470396,0.0,0.0,0.0,120.21490093965288,47.28631982174615,48.981523688470396,46.43871788838402,12.43753247303448,18.663310679050547,0.0,7.6543001576132506,-0.26685298420606884,-2.484254091191921,2.8,9.236100170605994,-134.92863928779423,-1703.8183939587207,1096.5477380947314,1043.1523905483145,-696.9912071042888,-0.0,-0.0,604.015186668961,0.0,3.0,0.0337144296829314,0.0,0,0.6081455523053386,197.99884266666666,-41.95261885246636,0.2397363522910115,9.070663985032445,0.003130956361672659,78.21618101566955,1.227336078288522,0.27590503593700577,-1745.4359074274166,41.61751346869605,0.27184172728319994,1086.4924947623329,10.055243332398609,0.169724967933767,1168.8185068929822,-125.6661163446677
2025-01-01 00:02:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.12099407483474,51.666666666666686,46.10666666666668,0.0,48.96350780200314,0.0,0.0,0.0,120.50155324192929,47.27033662303192,48.96350780200314,46.42375103354631,12.43753247303448,18.578892239638044,0.0,7.6377468558091115,-0.06916862186825322,-2.40512572487334,2.8,9.236100170605994,-133.10432564390646,-1697.425370269726,1026.1716646472216,1021.4457062374867,-691.6588340713138,-0.0,-0.0,604.015186668961,0.0,3.0,0.03363549056327714,0.0,0,0.6067216375313941,197.99884266666666,-45.46067824155368,0.24104666200241315,9.032565656606437,0.0031314768461190487,78.35512453770697,1.2276908508393658,0.2758649963446104,-1739.2314857618583,41.80611549213222,0.27184172728319994,1016.4589531749078,9.712711472313673,0.169338448160165,1148.6942612561654,-127.24855501867877
2025-01-01 00:03:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.29870173145243,51.666666666666686,46.10666666666668,0.0,48.94545277683476,0.0,0.0,0.0,120.77922145539442,47.25431531239751,48.94545277683476,46.40874658017889,12.43753247303448,18.496578588032758,0.0,7.622235915330862,0.11531964347731656,-2.329086066980167,2.8,9.236100170605994,-131.63399414661285,-1691.4242042423707,960.4985447258749,1000.6759401295469,-686.4749815934833,-0.0,-0.0,604.015186668961,0.0,3.0,0.03355846313840006,0.0,0,0.6053322061726235,197.99884266666666,-49.17419922209043,0.24233305799008995,8.994920080753868,0.0031319981044815666,78.48952775723764,1.2280369655012384,0.2758274727703868,-1733.4192911144742,41.995086872103506,0.27184172728319994,951.1003863632765,9.398158362598313,0.16896618276953337,1129.4250901000303,-128.7491499704834
2025-01-01 00:04:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.47092091696595,51.666666666666686,46.10666666666668,0.0,48.92735988033514,0.0,0.0,0.0,121.0483139327593,47.238257084324445,48.92735988033514,46.393705686319095,12.43753247303448,18.41627351852968,-0.028170925914803746,7.607704994603315,0.2875276412096726,-2.2558003340261275,2.8,9.236100170605994,-127.77722682553451,-1685.8107893905828,899.2034297172446,981.2009664379943,-681.4324566236086,-0.0,-0.0,604.015186668961,0.0,3.0,0.033483261619643316,0.0,0,0.6039757107613524,197.99884266666666,-50.35995687088691,0.24359648851968374,8.95830909030412,0.003132520109797576,78.61959651890567,1.2283748127821652,0.2757923153971013,-1727.9756726134726,42.16488322288979,0.27184172728319994,890.0923439048312,9.111085812413458,0.1686066218900051,1110.9184853779527,-129.71751893995838
2025-01-01 00:05:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.63764455441171,51.666666666666686,46.10666666666668,0.0,48.90923032225207,0.0,0.0,0.0,121.30881961626828,47.22216307900159,48.90923032225207,46.37862945737635,12.43753247303448,18.337980810984725,-0.10646363345976084,7.594092868094424,0.44830740916553546,-2.1849449800813137,2.8,9.236100170605994,-121.17796305152672,-1680.5616367935088,841.9822757770045,962.8028960086747,-676.5304133762228,-0.0,-0.0,604.015186668961,0.0,3.0,0.03340989358536972,0.0,0,0.6026522879971387,197.99884266666666,-48.662736344264935,0.24483640657807473,8.922736325378782,0.0031330428363454707,78.7453062680585,1.2287043629509353,0.2757593769683013,-1722.8774381619423,42.31580136843344,0.27184172728319994,833.1329747752098,8.849301001794618,0.16825825458329033,1093.0861728542613,-130.2832768455866
2025-01-01 00:06:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.79883175184807,51.666666666666686,46.10666666666668,0.0,48.89106531384871,0.0,0.0,0.0,121.5606746122626,47.206034438088025,48.89106531384871,46.36351900020769,12.43753247303448,18.261716849393483,-0.1827275950510021,7.581341133246746,0.5984513625768558,-2.1162467209443037,2.8,9.236100170605994,-113.85166056187245,-1675.650012367526,788.5523991762601,945.3462996988208,-671.7688142578396,-0.0,-0.0,604.015186668961,0.0,3.0,0.0333383783421266,0.0,0,0.6013622861341573,197.99884266666666,-46.09803297299385,0.24605207572326934,8.888212212489034,0.0031335662582888694,78.86660335313229,1.229025533412712,0.2757285169333152,-1718.1024894744064,42.45247710688038,0.27184172728319994,779.9415504208483,8.610848755411808,0.16791980279046273,1075.8537480659666,-130.50744836714586
2025-01-01 00:07:00,0.46148741688043404,0.3092678432707742,0.0,0.007691456948007234,0.005154464054512904,0.0,0.013163512754079607,0.41832390412635445,0.0,0.03,0.0,0.0,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,Off,0.0,18.944444444444485,0.0,0.0,0.0,0.0,0,0.0,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.95462811829914,51.666666666666686,46.10666666666668,0.0,48.87286607535323,0.0,0.0,0.0,121.80410643484241,47.18987231173783,48.87286607535323,46.34837542993014,12.43753247303448,18.187428518226763,-0.25701592621772207,7.5693946296198,0.7386964920458254,-2.049471690402583,2.8,9.236100170605994,-106.6444655697743,-1671.0524048546567,738.6508963528694,928.7125865915514,-667.1433143478478,-0.0,-0.0,604.015186668961,0.0,3.0,0.03326866989512965,0.0,0,0.6001048755121182,197.99884266666666,-43.51633789088751,0.2472438404174812,8.854092800846757,0.003134090349504949,78.98359560522421,1.2293385350249497,0.27569960247674447,-1713.6299746017007,42.577569747043974,0.27184172728319994,730.2569775444432,8.393918808426124,0.16759017098390633,1059.1576915374048,-130.44510494585347
2025-01-01 00:08:00,0.9303853335471007,0.3092678432707742,0.4230657894736843,0.015506422225785013,0.005154464054512904,0.007051096491228071,0.013163512754079607,0.41832390412635445,0.4688979166666667,0.03,0.0,0.4230657894736843,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,On,8242.373549888498,18.944444444444485,0.7599999999999999,1649.6398023337233,12.398836099415206,0.4688979166666667,1,9423.115435555555,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,78.10524794379323,51.666666666666686,46.10666666666668,0.0,48.85463379487104,0.0,0.0,0.0,122.03944991217692,47.17367781985588,48.85463379487104,46.333199832348306,12.43753247303448,18.115037074494804,-0.32940736994968134,7.558201271561535,0.8697282518771842,-1.9844202729774738,2.8,9.236100170605994,8142.641849702698,-17.108511680689162,692.0332566346881,912.7997853941828,-662.648040335045,-0.0,-0.0,604.015186668961,0.0,3.0,0.03320069794641806,0.0,0,0.5988787880866676,197.99884266666666,-41.098846519715124,0.2484124702258934,8.821573482584077,0.003134615084531429,79.09645123953126,1.2296436876187469,0.27567250812745475,-1709.4402212034765,42.69190718906414,0.27184172728319994,683.8364205873816,8.196836047306482,0.16726842305139958,1042.9438713726179,-130.14408597843513
2025-01-01 00:09:00,0.9303853335471007,0.3092678432707742,0.4230657894736843,0.015506422225785013,0.005154464054512904,0.007051096491228071,0.013163512754079607,0.41832390412635445,0.4688979166666667,0.03,0.0,0.4230657894736843,0.0,0.30051784327077424,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.0005212632615307991,0.0,On,0.009509583191379217,0,On,0.01763344643198864,0,On,0.36387246968771014,0.2729043522657825,On,0,0,Off,On,8242.373549888498,18.944444444444485,0.7599999999999999,1649.6398023337233,12.398836099415206,0.4688979166666667,1,9423.115435555555,9423.115435555555,Off,0.0,19.944444444444485,0,0.0,0.03,0.0,0.0,0,0,0,3116.2251244444446,Off,0.0,0,77.47759793175761,51.666666666666686,46.10666666666668,0.0,48.83636961325512,0.0,0.0,0.0,121.05874676837128,47.157452037829906,48.83636961325512,46.317993250117304,12.43753247303448,18.33267197577495,-0.11177246866953539,7.662273527983485,0.9921841760352422,-1.9209224284179054,2.8,9.236100170605994,8118.764041848905,-57.328164973125695,648.4720713034403,897.5205067537619,-676.1985230854773,-0.0,-0.0,604.015186668961,0.0,3.0,0.033404916859070044,0.0,0,0.6025625171188337,197.99884266666666,-51.42617162307502,0.24508113232060968,8.92294149480733,0.003135140438918937,78.53485253966949,1.2287251876470593,0.27592432007637496,-1748.4250475633694,41.457080256520456,0.27184172728319994,640.4540207064307,8.018050597009669,0.1669537611514379,1027.166208560557,-129.64570180679502
