Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.8676155051100771,0.05803461950476482,0.0,1.8676155051100771,0.05803461950476482,0.0,0.009516988813677824,0.0,0.07903964340751052,1.7790588728888888,0.0,0.0,0.05803461950476482,0.0,1.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.003103307748538012,0.0,0.006413681065139811,0.0,0.0016601507344907375,0.0,0.04406797971461707,0.03305098478596279,0.0,0.0,1779.058872888889,21.111111111111143,0.7000000000000001,0.0,1.7790588728888888,0.0,0.7,1779.058872888889,2541.5126755555557,0.0,0.0,33.038253398305216,51.66666666666668,46.10666666666668,0.0,49.38045839478833,0.0,0.0,0.0,33.038253398305216,49.21931493361972,49.38045839478833,49.13874320303543,12.43753247303448,20.827837871864524,-0.04032614070764608,2.8,1241.4229294807192,-657.9547634128743,0.0,0.0,151.47148786338738,0.0,1.0,0.028001587589085573,0.0,0.0,0.5210656089244823,65.99961422222222,-31.152667858682797,0.19332020757106075,9.781049794342342,0.0028862717379874478,4.907190020040263,1.2184211508898828
2025-01-01 01:00:00,1.866549969204977,0.05741002863679477,0.0,1.866549969204977,0.05741002863679477,0.0,0.00928424073253747,0.0,0.07820685558355045,1.7790588728888888,0.0,0.0,0.05741002863679477,0.0,1.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0028705596673976605,0.0,0.006413681065139811,0.0,0.0016601507344907375,0.0,0.04406797971461707,0.03305098478596279,0.0,0.0,1779.058872888889,21.111111111111143,0.7000000000000001,0.0,1.7790588728888888,0.0,0.7,1779.058872888889,2541.5126755555557,0.0,0.0,32.67353999891884,51.66666666666668,46.10666666666668,0.0,49.08540308355311,0.0,0.0,0.0,32.67353999891884,48.94264148702786,49.08540308355311,48.87126068876524,12.43753247303448,20.86409111338649,-0.034924291380107476,2.5,1265.8423674171177,-631.5488451997209,0.0,0.0,150.40595195828695,0.0,1.0,0.026369269553722586,0.0,0.0,0.4906907314876632,65.99961422222222,-32.073612230337424,0.19305550776387637,9.800532237053506,0.002888662003534715,8.66785842149971,1.218328255726803
2025-01-01 02:00:00,1.823358636788424,0.05678543776882472,0.0,1.823358636788424,0.05678543776882472,0.0,0.00928424073253747,0.0,0.07737406775959038,1.7367003282962963,0.0,0.0,0.05678543776882472,0.0,1.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0028705596673976605,0.0,0.006413681065139811,0.0,0.0016601507344907375,0.0,0.04406797971461707,0.03305098478596279,0.0,0.0,1736.7003282962964,21.111111111111143,0.6833333333333335,0.0,1.7367003282962963,0.0,0.6833333333333333,1736.7003282962964,2541.5126755555557,0.0,0.0,32.35832682063945,51.66666666666668,46.10666666666668,0.0,48.793402198698374,0.0,0.0,0.0,32.35832682063945,48.66862194510424,48.793402198698374,48.60623181830717,12.43753247303448,20.860464862231353,-0.043133784526969164,1.6500000000000001,1227.1269441720542,-628.8522712598276,0.0,0.0,149.57316413432687,0.0,1.0,0.02500709509604073,0.0,0.0,0.4653428021606121,65.99961422222222,-30.294276998741484,0.19344308102403124,9.804512770349444,0.002893772624154461,15.77138637435121,1.2183396851930401
2025-01-01 03:00:00,1.7376535943918519,0.05616084690085467,0.0,1.7376535943918519,0.05616084690085467,0.0,0.009129075345110572,0.0,0.0765412799356303,1.6519832391111111,0.0,0.0,0.05616084690085467,0.0,1.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.0027153942799707604,0.0,0.006413681065139811,0.0,0.0016601507344907375,0.0,0.04406797971461707,0.03305098478596279,0.0,0.0,1651.9832391111113,21.111111111111143,0.6500000000000001,0.0,1.6519832391111111,0.0,0.65,1651.9832391111113,2541.5126755555557,0.0,0.0,31.992070404676888,51.66666666666668,46.10666666666668,0.0,48.504527145998765,0.0,0.0,0.0,31.992070404676888,48.39732868800827,48.504527145998765,48.34372945901303,12.43753247303448,20.90344813932306,-0.03629874668759528,1.6500000000000001,1117.6381673585804,-652.3819513877377,0.0,0.0,148.58521092293992,0.0,1.0,0.02590268303282656,0.0,0.0,0.4820082884349911,65.99961422222222,-30.54833128773309,0.19334108057410446,9.830614524119566,0.002899883938016414,4.602032145867569,1.2181571986926458
2025-01-01 04:00:00,1.652103717382707,0.05553625603288462,0.0,1.6521037173827067,0.05553625603288462,0.0,0.009129075345110572,0.0,0.07570849211167024,1.5672661499259257,0.0,0.0,0.05553625603288462,0.0,1.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0027153942799707604,0.0,0.006413681065139811,0.0,0.0016601507344907375,0.0,0.04406797971461707,0.03305098478596279,0.0,0.0,1567.2661499259261,21.111111111111143,0.6166666666666668,0.0,1.5672661499259257,0.0,0.6166666666666667,1567.2661499259261,2541.5126755555557,0.0,0.0,31.720716099623893,51.66666666666668,46.10666666666668,0.0,48.21867961148961,0.0,0.0,0.0,31.720716099623893,48.12867393252248,48.21867961148961,48.08367109303892,12.43753247303448,20.86751345224502,-0.036558128550875146,0.55,978.0267677648986,-709.0277039826647,0.0,0.0,147.75242309897985,0.0,1.0,0.02653938485906182,0.0,0.0,0.49385631039928574,65.99961422222222,-27.964101277342596,0.19368327754298673,9.810812898997222,0.002900078652570394,16.281037058899127,1.217734476275308
2025-01-01 05:00:00,1.694772592750153,0.05553625603288462,0.0,1.694772592750153,0.05553625603288462,0.0,0.009439406119964373,0.0,0.07570849211167024,1.6096246945185186,0.0,0.0,0.05553625603288462,0.0,1.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003025725054824562,0.0,0.006413681065139811,0.0,0.0016601507344907375,0.0,0.04406797971461707,0.03305098478596279,0.0,0.0,1609.6246945185187,21.111111111111143,0.6333333333333334,0.0,1.6096246945185186,0.0,0.6333333333333333,1609.6246945185187,2541.5126755555557,0.0,0.0,31.459342164187124,51.66666666666668,46.10666666666668,0.0,47.935839352924106,0.0,0.0,0.0,31.459342164187124,47.86264347883489,47.935839352924106,47.82604554179027,12.43753247303448,20.825636293401324,-0.04223159386895521,-0.25000000000000006,996.9409999536182,-734.8037557350298,0.0,0.0,148.06275387383363,0.0,1.0,0.02648954232750824,0.0,0.0,0.49292881909288483,65.99961422222222,-25.942692703704157,0.19490374964019633,9.801512154589402,0.0029123642745701862,19.745183998386032,1.2172873211059325
2025-01-01 06:00:00,1.8750785495807998,0.06610675643176973,0.0,1.8750785495807998,0.06610675643176973,0.0,0.044728542463792945,0.12499482888888891,0.09573048370959958,1.6096246945185186,0.0,0.0,0.06610675643176973,0.0,1.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.003413638523391813,0.0,0.04131490394040113,0.0,0.007588141800573229,0.0,0.05649640459854376,0.042372303448907814,0.0,0.0,1609.6246945185187,21.111111111111143,0.6333333333333334,0.0,1.6096246945185186,0.0,0.6333333333333333,1609.6246945185187,2541.5126755555557,124.9948288888889,0.05,30.97747905830125,51.66666666666668,46.10666666666668,0.0,47.62278144018501,0.05369470627020777,131.23477638526313,124.9948288888889,30.97747905830125,47.39591311602581,47.62278144018501,47.28247895394622,12.43753247303448,20.77713815658526,-0.06741572358013072,0.3,1075.907326346136,-710.1880707670892,0.0,0.0,202.50389207371668,0.0,1.0,0.026390510202300935,0.0,0.0,0.4910859866299017,65.99961422222222,-26.033189479010083,0.19564041420177547,9.782043789426151,0.0029145386671989497,2.899814098113742,1.2174867739777717
2025-01-01 07:00:00,2.5763751336984546,0.0724723717555724,0.0,2.5763751336984546,0.0724723717555724,0.0,0.06308961519878054,0.5833092014814816,0.10855889953671082,1.8214174174814814,0.0,0.0,0.0724723717555724,0.0,1.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0031808904422514625,0.0,0.05990872475652907,0.0,0.011929070529280928,0.0,0.06331831604902718,0.04748873703677037,0.0,0.0,1821.4174174814814,21.111111111111143,0.7166666666666668,0.0,1.8214174174814814,0.0,0.7166666666666667,1821.4174174814814,2541.5126755555557,583.3092014814815,0.23333333333333334,35.35758842775227,51.66666666666668,46.10666666666668,0.0,51.24633539890125,0.04887618715008177,131.23477638526313,583.3092014814815,35.35758842775227,51.16292640233881,51.24633539890125,51.1212219040576,12.43753247303448,20.806440510164705,-0.045400060130827015,-0.55,1266.1725365915274,-762.0402293271562,0.0,0.0,233.2158468342817,1.452753191598521,1.0,0.027064554972685086,0.0,0.0,0.5036289021915707,65.99961422222222,-26.42049839707943,0.1955090060306488,9.799004974686422,0.00291792076813759,17.109972551533836,1.217362741540885
2025-01-01 08:00:00,1.9991122208501035,0.07371446322897413,0.0,1.9991122208501033,0.07371446322897413,0.0,0.06507830596213733,0.0,0.11261649740648465,1.8214174174814814,0.0,0.0,0.07371446322897413,0.0,1.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0024050635051169594,0.0,0.06267324245702037,0.0,0.014330546434519099,0.0,0.06414165018960276,0.04810623764220205,0.0,0.0,1821.4174174814814,21.111111111111143,0.7166666666666668,0.0,1.8214174174814814,0.0,0.7166666666666667,1821.4174174814814,2541.5126755555557,0.0,0.0,34.846840860665544,51.66666666666668,46.10666666666668,0.0,51.39934473756164,0.0,0.0,0.0,34.846840860665544,50.78026274133158,51.39934473756164,50.47072174321655,12.43753247303448,20.84783772930268,-0.03895958103947071,-1.4,1224.9709605030368,-822.0221417923857,0.0,0.0,239.20450207757196,79.92148121770764,1.0,0.027951939098575466,0.0,0.0,0.5201417284174387,65.99961422222222,-13.628817263630925,0.19588289654943558,9.834521292303267,0.0029296020547436305,41.169135092138234,1.2177548834724512
2025-01-01 09:00:00,1.9585197764850442,0.07371446322897413,0.0,1.958519776485044,0.07371446322897413,0.0,0.0646778572751623,0.0,0.114783046320993,1.7790588728888888,0.0,0.0,0.07371446322897413,0.0,1.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0019395673428362575,0.0,0.06273828993232604,0.0,0.016497095349027453,0.0,0.06414165018960276,0.04810623764220205,0.0,0.0,1779.058872888889,21.111111111111143,0.7000000000000001,0.0,1.7790588728888888,0.0,0.7,1779.058872888889,2541.5126755555557,0.0,0.0,34.47451803841693,51.66666666666668,46.10666666666668,0.0,51.082026148748284,0.0,0.0,0.0,34.47451803841693,50.488321120473564,51.082026148748284,50.19146860633621,12.43753247303448,20.875156462872155,-0.033943025270851496,-0.85,1233.0454492124716,-790.9215417864361,0.0,0.0,240.97060230510533,180.7181849784169,1.0,0.02755151099586773,0.0,0.0,0.5126903897208711,65.99961422222222,3.937515804913531,0.197151215550544,9.875998213561504,0.002952193093998925,68.08286426180142,1.2182357189473483
