Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.46918989686536,51.666666666666686,46.10666666666668,0.0,49.52623617966556,0.0,0.0,0.0,33.46918989686536,49.355939405909254,49.52623617966556,49.27079101903111,12.43753247303448,20.594344623129178,-0.016766487981964673,2.8,2030.3774611785725,-645.5401697195089,-0.0,-0.0,151.47148786338738,0.0,1.0,0.027837076494712523,0.0,0,0.5180043155856097,65.99961422222222,-17.066532520861532,0.19545674392342116,9.651343201125949,0.002885283613483335,5.272037301908112,1.2158966241403009
2025-01-01 00:01:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.41976876970405,51.666666666666686,46.10666666666668,0.0,49.5212235491234,0.0,0.0,0.0,33.41976876970405,49.35124228550879,49.5212235491234,49.26625165370149,12.43753247303448,20.632115429957093,0.0,2.8,2024.7952541993786,-647.5303406103667,-0.0,-0.0,151.47148786338738,0.0,1.0,0.02786375249906874,0.0,0,0.5185007141704872,65.99961422222222,-20.658568609197744,0.1955742171458496,9.692060175676492,0.002885320145572502,5.223874519348753,1.2192916074395848
2025-01-01 00:02:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.37185016037643,51.666666666666686,46.10666666666668,0.0,49.51621833462062,0.0,0.0,0.0,33.37185016037643,49.346552100949474,49.51621833462062,49.261718984113905,12.43753247303448,20.668601779192795,0.0,2.8,2019.343045217693,-649.4551364718172,-0.0,-0.0,151.47148786338738,0.0,1.0,0.027889513193042018,0.0,0,0.518980080265313,65.99961422222222,-24.18598172943264,0.19513733344998313,9.708841369241526,0.002885356243131853,5.177285812749494,1.2191401694429371
2025-01-01 00:03:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.325366439200096,51.666666666666686,46.10666666666668,0.0,49.51122031272831,0.0,0.0,0.0,33.325366439200096,49.34186864136552,49.51122031272831,49.25719280568413,12.43753247303448,20.70386158711342,0.0,2.8,2013.9968753665853,-651.3173776678266,-0.0,-0.0,151.47148786338738,0.0,1.0,0.02791440029442371,0.0,0,0.5194431901727266,65.99961422222222,-27.669910384531136,0.19471624069955262,9.724954394917429,0.0028853920232019543,5.132190943729993,1.2189938573258208
2025-01-01 00:04:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.28025437866086,51.666666666666686,46.10666666666668,0.0,49.50622927007231,0.0,0.0,0.0,33.28025437866086,49.337191705382395,49.50622927007231,49.252672923037444,12.43753247303448,20.73794899563245,0.0,2.8,2009.7219061298538,-653.1197069191189,-0.0,-0.0,151.47148786338738,0.0,1.0,0.02793845278112593,0.0,0,0.5198907692105139,65.99961422222222,-30.142550369970408,0.1943101814897214,9.740428789965069,0.0028854274958799073,5.088523725904038,1.2188524428591292
2025-01-01 00:05:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.23641359679659,51.666666666666686,46.10666666666668,0.0,49.50124500267871,0.0,0.0,0.0,33.23641359679659,49.33252110049902,49.50124500267871,49.24815914940919,12.43753247303448,20.770950089844504,0.0,2.8,2006.622260641545,-654.8664785872089,-0.0,-0.0,151.47148786338738,0.0,1.0,0.027961732091045858,0.0,0,0.5203239606415418,65.99961422222222,-31.4954241901892,0.19391802712700254,9.755311211132916,0.0028854626708193945,5.046180147507426,1.2187155656956687
2025-01-01 00:06:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.1937438045334,51.666666666666686,46.10666666666668,0.0,49.49626732149611,0.0,0.0,0.0,33.1937438045334,49.327856648302095,49.49626732149611,49.243651311705094,12.43753247303448,20.802950889017513,0.0,2.8,2004.0206326627479,-656.5620693592867,-0.0,-0.0,151.47148786338738,0.0,1.0,0.027984299524911344,0.0,0,0.5207439051761712,65.99961422222222,-32.401461396908346,0.19353866258288108,9.769648236494987,0.0028854975569722915,5.005056455423064,1.218582866189945
2025-01-01 00:07:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.15217731139971,51.666666666666686,46.10666666666668,0.0,49.49129605238161,0.0,0.0,0.0,33.15217731139971,49.32319818445303,49.49129605238161,49.239149250488744,12.43753247303448,20.834009408214513,0.0,2.8,2001.7805990938223,-658.2093940997411,-0.0,-0.0,151.47148786338738,0.0,1.0,0.02800619655708245,0.0,0,0.5211513745871671,65.99961422222222,-32.99417022537971,0.1931713178101978,9.783471375299634,0.0028855321625895665,4.965082331630347,1.2184541011662486
2025-01-01 00:08:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.111655201675944,51.666666666666686,46.10666666666668,0.0,49.48633103125542,0.0,0.0,0.0,33.111655201675944,49.31854555411303,49.48633103125542,49.23465281554184,12.43753247303448,20.864176130119755,0.0,2.8,1999.187688371525,-659.8109846496499,-0.0,-0.0,151.47148786338738,0.0,1.0,0.028027459293455816,0.0,0,0.5215470407486139,65.99961422222222,-33.98549039776821,0.1928153206500988,9.797536638721319,0.0028855664954483815,4.926196522282195,1.2183290589449631
2025-01-01 00:09:00,2.630069307776744,0.05803461950476482,0.0,0.04383448846294573,0.0009672436584127471,0.0,0.009516988813677824,0.0,0.07903964340751052,2.5415126755555555,0.0,0.0,0.05803461950476482,0.0,1,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.003103307748538012,0.0,On,0.006413681065139811,0,On,0.0016601507344907375,0,On,0.04406797971461707,0.03305098478596279,On,0,0,Off,On,2541.5126755555557,21.111111111111143,1.0000000000000002,0.0,2.5415126755555555,0.0,1,2541.5126755555557,2541.5126755555557,Off,0.0,0.0,33.07215095267212,51.666666666666686,46.10666666666668,0.0,49.481372102796584,0.0,0.0,0.0,33.07215095267212,49.31389861071165,49.481372102796584,49.23016186466918,12.43753247303448,20.8934737040461,0.0,2.8,1997.1182541194541,-661.3679076992254,-0.0,-0.0,151.47148786338738,0.0,1.0,0.028048104177741427,0.0,0,0.5219312096521532,65.99961422222222,-34.49800160026345,0.19247033581286033,9.81040026026122,0.0028856005629133217,4.888370923228932,1.2182076434021696
