Metric,Value
Total Electric Energy (kWh),42.28224877499381
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.761760365624742
Peak Electric Power (kW),5.303495438025659
Lighting Electric Energy (kWh),1.3325143634220007
Water Heating Electric Energy (kWh),2.166577034074074
Other Electric Energy (kWh),3.540848276460701
HVAC Heating Electric Energy (kWh),35.24230910103704
Average Temperature - Indoor (C),20.830111718376116
Unmet Heating Load (C-hours),1.1025065707605783
Unmet Cooling Load (C-hours),0.0
Total HVAC Heating Delivered (kWh),35.24230910103704
Average HVAC Heating COP (-),1.0
Average HVAC Heating Duct Efficiency (-),1.0
Total Hot Water Unmet Demand (kWh),0.0
