Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.6357296255423525,0.22370809730754354,0.23321250000000004,0.6357296255423526,0.22370809730754354,0.23321250000000004,0.014697085859832476,0.007382,0.29156928968252005,0.27208125,0.05,0.0,0.23321250000000004,0.0,0.0,0.2091247639742102,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.0035099780701754383,0.0,0.000473830951699756,0.0,0.010713276837957282,0.0,0.01273627105023972,0.0,0.214449375996944,0.16083703199770796,4527.2012234947215,20.0555555555556,0.26666666666666666,1212.7077465052785,6.8347846500000005,0.27208125,0.3333333333333333,5467.82772,16403.48316,0.0,21.0555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.1895713043578804e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.1895713043578804e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.771074096532143,-0.04841892753863982,8.709011777577185,2.058275691039041,-0.6480327108793508,2.8,9.236100170605994,3463.2402915662433,-1723.846587978416,532.6835848021104,817.2303493705432,-1523.737293143812,0.0,0.0,555.2533761114553,0.0,4.0,0.06888119056934769,0.0,0.0,0.8913944053348011,263.9984568888889,-95.47701489612223,0.23283249646375526,9.718643360980003,0.003258248918471879,11.741184508727402,1.222542853187952,0.3881149250941542,-2988.906652345597,52.352317861902755,0.5436834545663999,524.9080049611604,7.7755798409501455,0.21376322865961256,965.9332259369197,-148.70287656637657
2025-01-01 01:00:00,0.6537807408047502,0.22101232856875158,0.25653375000000006,0.6537807408047502,0.22101232856875158,0.25653375000000006,0.013104181261473353,0.007382,0.28400518454327683,0.29928937499999997,0.05,0.0,0.25653375000000006,0.0,0.0,0.20642899523541824,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277405156945293,0.04708053867708968,0.0,0.0,0.0032467297149122803,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,4979.921345844195,20.0555555555556,0.2933333333333333,1333.9785211558062,7.518263115000001,0.29928937499999997,0.36666666666666664,6014.610492000001,16403.48316,0.0,21.0555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.194665325365362e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.194665325365362e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.720140501463426,-0.07024901255908536,8.979918220163636,2.758357950725211,1.0095380507536136,2.5,9.236100170605994,3925.05617248048,-1164.4079598819183,-175.113632095025,204.77088877831656,-1507.014944329113,0.0,0.0,546.2353000815284,0.0,4.0,0.0670964517264555,0.0,0.0,0.8682980243578184,263.9984568888889,-94.085529116129,0.23385955417851928,9.700300669749264,0.003262087129134451,19.129995508452982,1.2228120975999233,0.3081704289526416,-2547.5484308890314,49.161949851307206,0.5436834545663999,-183.3948529374393,8.28122084241431,0.1557679759360364,331.9394272587935,-127.16853848047694
2025-01-01 02:00:00,0.6657752122388667,0.21980513526933904,0.26819437500000004,0.6657752122388668,0.219805135269339,0.26819437500000004,0.013104181261473353,0.007382,0.28239559347739346,0.3128934375,0.05,0.0,0.26819437500000004,0.0,0.0,0.20522180193600573,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.0032467297149122803,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,5206.281407018931,20.0555555555556,0.30666666666666664,1394.6139084810702,7.860002347500001,0.3128934375,0.38333333333333336,6288.001878,16403.48316,0.0,21.0555555555556,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.188293258244496e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.188293258244496e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.78382194090093,-0.05039124573960999,9.724408804018994,2.2984204542597593,1.2517061132998903,1.6500000000000001,9.236100170605994,4076.7215851619726,-889.631391902918,-452.8347565785683,-73.74788549832299,-1583.0085322593955,0.0,0.0,544.625709015645,0.0,4.0,0.06666020537614065,0.0,0.0,0.8626525418566574,263.9984568888889,-91.1769986132073,0.23346447289793498,9.737303371212933,0.0032695245562154754,32.52419577444669,1.2225407530723884,0.2208784567541529,-2326.4199350175345,42.17463463354624,0.5436834545663999,-461.6804455478171,8.845688969248807,0.09287607053097208,58.61322067734978,-132.36110617567275
2025-01-01 03:00:00,0.5551576222694746,0.2185979419699265,0.17490937500000003,0.5551576222694746,0.2185979419699265,0.17490937500000003,0.012928682357964582,0.007382,0.28078600241151,0.20406093749999998,0.05,0.0,0.17490937500000003,0.0,0.0,0.20401460863659315,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05955486943768611,0.04466615207826457,0.0,0.0,0.003071230811403509,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,3395.4009176210416,19.500000000000032,0.19999999999999998,909.5308098789588,5.126088487500001,0.20406093749999998,0.25,4100.87079,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.239510873677255e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.239510873677255e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.27168463317725,-0.05031677788850288,9.408397621485651,2.0580580806522515,1.1207778892546705,1.6500000000000001,9.236100170605994,2326.351576845155,-1680.814082142941,-282.52972122879805,30.789681687897307,-1535.081285493533,0.0,-0.015319543602606364,542.8406190462529,0.0,4.0,0.0665398692016096,0.0,6.171431239863592e-07,0.861103252799278,263.9984568888889,-76.79335478500363,0.24167558728103333,9.515096459322848,0.0032782406543443473,7.715154469125748,1.22467593672006,0.2648848961187269,-2639.5638151009957,49.21892307909555,0.5436834545663999,-291.11671858531673,8.586997356518669,0.11658100655299676,173.87528775063993,-143.0856060627426
2025-01-01 04:00:00,0.6215683437035913,0.21739074867051394,0.23321250000000004,0.6215683437035912,0.21739074867051394,0.23321250000000004,0.012928682357964582,0.007382,0.27917641134562665,0.27208125,0.05,0.0,0.23321250000000004,0.0,0.0,0.2028074153371806,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.003071230811403509,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,4527.2012234947215,19.500000000000032,0.26666666666666666,1212.7077465052785,6.8347846500000005,0.27208125,0.3333333333333333,5467.82772,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.246727541039718e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.246727541039718e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.199505964074174,-0.06259473494353542,9.129980401027467,1.7528509616335504,1.1500872186596043,0.55,9.236100170605994,3302.4999230408334,-1273.82815482567,-852.6691190133605,-161.0141727506405,-1687.086947381729,0.0,0.0,541.2310279803694,0.0,4.0,0.06865095031164535,0.0,0.0,0.8884148564056623,263.9984568888889,-78.8453810525293,0.24259462455135372,9.477921390144092,0.0032776700469695297,35.02628940662708,1.2244034485838442,0.24143703707449077,-2537.7021822023266,51.16628087137821,0.5436834545663999,-861.6678785109519,8.99875949759137,0.11994850690403053,-21.11258155947242,-139.90159119116805
2025-01-01 05:00:00,0.6627315290106087,0.21739074867051394,0.26819437500000004,0.6627315290106087,0.21739074867051394,0.26819437500000004,0.013279680164982125,0.007382,0.27917641134562665,0.3128934375,0.05,0.0,0.26819437500000004,0.0,0.0,0.2028074153371806,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.0034222286184210525,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,5206.281407018931,19.500000000000032,0.30666666666666664,1394.6139084810702,7.860002347500001,0.3128934375,0.38333333333333336,6288.001878,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.249594888682989e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.249594888682989e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.170832897834565,-0.06782459434690467,9.404168040091424,0.5144202799583231,0.27460786752093796,-0.25000000000000006,9.236100170605994,3886.240429457924,-1234.998093294526,-547.383756557759,-195.31134379050113,-1782.034559827555,0.0,0.0,541.582025787387,0.0,4.0,0.06964070797961781,0.0,0.0,0.90122335231834,263.9984568888889,-79.58844352083864,0.2442829017707636,9.48179690186464,0.0032963831942042607,39.46558830839053,1.223895184226688,0.2159014920706101,-2676.9224553169256,47.31045354132948,0.5436834545663999,-557.4889202590875,10.105163701328516,0.0945231404725832,-33.63968372793992,-161.67166006256122
2025-01-01 06:00:00,0.6527853959011475,0.21980513526933904,0.25653375000000006,0.6527853959011475,0.219805135269339,0.25653375000000006,0.013718427423754054,0.007382,0.28239559347739346,0.29928937499999997,0.05,0.0,0.25653375000000006,0.0,0.0,0.20522180193600573,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.0038609758771929823,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,4979.921345844195,19.500000000000032,0.2933333333333333,1333.9785211558062,7.518263115000001,0.29928937499999997,0.36666666666666664,6014.610492000001,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.2444174809458876e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.2444174809458876e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.222587660288244,-0.055108319942901926,8.948079667702297,1.108757861689322,0.015670442933295167,0.3,9.236100170605994,3723.1454435028436,-1465.8407169262364,-568.7563323943098,-72.76808261466212,-1714.8908997684655,0.0,0.0,545.2399551779257,0.0,4.0,0.06895085273557733,0.0,0.0,0.8922959063792419,263.9984568888889,-87.12495775081113,0.2435537084608765,9.506187887050254,0.0032971496159996017,-4.504542427602833,1.2236780135875445,0.2514417353615663,-2852.2994585186193,52.480220436576936,0.5436834545663999,-577.8496631082546,9.093330713944914,0.10605132911291511,73.75272773852753,-146.52081035318963
2025-01-01 07:00:00,0.6285332046776512,0.22221952186816415,0.23321250000000004,0.6285332046776512,0.22221952186816415,0.23321250000000004,0.013455179068490896,0.007382,0.2856147756091603,0.27208125,0.05,0.0,0.23321250000000004,0.0,0.0,0.20763618853483082,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.0035977275219298247,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,4527.2012234947215,19.500000000000032,0.26666666666666666,1212.7077465052785,6.8347846500000005,0.27208125,0.3333333333333333,5467.82772,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.244460412727474e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.244460412727474e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.222159532532512,-0.049168376440704854,8.764349694421794,0.5160212569217134,-0.10382595310159544,-0.55,9.236100170605994,3134.9262881519094,-1867.7873351925257,-754.0224887905068,-158.19647316129073,-1847.8360291459526,0.0,0.0,540.4739340904293,4.040318489689208,3.883,0.07087088859549422,0.0,0.0,0.9171431717854491,256.2765020248889,-84.91284028728965,0.2437073675036971,9.508348801267534,0.0032992355467169753,23.704239415356096,1.223678105528778,0.2546732201754315,-3134.0601562531865,53.56507455538237,0.5436834545663999,-764.0041905728104,9.981701782303682,0.1081061548172386,-6.381574094773528,-151.8148990665172
2025-01-01 08:00:00,0.6564734262259907,0.2234267151675767,0.25653375000000006,0.6564734262259907,0.2234267151675767,0.25653375000000006,0.012577684550947037,0.007382,0.2872243666750437,0.29928937499999997,0.05,0.0,0.25653375000000006,0.0,0.0,0.20884338183424336,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.002720233004385965,0.0,0.00041751324251649636,0.0,0.009439938304044576,0.0,0.008766524229385782,0.0,0.21246460874443815,0.15934845655832858,4979.921345844195,19.500000000000032,0.2933333333333333,1333.9785211558062,7.518263115000001,0.29928937499999997,0.36666666666666664,6014.610492000001,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,0.0,0.0,3.245707085615853e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.245707085615853e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.209736508079622,-0.06129433345355372,8.193172141759604,-0.23998810459119982,-0.6811927178780576,-1.4,9.236100170605994,3448.6609719623143,-2032.8297517906424,-822.9691484363445,-262.6097059767554,-1989.4045879197351,0.0,0.0,482.9283712805467,250.01686653730312,3.0,0.07300388175224577,0.0,0.0,0.9447463265920074,197.99884266666666,-24.784157242692213,0.24459086956573214,9.515122487651363,0.0033069705984593847,39.78082208317618,1.2242994786500183,0.2701171606486119,-3425.6604903395287,58.852217393079904,0.5436834545663999,-833.7316220672554,10.762473630911016,0.12087960751536939,-115.52359606550267,-147.08610991125266
2025-01-01 09:00:00,0.7219143597724922,0.24575534675826774,0.27490067787434047,0.7219143597724922,0.24575534675826774,0.27490067787434047,0.03914918217810205,0.007382,0.33969786509439015,0.28568531249999995,0.05,0.030027552874340432,0.24487312500000005,0.0,0.0,0.23117201342493437,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.0021937362938596492,0.0,0.0015652512180144309,0.0,0.03539019466622797,0.0,0.03146851386114424,0.0,0.24223611753202617,0.18167708814901962,4753.5612846694585,19.500000000000032,0.27999999999999997,1273.3431338305425,7.1765238825000015,0.28568531249999995,0.35,5741.2191060000005,16403.48316,0.0,20.500000000000032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,10221.14807111111,663.8877130076195,89.93331251796526,3.245114296667061e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.24274444130215025,663.8877130076195,663.8877130076195,3.245114296667061e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.215641558966585,-0.06012757226226011,8.059108147631521,-0.1465821176380674,-0.5030797898518545,-0.85,9.236100170605994,3480.5893628818567,-1808.3875384626235,-498.76257892464855,-163.40617867752684,-1902.6851337294916,0.0,0.0,559.8893617119171,624.3873988439879,3.0,0.07178140850522825,0.0,0.0,0.9289262485118268,197.99884266666666,69.82385022997302,0.24620221599002684,9.54594568222683,0.003328431422528157,112.41623493690507,1.2248733494342958,0.2667911616980993,-3139.9559980293143,58.22532573614851,0.5436834545663999,-508.31769947903354,9.555120554384962,0.11966007593517422,-66.25236623750796,-97.15381244001888
