Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5607147635650682,0.10575576853671922,0.2160425225225225,0.5607147635650682,0.10575576853671922,0.2160425225225225,0.07006274573925232,0.0,0.2220777469924825,0.2185742708333334,0.05,0.2160425225225225,0.0,0.0,0.09117243520338589,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.02105986842105263,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.05022197052211499,0.0,0.046164121920396525,0.0,0.0,0.0,4773.903203792548,19.444444444444457,0.35458333333333336,1301.3846134111561,6.331582212292292,0.2185742708333334,0.38333333333333336,5856.713546370371,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,36.606803387410885,51.66666666666668,46.10666666666668,0.0,51.27301968378996,0.0,0.0,0.0,36.606803387410885,50.5735528880748,51.27301968378996,50.223819490217224,12.43753247303448,19.13697558762959,-0.06334547126401222,8.479394334492506,1.9658220150359613,-1.0231291022896674,2.8,9.236100170605994,3821.269149802308,-1514.8758139179777,499.766058651531,929.3640803701347,-1197.326994740089,0.0,0.0,321.88042065890403,0.0,2.0,0.05622377420323183,0.0,0.0,0.7275942439048144,131.99922844444444,-77.18747990905462,0.21280004781891476,8.980729125407898,0.002860808981601975,13.903768117834959,1.22548897499085,0.387346981555821,-2867.1232121700423,50.86278484090808,0.4530695454719999,492.53970580856924,7.226352842961748,0.21656767135195085,1084.8096733142568,-155.44559294412213
2025-01-01 01:00:00,0.5212548274979818,0.10504963839094629,0.15968360360360362,0.5212548274979819,0.10504963839094629,0.1596836036036036,0.06848325560767335,0.0,0.24121667605697514,0.16155489583333338,0.05,0.15968360360360362,0.0,0.0,0.09046630505761295,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.01948037828947368,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.06068488104755561,0.0,0.05578164732047914,0.0,0.0,0.0,3528.537150629275,19.444444444444457,0.26208333333333333,961.892975129985,4.679865113433434,0.16155489583333338,0.2833333333333333,4328.875229925926,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,36.336151590454726,51.66666666666668,46.10666666666668,0.0,51.068853663873455,0.0,0.0,0.0,36.336151590454726,50.3894534632909,51.068853663873455,50.049753362999624,12.43753247303448,19.184752896546684,-0.05274790278496872,8.794945490262364,2.749530332931431,0.6699821743121853,2.5,9.236100170605994,2573.765701687515,-1457.109953850155,-140.7129110469099,284.22796724181933,-1194.4915752417462,0.0,0.0,319.35942366629445,0.0,2.0,0.054888487890668185,0.0,0.0,0.7103142471640346,131.99922844444444,-79.63929736630855,0.21248901814813126,9.007950366525442,0.0028649932706514307,17.946883959027257,1.2253451485145561,0.3073332168428245,-2466.273122484133,47.270193503992886,0.4530695454719999,-148.2883677322246,7.575456685314694,0.15959303242204223,408.7060488809224,-124.47808163910314
2025-01-01 02:00:00,0.5572522597114281,0.10434350824517337,0.2160425225225225,0.5572522597114281,0.10434350824517337,0.2160425225225225,0.06848325560767335,0.0,0.22019473327042136,0.2185742708333334,0.05,0.2160425225225225,0.0,0.0,0.08976017491184003,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.01948037828947368,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.05022197052211499,0.0,0.046164121920396525,0.0,0.0,0.0,4773.903203792548,19.444444444444457,0.35458333333333336,1301.3846134111561,6.331582212292292,0.2185742708333334,0.38333333333333336,5856.713546370371,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,36.12942361836338,51.66666666666668,46.10666666666668,0.0,50.865821731860834,0.0,0.0,0.0,36.12942361836338,50.20623538065006,50.865821731860834,49.876442205044675,12.43753247303448,19.178480407479427,-0.059393619819764314,9.499245106451323,2.345968049828772,0.8543645411925981,1.6500000000000001,9.236100170605994,3767.2412690728233,-905.5530614443516,-404.92743070412126,-13.759360002854354,-1248.007008321058,0.0,0.0,318.4179168052639,0.0,2.0,0.05436430368671681,0.0,0.0,0.7035307571734439,131.99922844444444,-77.07284320393104,0.21305846461149533,9.01254087616804,0.0028715722679757156,29.048061057950246,1.2253666138821633,0.21954898601509884,-2247.7208058847223,40.78313102921446,0.4530695454719999,-412.95522678941126,8.027796085289994,0.09720766146959926,111.96686129582083,-125.7262212986752
2025-01-01 03:00:00,0.5563317370215348,0.10363737809940043,0.19725621621621622,0.5563317370215347,0.10363737809940043,0.19725621621621622,0.06743026218662072,0.0,0.23933366233491402,0.19956781250000008,0.05,0.19725621621621622,0.0,0.0,0.0890540447660671,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.018427384868421052,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.06068488104755561,0.0,0.05578164732047914,0.0,0.0,0.0,4358.781186071457,19.444444444444457,0.32375000000000004,1188.220733984099,5.781009846006006,0.19956781250000008,0.35,5347.434107555556,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,35.96645841160299,51.66666666666668,46.10666666666668,0.0,50.6641712355724,0.0,0.0,0.0,35.96645841160299,50.02413124386478,50.6641712355724,49.70411124801098,12.43753247303448,19.135719045346995,-0.0657212635669838,9.342545678535078,2.0954653137352843,0.603468984719651,1.6500000000000001,9.236100170605994,3336.710876585448,-1377.370369350652,-257.94460261479367,61.35939515972974,-1263.263545773813,0.0,0.0,316.4234165231807,0.0,2.0,0.05518658381124444,0.0,0.0,0.7141719191011546,131.99922844444444,-75.23018023537695,0.2142002076433444,9.001642134059848,0.0028793157969972494,7.229293832425449,1.2255401506248897,0.26457599189476294,-2611.808633173644,46.21752983889289,0.4530695454719999,-265.6430490478964,7.698446433102764,0.12421353359242707,197.9077345547508,-136.54833939502106
2025-01-01 04:00:00,0.6181765703257212,0.1029312479536275,0.18786306306306305,0.6181765703257212,0.1029312479536275,0.18786306306306305,0.06743026218662072,0.0,0.31068172480576706,0.19006458333333337,0.05,0.18786306306306305,0.0,0.0,0.08834791462029416,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.018427384868421052,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.09835135893914183,0.0,0.09040473876077654,0.0,0.0,0.0,4151.220177210912,19.444444444444457,0.30833333333333335,1131.6387942705705,5.505723662862863,0.19006458333333337,0.3333333333333333,5092.794388148149,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,35.67623037715423,51.66666666666668,46.10666666666668,0.0,50.46392783428262,0.0,0.0,0.0,35.67623037715423,49.843167314247815,50.46392783428262,49.53278705423041,12.43753247303448,19.203486007492437,-0.04564842905675229,9.077883420822698,1.8572752595680178,0.7106269200008,0.55,9.236100170605994,2985.356965643071,-1334.5425182171311,-772.4574024426018,-72.94596594257226,-1406.8992549482607,0.0,0.0,315.48190966215014,0.0,2.0,0.05721578532510614,0.0,0.0,0.7404319018599045,131.99922844444444,-74.44586628172979,0.21317997303514805,9.028987488617433,0.002879136737044314,32.09680596989298,1.224681190897269,0.24117996883368478,-2515.6383057497173,49.45699326201571,0.4530695454719999,-780.4475553468507,7.990152904248777,0.11779803646217787,62.50593817283434,-135.4519041154066
2025-01-01 05:00:00,0.8621591967032527,0.1029312479536275,0.3475466666666667,0.8621591967032527,0.1029312479536275,0.34754666666666667,0.06953624902872599,0.0,0.39100346850786,0.35161947916666675,0.05,0.3475466666666667,0.0,0.0,0.08834791462029416,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.020533371710526313,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.14020300104090433,0.0,0.128874840361107,0.0,0.0,0.0,7679.757327840186,21.111111111111143,0.5704166666666667,2093.5317694005553,10.185588776296296,0.35161947916666675,0.6166666666666667,9421.669618074075,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,33.780795508644125,51.66666666666668,46.10666666666668,0.0,50.26908676272806,0.0,0.0,0.0,33.780795508644125,49.66706751519869,50.26908676272806,49.36605789143401,12.43753247303448,20.655760226139112,-0.18006764482652587,9.864480015608667,0.6265863807588155,-0.182345350151983,-0.25000000000000006,9.236100170605994,6216.440511452671,-712.1527580851631,-523.8651717574909,-126.7064530752519,-1674.9836134854145,0.0,0.0,317.5878965042554,0.0,2.0,0.06082181785612835,0.0,0.0,0.787097721614752,131.99922844444444,-105.92109940635714,0.19595858709444294,9.705564865253718,0.002895820030026456,33.67107504417139,1.2180073328019412,0.21880915991788766,-2846.8910364543267,41.20650896860831,0.4530695454719999,-533.0391984718566,9.174026714365613,0.0919651735460817,35.327532925276685,-162.0339860005286
2025-01-01 06:00:00,0.7219783012935657,0.10434350824517337,0.244221981981982,0.7219783012935657,0.10434350824517337,0.24422198198198197,0.07216873258135756,0.0,0.3527256103788747,0.2470839583333334,0.05,0.244221981981982,0.0,0.0,0.08976017491184003,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.02316585526315789,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.11927717999002309,0.0,0.10963978956094177,0.0,0.0,0.0,5396.586230374185,21.111111111111143,0.4008333333333333,1471.1304325517417,7.1574407617217215,0.2470839583333334,0.43333333333333335,6620.632704592593,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,33.371612381877085,51.66666666666668,46.10666666666668,0.0,50.08192472418558,0.0,0.0,0.0,33.371612381877085,49.497958572296945,50.08192472418558,49.20597549635263,12.43753247303448,20.837665432473877,-0.05404512945496342,9.265593191393327,1.1982396733077019,-0.44367607244898555,0.3,9.236100170605994,3996.83910309323,-1452.339424156072,-526.570899905812,-27.913232183302092,-1632.9146068097868,0.0,0.0,322.1033937789481,0.0,2.0,0.06049744583855203,0.0,0.0,0.7829000095931576,131.99922844444444,-88.93591425011695,0.19367757982232447,9.78852047511345,0.002895920586696213,-5.658844032502245,1.2172499335582418,0.2530693843306881,-2976.858407562641,53.3885508548271,0.4530695454719999,-534.8221574571734,8.251257551361352,0.11282064727671016,114.61926612341173,-142.53249830671382
2025-01-01 07:00:00,0.5992541769422612,0.10575576853671922,0.2536151351351352,0.5992541769422611,0.10575576853671922,0.2536151351351351,0.07058924244977861,0.0,0.2220777469924825,0.25658718750000004,0.05,0.2536151351351352,0.0,0.0,0.09117243520338589,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.021586365131578945,0.0,0.002983811445994518,0.0,0.04601906587220515,0.0,0.004128407612123106,0.0,0.08390297249662497,0.06292722937246871,0.05022197052211499,0.0,0.046164121920396525,0.0,0.0,0.0,5604.147239234731,21.111111111111143,0.41625,1527.7123722652702,7.432726944864865,0.25658718750000004,0.45,6875.272424,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,33.1967980602687,51.66666666666668,46.10666666666668,0.0,49.89581708115363,0.0,0.0,0.0,33.1967980602687,49.329674307284,49.89581708115363,49.046602920349194,12.43753247303448,20.818971387300795,-0.062090887646586344,9.069876494490332,0.650925289882852,-0.6830769099086885,-0.55,9.236100170605994,4102.3406021467645,-1671.8908726464351,-708.1564009633602,-130.53947573158814,-1747.6589526360638,0.0,0.0,322.4069173694303,3.647051842611562,2.0,0.06202194361027727,0.0,0.0,0.8026285998429604,131.99922844444444,-76.55460182133338,0.1940233752259956,9.782096831327376,0.002897728781621136,27.00007422494981,1.2173261172890568,0.2562268536370586,-3256.4749042881263,56.8716593764214,0.4530695454719999,-717.2339758610622,9.07757489770197,0.10897998812996289,15.163805151226663,-145.70328088281482
2025-01-01 08:00:00,0.6631062969699661,0.11026888408936748,0.23482882882882886,0.6631062969699663,0.11026888408936748,0.23482882882882883,0.12170740345556773,0.0,0.25381816434773175,0.23758072916666675,0.05,0.23482882882882886,0.0,0.0,0.09568555075603415,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.021906100272585553,0.0,0.016321398026315787,0.0,0.006417010315650483,0.0,0.09896899511360145,0.0,0.007945237291255788,0.0,0.0889789530391254,0.06673421477934403,0.05022197052211499,0.0,0.046164121920396525,0.0,0.0,0.0,5189.02522151364,21.111111111111143,0.3854166666666667,1414.5484928382132,6.882154578578579,0.23758072916666675,0.4166666666666667,6365.992985185186,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,0.0,0.0,33.04525216711263,51.66666666666668,46.10666666666668,0.0,49.710972026879524,0.0,0.0,0.0,33.04525216711263,49.162410670228624,49.710972026879524,48.888129991903185,12.43753247303448,20.78130842888571,-0.06323165375526076,8.45409405905368,-0.07729567695165748,-1.1386586013013675,-1.4,9.236100170605994,3711.289829111515,-2056.5432979415946,-782.3065637731237,-142.83379881490342,-1868.2603713172189,0.0,0.0,396.9835148172368,266.21903167013727,2.0,0.06370604465779812,0.0,0.0,0.8244226228464857,131.99922844444444,-6.4585359021424065,0.19558421625862762,9.786201695461694,0.002913075820666408,85.44884122432784,1.2180424808405008,0.27136717026289275,-3535.0153319034266,63.923541123618676,0.4530695454719999,-792.21481044473,9.908246671606275,0.1146051823772472,0.8608488712888284,-143.69464768619227
2025-01-01 09:00:00,1.54011470969488,0.12079407903778751,0.2254356756756757,1.5401147096948797,0.12079407903778751,0.22543567567567568,0.279050240940002,0.7333420722962963,0.24964489645858154,0.22807750000000007,0.05,0.2254356756756757,0.0,0.0,0.10621074570445417,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.010953050136292776,0.0,0.013162417763157892,0.0,0.016190051963560523,0.0,0.2496977712132836,0.0,0.02077186219936154,0.0,0.10301254630368543,0.07725940972776406,0.03975905999667436,0.0,0.03654659652031392,0.0,0.0,0.0,4981.464212653094,21.111111111111143,0.37000000000000005,1357.9665531246844,6.606868395435436,0.22807750000000007,0.4,6111.353265777779,15278.383164444445,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8764.291577777778,733.3420722962964,0.13333333333333333,32.4694489349831,51.66666666666668,46.10666666666668,0.0,49.451942613024826,0.24721082876806386,634.3649035153647,733.3420722962964,32.4694489349831,48.6947678117117,49.451942613024826,48.316180411055136,12.43753247303448,20.820105913208977,-0.05745851411248548,8.289924522304792,-0.0373829198968683,-0.9139814733595643,-0.85,9.236100170605994,3827.696694926665,-1812.656529088197,-479.5172043850762,-59.183101704980245,-1796.588802116449,0.0,0.0,522.62579564582,762.9874734667894,1.2335,0.06277175699899275,0.0,0.0,0.8123319666724463,81.4105241431111,120.19548874419937,0.1971607736707987,9.84010981698526,0.0029421914161561597,104.65107851107713,1.2184716485614737,0.26791073600060855,-3234.665306018657,64.042223805775,0.4530695454719999,-488.98898057278024,9.471776187704041,0.11926391561741305,10.985289554376278,-70.16839125935653
