Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.3421404927317348,0.10575576853671922,0.0,0.005702341545528913,0.0017625961422786537,0.0,0.07006274573925231,0.0,0.2220777469924825,0.0,0.05,0.0,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,36.757805411584286,51.666666666666686,46.10666666666668,0.0,51.374081937766334,0.0,0.0,0.0,36.757805411584286,50.66464491835147,51.374081937766334,50.30992640864404,12.43753247303448,19.098653803628608,0.0,8.318323415252323,-1.2731503673740105,-2.5310851844873996,2.8,9.236100170605994,-921.3999218602967,-2728.763719637639,2416.5894065235834,1401.7759595631671,-1192.7499480231083,-0.0,-0.0,321.88042065890403,0.0,2.0,0.056153912287689414,0.0,0,0.7266901578960544,131.99922844444444,-50.53039449609241,0.2124969669625103,8.938209012134134,0.0028588212414154294,14.371113510194963,1.2221389378267786,0.38680805477378083,-2781.764182046725,53.00046240908633,0.4530695454719999,2404.988287657757,11.60111886582634,0.22758277151972153,1581.1484840691385,-179.3725245059713
2025-01-01 00:01:00,0.3421404927317348,0.10575576853671922,0.0,0.005702341545528913,0.0017625961422786537,0.0,0.07006274573925231,0.0,0.2220777469924825,0.0,0.05,0.0,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,36.87475434169211,51.666666666666686,46.10666666666668,0.0,51.37064720683031,0.0,0.0,0.0,36.87475434169211,50.6615497283297,51.37064720683031,50.30700098907941,12.43753247303448,18.99503227921393,0.0,8.27309165202856,-0.9187828339497671,-2.459717289039626,2.8,9.236100170605994,-912.2525362522049,-2704.200790034766,2206.6750890946705,1373.4096708775046,-1181.0831615480229,-0.0,-0.0,321.88042065890403,0.0,2.0,0.05596042549956539,0.0,0,0.7241862371738027,131.99922844444444,-53.049795363086034,0.21450538414037632,8.913352551334079,0.0028588901418608813,14.668442753668206,1.2261436622050355,0.38665641567684156,-2757.8814486149295,53.68065858016358,0.4530695454719999,2195.752268718214,10.922820376456514,0.22707693205434068,1556.5141434057348,-183.1044725282303
2025-01-01 00:02:00,0.3421404927317348,0.10575576853671922,0.0,0.005702341545528913,0.0017625961422786537,0.0,0.07006274573925231,0.0,0.2220777469924825,0.0,0.05,0.0,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,36.988463421787934,51.666666666666686,46.10666666666668,0.0,51.367201955466975,0.0,0.0,0.0,36.988463421787934,50.65844469062642,51.367201955466975,50.304066058206146,12.43753247303448,18.894185428484683,-0.050259015959774445,8.2306993031607,-0.5969236528725522,-2.391018236937432,2.8,9.236100170605994,-903.7125732853851,-2681.156193760606,2016.0782884196076,1348.1239093664792,-1169.7729458577865,-0.0,-0.0,321.88042065890403,0.0,2.0,0.05577183325665564,0.0,0,0.7217456569685282,131.99922844444444,-55.82004808650261,0.21586589263508862,8.866673984032783,0.0028589602381204025,14.957811127797019,1.2265670145034286,0.38651424168498555,-2735.5137956607987,54.357601900192435,0.4530695454719999,2005.7107797110536,10.367508708553835,0.22658894206030314,1532.8826838739976,-184.7587745075185
2025-01-01 00:03:00,0.3421404927317348,0.10575576853671922,0.0,0.005702341545528913,0.0017625961422786537,0.0,0.07006274573925231,0.0,0.2220777469924825,0.0,0.05,0.0,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,37.09907949488562,51.666666666666686,46.10666666666668,0.0,51.36374647670684,0.0,0.0,0.0,37.09907949488562,50.65533007805308,51.36374647670684,50.30112187872621,12.43753247303448,18.795987318108892,-0.14845712633556474,8.19095470226888,-0.3045258165580435,-2.324586665735505,2.8,9.236100170605994,-895.7484835414837,-2659.5988881021394,1842.9337771490098,1323.8939225651668,-1158.801741657022,-0.0,-0.0,321.88042065890403,0.0,2.0,0.05558792158429334,0.0,0,0.7193656482250023,131.99922844444444,-58.8271625433658,0.21720022877271114,8.821367047450789,0.002859031692516812,15.239531337450206,1.2269795261495409,0.38638090010299786,-2714.5571193876303,54.95823128549103,0.4530695454719999,1833.064717511727,9.869059637282838,0.2261160570824286,1510.1076162432948,-186.21369367812795
2025-01-01 00:04:00,0.3421404927317348,0.10575576853671922,0.0,0.005702341545528913,0.0017625961422786537,0.0,0.07006274573925231,0.0,0.2220777469924825,0.0,0.05,0.0,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,37.20673976250925,51.666666666666686,46.10666666666668,0.0,51.3602810503007,0.0,0.0,0.0,37.20673976250925,50.65220615105626,51.3602810503007,50.29816870143405,12.43753247303448,18.70032028908215,-0.24412415536230725,8.153677874389711,-0.03883510880343716,-2.2601616683274464,2.8,9.236100170605994,-884.5842859112238,-2639.397430431624,1685.6131665831917,1301.1054531198217,-1148.1532021676933,-0.0,-0.0,321.88042065890403,0.0,2.0,0.0554084902491288,0.0,0,0.7170436197149637,131.99922844444444,-58.31150440243444,0.21850932624358846,8.777370427000806,0.002859104468232737,15.513929622013482,1.2273816698134163,0.3862557959698428,-2694.913920718399,55.51649028677491,0.4530695454719999,1676.1878574263271,9.425309156864529,0.22565650912626087,1488.0924379922503,-186.9869848724286
2025-01-01 00:05:00,0.912334242731735,0.10575576853671922,0.5635891891891892,0.015205570712195584,0.0017625961422786537,0.009393153153153153,0.07006274573925231,0.0,0.2220777469924825,0.5701937500000002,0.05,0.5635891891891892,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,On,12453.660531632735,19.444444444444457,0.925,3394.9163828117116,16.51717098858859,0.5701937500000002,1,15278.383164444445,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,37.31146530076686,51.666666666666686,46.10666666666668,0.0,51.356805943591525,0.0,0.0,0.0,37.31146530076686,50.64907315852949,51.356805943591525,50.29520676599848,12.43753247303448,18.60716647673545,-0.33727796770900653,8.118703987549843,0.20264438534334123,-2.1974942957518864,2.8,9.236100170605994,11581.835852625867,774.4533730583603,1542.6371963624995,1279.5055687569577,-1137.822295489293,-0.0,-0.0,321.88042065890403,0.0,2.0,0.05523352494921438,0.0,0,0.7147793863563021,131.99922844444444,-55.88280417647982,0.21979279727038417,8.73401407866739,0.00285917853005185,15.781034216469013,1.22777350003418,0.38613838384477955,-2676.4950640315974,56.032054278245376,0.4530695454719999,1533.6064885222033,9.030707840296099,0.22520859872885549,1466.7460501644296,-187.24048140747195
2025-01-01 00:06:00,0.912334242731735,0.10575576853671922,0.5635891891891892,0.015205570712195584,0.0017625961422786537,0.009393153153153153,0.07006274573925231,0.0,0.2220777469924825,0.5701937500000002,0.05,0.5635891891891892,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,On,12453.660531632735,19.444444444444457,0.925,3394.9163828117116,16.51717098858859,0.5701937500000002,1,15278.383164444445,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,37.049833260217255,51.666666666666686,46.10666666666668,0.0,51.35332142201381,0.0,0.0,0.0,37.049833260217255,50.64593134759157,51.35332142201381,50.29223631038045,12.43753247303448,18.828876297730904,-0.11556814671355298,8.255169539907532,0.42217409420983776,-2.1363756897785904,2.8,9.236100170605994,11548.32754769439,700.2595234158857,1412.6657735101503,1258.9361248290015,-1162.471654934514,-0.0,-0.0,321.88042065890403,0.0,2.0,0.055649548214859484,0.0,0,0.7201631610619935,131.99922844444444,-64.74174966273415,0.2167708687273048,8.83702511405748,0.00285925384295641,15.101584079453037,1.22684115272346,0.3865963154975085,-2748.423257928959,53.766398533132644,0.4530695454719999,1403.9853523014883,8.680421208661924,0.22477089827365582,1445.9921590662075,-187.0560342372059
2025-01-01 00:07:00,0.912334242731735,0.10575576853671922,0.5635891891891892,0.015205570712195584,0.0017625961422786537,0.009393153153153153,0.07006274573925231,0.0,0.2220777469924825,0.5701937500000002,0.05,0.5635891891891892,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,On,12453.660531632735,19.444444444444457,0.925,3394.9163828117116,16.51717098858859,0.5701937500000002,1,15278.383164444445,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,36.796560266853916,51.666666666666686,46.10666666666668,0.0,51.349860609190564,0.0,0.0,0.0,36.796560266853916,50.642811567372625,51.349860609190564,50.28928704646366,12.43753247303448,19.043423881022175,0.0,8.382551472412434,0.6218030781528193,-2.0766285879748447,2.8,9.236100170605994,11516.390247671587,631.0805475606367,1294.4846495663314,1239.2589911304833,-1186.5258706350255,-0.0,-0.0,321.88042065890403,0.0,2.0,0.0560508215258275,0.0,0,0.7253560559793214,131.99922844444444,-72.6248339850271,0.21389091956481557,8.936446049231677,0.0028593259680451876,14.446127094752118,1.2259402721043402,0.38702327670099856,-2815.707084236372,51.87124898529683,0.4530695454719999,1286.1145827601674,8.370066806163944,0.22434219439605735,1425.766137344084,-186.50714621360066
2025-01-01 00:08:00,0.912334242731735,0.10575576853671922,0.5635891891891892,0.015205570712195584,0.0017625961422786537,0.009393153153153153,0.07006274573925231,0.0,0.2220777469924825,0.5701937500000002,0.05,0.5635891891891892,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,On,12453.660531632735,19.444444444444457,0.925,3394.9163828117116,16.51717098858859,0.5701937500000002,1,15278.383164444445,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,36.551102397093544,51.666666666666686,46.10666666666668,0.0,51.346422749090934,0.0,0.0,0.0,36.551102397093544,50.63971311399932,51.346422749090934,50.286358296453514,12.43753247303448,19.251276005425527,0.0,8.501630524927691,0.8033880365302094,-2.0181031406228733,2.8,9.236100170605994,11485.100945219487,566.2549045571818,1186.9935735897773,1220.3558414922188,-1210.0173231060148,-0.0,-0.0,321.88042065890403,0.0,2.0,0.056438355049312106,0.0,0,0.7303711437247354,131.99922844444444,-80.42268396613795,0.21114176100849366,9.032567259980002,0.002859395013375353,13.813048070275915,1.2250687669727087,0.38742198262212535,-2878.730320653168,50.068842398637955,0.4530695454719999,1178.8978932879359,8.095680301841409,0.22392146050354794,1406.013409522735,-185.6575680305161
2025-01-01 00:09:00,0.912334242731735,0.10575576853671922,0.5635891891891892,0.015205570712195584,0.0017625961422786537,0.009393153153153153,0.07006274573925231,0.0,0.2220777469924825,0.5701937500000002,0.05,0.5635891891891892,0.0,0.0,0.09117243520338589,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.02105986842105263,0.0,On,0.0029838114459945185,0.0,On,0.04601906587220515,0,On,0.004128407612123106,0,On,0.08390297249662497,0.06292722937246871,On,0.05022197052211499,0,On,0.046164121920396525,0,On,0,0,Off,On,12453.660531632735,19.444444444444457,0.925,3394.9163828117116,16.51717098858859,0.5701937500000002,1,15278.383164444445,15278.383164444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8764.291577777778,Off,0.0,0.0,36.313032684724135,51.666666666666686,46.10666666666668,0.0,51.343007134870085,0.0,0.0,0.0,36.313032684724135,50.63663532939937,51.343007134870085,50.28344942666401,12.43753247303448,19.452798974748454,0.0,8.613064396555325,0.9686114290207309,-1.9606731251689673,2.8,9.236100170605994,11454.621440492634,505.485459450671,1089.1955531761125,1202.125711678495,-1232.9693279189528,-0.0,-0.0,321.88042065890403,0.0,2.0,0.05681295537130809,0.0,0,0.7352188623617653,131.99922844444444,-87.95018388005272,0.20851414265729132,9.125621932199287,0.0028594610798672584,13.201056998637288,1.224224982240695,0.38779471930797904,-2937.816575689136,48.38565232809514,0.4530695454719999,1081.3418769499074,7.853676226205213,0.22350783167091137,1386.6880100254157,-184.56229834692064
