# file...... powerflow_4node_logs.csv
# date...... Fri Oct 17 14:00:50 2025
# user...... deras
# host...... (null)
# target.... inverter 20
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,P_Out,Q_Out,VA_Out
2021-12-25 00:00:00 UTC,+0,+0,+0+0j
2021-12-25 00:01:00 UTC,+0,+0,+0+0j
2021-12-25 00:02:00 UTC,+0,+0,+0+0j
2021-12-25 00:03:00 UTC,+5000.12,+0,+5000+0j
2021-12-25 00:04:00 UTC,+2000.13,+0,+0+0j
