Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,5.916419400888579,3.7007824572711545,0.0,0.09860699001480965,0.06167970762118591,0.0,0.0446202871259096,0.0,0.45289870690126843,5.368900406861401,0.05,0.0,0.0,0.2182320567121516,3.4679670672256697,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5743.286410407955,19.77777777777783,1.9791728423091794,4274.241543590752,4.747504573528067,0.6213958333333334,1,9396.132120665374,9396.132120665374,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.12368818704919,51.666666666666686,46.10666666666668,0.0,50.71226571475887,0.0,0.0,0.0,33.12368818704919,47.965608562050456,50.71226571475887,46.59227998569625,12.43753247303448,19.598122087534648,0.0,5.3065750991850145,2.8,9.236100170605994,5400.750739695053,3361.134565006252,-767.3319612785693,-0.0,-0.0,484.13162511962946,0.0,2.0,0.03505136237256342,0.0,0.0,0.16828466197720282,131.99922844444444,-59.33533455396214,0.19347086620251522,8.969885429098479,0.00268431282159349,71.00705998703745,1.2201822971871479,0.27184172728319994,-888.0031246517943,-25.10385393270595
2025-01-01 00:01:00,5.917423672867837,3.7014311528860246,0.0,0.09862372788113062,0.06169051921476708,0.0,0.0446202871259096,0.0,0.45289870690126843,5.369904678840659,0.05,0.0,0.0,0.2182320567121516,3.46861576284054,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5743.010418962234,19.77777777777783,1.9786528861699688,4274.0361465377955,4.748508845507326,0.6213958333333334,1,9395.650732166696,9395.650732166696,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.10829772071764,51.666666666666686,46.10666666666668,0.0,50.70883982213121,0.0,0.0,0.0,33.10829772071764,47.96281938277241,50.70883982213121,46.589809163093015,12.43753247303448,19.60853704430857,0.0,5.405949192827001,2.8,9.236100170605994,5394.546410584694,3326.4685164273715,-768.0176696917015,-0.0,-0.0,484.13162511962946,0.0,2.0,0.03506094716976116,0.0,0.0,0.16833067942837626,131.99922844444444,-64.57796380546804,0.19391959328545408,8.997853560886217,0.00268443932417135,70.98294131715257,1.223702979167062,0.27184172728319994,-923.2083358151126,-24.359294295311294
2025-01-01 00:02:00,5.918394480451638,3.7020582326368303,0.0,0.0986399080075273,0.06170097054394717,0.0,0.0446202871259096,0.0,0.45289870690126843,5.37087548642446,0.05,0.0,0.0,0.2182320567121516,3.4692428425913455,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5742.743656355473,19.77777777777783,1.9781504768917793,4273.837617727875,4.749479653091126,0.6213958333333334,1,9395.185440750014,9395.185440750014,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.09331584788074,51.666666666666686,46.10666666666668,0.0,50.70541542093314,0.0,0.0,0.0,33.09331584788074,47.96003149944818,50.70541542093314,46.58733953870569,12.43753247303448,19.618602131304968,0.0,5.502734866576627,2.8,9.236100170605994,5388.443161736351,3292.727577909697,-768.6805728569008,-0.0,-0.0,484.13162511962946,0.0,2.0,0.035070209188110324,0.0,0.0,0.16837514719001556,131.99922844444444,-69.75154688185097,0.19380742982614732,9.00290117318299,0.0026845654199471685,70.95919794378068,1.2236608163638707,0.27184172728319994,-957.4965487392501,-23.61349107892811
2025-01-01 00:03:00,5.919333572188145,3.7026648259741077,0.0,0.09865555953646908,0.06171108043290179,0.0,0.0446202871259096,0.0,0.45289870690126843,5.371814578160967,0.05,0.0,0.0,0.2182320567121516,3.469849435928623,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5742.485638871704,19.77777777777783,1.9776646875477555,4273.645597172171,4.750418744827633,0.6213958333333334,1,9394.735402710541,9394.735402710541,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.0787211069711,51.666666666666686,46.10666666666668,0.0,50.70199247419177,0.0,0.0,0.0,33.0787211069711,47.95724487767214,50.70199247419177,46.58487107941232,12.43753247303448,19.628335759677892,0.0,5.596956064075225,2.8,9.236100170605994,5382.378720768548,3259.779370300441,-769.321860386841,-0.0,-0.0,484.13162511962946,0.0,2.0,0.03507916544926662,0.0,0.0,0.1684181469845812,131.99922844444444,-74.91668283594475,0.19369932594553288,9.007049727277863,0.002684691477888035,70.93577133194582,1.223620041764116,0.27184172728319994,-990.8762459262175,-22.98998094551222
2025-01-01 00:04:00,5.920242398986168,3.7032518700923647,0.0,0.09867070664976946,0.06172086450153941,0.0,0.0446202871259096,0.0,0.45289870690126843,5.37272340495899,0.05,0.0,0.0,0.2182320567121516,3.47043648004688,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5742.23596489374,19.77777777777783,1.9771947473466238,4273.459785981031,4.751327571625656,0.6213958333333334,1,9394.299917541437,9394.299917541437,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.06449566017213,51.666666666666686,46.10666666666668,0.0,50.69857094687502,0.0,0.0,0.0,33.06449566017213,47.95445948484587,50.69857094687502,46.582403753831294,12.43753247303448,19.637753227632835,0.0,5.688639025543777,2.8,9.236100170605994,5377.924372867002,3227.6775160805646,-769.9425190691163,-0.0,-0.0,484.13162511962946,0.0,2.0,0.03508783010272316,0.0,0.0,0.16845974674502945,131.99922844444444,-78.50069807725171,0.19359509007854211,9.011740977985095,0.0026848174984111127,70.91264699315083,1.22358059115828,0.27184172728319994,-1023.3567234861662,-22.425546414300328
2025-01-01 00:05:00,5.9211236363113064,3.7038210931716544,0.0,0.09868539393852177,0.061730351552860906,0.0,0.0446202871259096,0.0,0.45289870690126843,5.373604642284128,0.05,0.0,0.0,0.2182320567121516,3.4710057031261696,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5741.993896728058,19.77777777777783,1.9767392545657925,4273.279635151663,4.752208808950795,0.6213958333333334,1,9393.877698546386,9393.877698546386,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.05060694168383,51.666666666666686,46.10666666666668,0.0,50.695150805563976,0.0,0.0,0.0,33.05060694168383,47.951675289872966,50.695150805563976,46.579937532027465,12.43753247303448,19.646882493335966,0.0,5.77783848724996,2.8,9.236100170605994,5375.675067831084,3196.4235508380248,-770.5443724171055,-0.0,-0.0,484.13162511962946,0.0,2.0,0.03509622893773022,0.0,0.0,0.16850007028781055,131.99922844444444,-79.90608159949872,0.19349437922334708,9.016273742294795,0.002684943481914605,70.8897982280202,1.2235423474586615,0.27184172728319994,-1054.9573728096607,-21.898711503977278
2025-01-01 00:06:00,5.921980311875459,3.7043744509206604,0.0,0.09869967186459098,0.06173957418201101,0.0,0.0446202871259096,0.0,0.45289870690126843,5.374461317848281,0.05,0.0,0.0,0.2182320567121516,3.4715590608751756,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5741.758600342191,19.77777777777783,1.9762966282699588,4273.1045239843515,4.753065484514948,0.6213958333333334,1,9393.467290993209,9393.467290993209,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.03701818556659,51.666666666666686,46.10666666666668,0.0,50.691732019784446,0.0,0.0,0.0,33.03701818556659,47.948892264399234,50.691732019784446,46.57747238670663,12.43753247303448,19.655755127451716,0.0,5.864618520849118,2.8,9.236100170605994,5373.490287919958,3165.99948702883,-771.1294850815434,-0.0,-0.0,484.13162511962946,0.0,2.0,0.035104391056686675,0.0,0.0,0.16853925733609143,131.99922844444444,-81.27045246031972,0.19339680800959513,9.020665339006865,0.00268506942876149,70.86719482844349,1.2235051785193802,0.27184172728319994,-1085.7008925304522,-21.40414442506936
2025-01-01 00:07:00,5.922813369841419,3.7049125532083,0.0,0.09871355616402365,0.06174854255347166,0.0,0.0446202871259096,0.0,0.45289870690126843,5.375294375814241,0.05,0.0,0.0,0.2182320567121516,3.472097163162815,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5741.529814306855,19.77777777777783,1.9758663663004905,4272.934257919428,4.753898542480908,0.6213958333333334,1,9393.068238892949,9393.068238892949,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.02371777102618,51.666666666666686,46.10666666666668,0.0,50.6883145623867,0.0,0.0,0.0,33.02371777102618,47.94611038316635,50.6883145623867,46.575008293556174,12.43753247303448,19.664381092346876,0.0,5.949043411731269,2.8,9.236100170605994,5371.597283265628,3136.383378197052,-771.6984990870743,-0.0,-0.0,484.13162511962946,0.0,2.0,0.0351123256759429,0.0,0.0,0.16857735213837785,131.99922844444444,-82.36565707378196,0.19330225152947333,9.024921248475449,0.0026851953392748166,70.84482738608982,1.2234690425189176,0.27184172728319994,-1115.6100570019705,-20.940822720405663
2025-01-01 00:08:00,5.923623887557727,3.705436095932982,0.0,0.09872706479262879,0.061757268265549704,0.0,0.0446202871259096,0.0,0.45289870690126843,5.376104893530549,0.05,0.0,0.0,0.2182320567121516,3.4726207058874974,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5741.307240788917,19.77777777777783,1.9754478988817281,4272.768615304923,4.754709060197216,0.6213958333333334,1,9392.680022760505,9392.680022760505,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,33.010692491411554,51.666666666666686,46.10666666666668,0.0,50.68489840727198,0.0,0.0,0.0,33.010692491411554,47.943329621894506,50.68489840727198,46.57254522920578,12.43753247303448,19.672771714391214,0.0,6.031175799471998,2.8,9.236100170605994,5369.8790308588905,3107.553786174144,-772.2521476609548,-0.0,-0.0,484.13162511962946,0.0,2.0,0.035120043262297646,0.0,0.0,0.16861440494668767,131.99922844444444,-83.30768738870132,0.19321056893760985,9.028329617947234,0.002685321213765346,70.82268516798253,1.2234338919520782,0.27184172728319994,-1144.7070575157766,-20.507771615001857
2025-01-01 00:09:00,5.924412787800172,3.705945675148985,0.0,0.09874021313000286,0.061765761252483085,0.0,0.0446202871259096,0.0,0.45289870690126843,5.376893793772994,0.05,0.0,0.0,0.2182320567121516,3.4731302851035,0.01458333333333334,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007799025160492309,0.0,On,0.03806653592564984,0,On,0.03382818268257038,0,On,0.24703069642138756,0.18527302231604062,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,HP On,5741.090624569786,19.77777777777783,1.9750407371789438,4272.6074062032585,4.755497960439661,0.6213958333333334,1,9392.30219743971,9392.30219743971,0.0,Off,0.0,20.77777777777783,0,0.0,0.05,0.0,0.0,0,0,0,12487.760044444445,Off,0.0,0.0,32.997931020057834,51.666666666666686,46.10666666666668,0.0,50.68148352953586,0.0,0.0,0.0,32.997931020057834,47.940549957415996,50.68148352953586,46.57008317135607,12.43753247303448,19.68093670518721,0.0,6.11107681495813,2.8,9.236100170605994,5368.21917893682,3079.4902001075197,-772.791058669145,-0.0,-0.0,484.13162511962946,0.0,2.0,0.03512755279320259,0.0,0.0,0.16865045886255303,131.99922844444444,-84.21201208345067,0.19312163919502728,9.032331713205332,0.0026854470525297736,70.8007589879244,1.2233996860756977,0.27184172728319994,-1173.0135508810088,-20.10365521472986
