Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.51556746517863,51.666666666666686,46.10666666666668,0.0,48.869187436754736,0.0,0.0,0.0,99.2430741643416,47.25301836806261,48.869187436754736,46.444933833716554,12.43753247303448,23.629926479230388,0.0,2.8,67.47472947741761,-266.4460026321562,-0.0,-16.162984946620615,335.6069596430219,0.0,2.0,0.00981530546848892,0.0,0.0005954100754616585,0.19372708125887123,131.99922844444444,14.476757413172532,0.18644624372579346,11.445681508564661,0.003313886659093788,73.15633532960051,1.2031489769177681
2025-01-01 00:01:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.53543455196359,51.666666666666686,46.10666666666668,0.0,48.85417820294121,0.0,0.0,0.0,99.27411648744311,47.23982348321073,48.85417820294121,46.43264612334549,12.43753247303448,23.609272354606592,0.0,2.8,65.63833726654255,-266.0704026152244,-0.0,-15.76828361455859,335.6069596430219,0.0,2.0,0.009811197553033972,0.0,0.0005814466550735799,0.1933908020538023,131.99922844444444,11.870063853303563,0.18725248734099526,11.462956343675469,0.0033143989601167696,73.19446770922325,1.2067471408067216
2025-01-01 00:02:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.55419013394437,51.666666666666686,46.10666666666668,0.0,48.839165733213264,0.0,0.0,0.0,99.30342208428807,47.22662447111992,48.839165733213264,46.420353840073254,12.43753247303448,23.58902838250411,0.0,2.8,63.72395432208617,-265.70246285264625,-0.0,-15.381561905015339,335.6069596430219,0.0,2.0,0.009807170730928232,0.0,0.0005677388236874776,0.19306078797901485,131.99922844444444,9.201019436725826,0.18750979025134923,11.454978691268696,0.003314909999847438,73.23167368299728,1.2068290951984455
2025-01-01 00:03:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.57188767866744,51.666666666666686,46.10666666666668,0.0,48.82415027188253,0.0,0.0,0.0,99.33107449791787,47.21342156269701,48.82415027188253,46.40805720810425,12.43753247303448,23.569174867142173,0.0,2.8,61.757811644259164,-265.3418135710236,-0.0,-15.002435287975166,335.6069596430219,0.0,2.0,0.009803221112928414,0.0,0.0005542744597283528,0.19273674109830255,131.99922844444444,6.495100860235972,0.18776307182797958,11.447199195204433,0.0033154212646263922,73.2679513145609,1.2069094724195069
2025-01-01 00:04:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.58857582098277,51.666666666666686,46.10666666666668,0.0,48.80913205147298,0.0,0.0,0.0,99.35714972028558,47.20021497774134,48.80913205147298,46.395756440875516,12.43753247303448,23.54969390272048,0.0,2.8,61.22296664636781,-264.98811847433274,-0.0,-14.630554089870284,335.6069596430219,0.0,2.0,0.009799345163552745,0.0,0.0005410425580064424,0.19241839083258314,131.99922844444444,5.234679567548859,0.1880125154126553,11.43960871688259,0.003315932748610714,73.30334366549742,1.206988344681856
2025-01-01 00:05:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.60415824911515,51.666666666666686,46.10666666666668,0.0,48.79411129378597,0.0,0.0,0.0,99.38149726424243,47.18700492594871,48.79411129378597,46.38345174203008,12.43753247303448,23.530621594246323,0.0,2.8,61.84567805779142,-264.64202200883307,-0.0,-14.266599762024562,335.6069596430219,0.0,2.0,0.009795550093022461,0.0,0.0005280687910605122,0.19210634907842544,131.99922844444444,5.147340185627087,0.18825769283838825,11.431466418129673,0.0033164444462294904,73.33774900961791,1.207065564500229
2025-01-01 00:06:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.61856831522621,51.666666666666686,46.10666666666668,0.0,48.779088241833385,0.0,0.0,0.0,99.40401299254096,47.173791637023,48.779088241833385,46.371143334617805,12.43753247303448,23.511983011185055,0.0,2.8,62.80346839805867,-264.30396739906297,-0.0,-13.911042487228451,335.6069596430219,0.0,2.0,0.009791840917940782,0.0,0.0005153714353140625,0.19180104928250855,131.99922844444444,5.411518641328172,0.1884982992525363,11.424304768187909,0.0033169563512661883,73.37109473606573,1.207141029231687
2025-01-01 00:07:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.63182072542855,51.666666666666686,46.10666666666668,0.0,48.76406315330174,0.0,0.0,0.0,99.4247198834821,47.160575354513654,48.76406315330174,46.35883145511961,12.43753247303448,23.493772916604048,0.0,2.8,63.811656461171964,-263.97384794719807,-0.0,-13.56377413834821,335.6069596430219,0.0,2.0,0.009788216624329322,0.0,0.0005029481539254021,0.19150242909132842,131.99922844444444,5.7423189036962725,0.18873437343767174,11.417361056203664,0.003317468457043063,73.40338957407013,1.207214759531354
2025-01-01 00:08:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.64395672317985,51.666666666666686,46.10666666666668,0.0,48.74903628262878,0.0,0.0,0.0,99.44368237996851,47.14735631891505,48.74903628262878,46.34651633705819,12.43753247303448,23.475976180181487,0.0,2.8,64.76493307691467,-263.65137818600556,-0.0,-13.22449832826678,335.6069596430219,0.0,2.0,0.00978467422774183,0.0,0.0004907898030258626,0.19121026281597453,131.99922844444444,6.0338499481650985,0.18896606762804383,11.409869960048887,0.0033179807569366573,73.43466912683253,1.2072868163464754
2025-01-01 00:09:00,0.21166459018579947,0.11928252354491772,0.0,0.0035277431697633243,0.001988042059081962,0.0,0.04783352020627059,0.16383106997952887,0.0,0.0,0.0,0.0,0.11928252354491772,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.01861984649122807,0.0,On,0.02921367371504252,0,On,0.004787705252971858,0,On,0.11509798553174239,0.08632348914880676,On,0,0,Off,Off,0.0,23.888888888888914,0.0,0.0,0.0,0.0,0,0.0,1540.9679022222222,Off,0.0,0,63.655025829656395,51.666666666666686,46.10666666666668,0.0,48.734007875157275,0.0,0.0,0.0,99.46097785883812,47.134134762153536,48.734007875157275,46.334198205651674,12.43753247303448,23.458574577917613,0.0,2.8,65.66052982142645,-263.3362174085759,-0.0,-12.892860265274674,335.6069596430219,0.0,2.0,0.009781210125966383,0.0,0.00047888504141347694,0.19092427238296136,131.99922844444444,6.282647852255117,0.1891935706610417,11.403337987169904,0.003318493244548159,73.46497768460263,1.2073572732607474
