Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.16664220228883203,0.1066425728523685,0.0,0.16664220228883203,0.10664257285236849,0.0,0.01799019019307435,0.0,0.14865201209575768,0.0,0.0,0.0,0.1066425728523685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.004654961622807018,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,25.14719338786376,51.66666666666668,46.10666666666668,0.0,51.0133131385137,0.0,0.0,0.0,25.14719338786376,51.00402187830459,51.0133131385137,50.99937624820005,12.43753247303448,15.29552026485199,0.0,2.8,47.41012014031231,-182.4910254351165,0.0,0.0,225.1430422452769,0.0,1.0,0.01120550003239418,0.0,0.0,0.20851677352603468,65.99961422222222,4.758103330151922,0.26550952815280926,7.078628168479949,0.002799083104245979,37.67814283392272,1.2418549453529901
2025-01-01 01:00:00,0.16541646140505825,0.10598510878082107,0.0,0.16541646140505825,0.10598510878082107,0.0,0.017641068071363824,0.0,0.14777539333369444,0.0,0.0,0.0,0.10598510878082107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.00430583950109649,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,25.28448907790077,51.66666666666668,46.10666666666668,0.0,50.7882164082349,0.0,0.0,0.0,25.28448907790077,50.7915079708841,50.7936864154754,50.787683744968184,12.43753247303448,14.887676135079507,0.0,2.5,66.3107771129955,-163.12729487523066,0.0,0.0,223.91730136150312,0.0,1.0,0.010113235688428293,0.0,0.0,0.18819144791067835,65.99961422222222,5.520770626723046,0.2740584593091477,6.897192815469308,0.0028145266729308355,39.18292406318175,1.2436615822397958
2025-01-01 02:00:00,0.16453984264299504,0.10532764470927365,0.0,0.16453984264299504,0.10532764470927365,0.0,0.017641068071363824,0.0,0.1468987745716312,0.0,0.0,0.0,0.10532764470927365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.00430583950109649,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,25.285898048293845,51.66666666666668,46.10666666666668,0.0,50.56278647505876,0.0,0.0,0.0,25.285898048293845,50.57856773902461,50.58645837100754,50.56278647505876,12.43753247303448,14.672366284036064,0.0,1.6500000000000001,69.16134952449134,-157.0220896293554,0.0,0.0,223.04068259943992,0.0,1.0,0.009209725968211362,0.0,0.0,0.17137854967638225,65.99961422222222,3.1427565544068212,0.27951447666520957,6.811019464306814,0.0028310530269478975,41.92787716013277,1.244579479741444
2025-01-01 03:00:00,0.16343047579979145,0.10467018063772623,0.0,0.16343047579979145,0.10467018063772623,0.0,0.01740831999022347,0.0,0.14602215580956796,0.0,0.0,0.0,0.10467018063772623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.00407309141995614,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,25.27123345551751,51.66666666666668,46.10666666666668,0.0,50.3375462345033,0.0,0.0,0.0,25.27123345551751,50.36569590954441,50.37977074706496,50.3375462345033,12.43753247303448,14.47995272499259,0.0,1.6500000000000001,61.5039841851571,-161.5289696110553,0.0,0.0,221.93131575623633,0.0,1.0,0.009636216376185426,0.0,0.0,0.17931486698069385,65.99961422222222,1.1016380399760612,0.2846814923477764,6.736237845869921,0.0028478450814448894,37.32987059583129,1.2453994258456225
2025-01-01 04:00:00,0.1625538570377282,0.1040127165661788,0.0,0.1625538570377282,0.1040127165661788,0.0,0.01740831999022347,0.0,0.14514553704750474,0.0,0.0,0.0,0.1040127165661788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.00407309141995614,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,25.224168922969316,51.66666666666668,46.10666666666668,0.0,50.11267574132805,0.0,0.0,0.0,25.224168922969316,50.15306360599681,50.1732575383312,50.11267574132805,12.43753247303448,14.333790145180767,0.0,0.55,89.36532131199446,-179.37058852466205,0.0,0.0,269.46541402617305,0.0,1.7335,0.009910777756539677,0.0,0.0,0.18442402346642103,114.41033125422221,-0.729504189516564,0.2892458046441976,6.684633439420495,0.002867716920409345,78.54904001619788,1.2454328938973391
2025-01-01 05:00:00,0.1630193532000089,0.1040127165661788,0.0,0.1630193532000089,0.1040127165661788,0.0,0.017873816152504177,0.0,0.14514553704750474,0.0,0.0,0.0,0.1040127165661788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.004538587582236842,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,25.161416342154872,51.66666666666668,46.10666666666668,0.0,49.88843968101068,0.0,0.0,0.0,25.161416342154872,49.940921977307816,49.967163125456395,49.88843968101068,12.43753247303448,14.210399365971247,0.0,-0.25000000000000006,98.56340769008297,-186.81296126866582,0.0,0.0,287.519807378676,0.0,2.0,0.009812984468622813,0.0,0.0,0.18260424382160584,131.99922844444444,-2.1434384199272123,0.29531771095131315,6.666927549205364,0.0029062389145495747,92.93561908980004,1.2453134936096943
2025-01-01 06:00:00,0.18167577815206698,0.10829408280055887,0.0,0.18167577815206695,0.10829408280055886,0.0,0.028037846032874732,0.0,0.15363793211919224,0.0,0.0,0.0,0.10829408280055887,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.00512045778508772,0.0,0.022917388247787013,0.0,0.00924582171844705,0.0,0.11108059744234247,0.08331044808175682,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,24.998283946772293,51.66666666666668,46.10666666666668,0.0,49.66910131992851,0.044342244951484394,114.82219021751648,0.0,24.998283946772293,49.61662509110629,49.73326742487638,49.526220871747334,12.43753247303448,14.112993967175491,0.0,0.3,124.80536568625169,-177.1840491049876,0.0,0.0,305.8993647755475,0.0,2.0,0.00976277196590878,0.0,0.0,0.18166986793241485,131.99922844444444,-3.909949984308179,0.3007824214410333,6.661911598812185,0.0029415600300686058,85.62210384671289,1.2457092073489489
2025-01-01 07:00:00,1.1671564219073551,0.11421949906143432,0.0,1.1671564219073554,0.11421949906143432,0.0,0.04249813089335765,0.9582936881481483,0.1663646028658493,0.0,0.0,0.0,0.11421949906143432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.004771335663377193,0.0,0.03772679522998045,0.0,0.014071937450603478,0.0,0.11722791493271663,0.08792093619953743,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,958.2936881481481,0.38333333333333336,25.00465449197332,51.66666666666668,46.10666666666668,0.0,50.14223335222276,0.22477349221862072,573.7976572534282,958.2936881481481,25.00465449197332,49.50298997826725,50.14327903059623,49.18232261291602,12.43753247303448,14.041503975538165,0.0,-0.55,101.89789290268672,-193.89711025240624,0.0,0.0,300.74519468191676,0.09804942459001734,1.5165,0.01007230680744626,0.0,0.0,0.1874298256553812,100.088414968,-4.950191526823778,0.3055558317490069,6.666890067095127,0.0029745554455503642,65.17145024221408,1.245994528472539
2025-01-01 08:00:00,0.16647145468576366,0.10730003692391592,0.0,0.16647145468576366,0.10730003692391592,0.0,0.016942823827942773,0.0,0.1495286308578209,0.0,0.0,0.0,0.10730003692391592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0036075952576754386,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,853.4230755555556,0.0,0.0,26.586442397381234,51.66666666666668,46.10666666666668,0.0,51.562075028288525,0.0,0.0,0.0,26.586442397381234,51.57293792334838,51.57836937087831,51.562075028288525,12.43753247303448,13.820121099388329,0.0,-1.4,-4.233861063615498,-210.16983320988626,0.0,0.0,209.57128466345299,3.9800519105740966,0.76665,0.01044514586430981,0.0,0.0,0.1943677754975951,50.59860424346667,-3.635312517182209,0.3121537274243871,6.584157714868213,0.0029940774504521833,35.12718401356539,1.2475269071704533
2025-01-01 09:00:00,1.0191962859978982,0.10730003692391592,0.0,1.0191962859978982,0.10730003692391592,0.0,0.016244579584521718,0.0,0.1495286308578209,0.8534230755555555,0.0,0.0,0.10730003692391592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.002909351014254386,0.0,0.013335228570267333,0.0,0.0064619149592662906,0.0,0.10712534665396219,0.08034400999047162,0.0,0.0,853.4230755555556,15.5555555555556,1.0,0.0,0.8534230755555555,0.0,1.0,853.4230755555556,853.4230755555556,0.0,0.0,26.16470609489055,51.66666666666668,46.10666666666668,0.0,51.32644264554683,0.0,0.0,0.0,26.16470609489055,51.35029452460419,51.36222046413287,51.32644264554683,12.43753247303448,14.195955607800459,-0.8369391629110897,-0.85,795.1787132796692,-206.19014735920368,0.0,0.0,158.27443617656525,12.957007391012324,0.0,0.010375608752612677,0.0,0.0,0.19307379895665638,0.0,-10.328651093247933,0.30549600071578176,6.782554420549004,0.0030007539874511487,6.48957295805441,1.2465161731690946
