occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.608,0.0424,0.074,0.357,0.714,0.333,0.0,0.0,0,0,0,0
1.0,0.608,0.0424,0.074,0.0673,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0424,0.074,0.36,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.608,0.038,0.0696,0.485,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0576,0.195,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0576,0.35,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0576,0.438,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.024,0.0554,0.212,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0183,0.0493,0.0976,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.608,0.0183,0.0493,0.273,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0183,0.0493,0.212,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0179,0.0493,0.582,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.577,0.0211,0.0764,0.0,0.0,0.0,0.267,0.0,0,0,0,0
1.0,0.621,0.0355,0.151,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.621,0.0355,0.151,0.0,0.0,0.0,0.8,0.0841,0,0,0,0
1.0,0.621,0.0355,0.151,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.647,0.0458,0.194,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.719,0.074,0.315,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.719,0.074,0.315,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.719,0.074,0.315,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.723,0.0781,0.32,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.732,0.0895,0.333,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.732,0.0895,0.333,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.732,0.0895,0.333,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.732,0.0936,0.336,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.252,0,0,0,0
1.0,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.755,0.122,0.378,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.168,0.475,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.168,0.475,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.168,0.475,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.172,0.47,0.0,0.0,0.0,0.0,0.0831,0,0,0,0
1.0,0.818,0.186,0.457,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.818,0.186,0.457,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.186,0.457,0.0,0.0,0.0,0.0,0.131,0,0,0,0
0.911,0.795,0.172,0.418,0.0,0.0,0.0,0.0,0.411,0,0,0,0
0.756,0.755,0.152,0.347,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.911,0.795,0.18,0.409,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.312,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.14,0.311,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.667,0.732,0.153,0.31,0.0,0.0,0.0,0.0,0.22,0,0,0,0
0.756,0.755,0.171,0.344,0.0,0.0,0.0,0.0,0.543,0,0,0,0
1.0,0.818,0.222,0.44,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.911,0.795,0.206,0.406,0.0,0.0,0.0,0.0,0.301,0,0,0,0
0.578,0.71,0.142,0.28,0.0,0.0,0.0,0.0,0.352,0,0,0,0
0.333,0.647,0.0888,0.182,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0888,0.182,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.333,0.65,0.0913,0.186,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.66,0.0982,0.198,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.66,0.0982,0.198,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.422,0.686,0.12,0.238,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.756,0.8,0.22,0.419,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.915,0.327,0.616,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.915,0.327,0.616,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.915,0.327,0.616,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.931,0.347,0.67,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.817,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.817,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.817,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.979,0.439,0.862,0.0101,0.286,0.0,0.267,0.0841,0,0,0,0
1.0,0.993,0.541,0.986,0.391,0.714,0.333,1.0,0.0,0,0,0,0
1.0,0.993,0.541,0.986,0.0,0.0,1.0,0.8,0.0841,0,0,0,0
1.0,0.993,0.541,0.986,0.0,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.988,0.599,0.984,0.0,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,1.0,0.0,0.0841,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.963,0.805,0.929,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.914,0.923,0.746,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.836,0.793,0.581,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.779,0.536,0.523,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
