Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.34329571080645876,0.1938583945359067,0.0,0.005721595180107646,0.0032309732422651114,0.0,0.025502143230013402,0.0,0.2677935675764454,0.0,0.05,0.0,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.03733955436503,51.666666666666686,46.10666666666668,0.0,51.28125786944662,0.0,0.0,0.0,35.03733955436503,50.42450996348062,51.28125786944662,49.996136010497615,12.43753247303448,20.34263389251356,0.0,-2.591526726302216,2.8,9.236100170605994,-2919.3751403626397,78.46785240129377,-3328.9591628778408,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14561161400378506,0.0,0.0,3.7687321314247066,197.99884266666666,-67.75315950275677,0.19856184662172913,9.53808800421955,0.002885938164621312,-87.66322627396639,1.216938943945844,0,0,78.46785240129377
2025-01-01 00:01:00,0.34329571080645876,0.1938583945359067,0.0,0.005721595180107646,0.0032309732422651114,0.0,0.025502143230013402,0.0,0.2677935675764454,0.0,0.05,0.0,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.344526520996716,51.666666666666686,46.10666666666668,0.0,51.27795557133159,0.0,0.0,0.0,35.344526520996716,50.42155964524035,51.27795557133159,49.993361682194745,12.43753247303448,20.075653350128686,0.0,-2.4655633242177517,2.8,9.236100170605994,-2847.618058882462,77.04654631233825,-3257.8133918974127,-0.0,-0.0,477.33718201795784,0.0,3.0,0.1447018459141853,0.0,0.0,3.7451854366443698,197.99884266666666,-67.14184900300701,0.20239829329562797,9.439863043232647,0.0028850939928074726,-85.74080553446134,1.2216056560564101,0,0,77.04654631233825
2025-01-01 00:02:00,0.34329571080645876,0.1938583945359067,0.0,0.005721595180107646,0.0032309732422651114,0.0,0.025502143230013402,0.0,0.2677935675764454,0.0,0.05,0.0,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.64015919862747,51.666666666666686,46.10666666666668,0.0,51.27462555472828,0.0,0.0,0.0,35.64015919862747,50.418583460329785,51.27462555472828,49.99056241313055,12.43753247303448,19.818577410052782,0.0,-2.341893720798709,2.8,9.236100170605994,-2780.1933218410372,75.74808095680743,-3189.873704850754,-0.0,-0.0,477.33718201795784,0.0,3.0,0.1438244037489671,0.0,0.0,3.722475404177874,197.99884266666666,-67.65679900824087,0.20559013964776482,9.321265326342226,0.002884271487495657,-83.88751012043352,1.222678205121961,0,0,75.74808095680743
2025-01-01 00:03:00,0.34329571080645876,0.1938583945359067,0.0,0.005721595180107646,0.0032309732422651114,0.0,0.025502143230013402,0.0,0.2677935675764454,0.0,0.05,0.0,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.92488253527436,51.666666666666686,46.10666666666668,0.0,51.27126886458659,0.0,0.0,0.0,35.92488253527436,50.41558238167751,51.27126886458659,49.98773914022297,12.43753247303448,19.57085273591465,0.0,-2.22033186089474,2.8,9.236100170605994,-2716.037927689327,74.4682965290307,-3124.933018623058,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14297757127403168,0.0,0.0,3.70055761430886,197.99884266666666,-68.4420910842266,0.20871891159022252,9.207282969426176,0.00288346746662866,-82.09857827873569,1.2237135304648359,0,0,74.4682965290307
2025-01-01 00:04:00,0.34329571080645876,0.1938583945359067,0.0,0.005721595180107646,0.0032309732422651114,0.0,0.025502143230013402,0.0,0.2677935675764454,0.0,0.05,0.0,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,36.199251563422415,51.666666666666686,46.10666666666668,0.0,51.267886487533325,0.0,0.0,0.0,36.199251563422415,50.412557327904274,51.267886487533325,49.984892748089756,12.43753247303448,19.33200321627439,-0.16799678372566618,-2.1007528138464004,2.8,9.236100170605994,-2652.239618402389,73.227933733572,-3062.810825873364,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14215987746896727,0.0,0.0,3.6793939939623876,197.99884266666666,-66.76597454698322,0.2117857653804473,9.096318586495915,0.0028826812575378476,-80.37085673452478,1.2247134323190378,0,0,73.227933733572
2025-01-01 00:05:00,0.9830227941397921,0.1938583945359067,0.5483374999999999,0.016383713235663202,0.0032309732422651114,0.009138958333333332,0.025502143230013402,0.0,0.2677935675764454,0.6397270833333333,0.05,0.5483374999999999,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,On,11600.167709044976,20.000000000000057,0.8000000000000002,1895.7098053994678,16.070188038888887,0.6397270833333333,1,12856.150431111111,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,36.463627792811,51.666666666666686,46.10666666666668,0.0,51.264479360002404,0.0,0.0,0.0,36.463627792811,50.40950917089437,51.264479360002404,49.98202407634035,12.43753247303448,19.101719019622564,-0.3982809803774927,-1.9830663406434696,2.8,9.236100170605994,6690.746174800401,4287.775102886446,-3003.374975333766,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14137040515237412,0.0,0.0,3.658960804571756,197.99884266666666,-63.350199119771354,0.21479005970722437,8.989619794016491,0.002881912222187483,-78.70216649591129,1.225679032614649,0,0,72.03175567798165
2025-01-01 00:06:00,0.9830227941397921,0.1938583945359067,0.5483374999999999,0.016383713235663202,0.0032309732422651114,0.009138958333333332,0.025502143230013402,0.0,0.2677935675764454,0.6397270833333333,0.05,0.5483374999999999,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,On,11600.167709044976,20.000000000000057,0.8000000000000002,1895.7098053994678,16.070188038888887,0.6397270833333333,1,12856.150431111111,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,36.175477512510156,51.666666666666686,46.10666666666668,0.0,51.26104838573242,0.0,0.0,0.0,36.175477512510156,50.406438752091134,51.26104838573242,49.97913393527049,12.43753247303448,19.346291143226054,-0.1537088567740028,-1.6547795820130444,2.8,9.236100170605994,6621.976800786142,4284.175965937013,-3066.5133559443607,-0.0,-0.0,477.33718201795784,0.0,3.0,0.1422088246052424,0.0,0.0,3.680660847890787,197.99884266666666,-68.98119252343545,0.21148627841537984,9.101206805515176,0.002881159747114616,-79.76503371901279,1.2246547314046252,0,0,68.43261872854853
2025-01-01 00:07:00,0.9830227941397921,0.1938583945359067,0.5483374999999999,0.016383713235663202,0.0032309732422651114,0.009138958333333332,0.025502143230013402,0.0,0.2677935675764454,0.6397270833333333,0.05,0.5483374999999999,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,On,11600.167709044976,20.000000000000057,0.8000000000000002,1895.7098053994678,16.070188038888887,0.6397270833333333,1,12856.150431111111,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.898220672827264,51.666666666666686,46.10666666666668,0.0,51.257643520614195,0.0,0.0,0.0,35.898220672827264,50.40339259697454,51.257643520614195,49.97626713515472,12.43753247303448,19.581525039043033,0.0,-1.3323091992524325,2.8,9.236100170605994,6556.303111406968,4280.891892931572,-3127.720051740492,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14301408017158532,0.0,0.0,3.7015025406887685,197.99884266666666,-73.4481861064779,0.2083594016889478,9.20866095808295,0.002880396472049068,-80.76364020300528,1.223671183936908,0,0,65.14854572310865
2025-01-01 00:08:00,0.9830227941397921,0.1938583945359067,0.5483374999999999,0.016383713235663202,0.0032309732422651114,0.009138958333333332,0.025502143230013402,0.0,0.2677935675764454,0.6397270833333333,0.05,0.5483374999999999,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,On,11600.167709044976,20.000000000000057,0.8000000000000002,1895.7098053994678,16.070188038888887,0.6397270833333333,1,12856.150431111111,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.63129867389396,51.666666666666686,46.10666666666668,0.0,51.2542637794482,0.0,0.0,0.0,35.63129867389396,50.40036978826272,51.2542637794482,49.97342279266999,12.43753247303448,19.80789988592422,0.0,-1.0153864642776687,2.8,9.236100170605994,6492.674789846445,4277.703069534086,-3187.0639147315414,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14378792960697956,0.0,0.0,3.721531377344472,197.99884266666666,-77.73264467595246,0.2053963276526164,9.311611951351003,0.0028796230200983106,-81.70135796118177,1.2227261975620238,0,0,61.95972232562238
2025-01-01 00:09:00,0.9830227941397921,0.1938583945359067,0.5483374999999999,0.016383713235663202,0.0032309732422651114,0.009138958333333332,0.025502143230013402,0.0,0.2677935675764454,0.6397270833333333,0.05,0.5483374999999999,0.0,0.0,0.17927506120257336,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.00284234283625731,0.0,On,0.011329900196878046,0,On,0.011329900196878046,0.0,On,0.028760152639680844,0,On,0.19939102078810883,0.14954326559108158,On,0,0,Off,On,11600.167709044976,20.000000000000057,0.8000000000000002,1895.7098053994678,16.070188038888887,0.6397270833333333,1,12856.150431111111,12856.150431111111,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,5374.924177777778,Off,0.0,0.0,35.37423837788979,51.666666666666686,46.10666666666668,0.0,51.25090822755033,0.0,0.0,0.0,35.37423837788979,50.39736945571069,51.25090822755033,49.970600069790876,12.43753247303448,20.025821457934207,0.0,-0.7037994857286249,2.8,9.236100170605994,6431.1082516222705,4274.634770978215,-3244.600390096036,-0.0,-0.0,477.33718201795784,0.0,3.0,0.14453187028401768,0.0,0.0,3.740786112982211,197.99884266666666,-81.76270753563149,0.2025857092668649,9.410321895595391,0.002878839983169114,-82.58110666207716,1.221817905777129,0,0,58.8914237697511
