Metric,Value
Total Electric Energy (kWh),1023.3205477453067
Total Gas Energy (therms),58.29541675675676
Average Electric Power (kW),1.4212785385351483
Peak Electric Power (kW),9.503817141737445
Other Electric Energy (kWh),579.6175853867903
HVAC Heating Electric Energy (kWh),58.97856617187499
Lighting Electric Energy (kWh),60.12094211153005
Water Heating Electric Energy (kWh),289.8534540751111
HVAC Cooling Electric Energy (kWh),34.75
HVAC Heating Gas Energy (therms),58.29541675675676
Average Temperature - Indoor (C),17.735562999543237
Unmet Heating Load (C-hours),60.53886404479494
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
