Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,34.8184473231145,51.666666666666686,46.10666666666668,0.0,50.804808771723515,0.0,0.0,0.0,34.8184473231145,49.81803336897016,50.804808771723515,49.324645667593494,12.43753247303448,19.93395616545923,0.0,10.840841581744817,0.3732035341262317,-2.5495898477633503,2.8,9.236100170605994,-2671.1436504481,-4091.6736515704974,2642.9416633429378,2078.934171700291,-3165.7968402840206,-0.0,-0.0,677.1439270458044,0.0,1.0,0.14177763836173002,0.0,0,0.6806868644371312,65.99961422222222,-182.490737209884,0.18317486223147447,9.022249661855692,0.0025946096130647967,-53.71234935819888,1.2188501385229353,0.39356366696093786,-4124.147184203883,32.4735326333851,0.8155251818495999,2579.219962677974,63.72170066496403,0.33865730273703315,2361.014112562419,-282.07994086212835
2025-01-01 00:01:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,34.928038372089595,51.666666666666686,46.10666666666668,0.0,50.80227262659672,0.0,0.0,0.0,34.928038372089595,49.81581224289003,50.80227262659672,49.32258205103669,12.43753247303448,19.837533145827813,0.0,10.670024922388773,0.5883508915979199,-2.487331506475579,2.8,9.236100170605994,-2649.970551479042,-3995.585939496835,2413.2289859912485,2041.9496870328935,-3137.629473029365,-0.0,-0.0,677.1439270458044,0.0,1.0,0.14131142965028373,0.0,0,0.6784485555639226,65.99961422222222,-189.48500549548203,0.18480467476477805,9.000689037884388,0.00259451381727953,-53.314947572772425,1.2228129270942363,0.3930051225179922,-4030.8066899354008,35.22075043856495,0.8155251818495999,2350.559517885132,62.6694681061164,0.3380403395857234,2329.2854937078864,-287.335806674993
2025-01-01 00:02:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.0350272762935,51.666666666666686,46.10666666666668,0.0,50.79972895281382,0.0,0.0,0.0,35.0350272762935,49.81358412581645,50.79972895281382,49.32051171231777,12.43753247303448,19.743339545486492,0.0,10.51064160355656,0.7905211972591863,-2.4269898749506265,2.8,9.236100170605994,-2630.0463637481816,-3906.1600515650907,2197.464436110577,2009.0907837083666,-3110.210550123799,-0.0,-0.0,677.1439270458044,0.0,1.0,0.14085527766177108,0.0,0,0.6762585298986957,65.99961422222222,-196.97974067018748,0.18588111117127548,8.95745181666615,0.002594419038408907,-52.92592313156476,1.2232062499810394,0.3924832465141217,-3943.930856249927,37.77080468483592,0.8155251818495999,2135.6911943339437,61.7732417766333,0.33744129403461953,2298.621892094251,-289.53110838588447
2025-01-01 00:03:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.139528113041315,51.666666666666686,46.10666666666668,0.0,50.797177930199965,0.0,0.0,0.0,35.139528113041315,49.81134918374452,50.797177930199965,49.318434810516806,12.43753247303448,19.651277486473205,0.0,10.361790993420483,0.9805217155105431,-2.3682593885880996,2.8,9.236100170605994,-2611.3422067974743,-3822.8388987868043,1994.6859818882833,1977.5929700531904,-3083.5050772090285,-0.0,-0.0,677.1439270458044,0.0,1.0,0.1404087541456992,0.0,0,0.6741147313733108,65.99961422222222,-204.98105663424985,0.18693991369466628,8.914592176194411,0.002594324981367355,-52.54480567700185,1.2235909178093132,0.3919952307991691,-3862.985735869103,40.146837082298504,0.8155251818495999,1933.7570245408388,60.92895734744455,0.33685722021724757,2268.8606063853777,-291.2676363321873
2025-01-01 00:04:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.24164580391918,51.666666666666686,46.10666666666668,0.0,50.7946197306981,0.0,0.0,0.0,35.24164580391918,49.80910757539217,50.7946197306981,49.316351497739205,12.43753247303448,19.56125695244958,0.0,10.222675311793832,1.1591054369692717,-2.310947433689049,2.8,9.236100170605994,-2585.6361789102775,-3745.1476572300685,1804.0968284069866,1947.9558323335582,-3057.4808499362584,-0.0,-0.0,677.1439270458044,0.0,1.0,0.13997146551479428,0.0,0,0.6720152703407802,65.99961422222222,-205.29925601982347,0.18798170865937683,8.872798023361888,0.0025942316309831605,-52.171278052728965,1.2239672904220325,0.3915385817409161,-3787.500327073922,42.352669843853676,0.8155251818495999,1743.9567236615337,60.140104745452774,0.33628627569288927,2239.8978334463213,-291.94200111276314
2025-01-01 00:05:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.34138995119819,51.666666666666686,46.10666666666668,0.0,50.79205451900153,0.0,0.0,0.0,35.34138995119819,49.80685945278418,50.79205451900153,49.314261919675516,12.43753247303448,19.473269843096148,-0.02673015690390912,10.092578444473563,1.3269783371135373,-2.254869952892967,2.8,9.236100170605994,-2554.962785083254,-3672.6576402006535,1624.9421328186809,1919.8333415188763,-3032.129698190317,-0.0,-0.0,677.1439270458044,0.0,1.0,0.13954341377011376,0.0,0,0.6699601564083558,65.99961422222222,-199.97701393874135,0.18900619005340658,8.832066912829896,0.0025941389727044298,-51.805324152553126,1.2243353861885953,0.39111105461788587,-3717.0538479466454,44.396207745991376,0.8155251818495999,1565.5399749422127,59.402157876468095,0.33572668924630505,2211.6352666396638,-291.80192512078736
2025-01-01 00:06:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.43878969907651,51.666666666666686,46.10666666666668,0.0,50.78948245913857,0.0,0.0,0.0,35.43878969907651,49.80460496733283,50.78948245913857,49.31216622142996,12.43753247303448,19.38729126216706,-0.11270873783299606,9.970851798911594,1.4848020517270089,-2.1998739764725403,2.8,9.236100170605994,-2523.507263879562,-3604.980883118444,1456.5150883862575,1893.010993792499,-3007.4387831320746,-0.0,-0.0,677.1439270458044,0.0,1.0,0.13912451821515573,0.0,0,0.6679490021450613,65.99961422222222,-193.21240779329196,0.1900132572220362,8.79166536864337,0.0025940469920367327,-51.44686538448673,1.2246952942025875,0.39071061026422377,-3651.267101615183,46.28621849673885,0.8155251818495999,1397.80358623419,58.71150215206724,0.33517698753523134,2183.9912959137055,-290.98030212120636
2025-01-01 00:07:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.533916310771254,51.666666666666686,46.10666666666668,0.0,50.78690371312259,0.0,0.0,0.0,35.533916310771254,49.80234426859119,50.78690371312259,49.3100645463255,12.43753247303448,19.3032601120475,-0.1967398879525568,9.85690379101938,1.633196708235571,-2.1458308094856506,2.8,9.236100170605994,-2492.8197021944616,-3541.76411555426,1298.1532169789461,1867.3010544883768,-2983.385127742903,-0.0,-0.0,677.1439270458044,0.0,1.0,0.1387145201118909,0.0,0,0.6659805653269469,65.99961422222222,-186.57850149736277,0.19100325171000168,8.7522884861969,0.0025939556746585896,-51.09568856397081,1.2250472557674488,0.39033538303261567,-3589.79600091521,48.03188536094989,0.8155251818495999,1240.0884808251267,58.06473615381954,0.33463592979259277,2156.8973496093477,-289.5962951209709
2025-01-01 00:08:00,0.6705596125919835,0.14370675096854935,0.0,0.011175993543199725,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,0.0,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.626853502110706,51.666666666666686,46.10666666666668,0.0,50.784318438042526,0.0,0.0,0.0,35.626853502110706,49.80007750156638,50.784318438042526,49.307957033328314,12.43753247303448,19.22110458802762,-0.27889541197243517,9.750191941787216,1.7727435540097423,-2.092632810803934,2.8,9.236100170605994,-2463.152559262766,-3482.684252296057,1149.2356083452853,1842.5431125573007,-2959.943038432594,-0.0,-0.0,677.1439270458044,0.0,1.0,0.13831310610763303,0.0,0,0.6640533415203104,65.99961422222222,-180.3534478759762,0.19197666458461526,8.713898338658234,0.0025938650066705937,-50.7515397980914,1.2253915579579264,0.38998365687871517,-3532.326649329381,49.64239703332383,0.8155251818495999,1091.7769040568223,57.45870428846301,0.33410247776353835,2130.296097661263,-287.7529851039624
2025-01-01 00:09:00,34.587888328425315,0.14370675096854935,0.0,0.5764648054737552,0.002395112516142489,0.0,0.41004218962396516,0.0,0.21051742296801823,33.917328715833335,0.05,0.0,0.0,0.129123417635216,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.03464309210526316,0.0,On,0.0109463827926843,0.0,On,0.3644527147260177,0,On,0.038352866121063506,0,On,0.1345042824057318,0.10087821180429883,On,0,0,Off,On,26754.185577446227,20.000000000000057,1.0,7163.143138387107,32.697064653333335,1.2202640624999999,1,32697.064653333335,32697.064653333335,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,20418.850453333333,Off,0.0,0.0,35.71768339481931,51.666666666666686,46.10666666666668,0.0,50.78172678520268,0.0,0.0,0.0,35.71768339481931,49.797804805925125,50.78172678520268,49.30584381628635,12.43753247303448,19.14075425029228,-0.3592457497077781,9.650216801526243,1.9039874194552537,-2.0401904485607263,2.8,9.236100170605994,24319.74930564204,3735.6983302515014,1009.1802814709748,1818.6006762048082,-2937.0875696959733,-0.0,-0.0,677.1439270458044,0.0,1.0,0.13791996703905102,0.0,0,0.6621658464049096,65.99961422222222,-174.4926291540167,0.19293399434024486,8.67645766726993,0.0025937749746694394,-50.414169125315354,1.225728483088256,0.38965384710563017,-3478.5715203903574,51.12671225475154,0.8155251818495999,952.289805531563,56.89047593941166,0.33357576800661604,2104.139827427326,-285.5391512225178
