Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.1614102371373921,0.06150723502234039,0.06741693693693693,0.1614102371373921,0.06150723502234038,0.06741693693693693,0.009348246978880323,0.08385501099184513,0.06820697916666667,0.0,0.06741693693693693,0.0,0.06150723502234039,0.0,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0028521290204678363,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,1895.81796612963,16.111111111111143,0.43166666666666675,0.0,1.9757956615815813,0.06820697916666667,0.4666666666666667,1827.610986962963,3916.309257777778,0.0,0.0,92.97026330751163,51.66666666666668,46.10666666666668,0.0,50.46719253990595,0.0,0.0,0.0,145.26603641798692,50.500313435058395,50.51687388263462,50.46719253990595,12.43753247303448,15.849714588262875,-0.048284355550870295,2.8,753.6082976324385,-1277.626659380842,0.0,0.0,155.7940028312841,0.0,1.0,0.07511019558487311,0.0,0.0,1.9159248571581509,65.99961422222222,-20.377011947633264,0.24980825029575937,7.263753062207387,0.0027281302012160855,-36.72104509671844,1.2395274257073767
2025-01-01 01:00:00,0.1554916125535636,0.06088264415437032,0.06260144144144143,0.1554916125535636,0.06088264415437032,0.06260144144144143,0.009134337302345235,0.08302222316788505,0.06333505208333333,0.0,0.06260144144144143,0.0,0.06088264415437032,0.0,1.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0026382193439327484,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,1760.4023971203706,16.111111111111143,0.4008333333333335,0.0,1.8346674000400398,0.06333505208333333,0.43333333333333335,1697.067345037037,3916.309257777778,0.0,0.0,90.12911445847503,51.66666666666668,46.10666666666668,0.0,49.325905325841426,0.0,0.0,0.0,140.82674134136724,49.35911464328163,49.375719302001734,49.325905325841426,12.43753247303448,15.767396467487675,-0.06480173872748228,2.5,740.5172611165284,-1153.3653479474783,0.0,0.0,154.74730533078895,0.0,1.0,0.06681658984545778,0.0,0.0,1.704370017393954,65.99961422222222,-21.267093387152467,0.24952415376716705,7.202655642255806,0.002710527628770576,-20.323285940321984,1.2399539926861707
2025-01-01 02:00:00,0.14004304347960356,0.060258053286400284,0.04815495495495495,0.14004304347960356,0.060258053286400284,0.04815495495495495,0.009134337302345235,0.08218943534392498,0.04871927083333334,0.0,0.04815495495495495,0.0,0.060258053286400284,0.0,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0026382193439327484,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,1354.1556900925927,16.111111111111143,0.30833333333333346,0.0,1.4112826154154152,0.04871927083333334,0.3333333333333333,1305.4364192592593,3916.309257777778,0.0,0.0,87.00213077188211,51.66666666666668,46.10666666666668,0.0,48.222637771973176,0.0,0.0,0.0,135.9408293310658,48.2557206715538,48.27226212134412,48.222637771973176,12.43753247303448,15.829419016645362,-0.05089841015388871,1.6500000000000001,384.92095380619867,-1101.3509245333926,0.0,0.0,153.91451750682887,0.0,1.0,0.059329616560824035,0.0,0.0,1.5133909085098636,65.99961422222222,-21.79832925983021,0.2480972485165389,7.227117996468285,0.002705705153008986,1.5211079981601132,1.2396915359858112
2025-01-01 03:00:00,0.15611939399628674,0.059633462418430226,0.06500918918918917,0.15611939399628677,0.05963346241843022,0.06500918918918919,0.008991730851321844,0.08135664751996491,0.06577101562500001,0.0,0.06500918918918917,0.0,0.059633462418430226,0.0,1.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.002495612892909357,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,1828.1101816250002,16.111111111111143,0.4162500000000001,0.0,1.9052315308108103,0.06577101562500001,0.45,1762.3391660000002,3916.309257777778,0.0,0.0,84.17393942986733,51.66666666666668,46.10666666666668,0.0,47.156740416156964,0.0,0.0,0.0,131.5217803591677,47.18786065372692,47.2034207725119,47.156740416156964,12.43753247303448,15.81567249064737,-0.05050300893808946,1.6500000000000001,784.8327812810873,-1174.2889552436689,0.0,0.0,152.9391232318454,0.0,1.0,0.06346476265934768,0.0,0.0,1.6188709853016965,65.99961422222222,-21.927568332089137,0.24827014760270635,7.219927504206538,0.002705268757074462,-25.865901824323323,1.2397506703167076
2025-01-01 04:00:00,0.2356734030473267,0.059008871550460175,0.18317926912994195,0.2356734030473267,0.059008871550460175,0.18317926912994195,0.008991730851321844,0.08052385969600483,0.1461578125,0.03871440426507711,0.14446486486486484,0.0,0.059008871550460175,0.0,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.002495612892909357,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,4062.467070277778,19.444444444444457,0.9250000000000003,0.0,4.233847846246245,0.1461578125,1.0,3916.309257777778,3916.309257777778,879.2133333333333,0.0,83.50082090762953,51.66666666666668,46.10666666666668,0.0,48.71581999646383,0.0,0.0,879.2133333333333,130.47003266817114,48.73350409217186,48.74234614002588,48.71581999646383,12.43753247303448,17.66927608819213,-1.2196128006967712,0.55,2615.2117590233265,-1559.3390117874758,0.0,0.0,152.10633540788538,0.0,1.0,0.06930454204003168,0.0,0.0,1.76783316531798,65.99961422222222,-40.02263487486107,0.21934145410534925,8.083043651720521,0.002685170778168623,5.548994345836887,1.2312984080798401
2025-01-01 05:00:00,0.24225866422941375,0.06744114404046746,0.1276106306306306,0.24225866422941375,0.06744114404046746,0.1276106306306306,0.01860605433056141,0.09454654219051899,0.12910606770833336,0.0,0.1276106306306306,0.0,0.06744114404046746,0.0,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0027808257949561406,0.0,0.01582522853560527,0.0,0.004625016803229007,0.0,0.05994116372472755,0.04495587279354565,0.0,0.0,3588.512578745371,19.444444444444457,0.8170833333333335,0.0,3.73989893085085,0.12910606770833336,0.8833333333333333,3459.406511037037,3916.309257777778,0.0,0.0,85.25263033957147,51.66666666666668,46.10666666666668,0.0,51.858839499608045,0.17208894101977293,469.143776688893,0.0,133.20723490558044,50.94234709538511,51.85941319568493,50.48352719719676,12.43753247303448,19.166403035108903,-0.0342003728410529,-0.25000000000000006,1902.9791006800187,-1827.3522873783318,0.0,0.0,174.95632928257172,0.0,1.0,0.07151912014858909,0.0,0.0,1.8243230361439577,65.99961422222222,-33.13751996959183,0.20087192623523054,8.81159273600581,0.0027075481489054185,11.723394525490619,1.2243479474894565
2025-01-01 06:00:00,0.25558823546427756,0.07101366867827856,0.16495656236750433,0.25558823546427756,0.07101366867827856,0.16495656236750433,0.04121803340286369,0.1023158791447472,0.11205432291666667,0.05420016597110795,0.11075639639639638,0.0,0.07101366867827856,0.0,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0031373419225146203,0.0,0.038080691480349066,0.0,0.007630987573709089,0.0,0.06303895426055553,0.04727921569541663,0.0,0.0,3114.558087212963,19.444444444444457,0.7091666666666668,0.0,3.245950015455455,0.11205432291666667,0.7666666666666667,3002.5037642962966,3916.309257777778,1230.8986666666667,0.0,84.5723351694417,51.66666666666668,46.10666666666668,0.0,52.03381802999847,0.24377028998726386,671.4827618393746,1230.8986666666667,132.14427370225266,50.65120890441808,52.03381802999847,49.959904341627876,12.43753247303448,19.20915665041339,-0.0418599736858462,0.3,1508.785309914844,-1789.1636737004994,0.0,0.0,205.12079997159424,0.0,1.0,0.07200463410688017,0.0,0.0,1.8367076166119454,65.99961422222222,-21.729903569213995,0.19923683435986225,8.814007885633892,0.002692425859450681,-31.347152780418675,1.2241804307345885
2025-01-01 07:00:00,0.23848185193736607,0.06901341978223127,0.10353315315315315,0.23848185193736604,0.06901341978223127,0.10353315315315315,0.035183312147974204,0.0985521074977252,0.10474643229166668,0.0,0.10353315315315315,0.0,0.06901341978223127,0.0,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.002923432245979533,0.0,0.03225987990199467,0.0,0.00653421445475014,0.0,0.05870638008457234,0.04402978506342924,0.0,0.0,2911.4347336990745,19.444444444444457,0.6629166666666669,0.0,3.0342576231431426,0.10474643229166668,0.7166666666666667,2806.6883014074074,3916.309257777778,0.0,0.0,82.41793620189169,51.66666666666668,46.10666666666668,0.0,50.88744978051325,0.06160063553803529,165.85162717252598,0.0,128.77802531545575,49.904180701030675,50.88744978051325,49.41254616128939,12.43753247303448,19.206379344160936,-0.03718540875889822,-0.55,1139.1529640628407,-1923.6949631821624,0.0,0.0,167.0312544002238,2.119114663020258,0.5667500000000001,0.07382247640426978,0.0,0.0,1.8830774764803924,37.40528136044444,-15.618060854294944,0.19845016633476578,8.800009827608989,0.002681320267845623,-9.998688863266352,1.2242001612311433
2025-01-01 08:00:00,0.21275653030674693,0.062131825890310424,0.11797963963963962,0.21275653030674693,0.06213182589031043,0.11797963963963962,0.008706517949275062,0.08468779881580518,0.11936221354166668,0.0,0.11797963963963962,0.0,0.062131825890310424,0.0,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0022103999908625735,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,3317.681440726852,19.444444444444457,0.7554166666666668,0.0,3.457642407767767,0.11936221354166668,0.8166666666666667,3198.3192271851854,3916.309257777778,0.0,0.0,78.60551329038518,51.66666666666668,46.10666666666668,0.0,49.70386711040502,0.0,0.0,0.0,122.82111451622681,48.398066252222726,49.70386711040502,47.74516582313158,12.43753247303448,19.141634109857023,-0.05771929073240312,-1.4,1344.3162876578087,-2075.489448332676,0.0,0.0,89.98544740341667,140.7832459343287,0.0,0.07641962484250951,0.0,0.0,1.949326022524055,0.0,12.138847860215966,0.19944127959973798,8.775036417127911,0.0026825723109964493,30.937743649999696,1.2250457193410615
2025-01-01 09:00:00,0.19040503907867676,0.062131825890310424,0.0963099099099099,0.19040503907867673,0.06213182589031043,0.0963099099099099,0.008278698596204885,0.08468779881580518,0.09743854166666668,0.0,0.0963099099099099,0.0,0.062131825890310424,0.0,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0017825806377923979,0.0,0.006496117958412487,0.0,0.0018453642953912474,0.0,0.048698133738051146,0.03652360030353836,0.0,0.0,2708.3113801851855,19.444444444444457,0.6166666666666669,0.0,2.8225652308308304,0.09743854166666668,0.6666666666666666,2610.8728385185186,3916.309257777778,0.0,0.0,75.87228436606262,51.66666666666668,46.10666666666668,0.0,48.63601909198237,0.0,0.0,0.0,118.55044432197283,47.435714516601244,48.63601909198237,46.83556222891068,12.43753247303448,19.19475422306576,-0.04530015563495263,-0.85,855.711848234067,-1995.1426063282402,0.0,0.0,89.5576280503465,362.01240495544687,0.0,0.075356462448522,0.0,0.0,1.9222066781797211,0.0,52.98544632677495,0.20163594710407826,8.846615130006022,0.002719913175820367,100.02910605869734,1.2254101871550775
