Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,6.1326700962106155,0.23080917629687434,0.0,0.10221116827017693,0.0038468196049479056,0.0,0.3313835039156423,0.0,0.6362013300727511,5.165085262222222,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,On,5165.085262222222,21.111111111111143,1.0,0.0,5.165085262222222,0.0,1,5165.085262222222,5165.085262222222,Off,0.0,0.0,18.794781290379206,51.666666666666686,46.10666666666668,0.0,49.19880928214044,0.429023646914357,1099.5334134357604,0.0,18.794781290379206,47.65835123843297,49.19880928214044,46.88812221657924,12.43753247303448,20.940219609241694,0.0,2.8,5484.763622810903,-663.8550764243106,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.02808103354240152,0.0,0,0.5225439734604023,65.99961422222222,-31.08608057038154,0.1756167080854403,9.54166605256107,0.002647207537445322,30.878363644560125,1.2146411317185588
2025-01-01 00:01:00,6.1326700962106155,0.23080917629687434,0.0,0.10221116827017693,0.0038468196049479056,0.0,0.3313835039156423,0.0,0.6362013300727511,5.165085262222222,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,On,5165.085262222222,21.111111111111143,1.0,0.0,5.165085262222222,0.0,1,5165.085262222222,5165.085262222222,Off,0.0,0.0,18.61040805387961,51.666666666666686,46.10666666666668,0.0,49.17261675305662,0.42932954560956044,1099.5334134357602,0.0,18.61040805387961,47.501403245546,49.17261675305662,46.665796491790694,12.43753247303448,21.048941843614298,0.0,2.8,5468.650448313,-669.6540738308039,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028157570238312692,0.0,0,0.5239682012808121,65.99961422222222,-41.400257661791095,0.1749706100885231,9.61462576354171,0.0026474217273418504,30.788217141463402,1.217738912263298
2025-01-01 00:02:00,6.1326700962106155,0.23080917629687434,0.0,0.10221116827017693,0.0038468196049479056,0.0,0.3313835039156423,0.0,0.6362013300727511,5.165085262222222,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,On,5165.085262222222,21.111111111111143,1.0,0.0,5.165085262222222,0.0,1,5165.085262222222,5165.085262222222,Off,0.0,0.0,18.428427538454116,51.666666666666686,46.10666666666668,0.0,49.146431072076965,0.4296358006851831,1099.5334134357602,0.0,18.428427538454116,47.34448112789811,49.146431072076965,46.44350615580869,12.43753247303448,21.15429175002034,0.0,2.8,5452.864246110893,-675.2922663629962,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028231665093051552,0.0,0,0.5253469902683954,65.99961422222222,-51.54826733170582,0.17385602737760683,9.663142296999222,0.0026476347486484595,30.70033896813648,1.2173028508296015
2025-01-01 00:03:00,6.1326700962106155,0.23080917629687434,0.0,0.10221116827017693,0.0038468196049479056,0.0,0.3313835039156423,0.0,0.6362013300727511,5.165085262222222,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,On,5165.085262222222,21.111111111111143,1.0,0.0,5.165085262222222,0.0,1,5165.085262222222,5165.085262222222,Off,0.0,0.0,18.248735172380293,51.666666666666686,46.10666666666668,0.0,49.12025188655808,0.4299424168660856,1099.5334134357604,0.0,18.248735172380293,47.18758454969095,49.12025188655808,46.22125088125739,12.43753247303448,21.256417483092246,0.0,2.8,5437.347494707628,-680.7757935679575,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.02830342859135758,0.0,0,0.5266823963707964,65.99961422222222,-61.58149153000957,0.17278358684935427,9.709058347100324,0.002647847238023294,30.61457494784002,1.2168804283057646
2025-01-01 00:04:00,3.4674814117661716,0.23080917629687434,0.0,0.057791356862769525,0.0038468196049479056,0.0,0.3313835039156423,2.499896577777778,0.6362013300727511,0.0,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,5165.085262222222,Lower On,2499.896577777778,1.0,18.191121695158245,51.666666666666686,46.10666666666668,0.0,49.09407885940193,0.43024939871957524,1099.5334134357604,2499.896577777778,18.191121695158245,47.03071318980192,49.09407885940193,45.99903035500192,12.43753247303448,21.355458268210167,0.0,2.8,260.4334048168581,-686.1104747399168,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028372964395817126,0.0,0,0.5279763485860947,65.99961422222222,-68.07563802659843,0.17175104867668756,9.753992951968018,0.0026480592073474672,30.530832689072138,1.2164710415422262
2025-01-01 00:05:00,3.4674814117661716,0.23080917629687434,0.0,0.057791356862769525,0.0038468196049479056,0.0,0.3313835039156423,2.499896577777778,0.6362013300727511,0.0,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,5165.085262222222,Lower On,2499.896577777778,1.0,18.386672574142494,51.666666666666686,46.10666666666668,0.0,49.06792142664882,0.43055663596262833,1099.5334134357604,2499.896577777778,18.386672574142494,47.22468945628694,49.06792142664882,46.303073471106,12.43753247303448,21.26525229428769,0.0,2.8,267.9040920302449,-681.2509956931898,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028309633843252413,0.0,0,0.5267978663721605,65.99961422222222,-65.46442985993853,0.1727174671342226,9.713942954944674,0.0026482706679968942,30.57070064272412,1.2168436011187058
2025-01-01 00:06:00,3.4674814117661716,0.23080917629687434,0.0,0.057791356862769525,0.0038468196049479056,0.0,0.3313835039156423,2.499896577777778,0.6362013300727511,0.0,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,5165.085262222222,Lower On,2499.896577777778,1.0,18.580206324445726,51.666666666666686,46.10666666666668,0.0,49.04176953529323,0.4308642470828103,1099.5334134357604,2499.896577777778,18.580206324445726,47.4186382788444,49.04176953529323,46.60707265061999,12.43753247303448,21.177884154289096,0.0,2.8,275.365166019851,-676.5574708890404,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028248248988706322,0.0,0,0.5256555905454403,65.99961422222222,-62.69688067448189,0.17365974925600286,9.674605571060004,0.0026484823399499234,30.60882260984089,1.2172046528192235
2025-01-01 00:07:00,3.4674814117661716,0.23080917629687434,0.0,0.057791356862769525,0.0038468196049479056,0.0,0.3313835039156423,2.499896577777778,0.6362013300727511,0.0,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,5165.085262222222,Lower On,2499.896577777778,1.0,18.77181019935938,51.666666666666686,46.10666666666668,0.0,49.01562347995921,0.431172229269293,1099.5334134357602,2499.896577777778,18.77181019935938,47.61255994056141,49.01562347995921,46.911028170862515,12.43753247303448,21.093230232783505,0.0,2.8,282.4830745566593,-672.0220470841474,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028188727349011768,0.0,0,0.5245479862236155,65.99961422222222,-60.114395942566574,0.17457870575409162,9.636690595406861,0.0026486942129947733,30.64527257904673,1.2175546874643008
2025-01-01 00:08:00,3.4674814117661716,0.23080917629687434,0.0,0.057791356862769525,0.0038468196049479056,0.0,0.3313835039156423,2.499896577777778,0.6362013300727511,0.0,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,5165.085262222222,Lower On,2499.896577777778,1.0,18.961574505742874,51.666666666666686,46.10666666666668,0.0,48.9894835423004,0.4314805798460365,1099.5334134357602,2499.896577777778,18.961574505742874,47.806454712279816,48.9894835423004,47.21494029726953,12.43753247303448,21.011162566121904,0.0,2.8,289.4601064904231,-667.6367453498724,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.028130982995006486,0.0,0,0.5234734543998042,65.99961422222222,-57.52266574307778,0.1754752355902446,9.599367053381503,0.002648906277360961,30.680127920749936,1.2178942156587784
2025-01-01 00:09:00,3.4674814117661716,0.23080917629687434,0.0,0.057791356862769525,0.0038468196049479056,0.0,0.3313835039156423,2.499896577777778,0.6362013300727511,0.0,0.0,0.0,0.23080917629687434,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.01861984649122807,0.0,On,0.31276365742441425,0,On,0.3284557616769186,0,On,0.2709275803891769,0.20319568529188262,On,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,5165.085262222222,Lower On,2499.896577777778,1.0,19.149579343224104,51.666666666666686,46.10666666666668,0.0,48.963349990546256,0.43178929627815765,1099.5334134357604,2499.896577777778,19.149579343224104,48.00032285216765,48.963349990546256,47.518809282978346,12.43753247303448,20.931567671949185,0.0,2.8,296.10341793357463,-663.3944611791676,-0.0,-0.0,1014.6195175833733,0.0,1.0,0.02807493982258786,0.0,0,0.5224305788960684,65.99961422222222,-55.12163847063105,0.17635012159899582,9.563344246424446,0.002649118523737886,30.71345701154594,1.218223689752723
