Metric,Value
Total Electric Energy (kWh),1695.8159353626272
Total Gas Energy (therms),0.0
Average Electric Power (kW),2.355299910225871
Peak Electric Power (kW),64.58551235523375
Other Electric Energy (kWh),407.7074006779736
HVAC Heating Electric Energy (kWh),1000.3048457837036
Lighting Electric Energy (kWh),129.35191081280206
Water Heating Electric Energy (kWh),158.45177808814816
Average Temperature - Indoor (C),20.955910928780284
Unmet Heating Load (C-hours),36.33064775157936
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.6494211943142698
