Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,13.205936975402329,0.19327167426208927,0.0,13.205936975402329,0.19327167426208927,0.0,0.028360664874578466,0.0,0.2676717531203457,12.909904557407407,0.0,0.0,0.19327167426208927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.005086641081871345,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,12909.904557407406,20.000000000000057,0.5833333333333334,0.0,12.909904557407407,0.0,0.5833333333333334,12909.904557407406,22131.264955555554,0.0,0.0,22.660362268229687,51.66666666666668,46.10666666666668,0.0,51.82520372599159,0.0,0.0,0.0,22.660362268229687,51.829447778640045,51.831569804964275,51.82520372599159,12.43753247303448,19.652640084824853,-0.07111209933488324,2.6078507178816874,2.8,9.236100170605994,7599.977118496245,300.0279233686302,-5487.6932674914315,0.0,0.0,412.7679244319795,0.0,2.0,0.24981912306982365,0.0,0.0,1.4824591420236797,131.99922844444444,-235.00209585171015,0.18951167239925518,8.95529806968606,0.0026299374519448563,-110.90745174461995,1.2235008855296106,1.0873669091327998,262.60371140075284,37.42421196787734
2025-01-01 01:00:00,10.622583505985993,0.19252837937180198,0.0,10.622583505985993,0.19252837937180195,0.0,0.027979166793438114,0.0,0.2666806932666293,10.327923645925924,0.0,0.0,0.19252837937180198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.0047051430007309936,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,10327.923645925925,20.000000000000057,0.4666666666666667,0.0,10.327923645925924,0.0,0.4666666666666667,10327.923645925925,22131.264955555554,0.0,0.0,22.562658573745487,51.66666666666668,46.10666666666668,0.0,51.731527483538954,0.0,0.0,0.0,22.562658573745487,51.74289786848369,51.74858306095605,51.731527483538954,12.43753247303448,19.704529411063213,-0.055794874235744155,3.2928968670430327,2.5,9.236100170605994,5105.935398144488,-1091.014760841944,-5396.302672729885,0.0,0.0,411.3953664971228,0.0,2.0,0.24057101306412135,0.0,0.0,1.4275796553938185,131.99922844444444,-237.08094154867482,0.18796106827078743,8.964466809215441,0.0026166409562638476,-81.21371394849436,1.223353418589762,1.0873669091327998,-1125.0445627134222,34.02980187147819
2025-01-01 02:00:00,7.670757118724869,0.19178508448151468,0.0,7.67075711872487,0.19178508448151468,0.0,0.027979166793438114,0.0,0.2656896334129129,7.377088318518518,0.0,0.0,0.19178508448151468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0047051430007309936,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,7377.0883185185185,18.33333333333337,0.3333333333333333,0.0,7.377088318518518,0.0,0.3333333333333333,7377.0883185185185,22131.264955555554,0.0,0.0,23.624614213728982,51.66666666666668,46.10666666666668,0.0,51.63609879778756,0.0,0.0,0.0,23.624614213728982,51.65468918686954,51.663984381410536,51.63609879778756,12.43753247303448,18.108095232399783,-0.05842417243882263,2.7610015253728273,1.6500000000000001,9.236100170605994,2861.6704014392535,-1547.391321969641,-4764.983998138511,0.0,0.0,410.40430664340636,0.0,2.0,0.22112176049086338,0.0,0.0,1.3121652630588685,131.99922844444444,-160.8382255841595,0.20716829536086226,8.209082298270838,0.002609877094945719,-14.218711322101907,1.230064803647828,1.0873669091327998,-1581.4886001086609,34.09727813901989
2025-01-01 03:00:00,8.40722055866891,0.19104178959122736,0.0,8.40722055866891,0.19104178959122736,0.0,0.027724834739344548,0.0,0.26469857355919646,8.11479715037037,0.0,0.0,0.19104178959122736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.004450810946637427,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,8114.79715037037,18.33333333333337,0.36666666666666664,0.0,8.11479715037037,0.0,0.36666666666666664,8114.79715037037,22131.264955555554,0.0,0.0,23.595462406870766,51.66666666666668,46.10666666666668,0.0,51.53823849416823,0.0,0.0,0.0,23.595462406870766,51.564193525866166,51.57717104171515,51.53823849416823,12.43753247303448,18.058688526004605,-0.0444235027359787,2.4727244971513382,1.6500000000000001,9.236100170605994,3459.7334347739284,-1160.6578393744953,-4863.583332808083,0.0,0.0,409.1589147355964,0.0,2.0,0.22650384440357405,0.0,0.0,1.3441032484360185,131.99922844444444,-200.63929752395617,0.2076016147875311,8.183366222067415,0.0026076200039065263,-95.75897828640629,1.2302741100216599,1.0873669091327998,-1194.5804176236566,33.92257824916141
2025-01-01 04:00:00,11.39878970948222,0.2164881549830642,0.0,11.398789709482218,0.2164881549830642,0.0,0.029447962261522662,0.0,0.30370926944291826,11.065632477777777,0.0,0.0,0.2164881549830642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.004450810946637427,0.0,0.0005972121662370686,0.0,0.02439993914864817,0.0,0.015058396132165934,0.0,0.25297271857696224,0.18972953893272163,0.0,0.0,11065.632477777777,18.33333333333337,0.5,0.0,11.065632477777777,0.0,0.5,11065.632477777777,22131.264955555554,0.0,0.0,22.73673216499909,51.66666666666668,46.10666666666668,0.0,51.258253163797505,0.3452277945279347,932.0772294379916,0.0,22.73673216499909,50.26359583104545,51.2591789926083,49.76534133585864,12.43753247303448,17.991062464242052,-0.06805869935552451,2.1651848642286975,0.55,9.236100170605994,5937.434220357486,-2277.5693669542025,-5365.4105379672355,0.0,0.0,447.4483698484981,0.0,2.0,0.2336200737771885,0.0,0.0,1.3863318783423992,131.99922844444444,-210.23608930155385,0.20713264617082258,8.129025338528795,0.002591812718540372,25.616959956389547,1.2299941634919391,1.0873669091327998,-2311.869921913189,34.30055495898656
2025-01-01 05:00:00,10.994489340723042,0.2276915096593062,0.0,10.994489340723042,0.22769150965930618,0.0,0.06798345429065418,1.3750163855555557,0.3301291027286842,9.221360398148146,0.0,0.0,0.2276915096593062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.004959475054824562,0.0,0.0015057190593512492,0.0,0.061518260176478386,0.0,0.026540423182942457,0.0,0.26791052481195154,0.2009328936089636,0.0,0.0,9221.360398148148,18.33333333333337,0.4166666666666667,0.0,9.221360398148146,0.0,0.4166666666666667,9221.360398148148,22131.264955555554,1375.0163855555556,0.25,22.093845450677854,51.66666666666668,46.10666666666668,0.0,51.0909924908066,0.3033106525177424,820.903895774109,1375.0163855555556,22.093845450677854,49.3508683160854,51.0909924908066,48.4808062287248,12.43753247303448,18.067559334641988,-0.04697284585659277,0.8757615986710017,-0.25000000000000006,9.236100170605994,3794.1542016255817,-1595.6024710315332,-5707.493089797363,0.0,0.0,501.45810659361285,0.0,1.85,0.23653477628070055,0.0,0.0,1.4036281017840413,122.09928631111111,-221.17121331881734,0.20749647319630707,8.182970266822553,0.0026102326033490093,43.312715152618026,1.2290404239166446,1.0873669091327998,-1633.4381960492383,37.83572501770501
2025-01-01 06:00:00,11.76613596916204,0.20015122596052654,0.0,11.76613596916204,0.20015122596052654,0.0,0.04925180316633822,0.0,0.28239727229199824,11.434486893703703,0.0,0.0,0.20015122596052654,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0055953051900584794,0.0,0.0010430065169551067,0.0,0.04261349145932463,0.0,0.015528971011296118,0.0,0.2292080268394792,0.17190602012960934,0.0,0.0,11434.486893703703,18.33333333333337,0.5166666666666667,0.0,11.434486893703703,0.0,0.5166666666666667,11434.486893703703,22131.264955555554,0.0,0.0,22.12892835587321,51.66666666666668,46.10666666666668,0.0,51.246060003823345,0.08047066569356705,217.8997339812099,0.0,22.12892835587321,49.34380140160518,51.246060003823345,48.392672100496085,12.43753247303448,17.993911782474687,-0.07135248727879186,1.5257560002882848,0.3,9.236100170605994,6107.600854973772,-1715.282056905413,-5438.68809393938,0.0,0.0,338.7043785573507,0.0,0.35,0.23386875842280702,0.0,0.0,1.387807605347794,23.099864977777777,-226.90232334790127,0.20719360815188415,8.12933187412307,0.0025942921548183532,-175.92493424681214,1.2293632043795684,1.0873669091327998,-1751.4634612737575,36.18140436834457
2025-01-01 07:00:00,10.992937645873821,0.19327167426208927,0.0,10.992937645873823,0.19327167426208927,0.0,0.02848783090162525,0.0,0.2676717531203457,10.696778061851852,0.0,0.0,0.19327167426208927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.005213807108918129,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,10696.778061851852,18.33333333333337,0.48333333333333334,0.0,10.696778061851852,0.0,0.48333333333333334,10696.778061851852,22131.264955555554,0.0,0.0,21.794198522555227,51.66666666666668,46.10666666666668,0.0,51.094392584162705,0.0,0.0,0.0,21.794198522555227,48.940281648019095,51.094392584162705,47.863226179947304,12.43753247303448,18.082835409747556,-0.04884861743147185,0.9146793981202409,-0.55,9.236100170605994,4811.3827040072365,-2061.407748848252,-5932.616346975759,0.0,0.0,280.89586201458184,2.808505886288546,0.0,0.24138190639916013,0.0,0.0,1.4323916018251504,0.0,-233.6748728834376,0.20467374023600396,8.151304730732676,0.0025770608672127117,-46.54208360751155,1.2290006276504566,1.0873669091327998,-2099.1694617240605,37.76171287580844
2025-01-01 08:00:00,12.099220293234849,0.19401496915237657,0.0,12.099220293234849,0.19401496915237657,0.0,0.027216170631157412,0.0,0.2686628129740621,11.803341309629628,0.0,0.0,0.19401496915237657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.003942146838450292,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,11803.34130962963,18.33333333333337,0.5333333333333333,0.0,11.803341309629628,0.0,0.5333333333333333,11803.34130962963,22131.264955555554,0.0,0.0,21.820176144118314,51.66666666666668,46.10666666666668,0.0,50.99086648203889,0.0,0.0,0.0,21.820176144118314,48.85682923149673,50.99086648203889,47.78981060622566,12.43753247303448,17.96166408296496,-0.07703727430579607,0.14258180101699944,-1.4,9.236100170605994,5528.008419013452,-2177.4028838893482,-6363.29990406893,0.0,0.0,280.6152615978304,164.6461374521236,0.0,0.24855765669820212,0.0,0.0,1.4749734366381755,0.0,-192.648248145078,0.20696371878635741,8.10671577198178,0.0025849399679726574,180.30891886653004,1.2300837839365208,1.0873669091327998,-2217.3131407640185,39.91025687467037
2025-01-01 09:00:00,11.72960288114664,0.19401496915237657,0.0,11.72960288114664,0.19401496915237657,0.0,0.026453174468876708,0.0,0.2686628129740621,11.434486893703703,0.0,0.0,0.19401496915237657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0031791506761695907,0.0,0.0005560445664870156,0.0,0.022717979226220104,0.0,0.00997618743755993,0.0,0.21805317153413004,0.16353987865059746,0.0,0.0,11434.486893703703,18.33333333333337,0.5166666666666667,0.0,11.434486893703703,0.0,0.5166666666666667,11434.486893703703,22131.264955555554,0.0,0.0,21.679259336025794,51.66666666666668,46.10666666666668,0.0,50.8877064562637,0.0,0.0,0.0,21.679259336025794,48.77360151789127,50.8877064562637,47.716549048705055,12.43753247303448,18.077705434724674,-0.05130855944796663,0.2273994797306899,-0.85,9.236100170605994,5457.427177674117,-1516.5520617768295,-6129.940482715907,0.0,0.0,279.8522654355498,492.6312612498463,0.0,0.24509039426208803,0.0,0.0,1.454398250747478,0.0,-126.97149874922943,0.20860969807888732,8.210830457494554,0.00262340301195432,402.10461444837244,1.2301822394330189,1.0873669091327998,-1555.2736950793844,38.72163330255503
