Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.29603241799492414,0.19327167426208927,0.0,0.004933873633248736,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,0.0,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,22131.264955555554,Off,0.0,0.0,22.98142165490697,51.666666666666686,46.10666666666668,0.0,51.87140214903526,0.0,0.0,0.0,22.98142165490697,51.8721184781438,51.872476642698075,51.87140214903526,12.43753247303448,19.23956799615369,-0.26043200384636833,-1.0162688261894588,2.8,9.236100170605994,-5054.629261848996,5456.135389896456,-5285.7777458408455,-0.0,-0.0,412.7679244319795,0.0,2.0,0.24671800544273595,0.0,0,1.4640567070128019,131.99922844444444,-181.61944044013066,0.1943817002997348,8.749423452816458,0.002637247695292083,-113.9366377984293,1.2217133033816767,1.0873669091327998,5407.950702565146,48.18468733131088
2025-01-01 00:01:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,23.06567830244585,51.666666666666686,46.10666666666668,0.0,51.86981468461495,0.0,0.0,0.0,23.06567830244585,51.87065245541962,51.87107134082196,51.86981468461495,12.43753247303448,19.118456526424467,-0.38154347357559004,-0.5884076756880425,2.8,9.236100170605994,17137.521247657645,4848.40733869011,-5227.408069316229,-0.0,-0.0,412.7679244319795,0.0,2.0,0.2458044116136499,0.0,0,1.458635322503152,131.99922844444444,-179.10356301366178,0.19640835909337487,8.716077408278405,0.0026369971224021755,-112.92257349280621,1.2257900092843412,1.0873669091327998,4801.638067151343,46.769271538766404
2025-01-01 00:02:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.968018394483384,51.666666666666686,46.10666666666668,0.0,51.868221412233844,0.0,0.0,0.0,22.968018394483384,51.86918105782518,51.86966088062085,51.868221412233844,12.43753247303448,19.255652481412096,-0.24434751858796133,-0.20312650845626978,2.8,9.236100170605994,17054.933710015914,4301.2850054000855,-5293.549161076386,-0.0,-0.0,412.7679244319795,0.0,2.0,0.24683923492720056,0.0,0,1.464776098528227,131.99922844444444,-195.55000889523393,0.19471761512441005,8.779843974344816,0.002636749605605948,-113.65436193072887,1.225215054948685,1.0873669091327998,4255.664590461904,45.62041493818187
2025-01-01 00:03:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.87340105012005,51.666666666666686,46.10666666666668,0.0,51.866634898582,0.0,0.0,0.0,22.87340105012005,51.86771589011705,51.86825638588458,51.866634898582,12.43753247303448,19.388534393269982,-0.111465606730075,0.14386722415841197,2.8,9.236100170605994,16975.99977975085,3808.5310832007726,-5357.927299216788,-0.0,-0.0,412.7679244319795,0.0,2.0,0.24783985536996436,0.0,0,1.4707139102731526,131.99922844444444,-210.10580101989373,0.19309488869849972,8.841097419416414,0.0026365003678864803,-114.35261315346034,1.2246587008473147,1.0873669091327998,3763.947396117139,44.58368708363369
2025-01-01 00:04:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.7816528549183,51.666666666666686,46.10666666666668,0.0,51.86505493342755,0.0,0.0,0.0,22.7816528549183,51.8662567582051,51.86685767059387,51.86505493342755,12.43753247303448,19.51734830726408,0.0,0.4564247042467554,2.8,9.236100170605994,16900.949731469795,3364.6861337008895,-5420.63148864586,-0.0,-0.0,412.7679244319795,0.0,2.0,0.24880828663123797,0.0,0,1.476460707231908,131.99922844444444,-222.45165987188085,0.191535632062336,8.900699456657904,0.00263624948501814,-115.01924914734548,1.224119867868179,1.0873669091327998,3321.0290585943853,43.65707510650398
2025-01-01 00:05:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.692618817877403,51.666666666666686,46.10666666666668,0.0,51.863481318519604,0.0,0.0,0.0,22.692618817877403,51.864803479061564,51.86546455933256,51.863481318519604,12.43753247303448,19.642314119939364,0.0,0.7380085845391208,2.8,9.236100170605994,16829.977166678927,2964.830950569354,-5481.741194780903,-0.0,-0.0,412.7679244319795,0.0,2.0,0.24974632871520214,0.0,0,1.4820271708632247,131.99922844444444,-232.314518527705,0.19003578601525603,8.958064751922969,0.0026359970285124773,-115.65599353299262,1.2235975914116133,1.0873669091327998,2922.0027287908256,42.828221778528736
2025-01-01 00:06:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.60615748828155,51.666666666666686,46.10666666666668,0.0,51.86191386631548,0.0,0.0,0.0,22.60615748828155,51.86335587954586,51.864076886161044,51.86191386631548,12.43753247303448,19.763632510542195,0.0,0.9917317352825343,2.8,9.236100170605994,16761.62743632846,2604.5440588657493,-5541.329283637746,-0.0,-0.0,412.7679244319795,0.0,2.0,0.25065562237405625,0.0,0,1.4874230376038813,131.99922844444444,-241.07616002132556,0.18859167243214198,9.014036427798432,0.002635743066058112,-116.26442103148614,1.2230909916957253,1.0873669091327998,2562.4572266753603,42.08683219038912
2025-01-01 00:07:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.522150681385373,51.666666666666686,46.10666666666668,0.0,51.86035239904527,0.0,0.0,0.0,22.522150681385373,51.8619137955407,51.862694493788425,51.86035239904527,12.43753247303448,19.88147113113904,0.0,1.220392730343908,2.8,9.236100170605994,16695.26731426728,2279.8503745978637,-5599.45483380349,-0.0,-0.0,412.7679244319795,0.0,2.0,0.2515375477642758,0.0,0,1.4926564974817638,131.99922844444444,-249.31073191676342,0.1872001341344632,9.06799131915372,0.002635487661848547,-116.84586796269352,1.222599330798781,1.0873669091327998,2238.426754711431,41.42361988643278
2025-01-01 00:08:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.440493968889406,51.666666666666686,46.10666666666668,0.0,51.858796747104556,0.0,0.0,0.0,22.440493968889406,51.86047707046808,51.86131723214984,51.858796747104556,12.43753247303448,19.99597810789636,0.0,1.4265076782265158,2.8,9.236100170605994,16630.71288157257,1987.1760553957092,-5656.169365403016,-0.0,-0.0,412.7679244319795,0.0,2.0,0.2523933277815559,0.0,0,1.4977348073188512,131.99922844444444,-257.15063301194914,0.18585835452103502,9.120749896432622,0.0026352308771208136,-117.40152544622569,1.2221219556151453,1.0873669091327998,1946.3457908229639,40.830264572745364
2025-01-01 00:09:00,22.427297373550477,0.19327167426208927,0.0,0.3737882895591746,0.003221194571034821,0.0,0.028360664874578466,0.0,0.2676717531203457,22.131264955555555,0.0,0.0,0.19327167426208927,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.0005560445664870156,0.0,On,0.022717979226220104,0,On,0.00997618743755993,0,On,0.21805317153413004,0.1635398786505975,On,0,0,Off,On,22131.264955555554,20.000000000000057,1.0,0.0,22.131264955555555,0.0,1,22131.264955555554,22131.264955555554,Off,0.0,0.0,22.361091220930522,51.666666666666686,46.10666666666668,0.0,51.85724674810408,0.0,0.0,0.0,22.361091220930522,51.85904555441157,51.859944957565325,51.85724674810408,12.43753247303448,20.10728978995356,0.0,1.6123388237857283,2.8,9.236100170605994,16567.905765547384,1723.307866805481,-5711.520398030981,-0.0,-0.0,412.7679244319795,0.0,2.0,0.25322408746844116,0.0,0,1.5026646432638107,131.99922844444444,-264.60671640916803,0.18456375259334756,9.171663407442603,0.0026349727704798737,-117.93249293131751,1.2216582650904204,1.0873669091327998,1683.008557531438,40.29930927404271
