Metric,Value
Total Electric Energy (kWh),57.119286966462234
Total Gas Energy (therms),0.0
Average Electric Power (kW),2.37997029026926
Peak Electric Power (kW),8.273613039775588
Lighting Electric Energy (kWh),4.58429598486725
Water Heating Electric Energy (kWh),12.949464272888891
Other Electric Energy (kWh),6.848332486039423
HVAC Heating Electric Energy (kWh),32.25719422266666
HVAC Cooling Electric Energy (kWh),0.4800000000000002
Average Temperature - Indoor (C),18.21306229006846
Unmet Heating Load (C-hours),10.881383251206474
Unmet Cooling Load (C-hours),0.0014197653761932234
Total HVAC Heating Delivered (kWh),32.25719422266666
Average HVAC Heating COP (-),1.0
Average HVAC Heating Duct Efficiency (-),1.0
Total HVAC Cooling Delivered (kWh),0.0
Average HVAC Cooling COP (-),0.0
Total Hot Water Unmet Demand (kWh),0.0
