Time,Ambient Dry Bulb (C),Ambient Relative Humidity (-),Ambient Pressure (kPa),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Wind Speed (m/s),Sky Temperature (C),Mains Temperature (C),Ground Temperature (C),Ambient Humidity Ratio (-),Ambient Wet Bulb (-),apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,dni_extraterrestrial,airmass,Exterior Wall Irradiance (W),"Exterior Wall Irradiance - South, poa_global (W/m^2)","Exterior Wall Irradiance - South, poa_direct (W/m^2)","Exterior Wall Irradiance - South, poa_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_ground_diffuse (W/m^2)",Roof Irradiance (W),"Roof Irradiance - North, poa_global (W/m^2)","Roof Irradiance - North, poa_direct (W/m^2)","Roof Irradiance - North, poa_diffuse (W/m^2)","Roof Irradiance - North, poa_sky_diffuse (W/m^2)","Roof Irradiance - North, poa_ground_diffuse (W/m^2)",Rim Joist Irradiance (W),"Rim Joist Irradiance - South, poa_global (W/m^2)","Rim Joist Irradiance - South, poa_direct (W/m^2)","Rim Joist Irradiance - South, poa_diffuse (W/m^2)","Rim Joist Irradiance - South, poa_sky_diffuse (W/m^2)","Rim Joist Irradiance - South, poa_ground_diffuse (W/m^2)",Window Irradiance (W),"Window Irradiance - South, poa_global (W/m^2)","Window Irradiance - South, poa_direct (W/m^2)","Window Irradiance - South, poa_diffuse (W/m^2)","Window Irradiance - South, poa_sky_diffuse (W/m^2)","Window Irradiance - South, poa_ground_diffuse (W/m^2)",Horizontal Irradiance (W/m^2),Occupancy (Persons),MELs (kW),TV (kW),Ceiling Fan (kW),Indoor Lighting (kW),Cooking Range (kW),Cooking Range (therms/hour),Water Heating (L/min),Water Heating Setpoint (C),Refrigerator (kW),Exterior Lighting (kW),HVAC Heating Setpoint (C),HVAC Cooling Setpoint (C)
2025-01-01 08:20:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,86.4864917091485,86.70051124729976,3.5135082908515014,3.2994887527002477,128.09179574106975,-3.759747608208272,1413.981805,13.552592022701168,67.7601317070366,3.8570279614965317,2.4636021264649117,1.39342583503162,1.09342583503162,0.3,235.43401813558964,2.226881089857205,0.23022047521795388,1.9966606146392512,1.9966606146392512,0.0,6.9515946859677955,3.8570279614965317,2.4636021264649117,1.39342583503162,1.09342583503162,0.3,3.579411925150886,3.18417101709311,1.9941853539761065,1.1899856631170034,1.09342583503162,0.3,2.226881089857205,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:21:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,86.35445225603891,86.56301825443194,3.645547743961087,3.4369817455680587,128.2766859542876,-3.7600737485772697,1413.981805,13.190857881077234,68.00527724543689,3.870982084259074,2.473381810485335,1.3976002737737387,1.0976002737737387,0.3,236.45710261344013,2.23655805793129,0.23980271316788454,1.9967553447634057,1.9967553447634057,0.0,6.976744466216159,3.870982084259074,2.473381810485335,1.3976002737737387,1.0976002737737387,0.3,3.598682277478141,3.2013135250393088,2.007762891236536,1.1935506338027728,1.0976002737737387,0.3,2.23655805793129,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:22:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,86.22250700729923,86.42587498336364,3.777492992700768,3.5741250166363647,128.46186343431503,-3.76039988611592,1413.981805,12.84662244268828,68.25293028006833,3.8850789381945536,2.4831351999175033,1.4019437382770503,1.1019437382770503,0.3,237.48000291418117,2.2462332839439454,0.24935920249902976,1.9968740814449155,1.9968740814449155,0.0,7.002151493565974,3.8850789381945536,2.4831351999175033,1.4019437382770503,1.1019437382770503,0.3,3.618064688380686,3.218555717982685,2.021295765494084,1.197259952488601,1.1019437382770503,0.3,2.2462332839439454,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:23:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,86.09067403168041,86.28908341174883,3.9093259683195893,3.7109165882511657,128.64732969295108,-3.760726020896982,1413.981805,12.518774931965135,68.50293961337886,3.89930991686772,2.4928621090989886,1.4064478077687312,1.1064478077687312,0.3,238.50291370301264,2.2559086091594707,0.25888976140181286,1.9970188477576578,1.9970188477576578,0.0,7.027800256475674,3.89930991686772,2.4928621090989886,1.4064478077687312,1.1064478077687312,0.3,3.6375502711557517,3.2358896904957586,2.034783262661262,1.2011064278344965,1.1064478077687312,0.3,2.2559086091594707,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:24:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,85.95897019082248,86.15264552334705,4.041029809177519,3.847354476652947,128.8330862294817,-3.7610521528768004,1413.981805,12.206287006144004,68.75516389743392,3.913666974501181,2.5025623528550525,1.411104621646129,1.1111046216461289,0.3,239.52600797520694,2.2655856698745396,0.2683942085438527,1.9971914613306867,1.9971914613306867,0.0,7.0536762538879865,3.913666974501181,2.5025623528550525,1.411104621646129,1.1111046216461289,0.3,3.657130698213944,3.2533080345267753,2.0482246876409813,1.205083346885794,1.1111046216461289,0.3,2.2655856698745396,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:25:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,85.82741115062392,86.01656321589515,4.172588849376082,3.9834367841048466,129.0191346567285,-3.761378282251826,1413.981805,11.908206040948476,69.00947106566599,3.9281425936295635,2.512235753048897,1.4159068405806663,1.1159068405806662,0.3,240.54943968627583,2.2752659222959504,0.2778723694885298,1.9973935528074205,1.9973935528074205,0.0,7.079765936932418,3.9281425936295635,2.512235753048897,1.4159068405806663,1.1159068405806662,0.3,3.676798173850696,3.270803815177752,2.061619373321863,1.209184441855889,1.1159068405806662,0.3,2.2752659222959504,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:26:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,85.69601182773634,85.88083866738457,4.303988172263659,4.119161332615431,129.20547619961195,-3.761704408650985,1413.981805,11.623649888108469,69.26573695393952,3.942729706608066,2.521882112548211,1.420847594059855,1.120847594059855,0.3,241.5733427529484,2.284950633091256,0.28732405118693216,1.9976265819043242,1.9976265819043242,0.0,7.106056567458629,3.942729706608066,2.521882112548211,1.420847594059855,1.120847594059855,0.3,3.6965453432806137,3.2883704897833077,2.0749666444561914,1.213403845327116,1.120847594059855,0.3,2.284950633091256,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:27:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,85.56478594373588,85.74547378748568,4.435214056264113,4.2545262125143255,129.39211244498193,-3.762030532270728,1413.981805,11.351800099773515,69.52384568110499,3.9574217172742747,2.5315012542231674,1.4259204630511073,1.1259204630511073,0.3,242.59783677259932,2.294640933486667,0.2967490801884578,1.9978918532982088,1.9978918532982088,0.0,7.132536257077931,3.9574217172742747,2.5315012542231674,1.4259204630511073,1.1259204630511073,0.3,3.7163653365989915,3.3060019470179194,2.0882658715722737,1.2177360754456457,1.1259204630511073,0.3,2.294640933486667,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:28:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,85.43374645566625,85.61047058304447,4.566253544333751,4.389529416955526,129.57904484227817,-3.762356653060124,1413.981805,11.09189760000501,69.78368836943339,3.972212428113006,2.541092994966,1.4311194331470056,1.1311194331470056,0.3,243.6230257212061,2.304337806951521,0.3061472771848902,1.9981905297666307,1.9981905297666307,0.0,7.159193835891106,3.972212428113006,2.541092994966,1.4311194331470056,1.1311194331470056,0.3,3.736251683244484,3.323692430803681,2.1015164348961384,1.2221759959075427,1.1311194331470056,0.3,2.304337806951521,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
2025-01-01 08:29:00,-1.1,0.78,102.9,3,4,2,3.1,-17.812712361092508,12.43753247303448,9.236100170605994,0.0026419395275833913,-2.2934322405302696,85.30290553865498,85.47583106695288,4.69709446134501,4.524168933047128,129.76627482767782,-3.7626827710555517,1413.981805,10.843237754203361,70.04516276014303,3.9870960183713993,2.550657152171256,1.436438866200143,1.136438866200143,0.3,244.648999946353,2.3140421080493545,0.3155184633600822,1.9985236446892725,1.9985236446892725,0.0,7.186018813044817,3.9870960183713993,2.550657152171256,1.436438866200143,1.136438866200143,0.3,3.756198294741425,3.3414365249582256,2.1147177332233036,1.226718791734922,1.136438866200143,0.3,2.3140421080493545,3.0,0.144559767871111,0.013448639847370599,0.01944778042576507,0.0845969782757561,0.6428885732877903,0.0,0.7363075442931132,51.666666666666686,0.045044013674684996,0.015866340460526315,20.611111111111143,21.611111111111143
