Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.2502904884785646,0.095223168465736,0.06804530736742957,0.2502904884785646,0.095223168465736,0.06804530736742957,0.010919945323316037,0.13360131238601777,0.10576923076923077,0.03871440426507711,0.029330903102352455,0.0,0.095223168465736,0.0,1.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0028521290204678363,0.0,0.008067816302848202,0.0,0.006637087765036395,0.0,0.08930395017975847,0.06697796263481882,0.0,0.0,793.9001996581196,21.111111111111143,0.8005208676345467,0.0,0.8596040362098769,0.10576923076923077,1.0,688.1309688888889,688.1309688888889,879.2133333333333,0.0,77.29939648983989,51.66666666666668,46.10666666666668,0.0,50.97326068013542,0.05648748508853809,148.50119108443428,879.2133333333333,120.78030701537483,49.691796473091124,50.977527864232194,49.0467971854722,12.43753247303448,20.963743621015865,0.0,2.8,433.72327395216104,-808.67865980357,0.0,0.0,446.1911813505285,0.0,4.6655,0.034162350198152364,0.0,0.0,0.8714195910942837,307.92120015377776,2.3105527470828306,0.2680128634598472,11.098359631951782,0.004043226366279639,57.58986454561906,1.21700856946643
2025-01-01 01:00:00,0.22572612195084132,0.09340366886234142,0.02395357086692117,0.22572612195084132,0.09340366886234142,0.023953570866921174,0.009923492091225717,0.1294244247314105,0.08637820512820513,0.0,0.02395357086692117,0.0,0.09340366886234142,0.0,1.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.0026382193439327484,0.0,0.007285272747292969,0.0,0.004886199581621886,0.0,0.08781945756959626,0.06586459317719717,0.0,0.0,648.3518297207977,21.111111111111143,0.6537587085682132,0.0,0.7020099629047327,0.08637820512820513,0.8166666666666667,561.9736245925926,688.1309688888889,0.0,0.0,82.46454630610272,51.66666666666668,46.10666666666668,0.0,51.88392712049309,0.0,0.0,0.0,128.85085360328551,51.924090847447545,51.944172710924775,51.88392712049309,12.43753247303448,21.190692427043874,0.0,2.5,325.7879850990302,-788.587690507278,0.0,0.0,463.0666266754311,0.0,4.997999999999999,0.032376265301607886,0.0,0.0,0.8258598049209471,329.86607188266663,2.9572192100793773,0.2669632190382904,11.23962690803969,0.004083997465517587,81.41825076779841,1.2160993922340855
2025-01-01 02:00:00,0.17422496405953383,0.09307842826786011,0.009776967700784152,0.17422496405953386,0.09307842826786011,0.009776967700784152,0.009923492091225717,0.12904506171189786,0.035256410256410256,0.0,0.009776967700784152,0.0,0.09307842826786011,0.0,1.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0026382193439327484,0.0,0.007285272747292969,0.0,0.004940490688084351,0.0,0.08832731030465175,0.06624548272848879,0.0,0.0,264.63339988603985,21.111111111111143,0.26684028921151554,0.0,0.28653467873662564,0.035256410256410256,0.3333333333333333,229.3769896296296,688.1309688888889,0.0,0.0,82.0184285190232,51.66666666666668,46.10666666666668,0.0,51.127987218953294,0.0,0.0,0.0,128.15379456097375,51.15622945203394,51.17035056857427,51.127987218953294,12.43753247303448,20.58949418551335,-0.08518181515405979,1.6500000000000001,1.0219875753484569,-747.1291916009029,0.0,0.0,473.739649153798,0.0,5.1659999999999995,0.030139684523762533,0.0,0.0,0.7688086859090959,340.954007072,9.778130136413584,0.2805418513040919,11.035603987970005,0.004135868940385856,103.14295723416107,1.2185507539413623
2025-01-01 03:00:00,0.1404745143541869,0.09421814748603886,0.0,0.1404745143541869,0.09421814748603886,0.0,0.009780885640202325,0.13069362871398457,0.0,0.0,0.0,0.0,0.09421814748603886,0.0,1.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.002495612892909357,0.0,0.007285272747292969,0.0,0.005069432065932706,0.0,0.09078844278992067,0.06809133209244048,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,0.0,0.0,80.37127676382566,51.66666666666668,46.10666666666668,0.0,50.346455877142965,0.07381746318044441,193.30758494611703,0.0,125.58011994347761,50.26121036522326,50.379025079576664,50.18601840682972,12.43753247303448,20.302850818674276,0.0,1.6500000000000001,-156.29308293680344,-754.5852555314972,0.0,0.0,590.5726553197813,0.0,6.9159999999999995,0.030931386314526618,0.0,0.0,0.7890035626308257,456.4533319608889,7.719517274912388,0.2911486488901381,10.998180654827715,0.004217256650420856,169.40514932572464,1.219681385105114
2025-01-01 04:00:00,0.141771930325174,0.0947132843866472,0.09291457023618506,0.141771930325174,0.0947132843866472,0.09291457023618505,0.009915926342267168,0.13185600398290684,0.0,0.09291457023618506,0.0,0.0,0.0947132843866472,0.0,1.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.002495612892909357,0.0,0.00742031344935781,0.0,0.005571624800710512,0.0,0.09239013218509569,0.06929259913882174,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,2110.112,0.0,80.11218154069418,51.66666666666668,46.10666666666668,0.0,50.721357197512084,0.6205013036408605,1664.2374862910738,2110.112,125.17528365733466,49.59906473743054,50.721357197512084,49.03791850738977,12.43753247303448,19.80321215907421,0.0,0.55,-196.24944003873972,-790.3756924831266,0.0,0.0,586.3294847633283,0.0,6.833749999999999,0.03125592962259006,0.0,0.0,0.7972820737743688,451.0248636911111,7.796767681058479,0.3066246677971831,10.875338560581993,0.004308973586778572,168.38654827854606,1.2211205099183111
2025-01-01 05:00:00,0.1421922686585373,0.09351201734026593,0.03871440426507711,0.1421922686585373,0.09351201734026593,0.03871440426507711,0.011530770772337,0.1306614978862003,0.0,0.03871440426507711,0.0,0.0,0.09351201734026593,0.0,1.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.0027808257949561406,0.0,0.008749944977380861,0.0,0.005978808099179002,0.0,0.09078844278992067,0.06809133209244048,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,879.2133333333333,0.0,82.61938437534376,51.66666666666668,46.10666666666668,0.0,51.65454395034832,0.4362281912270833,1192.6181863298186,879.2133333333333,129.0927880864746,49.983163353085885,51.65587156798815,49.14614543681485,12.43753247303448,19.235334879145007,0.0,-0.25000000000000006,-248.61368898765537,-787.2326747005336,0.0,0.0,531.7687633823539,0.0,5.999,0.030682218020942457,0.0,0.0,0.7826477313941178,395.93168571911104,6.8502223305242484,0.3239930878043423,10.719101092789904,0.004398063704326669,125.58681094310303,1.2228128801713407
2025-01-01 06:00:00,0.16915545339144922,0.09987584179860289,0.07742880853015421,0.16915545339144922,0.09987584179860287,0.07742880853015421,0.02502086082122734,0.14413459257022188,0.0,0.07742880853015421,0.0,0.0,0.09987584179860289,0.0,1.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.0031373419225146203,0.0,0.02188351889871272,0.0,0.01096680350541801,0.0,0.09739052834564209,0.07304289625923155,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,1758.4266666666665,0.0,85.14113516847753,51.66666666666668,46.10666666666668,0.0,51.82624547172476,0.40655699927765554,1114.5270427423145,1758.4266666666665,133.03302370074613,50.530976795694706,51.82624547172476,49.883342457679674,12.43753247303448,18.876592361078078,0.0,0.3,-177.8355785552627,-738.7020497253217,0.0,0.0,558.2698021263654,0.0,5.999,0.03026499914663835,0.0,0.0,0.7720052346474343,395.93168571911104,2.5966690436935975,0.33586746052980504,10.627633873760407,0.004458918830850737,102.75606670872631,1.2242701641194675
2025-01-01 07:00:00,0.19577001866206598,0.10659125661197823,0.03871440426507711,0.19577001866206595,0.10659125661197823,0.03871440426507711,0.03696061433052796,0.15880940433153798,0.0,0.03871440426507711,0.0,0.0,0.10659125661197823,0.0,1.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.002923432245979533,0.0,0.03403718208454842,0.0,0.016687728848900303,0.0,0.10446140104141476,0.07834605078106106,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,879.2133333333333,0.0,86.24787589798345,51.66666666666668,46.10666666666668,0.0,51.836025213952674,0.3029788491971758,829.0463047093073,879.2133333333333,134.7623060905991,50.6091870519148,51.836025213952674,49.99576797089587,12.43753247303448,18.51149194352225,0.0,-0.55,-230.34129542045744,-772.2322123621846,0.0,0.0,540.3841635256114,1.2469567313923318,5.332249999999999,0.03072839359233059,0.0,0.0,0.7838255864686136,351.92644293644446,1.506753416115776,0.3477340275923185,10.525129590987536,0.004512452622530391,77.6265751240152,1.2257634354160694
2025-01-01 08:00:00,0.17545704522135505,0.10243372017971969,0.023228642559046265,0.17545704522135508,0.1024337201797197,0.02322864255904626,0.02565208083647731,0.14980496438487775,0.0,0.023228642559046265,0.0,0.0,0.10243372017971969,0.0,1.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0022103999908625735,0.0,0.023441680845614734,0.0,0.013226670811918133,0.0,0.09797651227070614,0.07348238420302959,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,527.528,0.0,84.11286874112007,51.66666666666668,46.10666666666668,0.0,51.147045119862966,0.15484705955454883,417.7236090590595,527.528,131.42635740800011,49.13658307354969,51.147045119862966,48.13135205039305,12.43753247303448,17.864379153881263,0.0,-1.4,-426.9470468405389,-794.4754625662476,0.0,0.0,344.7351598179612,124.25898793749683,2.66875,0.031199249276932843,0.0,0.0,0.7958362609614564,176.13647045555552,22.79325590774749,0.3629712588729085,10.252074742516815,0.00452044586415298,-33.95924275852316,1.2290608882979788
2025-01-01 09:00:00,0.192903451731856,0.10583242694509108,0.05420016597110795,0.192903451731856,0.10583242694509108,0.054200165971107946,0.032703438828536796,0.16020001290331923,0.0,0.05420016597110795,0.0,0.0,0.10583242694509108,0.0,1.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0017825806377923979,0.0,0.0309208581907444,0.0,0.0190901103098644,0.0,0.10250812129120133,0.07688109096840097,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,1230.8986666666667,0.0,90.39346455967004,51.66666666666668,46.10666666666668,0.0,52.054599945331006,0.3505733166601694,963.9775593670605,1230.8986666666667,141.23978837448442,51.156807321857016,52.05824168590821,50.70426926954282,12.43753247303448,17.51330094554276,0.0,-0.85,-309.45620705026494,-735.768351059347,0.0,0.0,356.3203861023608,410.8422269450558,2.58475,0.030328082648315387,0.0,0.0,0.7736143803565948,170.59250286088889,69.99175790672122,0.3707154260350245,10.093037821159017,0.004513806721066647,-0.7628003625478568,1.231166972652373
