Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,82.35031630518208,51.666666666666686,46.10666666666668,0.0,49.125970289262746,0.0,0.0,0.0,128.672369226847,48.36386395758032,49.125970289262746,47.98281079173912,12.43753247303448,17.695319218593717,-0.1380141147396543,2.8,354.14307753579794,-486.46650162747835,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025060254259933575,0.0,0,0.6392416327694921,65.99961422222222,-1.4769335278532463,0.22578284529952403,8.192339312023599,0.0027812941479258223,19.169704921700486,1.2280932329480827
2025-01-01 00:01:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,82.28053871228282,51.666666666666686,46.10666666666668,0.0,49.10734870246625,0.0,0.0,0.0,128.5633417379419,48.346756294301414,49.10734870246625,47.96646009021901,12.43753247303448,17.704171567718397,-0.12916176561497394,2.8,352.8200180889228,-486.8766173672186,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025066484201232277,0.0,0,0.6394005472723752,65.99961422222222,-2.389877234988134,0.22633062148483318,8.219508695987692,0.0027814744275320587,19.14690625508048,1.2316430312706954
2025-01-01 00:02:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,82.21173635397467,51.666666666666686,46.10666666666668,0.0,49.0887434401744,0.0,0.0,0.0,128.45583805308542,48.32966312679639,49.0887434401744,47.95012297010739,12.43753247303448,17.712675002410688,-0.12065833092268363,2.8,351.5288188146496,-487.2706957749064,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025072468177388528,0.0,0,0.6395531876505972,65.99961422222222,-3.286998101573512,0.22622383710899036,8.223893872919387,0.0027816539737528794,19.124492118054462,1.2316068904678277
2025-01-01 00:03:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,82.1438595462977,51.666666666666686,46.10666666666668,0.0,49.07015428638633,0.0,0.0,0.0,128.34978054109015,48.31258425246753,49.07015428638633,47.93379923550813,12.43753247303448,17.720847836613554,-0.11248549671981678,2.8,350.25909972891225,-487.64957059942907,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025078219124549214,0.0,0,0.639699883881802,65.99961422222222,-4.177842362788196,0.22612180679804386,8.22745003089612,0.002781833315052201,19.10240330996593,1.2315721517197202
2025-01-01 00:04:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,82.0768629636492,51.666666666666686,46.10666666666668,0.0,49.0515810360553,0.0,0.0,0.0,128.24509838070188,48.2955194790386,49.0515810360553,47.917488700530264,12.43753247303448,17.728706770338984,-0.10462656299438677,2.8,349.30735738739907,-488.0140023618676,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025083748838074967,0.0,0,0.6398409368442455,65.99961422222222,-4.765152941862777,0.22602428552879142,8.23147786006662,0.002782012454264944,19.080624021672158,1.2315387440821772
2025-01-01 00:05:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,82.01066497238854,51.666666666666686,46.10666666666668,0.0,49.033023494128166,0.0,0.0,0.0,128.14166401935708,48.278468623649445,49.033023494128166,47.901191188410095,12.43753247303448,17.736282044856175,-0.09705128847719635,2.8,348.76756114128176,-488.36538121972666,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025089078635744815,0.0,0,0.6399768903158052,65.99961422222222,-4.953570330121112,0.22593083618414297,8.235348462569874,0.0027821913940890087,19.059125510508117,1.231506539306623
2025-01-01 00:06:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,81.94517583374507,51.666666666666686,46.10666666666668,0.0,49.01448148354389,0.0,0.0,0.0,128.03933724022667,48.26143152039866,49.01448148354389,47.884906538826044,12.43753247303448,17.743606939120813,-0.08972639421255835,2.8,348.2749512928137,-488.70524032258743,-0.0,-0.0,200.2902196996766,0.0,1.0,0.02509423196583789,0.0,0,0.6401083424195518,65.99961422222222,-5.106321075728426,0.22584097946146112,8.239080216213182,0.0027823701369722154,19.03787611318954,1.2314753963191742
2025-01-01 00:07:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,81.8803582220603,51.666666666666686,46.10666666666668,0.0,48.99595484701852,0.0,0.0,0.0,127.93805972196921,48.244408022027386,48.99595484701852,47.86863460953183,12.43753247303448,17.750695216721926,-0.08263811661144516,2.8,347.83772721547143,-489.0342090264505,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025099218541442918,0.0,0,0.6402355409187619,65.99961422222222,-5.214576449207547,0.22575451481536965,8.242680735692712,0.002782548685086653,19.01686278073008,1.231445256693357
2025-01-01 00:08:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,81.81617571219641,51.666666666666686,46.10666666666668,0.0,48.977443435497506,0.0,0.0,0.0,127.83777455030689,48.22739798903094,48.977443435497506,47.85237526579766,12.43753247303448,17.75756031332377,-0.07577302000960273,2.8,347.4322291316159,-489.35290243850466,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025104047841825038,0.0,0,0.6403587276122958,65.99961422222222,-5.30138112100898,0.22567124687796802,8.246157453039372,0.0027827270404911565,18.996072767921014,1.231416063407381
2025-01-01 00:09:00,0.7822932882164247,0.0927955958710128,0.0,0.013038221470273746,0.00154659326451688,0.0,0.013169662266492247,0.12732733295847962,0.6417962929914529,0.0,0.0,0.0927955958710128,0.0,1,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004278193530701754,0.0,On,0.008891468735790492,0,On,0.003599871797129189,0,On,0.08866271067882124,0.06649703300911591,On,On,641.7962929914529,18.33333333333337,1.0,0.0,0.5360270622222222,0.10576923076923077,1,536.0270622222222,536.0270622222222,Off,0.0,0,81.75259695701631,51.666666666666686,46.10666666666668,0.0,48.95894710795703,0.0,0.0,0.0,127.73843274533799,48.21040128947165,48.95894710795703,47.836128380228956,12.43753247303448,17.764213779652728,-0.06911955368064326,2.8,347.04134930305764,-489.66184903628783,-0.0,-0.0,200.2902196996766,0.0,1.0,0.025108728017457758,0.0,0,0.6404781104039498,65.99961422222222,-5.383314351784074,0.22559100755519793,8.249516759411295,0.0027829052051338956,18.97549512160029,1.2313877674334561
