occupants,plug_loads_other,plug_loads_tv,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.565,0.0165,0.0516,0.0,0.0237,0,0,0,0
0.978,0.605,0.0254,0.0808,0.0,0.213,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.667,0.567,0.0178,0.0582,0.0,0.0,0,0,0,0
0.667,0.64,0.0449,0.182,0.0,0.0909,0,0,0,0
0.667,0.646,0.0469,0.191,0.0,0.0,0,0,0,0
0.667,0.719,0.074,0.315,0.0,0.0909,0,0,0,0
0.644,0.714,0.0726,0.306,0.0,0.182,0,0,0,0
0.333,0.647,0.0527,0.191,0.0,0.0909,0,0,0,0
0.333,0.647,0.0527,0.191,0.0,0.0,0,0,0,0
0.333,0.647,0.0527,0.191,0.0,0.0909,0,0,0,0
0.333,0.647,0.0532,0.192,0.0,0.0,0,0,0,0
0.333,0.647,0.0604,0.196,0.0,0.0909,0,0,0,0
0.333,0.647,0.0604,0.196,0.0,0.0,0,0,0,0
0.333,0.647,0.0604,0.196,0.0,0.0909,0,0,0,0
0.333,0.647,0.0608,0.195,0.0,0.0,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.024,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.168,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.0909,0,0,0,0
0.333,0.647,0.0668,0.191,0.0,0.0242,0,0,0,0
0.333,0.647,0.0724,0.185,0.0,0.333,0,0,0,0
0.333,0.647,0.0724,0.185,0.0,0.0909,0,0,0,0
0.333,0.647,0.0724,0.185,0.0,0.113,0,0,0,0
0.333,0.647,0.0727,0.185,0.0,0.0653,0,0,0,0
0.333,0.647,0.0759,0.181,0.0,0.0909,0,0,0,0
