Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,2.101472091316404,0.27032156194702184,1.275325,0.0350245348552734,0.004505359365783697,0.021255416666666666,0.033525852919085906,0.0,0.5300670717306514,1.4878791666666669,0.05,1.275325,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,On,22210.14638642624,19.444444444444457,0.8,9178.605962462647,37.37609147777778,1.4878791666666669,1,29900.87318222222,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,35.70729355015812,51.666666666666686,46.10666666666668,0.0,51.37674395082259,0.0,0.0,0.0,35.70729355015812,50.28413999231337,51.37674395082259,49.737838013058756,12.43753247303448,19.640523185544925,0.0,6.431290887217541,2.8,19673.117166078875,8045.441021837586,-3080.500443574653,-0.0,-0.0,638.1565004381946,0.0,4.0,0.14036151401984967,0.0,0,0.6738879273898922,263.9984568888889,-94.68527721090715,0.1985094548920281,9.07728860685463,0.0027618283010635548,29.848608942053083,1.219948516463662,0.013957089812526077,-66.05011298529615,-1067.1148276397646
2025-01-01 00:01:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,35.594613695020975,51.666666666666686,46.10666666666668,0.0,51.37413236442972,0.0,0.0,0.0,35.594613695020975,50.281862165269004,51.37413236442972,49.73572706568865,12.43753247303448,19.735075061908404,0.0,6.481644951038302,2.8,-2582.7974234150506,-1136.3246035892314,-3105.4723539586503,-0.0,-0.0,638.1565004381946,0.0,4.0,0.1407093281841747,0.0,0,0.6755578136685533,263.9984568888889,-115.48156989459466,0.19792767420231946,9.144603656488794,0.002761881488022207,29.3755469472702,1.2231171192693746,0.013957089812526077,-66.96601085961339,-1069.358592729618
2025-01-01 00:02:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,35.725809437538764,51.666666666666686,46.10666666666668,0.0,51.37152860614013,0.0,0.0,0.0,35.725809437538764,50.279591526258116,51.37152860614013,49.733622986317116,12.43753247303448,19.62003346551098,0.0,6.403008986394842,2.8,-2554.531215580994,-1121.6598084333998,-3075.0994448754523,-0.0,-0.0,638.1565004381946,0.0,4.0,0.14028610502426617,0.0,0,0.6735258821947033,263.9984568888889,-117.58827114373616,0.19935047292072625,9.091928341737873,0.002761933696433877,29.89901098201411,1.223597694610808,0.013957089812526077,-65.53568910607629,-1056.1241193273236
2025-01-01 00:03:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,35.85361543920738,51.666666666666686,46.10666666666668,0.0,51.36891582916317,0.0,0.0,0.0,35.85361543920738,50.27731251805481,51.36891582916317,49.73151086250064,12.43753247303448,19.507896810840975,0.0,6.325705984255788,2.8,-2529.332725036787,-1108.354554842959,-3045.607050131767,-0.0,-0.0,638.1565004381946,0.0,4.0,0.13987317491782697,0.0,0,0.6715433685724447,263.9984568888889,-121.88217534321416,0.20074857701550752,9.040038225553221,0.0027619868143142845,30.40891043606114,1.2240664968191972,0.013957089812526077,-64.12961281420988,-1044.2249420287492
2025-01-01 00:04:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,35.97822403248742,51.666666666666686,46.10666666666668,0.0,51.366294267745225,0.0,0.0,0.0,35.97822403248742,50.27502535689625,51.366294267745225,49.72939090147176,12.43753247303448,19.39850001336602,0.0,6.249777043498816,2.8,-2498.572275264119,-1093.7936660750233,-3016.943456154692,-0.0,-0.0,638.1565004381946,0.0,4.0,0.1394699597606025,0.0,0,0.669607497272597,263.9984568888889,-119.78531954762195,0.2021233065248433,8.989556475178212,0.002762040817379657,30.90600156965987,1.2245241894050893,0.013957089812526077,-62.74852953787268,-1031.0451365371507
2025-01-01 00:05:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,36.099710047512374,51.666666666666686,46.10666666666668,0.0,51.36366414284416,0.0,0.0,0.0,36.099710047512374,50.27273024675035,51.36366414284416,49.727263298703456,12.43753247303448,19.291778964420292,0.0,6.175285690606142,2.8,-2463.4685936377723,-1078.643951317688,-2989.0840900466933,-0.0,-0.0,638.1565004381946,0.0,4.0,0.13907625115095568,0.0,0,0.6677172677406406,263.9984568888889,-112.54100402927344,0.2034747726596104,8.940451277452805,0.0027620956827124525,31.390562284650166,1.2249710155898477,0.013957089812526077,-61.39359477009956,-1017.2503565475886
2025-01-01 00:06:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,36.21814753160254,51.666666666666686,46.10666666666668,0.0,51.361025670246384,0.0,0.0,0.0,36.21814753160254,50.27042738681155,51.361025670246384,49.72512824509413,12.43753247303448,19.187670223341673,0.0,6.102273458094281,2.8,-2427.8493681320456,-1063.0193445423981,-2962.0049688671015,-0.0,-0.0,638.1565004381946,0.0,4.0,0.13869184161096468,0.0,0,0.665871683856893,263.9984568888889,-104.00089970313837,0.2048031093946282,8.891997935991744,0.002762151387926379,31.862868926281287,1.2254072171475314,0.013957089812526077,-60.065563952273145,-1002.953780590125
2025-01-01 00:07:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,36.333641441912995,51.666666666666686,46.10666666666668,0.0,51.35837906062098,0.0,0.0,0.0,36.333641441912995,50.26811697155063,51.35837906062098,49.722985927015465,12.43753247303448,19.08608377902636,0.0,6.030769531395228,2.8,-2393.1821881122137,-1047.0677536425176,-2935.6756363632835,-0.0,-0.0,638.1565004381946,0.0,4.0,0.13831642394385904,0.0,0,0.6640692707427427,263.9984568888889,-95.66305218712444,0.20610882298375316,8.844849628149088,0.0027622079111610473,32.3233264215282,1.225833148608149,0.013957089812526077,-58.764967942741215,-988.3027856997765
2025-01-01 00:08:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,36.44630350809891,51.666666666666686,46.10666666666668,0.0,51.355724517384544,0.0,0.0,0.0,36.44630350809891,50.26579918874303,51.355724517384544,49.72083652442228,12.43753247303448,18.98692379319497,0.0,5.960791809107528,2.8,-2359.712779592548,-1030.9156435389782,-2910.06461710777,-0.0,-0.0,638.1565004381946,0.0,4.0,0.13794966763240513,0.0,0,0.6623084415559908,263.9984568888889,-87.80466292297257,0.20739253492707502,8.798956614679337,0.002762265231302169,32.77236949877871,1.2262491905235822,0.013957089812526077,-57.492132301887935,-973.4235112370902
2025-01-01 00:09:00,0.6135929246497374,0.27032156194702184,0.0,0.01022654874416229,0.004505359365783697,0.0,0.033525852919085906,0.0,0.5300670717306514,0.0,0.05,0.0,0.0,0.0,0.2557382286136885,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005773848684210526,0.0,On,0.027752004234875383,0,On,0.020440610605609012,0,On,0.2970389256234368,0.22277919421757755,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,29900.87318222222,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,24890.822537777778,Off,0.0,0.0,36.55624055564882,51.666666666666686,46.10666666666668,0.0,51.353062236233406,0.0,0.0,0.0,36.55624055564882,50.26347421903674,51.353062236233406,49.718680210438414,12.43753247303448,18.890098635113446,-0.05434580933101074,5.892348567349723,2.8,-2327.3719096184795,-1014.6685247735189,-2885.1420027185372,-0.0,-0.0,638.1565004381946,0.0,4.0,0.13759125598156724,0.0,0,0.6605876758160218,263.9984568888889,-80.3864073381369,0.208654852894187,8.754271322532587,0.0027623233280301093,33.210414670894714,1.2266557073412359,0.013957089812526077,-56.24720756531666,-958.4213172082023
