Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.323446241266524,51.666666666666686,46.10666666666668,0.0,50.91195210068504,0.0,0.0,0.0,22.323446241266524,47.88918546152072,50.91195210068504,46.37780214193856,12.43753247303448,16.302161631616023,0.0,0.01661217240482029,2.8,9.236100170605994,246.44608356788663,-222.60293436628345,-417.50109719034333,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023726663265270117,0.0,0,0.30704775450464195,149.68712505599999,21.52966327780252,0.28404814137264384,8.028489134617391,0.003205386751357287,60.8707296023323,1.233688546219755,0.0031540623634287728,11.440938515737814,-234.04387288202128
2025-01-01 00:01:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.345916714476342,51.666666666666686,46.10666666666668,0.0,50.909580237452985,0.0,0.0,0.0,22.345916714476342,47.887305716326914,50.909580237452985,46.37616845576388,12.43753247303448,16.268356517162363,0.0,-0.028904741780289386,2.8,9.236100170605994,237.77825164560716,-220.04305782742904,-416.0397773844647,-0.0,-0.0,642.4175174804275,0.0,2.268,0.02370296086341059,0.0,0,0.30674102071801684,149.68712505599999,11.400511549644406,0.2855181726564324,8.03486270660782,0.0032056758560663656,60.912983585676365,1.2374366148084655,0.0031540623634287728,11.628032894557414,-231.67109072198645
2025-01-01 00:02:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.367991378789345,51.666666666666686,46.10666666666668,0.0,50.90720640014844,0.0,0.0,0.0,22.367991378789345,47.885424079007514,50.90720640014844,46.374532918437055,12.43753247303448,16.235111541236833,0.0,-0.07328715164523505,2.8,9.236100170605994,228.85896890625418,-216.82306798019306,-414.6046079110135,-0.0,-0.0,642.4175174804275,0.0,2.268,0.02367964548867978,0.0,0,0.306439295465861,149.68712505599999,1.0460593368402158,0.2861497786960449,8.019486638160865,0.003205964285183803,60.95428562074489,1.2375785581237182,0.0031540623634287728,11.810463965574863,-228.6335319457679
2025-01-01 00:03:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.389685475178375,51.666666666666686,46.10666666666668,0.0,50.90483062456735,0.0,0.0,0.0,22.389685475178375,47.8835405828916,50.90483062456735,46.37289556205372,12.43753247303448,16.202405095792923,0.0,-0.11635110716748039,2.8,9.236100170605994,219.7649246862096,-213.1705404881305,-413.1945616766057,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023656702280700933,0.0,0,0.30614238643940933,149.68712505599999,-9.458031117612137,0.2867730989538049,8.00439515245941,0.0032062528767669084,60.994611656704365,1.237718230341794,0.0031540623634287728,11.987475613930084,-225.1580161020606
2025-01-01 00:04:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.411013647019292,51.666666666666686,46.10666666666668,0.0,50.9024529451274,0.0,0.0,0.0,22.411013647019292,47.88165526002487,50.9024529451274,46.37125641747361,12.43753247303448,16.17021641982931,0.0,-0.15795874404156646,2.8,9.236100170605994,217.1887783122072,-209.16432005623457,-411.80865441131414,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023634116953369946,0.0,0,0.30585010876158336,149.68712505599999,-13.420084756906135,0.28738844610798664,7.989577151999992,0.0032065416266878516,61.03399966529745,1.2378557187414942,0.0031540623634287728,12.158501157169901,-221.32282121340447
2025-01-01 00:05:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.431874042535945,51.666666666666686,46.10666666666668,0.0,50.900073394922025,0.0,0.0,0.0,22.431874042535945,47.879768141220005,50.900073394922025,46.369615514369,12.43753247303448,16.138690170036337,-0.02797649663034818,-0.19800331899979176,2.8,9.236100170605994,218.3239937820574,-204.88673879319177,-410.453016293315,-0.0,-0.0,642.4175174804275,0.0,2.268,0.0236119913078943,0.0,0,0.305563779846122,149.68712505599999,-13.640507405055061,0.2879930963414249,7.974565371318469,0.003206830530980441,61.07217348096228,1.2379904028102369,0.0031540623634287728,12.323101833886142,-217.2098406270779
2025-01-01 00:06:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.452219383133798,51.666666666666686,46.10666666666668,0.0,50.897692016253146,0.0,0.0,0.0,22.452219383133798,47.8778792658661,50.897692016253146,46.367972890672576,12.43753247303448,16.107893519619253,-0.05877314704743242,-0.2364054011741006,2.8,9.236100170605994,220.77960393166484,-200.4073406519557,-409.1304221063936,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023590372833672955,0.0,0,0.30528401425534896,149.68712505599999,-12.507491442368938,0.2885857295233554,7.960489781377759,0.003207119584518418,61.109003686578625,1.238121993185407,0.0031540623634287728,12.48095114855106,-212.88829180050678
2025-01-01 00:07:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.47204590220242,51.666666666666686,46.10666666666668,0.0,50.89530885569696,0.0,0.0,0.0,22.47204590220242,47.875988677333325,50.89530885569696,46.36632858815151,12.43753247303448,16.077831860550763,-0.08883480611592276,-0.2731088118158661,2.8,9.236100170605994,222.98818865021877,-195.78530593964157,-407.8409863632241,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023569265669953467,0.0,0,0.3050108655554424,149.68712505599999,-11.588342466984585,0.28916615652675387,7.9462622737133195,0.0032074087816333363,61.144478129557555,1.2382504648028885,0.0031540623634287728,12.631818181993944,-208.4171241216355
2025-01-01 00:08:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.491377097796832,51.666666666666686,46.10666666666668,0.0,50.89292396016983,0.0,0.0,0.0,22.491377097796832,47.87409641930905,50.89292396016983,46.364682648878656,12.43753247303448,16.048471870433385,-0.11819479623330054,-0.3080771642509444,2.8,9.236100170605994,225.0856050471474,-191.07120493587215,-406.5831675663892,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023548646758509238,0.0,0,0.3047440353489148,149.68712505599999,-10.748744866890881,0.2897349054927186,7.932411023761366,0.003207698116607983,61.17865832427145,1.2383759584045861,0.0031540623634287728,12.775553369106563,-203.84675830497872
2025-01-01 00:09:00,0.5220237112166702,0.3389470519937832,0.0,0.008700395186944505,0.00564911753322972,0.0,0.021323810522356105,0.0,0.5006999006943141,0.0,0.0,0.0,0.3389470519937832,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03345341991205265,0.025090064934039476,On,0.0,0,Off,0.0035099780701754383,0.0,On,0.017813832452180666,0,On,0.04877049803593634,0,On,0.41847598274632514,0.31385698705974374,On,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,11166.888546666667,Off,0.0,0.0,22.51023304046681,51.666666666666686,46.10666666666668,0.0,50.89053737446323,0.0,0.0,0.0,22.51023304046681,47.87220253350196,50.89053737446323,46.363035113021326,12.43753247303448,16.0197850914621,-0.1468815752045849,-0.341290865760551,2.8,9.236100170605994,226.89313695176133,-186.30788427263653,-405.35564163564396,-0.0,-0.0,642.4175174804275,0.0,2.268,0.023528496429673088,0.0,0,0.3044832690897702,149.68712505599999,-10.168738893022116,0.2902924213642724,7.91892072882502,0.003207987583986124,61.21159666442342,1.2384985940571862,0.0031540623634287728,12.912076175265343,-199.21996044790188
