Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.8358147190304406,1.159651826424492,0.0,0.030596911983840677,0.0193275304404082,0.0,0.03906947424736009,0.0,0.304098463379426,1.4926467814036544,0.0,0.0,0.0,0.1954972531169268,0.9641545733075652,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,37.00907397983565,51.666666666666686,46.10666666666668,0.0,50.96847183409411,0.4765223358655211,1280.0574841719715,0.0,37.00907397983565,50.212551100804504,50.96847183409411,49.83459073415971,12.43753247303448,HP On,4503.752771313441,18.33333333333337,3.059102540520728,0.0,1.4623390193808932,0.030307762022760924,1.6568585992921907,4473.445009290681,8727.43955004312,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12249.52796917219,18.33816755687611,0.0,6.634583825519735,-0.6408428228173586,-1.6348734834291616,2.8,9.236100170605994,3926.343994651389,-2541.927969378443,2455.0262265354595,1691.0669056821653,-919.409227890133,-0.0,-0.0,430.420313104793,0.0,1.534,0.045403716788487015,0.0,0,0.424933867394596,101.2434082168889,-88.41986187671243,0.2119172313827315,8.421589269704619,0.002717940687939625,30.46921871776523,1.225431648544047,0.5269920765182854,-2633.540329827014,91.612360448571,0.5436834545663999,2437.971381021833,17.054845513626383,0.3455611794666733,1997.2104719737852,-306.14356629161983
2025-01-01 00:01:00,1.8094971830028483,1.1426523775024044,0.0,0.030158286383380806,0.01904420629170674,0.0,0.03906947424736009,0.0,0.304098463379426,1.4663292453760621,0.0,0.0,0.0,0.1954972531169268,0.9471551243854777,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,36.79792145852457,51.666666666666686,46.10666666666668,0.0,50.93583834824565,0.47692626493591583,1280.0574841719717,0.0,36.79792145852457,50.02771184362107,50.93583834824565,49.57364859130878,12.43753247303448,HP On,4458.436246019664,18.33333333333337,3.073765066703993,0.0,1.4428379803885916,0.02349126498747045,1.6340280083872267,4434.944981032194,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.26586035671,18.339308367700877,0.0,6.662790804999376,-0.4274994098252399,-1.5830113519052467,2.8,9.236100170605994,3877.3116498829713,-2562.5116591173523,2303.0779914804684,1662.6733708806378,-919.5129026906341,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319743,0.0,0,0.4249505841290814,101.2434082168889,-92.03200655085229,0.2125292585260446,8.445293408426929,0.002718046050204561,30.451952189637346,1.2290064049099103,0.5271247409555624,-2653.5803434244785,91.06868430712615,0.5436834545663999,2286.8092495361443,16.26874194432395,0.3449060580896711,1970.1126970566995,-307.43932617606185
2025-01-01 00:02:00,1.8173377587513784,1.1477168891199494,0.0,0.030288962645856305,0.019128614818665825,0.0,0.03906947424736009,0.0,0.304098463379426,1.4741698211245922,0.0,0.0,0.0,0.1954972531169268,0.9522196360030225,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,36.588129608952386,51.666666666666686,46.10666666666668,0.0,50.90320223671797,0.4773309119593149,1280.0574841719717,0.0,36.588129608952386,49.84290221992498,50.90320223671797,49.31275221152849,12.43753247303448,HP On,4473.950767433678,18.33333333333337,3.0678038320728804,0.0,1.4507086696429712,0.02346115148162106,1.6432603672855204,4450.489615952058,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.277623385788,18.33930836770088,0.0,6.6891317044555585,-0.2274257793561935,-1.532753268911308,2.8,9.236100170605994,3889.248427585011,-2581.903702940483,2160.6494376645865,1635.6287826335697,-919.5129026906343,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319744,0.0,0,0.4249505841290814,101.2434082168889,-95.60975026282563,0.21253743266233974,8.44549722885687,0.0027181510464731355,30.436796469210172,1.229006327024267,0.5272485986134603,-2672.3032304736,90.39952753311671,0.5436834545663999,2145.0492766754005,15.60016098918593,0.3442700096135797,1943.9308059047664,-308.30202327119684
2025-01-01 00:03:00,1.8251872950274612,1.1527871886665118,0.0,0.030419788250457686,0.01921311981110853,0.0,0.03906947424736009,0.0,0.304098463379426,1.482019357400675,0.0,0.0,0.0,0.1954972531169268,0.957289935549585,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,36.378370906350256,51.666666666666686,46.10666666666668,0.0,50.87056330448043,0.4777362812719422,1280.0574841719717,0.0,36.378370906350256,49.65812203875737,50.87056330448043,49.05190140589584,12.43753247303448,HP On,4489.293218015278,18.33333333333337,3.0619907907811914,0.0,1.458432246186361,0.023587111214314112,1.6522978329715232,4465.706106800964,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.292782958662,18.339308367700877,0.0,6.713751317525765,-0.039764821749671164,-1.4838762324082766,2.8,9.236100170605994,3901.000572475002,-2600.2131586475625,2027.0632803934707,1610.4988940217913,-919.5129026906341,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319743,0.0,0,0.4249505841290814,101.2434082168889,-99.20005595443527,0.2125456027281972,8.445027929023842,0.002718255990492463,30.421648290717528,1.2290062491774079,0.5273643363029732,-2689.8101958767375,89.59703722917514,0.5436834545663999,2012.0841668058245,14.979113587646136,0.3436503100171792,1918.5419815808782,-308.04308755908704
2025-01-01 00:04:00,1.8324105235159531,1.1574529333476988,0.0,0.03054017539193255,0.01929088222246165,0.0,0.03906947424736009,0.0,0.304098463379426,1.489242585889167,0.0,0.0,0.0,0.1954972531169268,0.9619556802307719,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,36.16864534548722,51.666666666666686,46.10666666666668,0.0,50.83792155381539,0.4781423747764667,1280.0574841719717,0.0,36.16864534548722,49.47337129546632,50.83792155381539,48.791096166291794,12.43753247303448,HP On,4503.376174793047,18.33333333333337,3.0566754732031605,0.0,1.4655367986712704,0.023705787217896564,1.660591578854167,4479.67038757515,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.307934451528,18.339308367700877,0.0,6.736774621588236,0.13628136955172557,-1.4361708283417678,2.8,9.236100170605994,3912.587102637245,-2617.078106209216,1901.754361796616,1586.3894526446215,-919.5129026906341,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319743,0.0,0,0.4249505841290814,101.2434082168889,-101.6964825699606,0.21255376872564477,8.445231546094252,0.0027183608822885378,30.4065076504072,1.2290061713693141,0.5274725467076473,-2706.188630864027,89.11052465481097,0.5436834545663999,1887.3485720019692,14.405789794646877,0.3430443857156076,1893.831924211991,-307.4424715673695
2025-01-01 00:05:00,1.838803240739857,1.1615822207478248,0.0,0.030646720678997614,0.019359703679130414,0.0,0.03906947424736009,0.0,0.304098463379426,1.4956353031130707,0.0,0.0,0.0,0.1954972531169268,0.966084967630898,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,35.95895292118166,51.666666666666686,46.10666666666668,0.0,50.80527698700446,0.4785491943822646,1280.057484171972,0.0,35.95895292118166,49.28864998540069,50.80527698700446,48.530336484598806,12.43753247303448,HP On,4515.812489816249,18.33333333333337,3.0519976415244052,0.0,1.4718229327298467,0.023812370383224226,1.6679145240515587,4492.000119433024,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.32307786898,18.339308367700877,0.0,6.758328466932379,0.3014591140571812,-1.3894763020201515,2.8,9.236100170605994,3924.028182715123,-2632.931961355586,1784.190553216072,1563.303300891453,-919.5129026906341,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319743,0.0,0,0.4249505841290814,101.2434082168889,-102.69171751528484,0.2125619306567092,8.445435054645074,0.002718465721887341,30.391374544528972,1.2290060935999658,0.5275738304851599,-2721.527496208408,88.59553485282228,0.5436834545663999,1770.3136957746651,13.876857441406898,0.3424502626811027,1869.712767887027,-306.409466995574
2025-01-01 00:06:00,1.845045337777767,1.1656142171190433,0.0,0.030750755629629447,0.019426903618650723,0.0,0.03906947424736009,0.0,0.304098463379426,1.5018774001509807,0.0,0.0,0.0,0.1954972531169268,0.9701169640021166,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,35.74929362830403,51.666666666666686,46.10666666666668,0.0,50.77262960632846,0.4789567420054483,1280.0574841719715,0.0,35.74929362830403,49.103958103910024,50.77262960632846,48.26962235270081,12.43753247303448,HP On,4527.936030740134,18.33333333333337,3.0474498701023696,0.0,1.4779646988074266,0.02391270134355402,1.6750554180040593,4504.02332939658,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.338213215615,18.339308367700877,0.0,6.778515142918375,0.45646640008847644,-1.3436526538940585,2.8,9.236100170605994,3935.336506975548,-2647.7847301331676,1673.8742054667532,1541.082935942293,-919.5129026906341,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319743,0.0,0,0.4249505841290814,101.2434082168889,-103.50693417874463,0.21257008852341627,8.445638454738011,0.0027185705093148408,30.376248969334434,1.2290060158693443,0.5276686721602394,-2735.898479613193,88.11374948002538,0.5436834545663999,1660.4849861666114,13.389219300141818,0.3418662165546605,1846.1083245245572,-305.025388582264
2025-01-01 00:07:00,1.85116769477992,1.1695688690679102,0.0,0.030852794912998666,0.01949281448446517,0.0,0.03906947424736009,0.0,0.304098463379426,1.507999757153134,0.0,0.0,0.0,0.1954972531169268,0.9740716159509833,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,35.53966746162109,51.666666666666686,46.10666666666668,0.0,50.73997941406742,0.4793650195688968,1280.0574841719717,0.0,35.53966746162109,48.91929564634461,50.73997941406742,48.0089537624832,12.43753247303448,HP On,4539.8048429292785,18.33333333333337,3.043010780230669,0.0,1.4839887851369216,0.024010972016212773,1.6820462456605259,4515.793870913066,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.353340496005,18.33930836770088,0.0,6.797429403841501,0.6019559556897294,-1.2985822541083634,2.8,9.236100170605994,3946.5135521877514,-2661.7024270107772,1570.3399599443135,1519.597406581264,-919.5129026906343,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319744,0.0,0,0.4249505841290814,101.2434082168889,-104.19870115568595,0.2125782423277907,8.445841746434638,0.002718675244596993,30.361130921076978,1.2290059381774294,0.5277575202688067,-2749.3680727994206,87.66564578864333,0.5436834545663999,1557.3999598930159,12.940000051297563,0.3412907960087716,1822.954728897407,-303.357322316143
2025-01-01 00:08:00,1.8572067543540753,1.1734697161935934,0.0,0.030953445905901256,0.01955782860322656,0.0,0.03906947424736009,0.0,0.304098463379426,1.5140388167272893,0.0,0.0,0.0,0.1954972531169268,0.9779724630766665,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,35.33007441600353,51.666666666666686,46.10666666666668,0.0,50.707326412500606,0.4797740290022849,1280.0574841719717,0.0,35.33007441600353,48.73466260805546,50.707326412500606,47.748330705832885,12.43753247303448,HP On,4551.490848782537,18.33333333333337,3.0386526722855485,0.0,1.4899311066312921,0.02410771009599746,1.68892941017386,4527.3831386865395,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.368459714748,18.33930836770088,0.0,6.815157766602106,0.7385381993478578,-1.2541667135777765,2.8,9.236100170605994,3957.5487955146873,-2674.750653813732,1473.1526298357123,1498.7365802127358,-919.5129026906343,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319744,0.0,0,0.4249505841290814,101.2434082168889,-104.84946368200849,0.21258639207185634,8.446044929796624,0.00271877992775974,30.34602039601203,1.2290058605242025,0.5278407841449602,-2761.997046738081,87.24639292434915,0.5436834545663999,1460.6261116410283,12.52651819468406,0.3407227854438552,1800.198655410416,-301.46207519768
2025-01-01 00:09:00,1.863179651655297,1.1773278267128506,0.0,0.03105299419425495,0.019622130445214176,0.0,0.03906947424736009,0.0,0.304098463379426,1.5200117140285108,0.0,0.0,0.0,0.1954972531169268,0.9818305735959239,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.004021034356725146,0.0,On,0.0011871051816914233,0.0,On,0.03386133470894352,0,On,0.04343545922352347,0,On,0.19987189626974225,0.14990392220230664,On,0,0,Off,Off,0.0,0.0,35.12051448630359,51.666666666666686,46.10666666666668,0.0,50.67467060390649,0.48018377224211367,1280.0574841719717,0.0,35.12051448630359,48.55005898439431,50.67467060390649,47.48775317463822,12.43753247303448,HP On,4563.028011333581,18.33333333333337,3.0343623321458804,0.0,1.4958084158465734,0.024203298181937356,1.6957248558287727,4538.824713151644,8727.322718190886,0.0,Off,0.0,22.222222222222285,0,0.0,0.0,0.0,0.0,0,0.0,0,12251.383570876416,18.33930836770088,0.0,6.831779477081997,0.8667839930787794,-1.2103242021405436,2.8,9.236100170605994,3968.4321339018707,-2686.9866243293754,1381.9052364710017,1478.4072221726283,-919.5129026906343,-0.0,-0.0,430.420313104793,0.0,1.534,0.04540550295319744,0.0,0,0.4249505841290814,101.2434082168889,-105.5032878458691,0.21259453775763587,8.446248004885483,0.002718884558829011,30.330917390396728,1.2290057829096446,0.5279188385367013,-2773.841118035346,86.85449370597038,0.5436834545663999,1369.7589634007577,12.146273070243907,0.34016117289059844,1777.7957983617619,-299.3885761891335
