occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.983,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.75,0.565,0.0164,0.414,0.051,0.0,0.0153,0,0,0,0
0.767,0.599,0.024,0.309,0.0763,0.0,0.0613,0,0,0,0
1.0,0.633,0.0321,0.211,0.107,0.0,0.0641,0,0,0,0
1.0,0.652,0.0453,0.211,0.201,0.0,0.209,0,0,0,0
1.0,0.652,0.0453,0.211,0.201,0.0,0.0846,0,0,0,0
0.983,0.649,0.0443,0.218,0.196,0.0,0.0641,0,0,0,0
0.733,0.612,0.0325,0.309,0.134,0.0,0.0807,0,0,0,0
0.5,0.681,0.0595,0.211,0.248,0.0,0.0641,0,0,0,0
0.5,0.681,0.0595,0.211,0.248,0.0,0.0161,0,0,0,0
0.5,0.681,0.0595,0.211,0.248,0.0,0.113,0,0,0,0
0.5,0.681,0.0603,0.211,0.249,0.0,0.0,0,0,0,0
0.5,0.69,0.0711,0.211,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0711,0.211,0.262,0.0,0.0641,0,0,0,0
0.5,0.69,0.0711,0.211,0.262,0.0,0.0641,0,0,0,0
0.5,0.69,0.0719,0.211,0.263,0.0,0.0641,0,0,0,0
0.5,0.69,0.0827,0.211,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0827,0.211,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0827,0.211,0.269,0.0,0.0641,0,0,0,0
0.5,0.69,0.0833,0.211,0.268,0.0,0.0641,0,0,0,0
0.5,0.69,0.0917,0.211,0.262,0.0,0.128,0,0,0,0
0.5,0.69,0.0917,0.211,0.262,0.0,0.0641,0,0,0,0
0.5,0.69,0.0917,0.211,0.262,0.0,0.0641,0,0,0,0
0.5,0.69,0.0923,0.211,0.262,0.0,0.0641,0,0,0,0
0.5,0.69,0.101,0.211,0.253,0.0,0.0641,0,0,0,0
0.5,0.69,0.101,0.211,0.253,0.0,0.0,0,0,0,0
0.5,0.69,0.101,0.211,0.253,0.0,0.0641,0,0,0,0
0.5,0.69,0.101,0.211,0.253,0.0,0.0641,0,0,0,0
0.5,0.69,0.106,0.211,0.246,0.0,0.0641,0,0,0,0
0.5,0.69,0.106,0.211,0.246,0.0,0.0641,0,0,0,0
