Metric,Value
Total Electric Energy (kWh),146.85018237453738
Total Gas Energy (therms),0.0
Average Electric Power (kW),6.118757598939058
Peak Electric Power (kW),18.09528134086117
Lighting Electric Energy (kWh),2.2849182972150084
Water Heating Electric Energy (kWh),7.975095036222224
Other Electric Energy (kWh),11.156370107766834
HVAC Heating Electric Energy (kWh),124.95379893333332
HVAC Cooling Electric Energy (kWh),0.4800000000000002
Average Temperature - Indoor (C),18.452273643343638
Unmet Heating Load (C-hours),2.049945885282362
Unmet Cooling Load (C-hours),0.0
Total HVAC Heating Delivered (kWh),124.95379893333332
Average HVAC Heating COP (-),1.0
Average HVAC Heating Duct Efficiency (-),1.0
Total HVAC Cooling Delivered (kWh),0.0
Average HVAC Cooling COP (-),0.0
Total Hot Water Unmet Demand (kWh),0.0
