Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,4.954323165559551,0.19872799774248825,0.0,4.954323165559551,0.19872799774248823,0.0,0.022557001891740973,0.0,0.2695197636678106,4.6422464,0.020000000000000004,0.0,0.0,0.1928946644091549,0.0,0.005833333333333337,1.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.0060315515350877185,0.0,0.016525450356653256,0.0,0.012326877788937294,0.0,0.192809243243537,0.14460693243265269,0.0,0.0,4642.2464,16.666666666666686,0.4,0.0,4.6422464,0.0,0.4,4642.2464,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,39.545951356363624,51.66666666666668,46.10666666666668,0.0,50.8105191951597,0.0,0.0,0.0,39.545951356363624,50.32588285661662,50.8105191951597,50.08356468734509,12.43753247303448,16.355283714956368,-0.057418629216802734,2.8,4197.037510414517,-870.8969857780497,0.0,0.0,542.5785754213929,0.0,4.0,0.04928825114198955,0.0,0.0,0.4612892656442732,263.9984568888889,-116.8904792288261,0.27120093557820957,7.904857779496334,0.003060593279037659,98.48401607894452,1.2371147084634815
2025-01-01 01:00:00,4.565407341461869,0.1975208044430757,0.0,4.56540734146187,0.1975208044430757,0.0,0.022104635526609396,0.0,0.26791017260192723,4.255392533333333,0.020000000000000004,0.0,0.0,0.19168747110974238,0.0,0.005833333333333337,1.0,0.06277405156945293,0.04708053867708968,0.0,0.0,0.005579185169956139,0.0,0.016525450356653256,0.0,0.012326877788937294,0.0,0.192809243243537,0.14460693243265269,0.0,0.0,4255.392533333334,16.666666666666686,0.36666666666666664,0.0,4.255392533333333,0.0,0.36666666666666664,4255.392533333334,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,39.3491851499792,51.66666666666668,46.10666666666668,0.0,50.59221502788703,0.0,0.0,0.0,39.3491851499792,50.12673589991003,50.59221502788703,49.893996335921535,12.43753247303448,16.32454474266802,-0.069155349148063,2.5,3835.320232604461,-817.9258369569967,0.0,0.0,540.5166179903779,0.0,4.0,0.04541269035178534,0.0,0.0,0.42501785106876155,263.9984568888889,-142.6630817622535,0.27355923815153527,7.914631597480138,0.003081045783669355,106.29156499915779,1.2372909768137248
2025-01-01 02:00:00,4.757224683729319,0.19631361114366316,0.0,4.757224683729319,0.19631361114366314,0.0,0.022104635526609396,0.0,0.2663005815360438,4.4488194666666665,0.020000000000000004,0.0,0.0,0.19048027781032983,0.0,0.005833333333333337,1.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.005579185169956139,0.0,0.016525450356653256,0.0,0.012326877788937294,0.0,0.192809243243537,0.14460693243265269,0.0,0.0,4448.819466666667,16.666666666666686,0.38333333333333336,0.0,4.4488194666666665,0.0,0.38333333333333336,4448.819466666667,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,39.054671778685716,51.66666666666668,46.10666666666668,0.0,50.37535655778528,0.0,0.0,0.0,39.054671778685716,49.92876850754164,50.37535655778528,49.70547448241982,12.43753247303448,16.379005667767515,-0.04917067179366734,1.6500000000000001,4022.591162293696,-814.9601046937648,0.0,0.0,538.9070269244945,0.0,4.0,0.04225841120566915,0.0,0.0,0.39549691905684414,263.9984568888889,-150.17522660370048,0.27466722976890673,7.968373573244492,0.0031044515522732005,119.06875993801461,1.2370406039985662
2025-01-01 03:00:00,5.142167381753349,0.1951064178442506,0.0,5.142167381753349,0.1951064178442506,0.0,0.02180305794985501,0.0,0.26469099047016037,4.835673333333333,0.020000000000000004,0.0,0.0,0.18927308451091726,0.0,0.005833333333333337,1.0,0.05955486943768611,0.04466615207826457,0.0,0.0,0.005277607593201754,0.0,0.016525450356653256,0.0,0.012326877788937294,0.0,0.192809243243537,0.14460693243265269,0.0,0.0,4835.673333333334,16.666666666666686,0.4166666666666667,0.0,4.835673333333333,0.0,0.4166666666666667,4835.673333333334,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,38.78140452667012,51.66666666666668,46.10666666666668,0.0,50.15995678701209,0.0,0.0,0.0,38.78140452667012,49.731995120850044,50.15995678701209,49.51801428776903,12.43753247303448,16.416410004579028,-0.04186390336938996,1.6500000000000001,4361.648240901722,-855.7515527412561,0.0,0.0,536.9958582818567,0.0,4.0,0.04432351096579929,0.0,0.0,0.4148242096334223,263.9984568888889,-155.26939797221215,0.27609185589567004,8.01403782144519,0.0031281245753269397,95.13727546320325,1.2368632142150764
2025-01-01 04:00:00,5.527411657354132,0.19389922454483802,0.0,5.527411657354131,0.19389922454483802,0.0,0.02180305794985501,0.0,0.263081399404277,5.2225272,0.020000000000000004,0.0,0.0,0.1880658912115047,0.0,0.005833333333333337,1.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.005277607593201754,0.0,0.016525450356653256,0.0,0.012326877788937294,0.0,0.192809243243537,0.14460693243265269,0.0,0.0,5222.5271999999995,16.666666666666686,0.45,0.0,5.2225272,0.0,0.45,5222.5271999999995,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,38.62512178639199,51.66666666666668,46.10666666666668,0.0,49.945896799428894,0.0,0.0,0.0,38.62512178639199,49.5363072769402,49.945896799428894,49.331512515695856,12.43753247303448,16.354364857239986,-0.06337643417480535,0.55,4608.725651257967,-947.4800298425943,0.0,0.0,484.7645631075289,0.0,3.2329999999999997,0.04561016100435018,0.0,0.0,0.4268659810023133,213.37675278044443,-151.08608200696693,0.2783419135991429,7.997984314744311,0.003142696288023412,72.25965520451521,1.2365371694510963
2025-01-01 05:00:00,5.535517497075827,0.19647230163438698,0.0,5.535517497075826,0.19647230163438698,0.0,0.024811286253647497,0.0,0.2681790108221797,5.2225272,0.020000000000000004,0.0,0.0,0.19063896830105367,0.0,0.005833333333333337,1.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.005880762746710526,0.0,0.01893052350693697,0.0,0.01399371975410806,0.0,0.19624001269626892,0.14718000952220167,0.0,0.0,5222.5271999999995,16.666666666666686,0.45,0.0,5.2225272,0.0,0.45,5222.5271999999995,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,38.235661784337694,51.66666666666668,46.10666666666668,0.0,49.71302815708969,0.06155104266988064,159.4965740164941,0.0,38.235661784337694,49.20757458536601,49.71302815708969,48.954847799504165,12.43753247303448,16.357389395005004,-0.05425343441174058,-0.25000000000000006,4555.349805462013,-994.2184095312424,0.0,0.0,478.3743322955328,0.0,3.0170000000000003,0.045474662537728854,0.0,0.0,0.42559784941485623,199.12083610844445,-151.33331730227727,0.27967541160421217,8.016089010574678,0.0031601251259014257,66.93747179501283,1.2358903674595219
2025-01-01 06:00:00,7.1003482403303755,0.218056112550352,0.0,7.1003482403303755,0.218056112550352,0.0,0.06571402971821387,1.2833486265185186,0.31533145076031005,5.415954133333333,0.020000000000000004,0.0,0.0,0.21222277921701868,0.0,0.005833333333333337,1.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.00663470668859649,0.0,0.059079323029617374,0.0,0.032367745137618364,0.0,0.22179924511912216,0.16634943383934156,0.0,0.0,5415.954133333334,16.666666666666686,0.4666666666666667,0.0,5.415954133333333,0.0,0.4666666666666667,5415.954133333334,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,1283.3486265185188,0.23333333333333334,38.75516479495871,51.66666666666668,46.10666666666668,0.0,50.474325285722514,0.33432900487681105,878.2722574433058,1283.3486265185188,38.75516479495871,49.61885061876046,50.474325285722514,49.19111328527944,12.43753247303448,16.35779903386091,-0.05846456553259891,0.3,4928.790314078305,-958.1956074908932,0.0,0.0,628.3959967672964,0.0,3.9829999999999997,0.04540033964545438,0.0,0.0,0.42490226067710435,262.8764634471111,-157.36420853143156,0.2808788471869302,8.03232470591487,0.003173794613839869,85.79529338575763,1.2358785963450643
2025-01-01 07:00:00,6.307048809996914,0.22490905712864914,0.0,6.307048809996913,0.22490905712864911,0.0,0.07975914262134301,0.4583387951851853,0.3329967388570527,5.415954133333333,0.020000000000000004,0.0,0.0,0.2190757237953158,0.0,0.005833333333333337,1.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.006182340323464912,0.0,0.0735768022978781,0.0,0.04089577379663158,0.0,0.22771732242508483,0.17078799181881357,0.0,0.0,5415.954133333334,16.666666666666686,0.4666666666666667,0.0,5.415954133333333,0.0,0.4666666666666667,5415.954133333334,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,458.33879518518523,0.08333333333333333,38.00382265052315,51.66666666666668,46.10666666666668,0.0,51.14366511609478,0.21142893782662311,570.3147731477511,458.33879518518523,38.00382265052315,48.91852276411828,51.14366511609478,47.805951588130036,12.43753247303448,16.332820508806915,-0.06358448685514233,-0.55,4764.290506575437,-1041.0557921913164,0.0,0.0,544.1928074668621,3.108700770061312,2.2329999999999997,0.04674328360599723,0.0,0.0,0.4374708874594913,147.3771385582222,-154.80064203344142,0.28229724600637957,8.033418462271543,0.003184829335847897,18.019255036657828,1.235976927564588
2025-01-01 08:00:00,11.950055157425119,0.2322916354429792,0.0,11.950055157425119,0.2322916354429792,0.0,0.09140792667466319,0.4583387951851853,0.3549732355652707,11.025335199999999,0.020000000000000004,0.0,0.0,0.22645830210964588,0.0,0.005833333333333337,1.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.0046744524396929825,0.0,0.08673347423497019,0.0,0.05302883275240949,0.0,0.23595116911164152,0.1769633768337311,0.0,0.0,11025.3352,20.000000000000057,0.95,0.0,11.025335199999999,0.0,0.95,11025.3352,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,458.33879518518523,0.08333333333333333,37.85509034849001,51.66666666666668,46.10666666666668,0.0,51.61997432682326,0.09778321934175098,266.9381304035841,458.33879518518523,37.85509034849001,51.30909064128525,51.62196511480318,51.15165801053634,12.43753247303448,18.79302603966413,-0.7891762718927907,-1.4,9973.797797107798,-1403.2328557869832,0.0,0.0,561.8638088465634,174.56969731421142,2.0,0.05244136424886812,0.0,0.0,0.4907992846825878,131.99922844444444,-210.1683559517829,0.24266615307357622,9.189746982695393,0.003189813005651618,42.87113817293156,1.2261450783882861
2025-01-01 09:00:00,8.408678829198728,0.23287057778812773,0.0,8.40867882919873,0.23287057778812773,0.0,0.09343620998133137,0.0,0.36473835255073117,7.930504266666666,0.020000000000000004,0.0,0.0,0.2270372444547944,0.0,0.005833333333333337,1.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.0037697197094298243,0.0,0.08966649027190154,0.0,0.06202202661100525,0.0,0.2367230922385062,0.1775423191788796,0.0,0.0,7930.504266666667,20.000000000000057,0.6833333333333333,0.0,7.930504266666666,0.0,0.6833333333333333,7930.504266666667,11605.616,0.0,25.5555555555556,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,2958.2597955555557,0.0,0.0,34.85254828215045,51.66666666666668,46.10666666666668,0.0,51.23765507766904,0.09867942993758397,266.9381304035841,0.0,34.85254828215045,49.55690635021196,51.23765507766904,48.716531986483425,12.43753247303448,19.653340977313047,-0.06814695516314627,-0.85,6967.0179473347325,-1433.450684100626,0.0,0.0,573.6031745198117,526.2713328103298,2.0,0.052927191661953844,0.0,0.0,0.49534614859882964,131.99922844444444,-103.63880975112008,0.23065065746150928,9.605062501216347,0.0032037735412528147,94.48380141503539,1.2231339416919007
