occupants,plug_loads_other,plug_loads_tv,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.615,0.0335,0.141,0.0,0.284,0,0,0,0
1.0,0.651,0.0453,0.201,0.0,0.0316,0,0,0,0
1.0,0.651,0.0453,0.201,0.0,0.0,0,0,0,0
1.0,0.651,0.0453,0.201,0.0,0.389,0,0,0,0
1.0,0.668,0.0538,0.23,0.0,0.165,0,0,0,0
1.0,0.68,0.0595,0.248,0.0,0.0,0,0,0,0
0.7,0.68,0.0595,0.248,0.0,0.0,0,0,0,0
0.8,0.751,0.0856,0.368,0.6,0.0,0,0,0,0
1.0,0.81,0.117,0.464,1.0,0.316,0,0,0,0
1.0,0.818,0.126,0.475,1.0,0.0,0,0,0,0
1.0,0.741,0.0932,0.347,0.467,0.0,0,0,0,0
1.0,0.69,0.0711,0.262,0.0,0.0,0,0,0,0
1.0,0.766,0.118,0.398,0.0,0.0,0,0,0,0
1.0,0.818,0.149,0.489,0.0,0.0,0,0,0,0
1.0,0.818,0.149,0.489,0.0,0.0,0,0,0,0
1.0,0.818,0.149,0.489,0.0,0.0825,0,0,0,0
0.7,0.741,0.115,0.353,0.0,0.0825,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.165,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.165,0,0,0,0
0.5,0.69,0.0971,0.257,0.0,0.33,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.165,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.165,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.33,0,0,0,0
0.5,0.69,0.104,0.249,0.0,0.0825,0,0,0,0
0.8,0.766,0.16,0.365,0.0,0.247,0,0,0,0
1.0,0.818,0.196,0.444,0.0,0.0,0,0,0,0
