Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.9641357196203835,0.1917175279645999,0.0,1.9641357196203837,0.1917175279645999,0.0,0.015019683791711386,0.0,0.2647777460508943,1.6843382897777779,0.0,0.0,0.1917175279645999,0.0,1.0,0.04614264815455537,0.03460698611591652,0.0,0.0,0.004654961622807018,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,1684.3382897777778,15.5555555555556,0.39999999999999997,0.0,1.6843382897777779,0.0,0.4,1684.3382897777778,4210.845724444444,0.0,0.0,40.06286774822737,51.66666666666668,46.10666666666668,0.0,50.71036898296966,0.0,0.0,0.0,40.06286774822737,49.66295298883679,50.71036898296966,49.13924499177037,12.43753247303448,15.260026156758943,-0.05199182149963031,2.8,1012.2594432473969,-1038.8700057993804,0.0,0.0,397.1330077145064,0.0,2.0,0.06396129156680415,0.0,0.0,1.1902192770971212,131.99922844444444,-30.34184844550708,0.27397409025575037,7.161123736527611,0.002881746050338829,-0.14527855911183565,1.2419467471047674
2025-01-01 01:00:00,1.8924522692207353,0.190852353311702,0.0,1.8924522692207355,0.190852353311702,0.0,0.014670561670000859,0.0,0.26362417984703046,1.614157527703704,0.0,0.0,0.190852353311702,0.0,1.0,0.04498908195069148,0.0337418114630186,0.0,0.0,0.00430583950109649,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,1614.1575277037036,15.5555555555556,0.38333333333333325,0.0,1.614157527703704,0.0,0.38333333333333336,1614.1575277037036,4210.845724444444,0.0,0.0,39.67024859065489,51.66666666666668,46.10666666666668,0.0,50.34103877912474,0.0,0.0,0.0,39.67024859065489,49.327271317395265,50.34103877912474,48.82038758653053,12.43753247303448,15.260805152463147,-0.04972422944114087,2.5,1005.2963309813119,-973.9777384747136,0.0,0.0,395.630319388932,0.0,2.0,0.05861669716303412,0.0,0.0,1.0907647612203037,131.99922844444444,-30.513777636609998,0.2740712945790063,7.163170027529509,0.0028828090369969104,11.223914427259272,1.2420027997370928
2025-01-01 02:00:00,1.8211179409427973,0.18998717865880407,0.0,1.8211179409427973,0.18998717865880407,0.0,0.014670561670000859,0.0,0.2624706136431666,1.5439767656296297,0.0,0.0,0.18998717865880407,0.0,1.0,0.0438355157468276,0.03287663681012069,0.0,0.0,0.00430583950109649,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,1543.9767656296294,15.5555555555556,0.3666666666666666,0.0,1.5439767656296297,0.0,0.36666666666666664,1543.9767656296294,4210.845724444444,0.0,0.0,39.309932933433906,51.66666666666668,46.10666666666668,0.0,49.97547577171678,0.0,0.0,0.0,39.309932933433906,48.9947247360444,49.97547577171678,48.504349218208205,12.43753247303448,15.23697318813945,-0.054778696071161134,1.6500000000000001,948.5992293289474,-960.6992992234021,0.0,0.0,394.4767531850681,0.0,2.0,0.053981478923753067,0.0,0.0,1.0045106227124478,131.99922844444444,-29.15499026234811,0.2752973087318325,7.161905972659414,0.0028913568677392146,28.785226500721485,1.2420989551418544
2025-01-01 03:00:00,1.8899123887318672,0.18912200400590617,0.0,1.8899123887318672,0.18912200400590615,0.0,0.014437813588860508,0.0,0.2613170474393027,1.614157527703704,0.0,0.0,0.18912200400590617,0.0,1.0,0.042681949542963706,0.03201146215722277,0.0,0.0,0.00407309141995614,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,1614.1575277037036,15.5555555555556,0.38333333333333325,0.0,1.614157527703704,0.0,0.38333333333333336,1614.1575277037036,4210.845724444444,0.0,0.0,38.917431479308064,51.66666666666668,46.10666666666668,0.0,49.61371809070741,0.0,0.0,0.0,38.917431479308064,48.66535716504797,49.61371809070741,48.19117670221826,12.43753247303448,15.244002286090652,-0.05510591595227625,1.6500000000000001,968.7775224272058,-1009.4808773005892,0.0,0.0,393.0904389000638,0.0,2.0,0.05680765503680151,0.0,0.0,1.0571013257427078,131.99922844444444,-28.989566875972407,0.2761562563235517,7.177777593171805,0.002901688614698673,1.9504400758337928,1.2420610183745622
2025-01-01 04:00:00,1.9589395846020772,0.18825682935300822,0.0,1.958939584602077,0.18825682935300825,0.0,0.014437813588860508,0.0,0.2601634812354388,1.6843382897777779,0.0,0.0,0.18825682935300822,0.0,1.0,0.04152838333909982,0.031146287504324854,0.0,0.0,0.00407309141995614,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,1684.3382897777778,15.5555555555556,0.39999999999999997,0.0,1.6843382897777779,0.0,0.4,1684.3382897777778,4210.845724444444,0.0,0.0,38.52635385600408,51.66666666666668,46.10666666666668,0.0,49.255769510118526,0.0,0.0,0.0,38.52635385600408,48.33918009173008,49.255769510118526,47.88088538253585,12.43753247303448,15.253016375655935,-0.050964382161378614,0.55,913.5873162625886,-1134.276771064426,0.0,0.0,391.93687269619994,0.0,2.0,0.058717038956392006,0.0,0.0,1.0926319645526241,131.99922844444444,-28.41107514696334,0.27555923304047525,7.1748140525184265,0.0028984951345259885,27.159643895174835,1.2414417206396389
2025-01-01 05:00:00,2.029585842838432,0.18825682935300822,0.0,2.029585842838432,0.18825682935300825,0.0,0.01490330975114121,0.0,0.2601634812354388,1.7545190518518519,0.0,0.0,0.18825682935300822,0.0,1.0,0.04152838333909982,0.031146287504324854,0.0,0.0,0.004538587582236842,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,1754.5190518518518,15.5555555555556,0.41666666666666663,0.0,1.7545190518518519,0.0,0.4166666666666667,1754.5190518518518,4210.845724444444,0.0,0.0,38.1506647554236,51.66666666666668,46.10666666666668,0.0,48.90181080403393,0.0,0.0,0.0,38.1506647554236,48.01637202146677,48.90181080403393,47.573652630183204,12.43753247303448,15.252191436702137,-0.05212293373467848,-0.25000000000000006,925.4130819659297,-1193.887818721966,0.0,0.0,392.40236885848066,0.0,2.0,0.058485716112108704,0.0,0.0,1.0883274093794166,131.99922844444444,-27.620520022436985,0.2776051764083132,7.19834340267073,0.0029214127706083874,33.84153766002094,1.2408051007890717
2025-01-01 06:00:00,4.577110433419705,0.2222759110138271,0.0,4.577110433419704,0.2222759110138271,0.0,0.057012395905570896,2.50822956637037,0.327530181365985,1.6843382897777779,0.0,0.0,0.2222759110138271,0.0,1.0,0.0438355157468276,0.03287663681012069,0.0,0.0,0.00512045778508772,0.0,0.05189193812048318,0.0,0.031162300014215445,0.0,0.25253236560494197,0.1893992742037064,0.0,0.0,1684.3382897777778,15.5555555555556,0.39999999999999997,0.0,1.6843382897777779,0.0,0.4,1684.3382897777778,4210.845724444444,2508.2295663703703,0.7166666666666667,37.743068184266576,51.66666666666668,46.10666666666668,0.0,48.161516267087016,0.8455320436503155,2081.2087814206247,2508.2295663703703,37.743068184266576,47.6533216908798,48.16818079946487,47.392559870398344,12.43753247303448,15.256759848026752,-0.053044623691626776,0.3,1006.1410152330355,-1148.2541351108166,0.0,0.0,498.86454012365436,0.0,2.0,0.05841306568232138,0.0,0.0,1.0869754988737954,131.99922844444444,-28.80767955758007,0.2775958427008086,7.201422497478834,0.00292211700206414,-3.275087237072617,1.240784989456905
2025-01-01 07:00:00,4.168298252349142,0.21932369523783388,0.0,4.168298252349142,0.21932369523783388,0.0,0.0504454916713787,2.0415822051851853,0.3217515036407256,1.7545190518518519,0.0,0.0,0.21932369523783388,0.0,1.0,0.04614264815455537,0.03460698611591652,0.0,0.0,0.004771335663377193,0.0,0.0456741560080015,0.0,0.0293199099902803,0.0,0.24628894549588987,0.18471670912191737,0.0,0.0,1754.5190518518518,15.5555555555556,0.41666666666666663,0.0,1.7545190518518519,0.0,0.4166666666666667,1754.5190518518518,4210.845724444444,2041.5822051851853,0.5833333333333334,39.69680434498399,51.66666666666668,46.10666666666668,0.0,50.78757062336907,0.7299448609115103,1938.5531560274737,2041.5822051851853,39.69680434498399,49.30119632780842,50.78757062336907,48.55800918002811,12.43753247303448,15.232277618441904,-0.05254185943660419,-0.55,889.4579459803105,-1254.6625596683434,0.0,0.0,417.6564026385031,0.22286929425876018,0.95,0.060249570702770656,0.0,0.0,1.1211499757218961,62.69963351111111,-28.054948841701027,0.2775356145362903,7.18319038577567,0.0029169201454437165,-24.568902934690563,1.240894074290828
2025-01-01 08:00:00,2.3853264919035606,0.19258270261749783,0.0,2.38532649190356,0.19258270261749783,0.0,0.013972317426579806,0.0,0.26593131225475825,2.1054228622222224,0.0,0.0,0.19258270261749783,0.0,1.0,0.04729621435841925,0.035472160768814424,0.0,0.0,0.0036075952576754386,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,2105.422862222222,15.5555555555556,0.49999999999999994,0.0,2.1054228622222224,0.0,0.5,2105.422862222222,4210.845724444444,0.0,0.0,40.92078237585916,51.66666666666668,46.10666666666668,0.0,51.5458412473397,0.07925894444546201,216.5890202886879,0.0,40.92078237585916,50.3683636898412,51.5458412473397,49.779624911091965,12.43753247303448,15.21708722047723,-0.06726387190106621,-1.4,964.9845813829544,-1379.2672654627916,0.0,0.0,265.2399791087943,9.053292678865335,0.0,0.06276944951403983,0.0,0.0,1.168040966564203,0.0,-26.410994485270898,0.2768801627919668,7.165692421793864,0.0029057141884330966,-16.10834778260897,1.2415508470526666
2025-01-01 09:00:00,2.5249897718082877,0.19258270261749783,0.0,2.5249897718082877,0.19258270261749783,0.0,0.013274073183158753,0.0,0.26593131225475825,2.2457843863703704,0.0,0.0,0.19258270261749783,0.0,1.0,0.04729621435841925,0.035472160768814424,0.0,0.0,0.002909351014254386,0.0,0.010364722168904368,0.0,0.009154375431427724,0.0,0.20948072246491126,0.1571105418486834,0.0,0.0,2245.78438637037,15.5555555555556,0.5333333333333333,0.0,2.2457843863703704,0.0,0.5333333333333333,2245.78438637037,4210.845724444444,0.0,0.0,39.73846380440587,51.66666666666668,46.10666666666668,0.0,51.061758118145825,0.0,0.0,0.0,39.73846380440587,49.331861922550075,51.061758118145825,48.466913824752204,12.43753247303448,15.227915882956285,-0.05818858409569308,-0.85,1179.0314612884351,-1308.6928366531772,0.0,0.0,264.5417348653732,36.66595098326441,0.0,0.061575050498146426,0.0,0.0,1.1458150749594758,0.0,-22.601823294130842,0.27741987142679053,7.182395885991054,0.0029119802978481856,46.963489182921805,1.2421225522548835
