Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.23020843956997145,0.10163155463803411,0.0,0.0038368073261661906,0.0016938592439672351,0.0,0.06110853236233796,0.0,0.11909990720763348,0.0,0.05,0.0,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,Off,0.0,18.388888888888943,0.0,0.0,0.0,0.0,0,0.0,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,37.80053619041298,51.666666666666686,46.10666666666668,0.0,50.815226720745976,0.0,0.0,0.0,37.80053619041298,50.31884405261037,50.815226720745976,50.070652718542576,12.43753247303448,17.844106717929456,-0.04478217095948622,8.313435437721376,0.901525440832129,2.8,9.236100170605994,-1479.55960267098,-2731.1486846727935,-231.57501245951,-1687.3822599114023,-0.0,-0.0,306.41497326639865,0.0,2.0,0.0860655644708874,0.0,0.0,1.1137781160169222,131.99922844444444,-98.59231602597615,0.22733081610626535,8.316007410453059,0.002826952539229966,-24.793453672075408,1.2274314808955509,0.3867916707362371,-2779.182449757108,48.03376508431402,0.0031540623634287728,7.803558846450162,-239.37857130596015
2025-01-01 00:01:00,0.23020843956997145,0.10163155463803411,0.0,0.0038368073261661906,0.0016938592439672351,0.0,0.06110853236233796,0.0,0.11909990720763348,0.0,0.05,0.0,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,Off,0.0,18.388888888888943,0.0,0.0,0.0,0.0,0,0.0,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,37.92840423708957,51.666666666666686,46.10666666666668,0.0,50.80949745311033,0.0,0.0,0.0,37.92840423708957,50.313539064045194,50.80949745311033,50.06555986951263,12.43753247303448,17.728887163230837,-0.16000172565810544,8.261335150837049,0.8919349402243846,2.8,9.236100170605994,-1461.8032419199697,-2702.8838245123698,-231.03642129274886,-1667.6327532427922,-0.0,-0.0,306.41497326639865,0.0,2.0,0.08571470383290232,0.0,0.0,1.1092376136364177,131.99922844444444,-100.58546194357609,0.2296467335836684,8.284115164600202,0.0028268341827717403,-24.235357924704978,1.2315046712515774,0.38661699236936736,-2751.6767796437252,48.79295513135539,0.0031540623634287728,7.8429799888078735,-238.87940128155674
2025-01-01 00:02:00,0.23020843956997145,0.10163155463803411,0.0,0.0038368073261661906,0.0016938592439672351,0.0,0.06110853236233796,0.0,0.11909990720763348,0.0,0.05,0.0,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,Off,0.0,18.388888888888943,0.0,0.0,0.0,0.0,0,0.0,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,38.052668652431905,51.666666666666686,46.10666666666668,0.0,50.803749275047856,0.0,0.0,0.0,38.052668652431905,50.308216130270935,50.803749275047856,50.06044955788248,12.43753247303448,17.616746940425966,-0.272141948462977,8.212447838999099,0.8826898115348851,2.8,9.236100170605994,-1444.9241885584022,-2676.350807696057,-230.06202954154392,-1648.500648320842,-0.0,-0.0,306.41497326639865,0.0,2.0,0.0853726194432047,0.0,0.0,1.1048106850568105,131.99922844444444,-102.8385135039586,0.23126736881354307,8.231154653747708,0.0028267188731451657,-23.69149973165316,1.2319797122727367,0.3864530144491082,-2725.8884230601216,49.53761536406411,0.0031540623634287728,7.880981501876943,-237.94301104342085
2025-01-01 00:03:00,1.1890188562366382,0.10163155463803411,0.8218375000000001,0.019816980937277302,0.0016938592439672351,0.013697291666666668,0.06110853236233796,0.0,0.11909990720763348,0.9588104166666667,0.05,0.8218375000000001,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,On,16073.271312127088,18.388888888888943,0.8,4154.085446761802,24.08568292777778,0.9588104166666667,1,19268.546342222224,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,38.17348488000099,51.666666666666686,46.10666666666668,0.0,50.797982722387644,0.0,0.0,0.0,38.17348488000099,50.30287575702705,50.797982722387644,50.055322274346764,12.43753247303448,17.50755295303745,-0.3813359358514923,8.166549532345481,0.873980083818485,2.8,9.236100170605994,14644.342658312007,1502.589907670626,-228.70411002892257,-1629.9563062813083,-0.0,-0.0,306.41497326639865,0.0,2.0,0.08503895014855432,0.0,0.0,1.1004926565787179,131.99922844444444,-105.38732080017166,0.23285776350555695,8.179092588282089,0.002826606194611015,-23.161206236347446,1.2324426251792222,0.38629899890355945,-2701.695359127866,50.19982003669022,0.0031540623634287728,7.91678228332185,-236.62089231224442
2025-01-01 00:04:00,1.1890188562366382,0.10163155463803411,0.8218375000000001,0.019816980937277302,0.0016938592439672351,0.013697291666666668,0.06110853236233796,0.0,0.11909990720763348,0.9588104166666667,0.05,0.8218375000000001,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,On,16073.271312127088,18.388888888888943,0.8,4154.085446761802,24.08568292777778,0.9588104166666667,1,19268.546342222224,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,37.82161033455083,51.666666666666686,46.10666666666668,0.0,50.79219830784823,0.0,0.0,0.0,37.82161033455083,50.29751842823782,50.79219830784823,50.05017848843262,12.43753247303448,17.804617665793003,-0.08427122309593926,8.330624699472443,0.8659591304593499,2.8,9.236100170605994,14574.68912702519,1413.30372535679,-227.01651305232815,-1680.603042578485,-0.0,-0.0,306.41497326639865,0.0,2.0,0.08594538471348369,0.0,0.0,1.1122228646849013,131.99922844444444,-124.39411578980997,0.22852603332125007,8.31933636374963,0.002826496079567572,-24.488621688582477,1.2311843828595137,0.38684928444235717,-2788.2623766836587,47.48065527864663,0.0031540623634287728,7.94975190160848,-234.96626495393664
2025-01-01 00:05:00,1.1890188562366382,0.10163155463803411,0.8218375000000001,0.019816980937277302,0.0016938592439672351,0.013697291666666668,0.06110853236233796,0.0,0.11909990720763348,0.9588104166666667,0.05,0.8218375000000001,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,On,16073.271312127088,18.388888888888943,0.8,4154.085446761802,24.08568292777778,0.9588104166666667,1,19268.546342222224,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,37.481174605676884,51.666666666666686,46.10666666666668,0.0,50.786466288408754,0.0,0.0,0.0,37.481174605676884,50.292210482093076,50.786466288408754,50.04508257893524,12.43753247303448,18.091900236550455,0.0,8.483801320342709,0.8587494008337098,2.8,9.236100170605994,14510.929322591028,1330.0104235036606,-225.2955124930714,-1730.1709910860832,-0.0,-0.0,306.41497326639865,0.0,2.0,0.08681802824072887,0.0,0.0,1.123515781540844,131.99922844444444,-138.58597171637575,0.22442203944881792,8.454851865353348,0.0028263795346241847,-25.76304516647304,1.2299700224838606,0.38736231218763423,-2869.286433609934,45.21141035179276,0.0031540623634287728,7.979387036369169,-233.27489952944057
2025-01-01 00:06:00,1.1890188562366382,0.10163155463803411,0.8218375000000001,0.019816980937277302,0.0016938592439672351,0.013697291666666668,0.06110853236233796,0.0,0.11909990720763348,0.9588104166666667,0.05,0.8218375000000001,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,On,16073.271312127088,18.388888888888943,0.8,4154.085446761802,24.08568292777778,0.9588104166666667,1,19268.546342222224,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,37.15135855422288,51.666666666666686,46.10666666666668,0.0,50.780784963226694,0.0,0.0,0.0,37.15135855422288,50.286950313250735,50.780784963226694,50.04003298826276,12.43753247303448,18.37010310379932,0.0,8.627009407530522,0.8524319739754211,2.8,9.236100170605994,14449.484113048204,1251.920993805555,-223.3162619699295,-1778.7211005248337,-0.0,-0.0,306.41497326639865,0.0,2.0,0.08765944499914859,0.0,0.0,1.1344045914584826,131.99922844444444,-151.4810718204491,0.2205257187293287,8.584787351187705,0.002826256803458436,-26.988366091628485,1.2287963310132828,0.3878413389474218,-2945.2181531980887,43.05370024184167,0.0031540623634287728,8.005354417395548,-231.32161638732507
2025-01-01 00:07:00,0.23020843956997145,0.10163155463803411,0.0,0.0038368073261661906,0.0016938592439672351,0.0,0.06110853236233796,0.0,0.11909990720763348,0.0,0.05,0.0,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,Off,0.0,18.388888888888943,0.0,0.0,0.0,0.0,0,0.0,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,36.8315695003944,51.666666666666686,46.10666666666668,0.0,50.775152753230834,0.0,0.0,0.0,36.8315695003944,50.28173643132805,50.775152753230834,50.035028270376664,12.43753247303448,18.63973418027238,0.0,8.761032155226104,0.847082375080412,2.8,9.236100170605994,-1683.5648040068393,-2975.3980885045557,-221.52017061930107,-1826.2877616906846,-0.0,-0.0,306.41497326639865,0.0,2.0,0.0884715564742499,0.0,0.0,1.144914160463169,131.99922844444444,-163.69201558255293,0.2168210668876719,8.710785363701849,0.0028261281122503525,-28.16750973439705,1.2276609454186453,0.3882891056950549,-3016.4374362855024,41.03934778094666,0.0031540623634287728,8.027343603176583,-229.54751422247764
2025-01-01 00:08:00,0.23020843956997145,0.10163155463803411,0.0,0.0038368073261661906,0.0016938592439672351,0.0,0.06110853236233796,0.0,0.11909990720763348,0.0,0.05,0.0,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,Off,0.0,18.388888888888943,0.0,0.0,0.0,0.0,0,0.0,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,36.990703491057516,51.666666666666686,46.10666666666668,0.0,50.769568167460726,0.0,0.0,0.0,36.990703491057516,50.27656742911991,50.769568167460726,50.03006705994951,12.43753247303448,18.49777792464878,0.0,8.67936545501321,0.8427320981849186,2.8,9.236100170605994,-1650.955093621604,-2930.536455832186,-219.3255113544183,-1801.181999704539,-0.0,-0.0,306.41497326639865,0.0,2.0,0.08804440550828192,0.0,0.0,1.1393863817161702,131.99922844444444,-156.18806718346355,0.2187471355903356,8.644234160495804,0.0028259936742004977,-27.49081726478321,1.2282585951283986,0.3880163207319891,-2973.0218531195665,42.485397287380195,0.0031540623634287728,8.045225139480769,-227.37073649389907
2025-01-01 00:09:00,0.23020843956997145,0.10163155463803411,0.0,0.0038368073261661906,0.0016938592439672351,0.0,0.06110853236233796,0.0,0.11909990720763348,0.0,0.05,0.0,0.0,0.0,0.08704822130470077,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.02105986842105263,0.0,On,0.040048663941285326,0,On,0.0030356121346990866,0,On,0.08275278211453167,0.06206458658589874,On,0,0,Off,Off,0.0,18.388888888888943,0.0,0.0,0.0,0.0,0,0.0,19268.546342222224,Off,0.0,19.388888888888943,0,0.0,0.05,0.0,0.0,0,0,0,12418.00912,Off,0.0,0.0,37.14415893588446,51.666666666666686,46.10666666666668,0.0,50.76396002221415,0.0,0.0,0.0,37.14415893588446,50.27137609378939,50.76396002221415,50.02508412957702,12.43753247303448,18.360679985363724,0.0,8.603353397738584,0.8394344759128782,2.8,9.236100170605994,-1620.8976464273544,-2889.0688709516508,-217.09103014609252,-1777.0678381457628,-0.0,-0.0,306.41497326639865,0.0,2.0,0.0876310032481191,0.0,0.0,1.1340365255534648,131.99922844444444,-150.24478154799027,0.22062547655921283,8.580202685073122,0.0028258625297160286,-26.835965227434095,1.2288363443527364,0.3877622511061991,-2932.6632557868365,43.59438483518582,0.0031540623634287728,8.058779805951787,-225.1498099520443
