Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.03369048821139,51.666666666666686,46.10666666666668,0.0,50.1934653424285,0.0,0.0,0.0,142.2401413878303,50.23106848153947,50.249870051094945,50.1934653424285,12.43753247303448,16.302086034686543,0.0,-0.32034617607824556,2.8,9.236100170605994,-551.4449962682681,313.9759629796031,-945.0596173359551,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05370821059384227,0.0,0.0,0.9687961416550267,197.99884266666666,34.161129281550515,0.2859686689844274,8.053798502224856,0.003227156074647209,6.70676666026379,1.2336726796046449,0.11818836756619924,480.6126130145824,-166.63665003497934
2025-01-01 00:01:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.10143747743007,51.666666666666686,46.10666666666668,0.0,50.17343364062755,0.0,0.0,0.0,142.34599605848447,50.212156912115276,50.23151854785915,50.17343364062755,12.43753247303448,16.257891595319254,0.0,-0.31318443366415705,2.8,9.236100170605994,-553.3721001281563,312.7554893858662,-940.9379236379368,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05364957613376604,0.0,0.0,0.9677384851428881,197.99884266666666,28.11233172364424,0.28761727148987404,8.055229505987523,0.0032272004751511315,6.861669296896432,1.2374653041811225,0.11816194095456986,479.40230558876425,-166.64681620289804
2025-01-01 00:02:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.16679080729376,51.666666666666686,46.10666666666668,0.0,50.153387718086705,0.0,0.0,0.0,142.4481106363965,50.19323126875997,50.21315304409662,50.153387718086705,12.43753247303448,16.21457518361977,0.0,-0.3061117047718229,2.8,9.236100170605994,-555.4587117484341,312.2353924468241,-936.9045641045595,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05359210045189749,0.0,0.0,0.9667017308325588,197.99884266666666,21.99236056998913,0.28841703258651985,8.0350732378152,0.003227245761926869,7.0132262054313035,1.2376505126861683,0.11813583699833438,478.2075017642422,-165.9721093174181
2025-01-01 00:03:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.22983613185161,51.666666666666686,46.10666666666668,0.0,50.133328102237925,0.0,0.0,0.0,142.54661895601814,50.17429204873841,50.19477402198866,50.133328102237925,12.43753247303448,16.172105374886907,0.0,-0.2988493710758711,2.8,9.236100170605994,-557.7471294280388,312.2981827298806,-932.9562342014774,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05353574231723683,0.0,0.0,0.9656851349935535,197.99884266666666,15.755612987302321,0.28920375173721496,8.014817699526073,0.00322729204204623,7.16153341682884,1.2378321538015349,0.11810902724715203,476.98114428865534,-164.68296155877476
2025-01-01 00:04:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.29066495037345,51.666666666666686,46.10666666666668,0.0,50.113255301624,0.0,0.0,0.0,142.6416639849585,50.15533973152144,50.176381946470165,50.113255301624,12.43753247303448,16.13044854807945,-0.03621811858723589,-0.2911718683560166,2.8,9.236100170605994,-557.2111872700016,312.36625524932094,-929.0894510089478,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05348045754861815,0.0,0.0,0.9646879006798822,197.99884266666666,12.424771952809934,0.2899779151435222,7.994992422872164,0.0032273392939066695,7.306717095668128,1.2380103682626353,0.11808067823216878,475.68520425497013,-163.31894900564922
2025-01-01 00:05:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.34908737171041,51.666666666666686,46.10666666666668,0.0,50.09316980461153,0.0,0.0,0.0,142.73294901829752,50.136374777571646,50.157977264051716,50.09316980461153,12.43753247303448,16.089675936108378,-0.07699073055830752,-0.28294596357582724,2.8,9.236100170605994,-553.3932066963971,312.44437819878095,-925.3104683296497,-0.0,-0.0,359.4534917861364,0.0,3.0,0.053426341107038415,0.0,0.0,0.9637117408111607,197.99884266666666,12.463769847116204,0.29073807165071297,7.975636449848066,0.0032273874967503886,7.448517590673768,1.238184848165869,0.11805029669965623,474.2972947226829,-161.85291652390197
2025-01-01 00:06:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.40488217780208,51.666666666666686,46.10666666666668,0.0,50.07307214138388,0.0,0.0,0.0,142.82012840281575,50.11739768680008,50.13956045950819,50.07307214138388,12.43753247303448,16.049870486773315,-0.11679617989337032,-0.27406524963409207,2.8,9.236100170605994,-548.6168913149068,312.8316901504794,-921.6265910373372,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05337350352221066,0.0,0.0,0.9627586491376621,197.99884266666666,13.556207936294037,0.29148253833466575,7.956254159178104,0.00322743662813597,7.586632288401185,1.2383552351650746,0.11801748791705131,472.79959907141904,-159.96790892093964
2025-01-01 00:07:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.45805465833185,51.666666666666686,46.10666666666668,0.0,50.052962890841265,0.0,0.0,0.0,142.9032104036435,50.09840900507419,50.121132062190654,50.052962890841265,12.43753247303448,16.011030775473426,-0.15563589119325982,-0.26441674971459356,2.8,9.236100170605994,-543.8624138572338,313.22892860550274,-918.0372961746954,-0.0,-0.0,359.4534917861364,0.0,3.0,0.053321943333651554,0.0,0.0,0.9618285993149859,197.99884266666666,14.721390531325405,0.2922111922303469,7.937928509964804,0.003227486663658561,7.721069242951481,1.2385215319803005,0.11798183229606145,471.17323894468217,-157.94431033917942
2025-01-01 00:08:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.50870020429467,51.666666666666686,46.10666666666668,0.0,50.03284263069775,0.0,0.0,0.0,142.98234406921043,50.07940927716252,50.1026926003949,50.03284263069775,12.43753247303448,15.97312179620197,-0.19354487046471647,-0.25393895255106624,2.8,9.236100170605994,-539.3056579214442,313.61044155629776,-914.5389739725663,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05327161447520137,0.0,0.0,0.960920760395362,197.99884266666666,15.779824264985614,0.2929245421407984,7.920098573417036,0.0032275375789853436,7.851960114743045,1.2386838852903788,0.11794309983373365,469.4080587058183,-155.79761714952053
2025-01-01 00:09:00,0.21760465353195507,0.1274167691983808,0.0,0.0036267442255325847,0.002123612819973013,0.0,0.013894613988443886,0.15371003954351117,0.0,0.05,0.0,0.0,0.0,0.11283343586504745,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0625873752607483,0.04694053144556121,On,0.0,0,Off,0.004698999451754385,0.0,On,0.0091956145366895,0,On,0.0032654583901145454,0,On,0.08785720589264834,0.06589290441948624,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,9802.642524444445,Off,0.0,18.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,6998.831204444445,Off,0.0,0,91.55692556850416,51.666666666666686,46.10666666666668,0.0,50.0127119176314,0.0,0.0,0.0,143.05769620078775,50.06039902801685,50.08424258320959,50.0127119176314,12.43753247303448,15.936104288557729,-0.23056237810895652,-0.2425902626276904,2.8,9.236100170605994,-534.9315526637822,313.9341811467866,-911.1276497680747,-0.0,-0.0,359.4534917861364,0.0,3.0,0.05322246519799838,0.0,0.0,0.9600341989256553,197.99884266666666,16.742605318156016,0.29362318662224557,7.902205796103328,0.0032275893506639843,7.979452162871278,1.238842460238852,0.1179011336548795,467.4972967370715,-153.56311559028487
