Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.182037602300625e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.182037602300625e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.846581819402576,0.0,9.186592045226101,-1.4905674489692171,2.8,9.236100170605994,-1570.6078839677925,-5661.97606100594,1494.4939215462557,-1814.6252054224956,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08168305640464374,0.0,0,0.595720266716451,131.99922844444444,-216.4301878441479,0.20664760738109525,9.342613208398978,0.00291276314892046,-37.10520276040217,1.21897953122864,0.6915086320976525,-5755.518224420785,93.54216341484495,0.3329118592692666,1861.4940472630562,-367.0001257168007
2025-01-01 00:01:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.193331963302626e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.193331963302626e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.73347676582931,0.0,9.099831105428786,-1.4430723397376972,2.8,9.236100170605994,-1549.063651975062,-5577.295088990581,1469.563100801432,-1796.0408014964755,-0.0,-0.0,460.44750929885123,0.0,2.0,0.0813865071579152,0.0,0,0.5935575122342909,131.99922844444444,-213.4703597774375,0.2087036009625251,9.314723685972332,0.0029126626337244955,-36.55385270632642,1.22301252021615,0.6909962625172797,-5673.123745050661,95.82865606007975,0.3323129434102332,1837.5761485138141,-368.0130477123822
2025-01-01 00:02:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.2043291042782585e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.2043291042782585e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.62333816326391,0.0,9.018529898791366,-1.3968173486866713,2.8,9.236100170605994,-1528.3985970570602,-5498.080572357162,1446.028612218631,-1778.0175589738608,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08109726706249115,0.0,0,0.5914480639058942,131.99922844444444,-210.82854738205037,0.21012881976337966,9.264037492856737,0.0029125639386265905,-36.01610506888401,1.223472678978619,0.690515790520989,-5596.0165861691,97.93601381193854,0.33172862618450366,1814.3483353010338,-368.3197230824028
2025-01-01 00:03:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.215078561898584e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.215078561898584e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.51602341302424,0.0,8.942298245921666,-1.3516052747240048,2.8,9.236100170605994,-1508.6337721042196,-5423.933534737144,1424.2200801916856,-1760.5265444487961,-0.0,-0.0,460.44750929885123,0.0,2.0,0.0808149958335087,0.0,0,0.5893894400098587,131.99922844444444,-208.55473695427446,0.2115279686092574,9.214793154110726,0.0029124667320168393,-35.49126025046002,1.2239213735994474,0.6900649745581307,-5523.807517789684,99.8739830525398,0.33115648722866226,1791.7069326650324,-367.48685247334686
2025-01-01 00:04:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.225530799492541e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.225530799492541e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.411404690998694,-0.08859530900136292,8.87078558805077,-1.307255702522373,2.8,9.236100170605994,-1487.7517822530945,-5354.494306235594,1403.4561709235782,-1743.5417139422518,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08053938918868113,0.0,0,0.5873794213940988,131.99922844444444,-204.65757760969407,0.21290199785919406,9.16692482164661,0.0029123709770677857,-34.97875969048042,1.2243591134368403,0.6896417977183923,-5456.147741736269,101.65343550067549,0.3305943008438871,1769.5578115330054,-366.10164060942725
2025-01-01 00:05:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.2357353537311916e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.2357353537311916e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.309393408022004,-0.19060659197805307,8.803673004698723,-1.263627577960815,2.8,9.236100170605994,-1465.4906424511146,-5289.435640236102,1383.6399468729824,-1727.043795045043,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08027024382793319,0.0,0,0.5854165253768883,131.99922844444444,-198.89435670492264,0.2142513919511127,9.119709885001205,0.0029122766385789364,-34.4782246682018,1.2247862456557916,0.6892444220307722,-5392.720875514386,103.28523527828415,0.33004032533223326,1747.8274569630114,-364.1875100900289
2025-01-01 00:06:00,0.4033554060559683,0.24646169246942354,0.0,0.006722590100932805,0.004107694874490392,0.0,0.026726176985466983,0.007772,0.3188572290705013,0.0,0.05,0.0,0.0,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.2456922246145346e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.2456922246145346e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.209911868600603,-0.2900881313994539,8.740667652670496,-1.2206007593406123,2.8,9.236100170605994,-1443.2875181584868,-5228.457363495863,1364.6101887399523,-1711.0155933152919,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08000738334096923,0.0,0,0.5834994653855522,131.99922844444444,-192.71943414204634,0.2155765304134894,9.07379314169078,0.002912183682472959,-33.98932487712373,1.2252030733506714,0.6888711567742856,-5333.237322934799,104.77995943893495,0.3294930727760476,1726.4535202806733,-361.8433315407211
2025-01-01 00:07:00,1.6713179060559684,0.24646169246942354,1.0868250000000002,0.02785529843426614,0.004107694874490392,0.01811375,0.026726176985466983,0.007772,0.3188572290705013,1.2679625,0.05,0.0,1.0868250000000002,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,On,19300.330250877825,20.000000000000057,0.7999999999999999,7448.993075788844,31.851701033333338,1.2679625,1,25481.360826666667,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.25540141214257e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.25540141214257e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.1128679769756,-0.3871320230244564,8.681498855340436,-1.178075310268544,2.8,9.236100170605994,17878.60157431055,2277.7104803616785,1346.2286229317713,-1695.4378957023973,-0.0,-0.0,460.44750929885123,0.0,2.0,0.0797505914905763,0.0,0,0.5816266643869109,131.99922844444444,-186.7382901637298,0.21687802414615934,9.029127392501822,0.0029120920756569592,-33.511660282099236,1.2256099614048677,0.6885204363310078,-5277.430273849487,106.1476784223212,0.32895130250234544,1705.3843095066138,-359.1556865748427
2025-01-01 00:08:00,1.6713179060559684,0.24646169246942354,1.0868250000000002,0.02785529843426614,0.004107694874490392,0.01811375,0.026726176985466983,0.007772,0.3188572290705013,1.2679625,0.05,0.0,1.0868250000000002,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,On,19300.330250877825,20.000000000000057,0.7999999999999999,7448.993075788844,31.851701033333338,1.2679625,1,25481.360826666667,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.237518673889402e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.237518673889402e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.291355511708108,-0.2086444882919487,8.835511591585753,-1.1359687899538315,2.8,9.236100170605994,17835.951516163885,2127.7786690510693,1328.3791196995635,-1724.1331330498824,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08022261082361609,0.0,0,0.58506913453128,131.99922844444444,-200.69311096290951,0.2144720695145928,9.110789862631954,0.0029120017862105238,-34.323819824060514,1.2248619940408068,0.6894329678461788,-5422.802495978408,101.58808924063338,0.3284139887716861,1684.5773053205007,-356.198185620937
2025-01-01 00:09:00,1.6713179060559684,0.24646169246942354,1.0868250000000002,0.02785529843426614,0.004107694874490392,0.01811375,0.026726176985466983,0.007772,0.3188572290705013,1.2679625,0.05,0.0,1.0868250000000002,0.0,0,0.2318783591360902,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.006816077302631578,0.0,On,0.019910099682835407,0,On,0.009686083555714303,0,On,0.24478750287945067,0.18359062715958796,On,0,0,Off,On,19300.330250877825,20.000000000000057,0.7999999999999999,7448.993075788844,31.851701033333338,1.2679625,1,25481.360826666667,25481.360826666667,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,14943.989026666666,Off,0.0,0.0,3.2202303756889705e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.2202303756889705e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,19.464530280669376,-0.035469719330681215,8.979598217992017,-1.0942138099380339,2.8,9.236100170605994,17795.610550436875,1987.6540671361845,1310.9638172569935,-1752.1583983701655,-0.0,-0.0,460.44750929885123,0.0,2.0,0.08067939556570741,0.0,0,0.5884004977339816,131.99922844444444,-213.0088113696326,0.21216600020586937,9.190701034442025,0.0029119092521154833,-35.10818550478536,1.2241371660671594,0.6902855945556818,-5559.12835316146,97.7893445088007,0.3278802914582919,1663.997835208453,-353.03401795145953
